All relevant information about the map is below:

Total # of nodes: 240
# of robots: 101, robots_origin_location: {222: {64, 72, 74, 85, 59, 31}, 223: {34, 35, 4, 40, 24, 25}, 224: {2, 66, 36, 12, 55, 60}, 225: {98, 3, 100, 80, 28}, 226: {67, 69, 73, 76, 45}, 227: {71, 46, 20, 87, 30}, 228: {39, 41, 13, 17, 50, 81}, 229: {1, 70, 7, 42, 84, 26}, 230: {58, 90, 94, 95}, 231: {97, 9, 77, 47, 19, 54}, 232: {5, 10, 43, 21, 86, 93}, 233: {6, 11, 22, 56, 29, 63}, 234: {48, 89, 44, 14}, 235: {78, 51, 23, 88, 92}, 236: {38, 15, 16, 83, 27, 62}, 237: {65, 8, 18, 52, 57, 61}, 238: {32, 101, 75, 53}, 239: {33, 68, 37, 82, 91}, 240: {96, 49, 99, 79}}
# of requests: 100, request_pairs: [(1, 101), (2, 102), (3, 103), (4, 104), (5, 105), (6, 106), (7, 107), (8, 108), (9, 109), (10, 110), (11, 111), (12, 112), (13, 113), (14, 114), (15, 115), (16, 116), (17, 117), (18, 118), (19, 119), (20, 120), (21, 121), (22, 122), (23, 123), (24, 124), (25, 125), (26, 126), (27, 127), (28, 128), (29, 129), (30, 130), (31, 131), (32, 132), (33, 133), (34, 134), (35, 135), (36, 136), (37, 137), (38, 138), (39, 139), (40, 140), (41, 141), (42, 142), (43, 143), (44, 144), (45, 145), (46, 146), (47, 147), (48, 148), (49, 149), (50, 150), (51, 151), (52, 152), (53, 153), (54, 154), (55, 155), (56, 156), (57, 157), (58, 158), (59, 159), (60, 160), (61, 161), (62, 162), (63, 163), (64, 164), (65, 165), (66, 166), (67, 167), (68, 168), (69, 169), (70, 170), (71, 171), (72, 172), (73, 173), (74, 174), (75, 175), (76, 176), (77, 177), (78, 178), (79, 179), (80, 180), (81, 181), (82, 182), (83, 183), (84, 184), (85, 185), (86, 186), (87, 187), (88, 188), (89, 189), (90, 190), (91, 191), (92, 192), (93, 193), (94, 194), (95, 195), (96, 196), (97, 197), (98, 198), (99, 199), (100, 200)]
# of depots: 19, depot nodes: [222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240]
# of service lines: 5
# of num transfers: 21, service lines mapping: {1: [201, 202, 203, 204, 205], 2: [206, 207, 208, 209, 210], 3: [211, 212, 213, 214, 215], 4: [216, 217, 218, 219, 220], 5: [221]}
public transportation factor: 1.0
map_size: 240
outsourcing cost: 6667
robots max travel time: 769
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 6
depot service time: 2
transfer capacity: 7
transfer service time: 2
request nodes time windows: {1: (182, 582), 2: (67, 467), 3: (313, 713), 4: (331, 731), 5: (195, 595), 6: (213, 613), 7: (357, 757), 8: (257, 657), 9: (398, 798), 10: (99, 499), 11: (117, 517), 12: (122, 522), 13: (273, 673), 14: (176, 576), 15: (300, 700), 16: (394, 794), 17: (284, 684), 18: (118, 518), 19: (306, 706), 20: (142, 542), 21: (304, 704), 22: (328, 728), 23: (271, 671), 24: (170, 570), 25: (92, 492), 26: (139, 539), 27: (213, 613), 28: (338, 738), 29: (123, 523), 30: (116, 516), 31: (348, 748), 32: (261, 661), 33: (102, 502), 34: (81, 481), 35: (108, 508), 36: (133, 533), 37: (85, 485), 38: (334, 734), 39: (388, 788), 40: (156, 556), 41: (67, 467), 42: (111, 511), 43: (224, 624), 44: (282, 682), 45: (61, 461), 46: (42, 442), 47: (326, 726), 48: (262, 662), 49: (266, 666), 50: (216, 616), 51: (61, 461), 52: (115, 515), 53: (165, 565), 54: (398, 798), 55: (254, 654), 56: (369, 769), 57: (175, 575), 58: (128, 528), 59: (117, 517), 60: (351, 751), 61: (379, 779), 62: (328, 728), 63: (86, 486), 64: (389, 789), 65: (327, 727), 66: (373, 773), 67: (57, 457), 68: (338, 738), 69: (121, 521), 70: (270, 670), 71: (272, 672), 72: (147, 547), 73: (73, 473), 74: (347, 747), 75: (86, 486), 76: (173, 573), 77: (315, 715), 78: (299, 699), 79: (166, 566), 80: (379, 779), 81: (154, 554), 82: (246, 646), 83: (167, 567), 84: (382, 782), 85: (80, 480), 86: (264, 664), 87: (212, 612), 88: (361, 761), 89: (214, 614), 90: (150, 550), 91: (123, 523), 92: (303, 703), 93: (291, 691), 94: (341, 741), 95: (381, 781), 96: (126, 526), 97: (58, 458), 98: (150, 550), 99: (97, 497), 100: (92, 492), 101: (404, 804), 102: (465, 865), 103: (501, 901), 104: (582, 982), 105: (572, 972), 106: (492, 892), 107: (482, 882), 108: (438, 838), 109: (553, 953), 110: (389, 789), 111: (460, 860), 112: (436, 836), 113: (633, 1033), 114: (462, 862), 115: (640, 1040), 116: (700, 1100), 117: (607, 1007), 118: (237, 637), 119: (584, 984), 120: (378, 778), 121: (648, 1048), 122: (544, 944), 123: (618, 1018), 124: (392, 792), 125: (416, 816), 126: (529, 929), 127: (396, 796), 128: (601, 1001), 129: (313, 713), 130: (334, 734), 131: (668, 1068), 132: (521, 921), 133: (259, 659), 134: (207, 607), 135: (427, 827), 136: (459, 859), 137: (373, 773), 138: (596, 996), 139: (552, 952), 140: (305, 705), 141: (353, 753), 142: (429, 829), 143: (353, 753), 144: (658, 1058), 145: (260, 660), 146: (395, 795), 147: (449, 849), 148: (513, 913), 149: (475, 875), 150: (604, 1004), 151: (325, 725), 152: (391, 791), 153: (344, 744), 154: (522, 922), 155: (417, 817), 156: (611, 1011), 157: (275, 675), 158: (461, 861), 159: (278, 678), 160: (547, 947), 161: (699, 1099), 162: (606, 1006), 163: (407, 807), 164: (652, 1052), 165: (603, 1003), 166: (651, 1051), 167: (332, 732), 168: (691, 1091), 169: (307, 707), 170: (438, 838), 171: (655, 1055), 172: (525, 925), 173: (408, 808), 174: (538, 938), 175: (394, 794), 176: (435, 835), 177: (572, 972), 178: (623, 1023), 179: (536, 936), 180: (772, 1172), 181: (414, 814), 182: (407, 807), 183: (545, 945), 184: (617, 1017), 185: (401, 801), 186: (598, 998), 187: (500, 900), 188: (645, 1045), 189: (564, 964), 190: (380, 780), 191: (407, 807), 192: (660, 1060), 193: (579, 979), 194: (430, 830), 195: (745, 1145), 196: (488, 888), 197: (364, 764), 198: (459, 859), 199: (273, 673), 200: (264, 664)}
transfer nodes departure time: {201: 105, 202: 160, 203: 215, 204: 270, 205: 331, 206: 1357, 207: 1402, 208: 1447, 209: 1492, 210: 1541, 211: 1504, 212: 1549, 213: 1594, 214: 1639, 215: 1684, 216: 642, 217: 687, 218: 732, 219: 777, 220: 823, 221: 1027}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 101): (129.52219886953742, 647.6109943476871, False)
   (1, 205): (106.4377752492037, 532.1888762460185, False)
   (1, 206): (158.02847844613325, 790.1423922306662, False)
   (1, 207): (133.19534526401438, 665.9767263200719, False)
   (1, 208): (118.84864324004712, 594.2432162002356, False)
   (1, 209): (118.84864324004712, 594.2432162002356, False)
   (1, 210): (134.5362404707371, 672.6812023536855, False)
   (1, 211): (180.15548839821673, 900.7774419910836, False)
   (1, 212): (165.38742394752995, 826.9371197376497, False)
   (1, 213): (160.61133210331082, 803.0566605165541, False)
   (1, 214): (166.68833192518306, 833.4416596259153, False)
   (1, 215): (182.53766734567415, 912.6883367283708, False)
   (1, 216): (129.24782396620841, 646.2391198310421, False)
   (1, 217): (119.94165248152953, 599.7082624076477, False)
   (1, 218): (124.95199078045935, 624.7599539022967, False)
   (1, 219): (142.77955035648486, 713.8977517824243, False)
   (1, 220): (169.33103672983285, 846.6551836491642, False)
   (1, 221): (145.41320435228707, 727.0660217614353, False)
   (1, 222): (130.60245020672468, 653.0122510336234, False)
   (1, 223): (183.83144453547658, 919.1572226773828, False)
   (1, 224): (77.69813382572325, 388.4906691286162, False)
   (1, 225): (176.91806012954132, 884.5903006477066, False)
   (1, 226): (69.31810730249349, 346.59053651246745, False)
   (1, 227): (77.20103626247513, 386.0051813123756, False)
   (1, 228): (159.26079241294764, 796.3039620647382, False)
   (1, 229): (105.80170130957252, 529.0085065478626, False)
   (1, 230): (114.03946685248927, 570.1973342624464, False)
   (1, 231): (72.83543093852057, 364.17715469260287, False)
   (1, 232): (70.77428911688199, 353.8714455844099, False)
   (1, 233): (83.02409288875127, 415.12046444375636, False)
   (1, 234): (120.33287165193059, 601.664358259653, False)
   (1, 235): (154.434452114805, 772.172260574025, False)
   (1, 236): (73.55270219373317, 367.76351096866586, False)
   (1, 237): (143.17122615944868, 715.8561307972434, False)
   (1, 238): (42.485291572496, 212.42645786248002, False)
   (1, 239): (162.2004932174992, 811.002466087496, False)
   (1, 240): (117.04699910719626, 585.2349955359813, False)
   (2, 102): (71.8679344353238, 359.33967217661905, False)
   (2, 203): (85.70297544426332, 428.51487722131657, False)
   (2, 204): (99.80981915623332, 499.04909578116656, False)
   (2, 205): (139.2300254973761, 696.1501274868805, False)
   (2, 206): (119.85407794480753, 599.2703897240376, False)
   (2, 207): (85.0235261559999, 425.1176307799995, False)
   (2, 208): (60.90155991434045, 304.50779957170226, False)
   (2, 209): (61.68468205316454, 308.4234102658227, False)
   (2, 210): (89.10667763978185, 445.5333881989093, False)
   (2, 211): (169.91762710207556, 849.5881355103778, False)
   (2, 212): (142.52368224263643, 712.6184112131821, False)
   (2, 213): (123.69316876852982, 618.4658438426491, False)
   (2, 214): (117.61377470347595, 588.0688735173798, False)
   (2, 215): (126.14277624977183, 630.7138812488591, False)
   (2, 216): (120.80149005703531, 604.0074502851766, False)
   (2, 217): (93.00537618869137, 465.02688094345683, False)
   (2, 218): (79.07591289387686, 395.3795644693843, False)
   (2, 219): (86.03487664894976, 430.1743832447488, False)
   (2, 220): (109.87720418721983, 549.3860209360992, False)
   (2, 221): (139.6030085635693, 698.0150428178465, False)
   (2, 222): (138.6542462386205, 693.2712311931025, False)
   (2, 223): (129.65338406690356, 648.2669203345177, False)
   (2, 224): (26.1725046566048, 130.86252328302402, False)
   (2, 225): (117.79643458101778, 588.9821729050889, False)
   (2, 226): (20.12461179749811, 100.62305898749054, False)
   (2, 227): (119.36498649101419, 596.824932455071, False)
   (2, 228): (134.23859355639868, 671.1929677819934, False)
   (2, 229): (47.01063709417264, 235.05318547086318, False)
   (2, 230): (55.47071299343465, 277.35356496717327, False)
   (2, 231): (132.24598292575845, 661.2299146287922, False)
   (2, 232): (128.47178678604885, 642.3589339302442, False)
   (2, 233): (57.3149195236284, 286.574597618142, False)
   (2, 234): (72.44308110509934, 362.2154055254967, False)
   (2, 235): (99.92997548283498, 499.64987741417485, False)
   (2, 236): (133.00375934536586, 665.0187967268294, False)
   (2, 237): (93.43446901438462, 467.1723450719231, False)
   (2, 238): (84.64632301523794, 423.2316150761897, False)
   (2, 239): (103.1746092796091, 515.8730463980455, False)
   (2, 240): (70.11419257183242, 350.5709628591621, False)
   (3, 103): (98.41239759298622, 492.0619879649311, False)
   (3, 206): (97.62171889492625, 488.1085944746312, False)
   (3, 207): (67.1863081289633, 335.93154064481655, False)
   (3, 208): (55.80322571321482, 279.0161285660741, False)
   (3, 209): (73.00684899377592, 365.0342449688796, False)
   (3, 210): (108.4665847162157, 542.3329235810785, False)
   (3, 211): (145.04137340772803, 725.2068670386402, False)
   (3, 212): (117.72000679578642, 588.6000339789321, False)
   (3, 213): (101.11874208078342, 505.5937104039171, False)
   (3, 214): (100.68763578513501, 503.43817892567506, False)
   (3, 215): (116.60617479361889, 583.0308739680945, False)
   (3, 216): (145.8012345626744, 729.006172813372, False)
   (3, 217): (117.15374513859982, 585.768725692999, False)
   (3, 218): (98.68130522039117, 493.4065261019558, False)
   (3, 219): (96.42095207992918, 482.1047603996459, False)
   (3, 220): (110.9414259868693, 554.7071299343465, False)
   (3, 221): (115.25623627379127, 576.2811813689564, False)
   (3, 222): (116.61903789690601, 583.09518948453, False)
   (3, 223): (117.23907198540937, 586.1953599270469, False)
   (3, 224): (13.416407864998739, 67.0820393249937, False)
   (3, 225): (114.80853626799707, 574.0426813399854, False)
   (3, 226): (43.93176527297759, 219.65882636488797, False)
   (3, 227): (109.78615577567146, 548.9307788783573, False)
   (3, 228): (109.5673308974897, 547.8366544874485, False)
   (3, 229): (56.08029957123981, 280.40149785619906, False)
   (3, 230): (64.28063471995279, 321.40317359976393, False)
   (3, 231): (137.63720427268203, 688.1860213634102, False)
   (3, 232): (128.76334882255898, 643.8167441127949, False)
   (3, 233): (82.21921916437786, 411.0960958218893, False)
   (3, 234): (91.39474820797966, 456.9737410398983, False)
   (3, 235): (87.98295289429652, 439.9147644714826, False)
   (3, 236): (138.00362314084367, 690.0181157042184, False)
   (3, 237): (76.84399781375251, 384.2199890687625, False)
   (3, 238): (78.54934754662193, 392.7467377331096, False)
   (3, 239): (107.56393447619885, 537.8196723809942, False)
   (3, 240): (51.19570294468082, 255.9785147234041, False)
   (4, 104): (152.9477034806342, 764.738517403171, False)
   (4, 206): (219.8635940759634, 1099.3179703798169, False)
   (4, 207): (210.95023109728987, 1054.7511554864493, False)
   (4, 208): (210.41863035387337, 1052.0931517693668, False)
   (4, 209): (218.33002542023394, 1091.6501271011698, False)
   (4, 210): (235.01702066020664, 1175.085103301033, False)
   (4, 211): (198.70832896484234, 993.5416448242117, False)
