All relevant information about the map is below:

Total # of nodes: 243
# of robots: 94, robots_origin_location: {215: {49, 34, 39, 15}, 216: {8, 81, 69, 55}, 217: {62}, 218: {72, 73, 74, 12}, 219: {80, 10, 61, 86}, 220: {28, 6, 79}, 221: {40, 2, 59, 47}, 222: {24, 64, 84}, 223: {17, 93, 37}, 224: {66, 67}, 225: {56}, 226: {32, 9, 68, 14}, 227: {48, 94, 38, 63}, 228: {11, 29}, 229: {90, 27, 76}, 230: {36, 92, 87}, 231: {82, 83, 78}, 232: {88, 44, 77, 70}, 233: {16, 91}, 234: {65, 75, 53, 5}, 235: {50, 4, 31}, 236: {26, 42, 21, 60}, 237: {25, 18, 3, 23}, 238: {58, 19, 20, 13}, 239: {41, 45, 22, 30}, 240: {51, 35, 46}, 241: {57, 43, 54, 7}, 242: {89, 1, 85, 33}, 243: {52, 71}}
# of requests: 100, request_pairs: [(1, 101), (2, 102), (3, 103), (4, 104), (5, 105), (6, 106), (7, 107), (8, 108), (9, 109), (10, 110), (11, 111), (12, 112), (13, 113), (14, 114), (15, 115), (16, 116), (17, 117), (18, 118), (19, 119), (20, 120), (21, 121), (22, 122), (23, 123), (24, 124), (25, 125), (26, 126), (27, 127), (28, 128), (29, 129), (30, 130), (31, 131), (32, 132), (33, 133), (34, 134), (35, 135), (36, 136), (37, 137), (38, 138), (39, 139), (40, 140), (41, 141), (42, 142), (43, 143), (44, 144), (45, 145), (46, 146), (47, 147), (48, 148), (49, 149), (50, 150), (51, 151), (52, 152), (53, 153), (54, 154), (55, 155), (56, 156), (57, 157), (58, 158), (59, 159), (60, 160), (61, 161), (62, 162), (63, 163), (64, 164), (65, 165), (66, 166), (67, 167), (68, 168), (69, 169), (70, 170), (71, 171), (72, 172), (73, 173), (74, 174), (75, 175), (76, 176), (77, 177), (78, 178), (79, 179), (80, 180), (81, 181), (82, 182), (83, 183), (84, 184), (85, 185), (86, 186), (87, 187), (88, 188), (89, 189), (90, 190), (91, 191), (92, 192), (93, 193), (94, 194), (95, 195), (96, 196), (97, 197), (98, 198), (99, 199), (100, 200)]
# of depots: 29, depot nodes: [215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243]
# of service lines: 4
# of num transfers: 14, service lines mapping: {1: [201, 202, 203, 204], 2: [205, 206, 207, 208], 3: [209, 210, 211, 212], 4: [213, 214]}
public transportation factor: 0.8
map_size: 243
outsourcing cost: 4167
robots max travel time: 76
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 3
transfer service time: 2
request nodes time windows: {1: (400, 800), 2: (357, 757), 3: (167, 567), 4: (53, 453), 5: (109, 509), 6: (236, 636), 7: (88, 488), 8: (341, 741), 9: (330, 730), 10: (211, 611), 11: (250, 650), 12: (327, 727), 13: (255, 655), 14: (82, 482), 15: (272, 672), 16: (400, 800), 17: (142, 542), 18: (149, 549), 19: (224, 624), 20: (101, 501), 21: (268, 668), 22: (114, 514), 23: (130, 530), 24: (200, 600), 25: (304, 704), 26: (295, 695), 27: (113, 513), 28: (357, 757), 29: (246, 646), 30: (345, 745), 31: (301, 701), 32: (229, 629), 33: (220, 620), 34: (147, 547), 35: (234, 634), 36: (310, 710), 37: (165, 565), 38: (406, 806), 39: (129, 529), 40: (383, 783), 41: (124, 524), 42: (242, 642), 43: (177, 577), 44: (307, 707), 45: (331, 731), 46: (114, 514), 47: (146, 546), 48: (264, 664), 49: (108, 508), 50: (402, 802), 51: (346, 746), 52: (176, 576), 53: (186, 586), 54: (314, 714), 55: (207, 607), 56: (232, 632), 57: (327, 727), 58: (384, 784), 59: (201, 601), 60: (311, 711), 61: (71, 471), 62: (216, 616), 63: (206, 606), 64: (184, 584), 65: (325, 725), 66: (393, 793), 67: (83, 483), 68: (88, 488), 69: (283, 683), 70: (203, 603), 71: (283, 683), 72: (121, 521), 73: (341, 741), 74: (379, 779), 75: (253, 653), 76: (398, 798), 77: (146, 546), 78: (323, 723), 79: (173, 573), 80: (236, 636), 81: (75, 475), 82: (120, 520), 83: (182, 582), 84: (91, 491), 85: (254, 654), 86: (77, 477), 87: (125, 525), 88: (405, 805), 89: (103, 503), 90: (89, 489), 91: (199, 599), 92: (402, 802), 93: (393, 793), 94: (254, 654), 95: (143, 543), 96: (237, 637), 97: (346, 746), 98: (362, 762), 99: (268, 668), 100: (104, 504), 101: (631, 1031), 102: (482, 882), 103: (493, 893), 104: (274, 674), 105: (390, 790), 106: (598, 998), 107: (379, 779), 108: (650, 1050), 109: (458, 858), 110: (412, 812), 111: (480, 880), 112: (673, 1073), 113: (540, 940), 114: (200, 600), 115: (597, 997), 116: (761, 1161), 117: (512, 912), 118: (382, 782), 119: (357, 757), 120: (301, 701), 121: (497, 897), 122: (423, 823), 123: (395, 795), 124: (385, 785), 125: (589, 989), 126: (392, 792), 127: (339, 739), 128: (654, 1054), 129: (599, 999), 130: (702, 1102), 131: (502, 902), 132: (529, 929), 133: (560, 960), 134: (395, 795), 135: (460, 860), 136: (609, 1009), 137: (455, 855), 138: (805, 1205), 139: (272, 672), 140: (740, 1140), 141: (491, 891), 142: (558, 958), 143: (353, 753), 144: (604, 1004), 145: (557, 957), 146: (323, 723), 147: (433, 833), 148: (544, 944), 149: (272, 672), 150: (663, 1063), 151: (604, 1004), 152: (248, 648), 153: (356, 756), 154: (609, 1009), 155: (489, 889), 156: (355, 755), 157: (723, 1123), 158: (735, 1135), 159: (415, 815), 160: (549, 949), 161: (409, 809), 162: (558, 958), 163: (358, 758), 164: (438, 838), 165: (456, 856), 166: (705, 1105), 167: (472, 872), 168: (460, 860), 169: (494, 894), 170: (417, 817), 171: (618, 1018), 172: (367, 767), 173: (636, 1036), 174: (714, 1114), 175: (473, 873), 176: (730, 1130), 177: (270, 670), 178: (587, 987), 179: (265, 665), 180: (455, 855), 181: (419, 819), 182: (520, 920), 183: (460, 860), 184: (329, 729), 185: (613, 1013), 186: (339, 739), 187: (196, 596), 188: (521, 921), 189: (448, 848), 190: (415, 815), 191: (448, 848), 192: (687, 1087), 193: (770, 1170), 194: (518, 918), 195: (479, 879), 196: (492, 892), 197: (700, 1100), 198: (722, 1122), 199: (630, 1030), 200: (501, 901)}
transfer nodes departure time: {201: 1476, 202: 1520, 203: 1564, 204: 1611, 205: 1370, 206: 1426, 207: 1483, 208: 1541, 209: 975, 210: 1034, 211: 1094, 212: 1157, 213: 1013, 214: 1196}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 202): (59.53990258641679, 297.69951293208396, False)
   (1, 203): (70.80254232723568, 354.01271163617844, False)
   (1, 209): (42.720018726587654, 213.60009363293827, False)
   (1, 210): (34.0, 170.0, False)
   (1, 217): (39.44616584663204, 197.2308292331602, False)
   (1, 221): (32.7566787083184, 163.78339354159198, False)
   (1, 231): (18.439088914585774, 92.19544457292886, False)
   (1, 235): (21.93171219946131, 109.65856099730655, False)
   (2, 102): (72.18032973047436, 360.90164865237176, False)
   (2, 207): (33.83784863137726, 169.1892431568863, False)
   (2, 208): (66.70832032063167, 333.54160160315837, False)
   (2, 211): (68.6804193347711, 343.4020966738555, False)
   (2, 212): (47.41307836451879, 237.06539182259394, False)
   (2, 218): (61.773780845922005, 308.86890422961005, False)
   (2, 225): (24.020824298928627, 120.10412149464314, False)
   (2, 227): (46.61544808322666, 233.0772404161333, False)
   (2, 236): (48.373546489791295, 241.86773244895647, False)
   (2, 237): (48.84669896727925, 244.23349483639626, False)
   (2, 239): (42.720018726587654, 213.60009363293827, False)
   (2, 241): (28.460498941515414, 142.30249470757707, False)
   (2, 243): (49.03060268852505, 245.15301344262525, False)
   (3, 209): (33.12099032335839, 165.60495161679196, False)
   (3, 210): (64.40496875241847, 322.02484376209236, False)
   (3, 217): (69.77105417004964, 348.8552708502482, False)
   (3, 221): (56.22277118748239, 281.1138559374119, False)
   (3, 231): (24.73863375370596, 123.6931687685298, False)
   (3, 235): (30.870698080866262, 154.3534904043313, False)
   (4, 205): (52.46903848937962, 262.3451924468981, False)
   (4, 206): (34.0147027033899, 170.0735135169495, False)
   (4, 220): (60.728905802755904, 303.6445290137795, False)
   (4, 234): (24.166091947189145, 120.83045973594572, False)
   (4, 237): (53.03772242470448, 265.1886121235224, False)
   (4, 243): (73.43704787094863, 367.18523935474315, False)
   (5, 212): (61.1310068623117, 305.6550343115585, False)
   (5, 214): (53.14132102234569, 265.70660511172844, False)
   (5, 220): (72.069410986909, 360.34705493454504, False)
   (5, 222): (42.190046219457976, 210.95023109728987, False)
   (5, 223): (55.31726674375732, 276.5863337187866, False)
   (5, 225): (42.37924020083418, 211.8962010041709, False)
   (5, 226): (37.0, 185.0, False)
   (5, 232): (56.08029957123981, 280.40149785619906, False)
   (5, 241): (72.09022125087424, 360.4511062543712, False)
   (5, 243): (48.83646178829912, 244.1823089414956, False)
   (6, 202): (45.69463863518345, 228.47319317591726, False)
   (6, 203): (35.6931365951495, 178.46568297574748, False)
   (6, 207): (44.598206241955516, 222.9910312097776, False)
   (6, 208): (70.0, 350.0, False)
   (6, 210): (58.008620049092706, 290.0431002454635, False)
   (6, 211): (24.515301344262525, 122.57650672131263, False)
   (6, 217): (52.43090691567332, 262.15453457836657, False)
   (6, 218): (32.89376840679705, 164.46884203398525, False)
   (6, 219): (30.805843601498726, 154.02921800749363, False)
   (6, 221): (72.27724399837061, 361.38621999185307, False)
   (6, 227): (63.60031446463138, 318.0015723231569, False)
   (6, 230): (57.3149195236284, 286.574597618142, False)
   (6, 233): (15.231546211727817, 76.15773105863909, False)
   (6, 236): (39.21734310225516, 196.08671551127577, False)
   (6, 239): (32.01562118716424, 160.0781059358212, False)
   (6, 241): (62.12889826803627, 310.64449134018133, False)
   (7, 107): (71.28113354878694, 356.4056677439347, False)
   (7, 208): (53.81449618829484, 269.07248094147417, False)
   (7, 212): (25.179356624028344, 125.89678312014172, False)
   (7, 214): (50.566787519082126, 252.83393759541065, False)
   (7, 222): (69.2314957226839, 346.1574786134195, False)
   (7, 223): (30.870698080866262, 154.3534904043313, False)
   (7, 225): (49.24428900898052, 246.22144504490262, False)
   (7, 226): (64.4980619863884, 322.49030993194197, False)
   (7, 227): (52.20153254455275, 261.0076627227637, False)
   (7, 241): (58.034472514187634, 290.17236257093816, False)
   (8, 202): (70.2922470831599, 351.4612354157995, False)
   (8, 203): (71.11258679024411, 355.56293395122054, False)
   (8, 206): (63.0317380372777, 315.15869018638847, False)
   (8, 207): (13.416407864998739, 67.0820393249937, False)
   (8, 211): (46.06517122512408, 230.32585612562042, False)
   (8, 218): (14.866068747318506, 74.33034373659252, False)
   (8, 219): (33.28663395418648, 166.43316977093238, False)
   (8, 225): (68.35202996254024, 341.76014981270123, False)
   (8, 227): (60.728905802755904, 303.6445290137795, False)
   (8, 230): (45.09988913511872, 225.49944567559362, False)
   (8, 233): (50.08991914547278, 250.44959572736389, False)
   (8, 234): (74.04052944165107, 370.20264720825537, False)
   (8, 236): (41.048751503547585, 205.24375751773792, False)
   (8, 237): (44.28317965096906, 221.4158982548453, False)
   (8, 239): (20.248456731316587, 101.24228365658294, False)
   (8, 241): (49.040799340956916, 245.20399670478457, False)
   (9, 204): (66.60330322138685, 333.01651610693426, False)
   (9, 208): (41.0, 205.0, False)
   (9, 212): (54.120236510939236, 270.60118255469615, False)
   (9, 215): (75.66372975210778, 378.3186487605389, False)
   (9, 223): (74.14849964766651, 370.7424982383326, False)
   (9, 224): (58.82176467941097, 294.10882339705483, False)
   (9, 227): (55.94640292279746, 279.7320146139873, False)
   (9, 229): (67.54257916307313, 337.71289581536564, False)
   (9, 238): (33.015148038438355, 165.07574019219177, False)
   (9, 240): (41.340053217188775, 206.70026608594387, False)
   (9, 241): (72.20110802473879, 361.00554012369395, False)
   (10, 208): (63.324560795950255, 316.62280397975127, False)
   (10, 212): (46.8187996428785, 234.0939982143925, False)
   (10, 214): (59.033888572581766, 295.16944286290885, False)
   (10, 223): (41.43669871020132, 207.1834935510066, False)
   (10, 225): (72.20110802473879, 361.00554012369395, False)
   (10, 227): (68.18357573492314, 340.9178786746157, False)
   (10, 238): (68.00735254367721, 340.03676271838606, False)
   (11, 201): (40.607881008493905, 203.03940504246953, False)
   (11, 202): (60.53924347066124, 302.6962173533062, False)
   (11, 209): (48.507731342539614, 242.53865671269807, False)
   (11, 210): (64.28063471995279, 321.40317359976393, False)
   (11, 213): (71.56814934033156, 357.8407467016578, False)
   (11, 216): (40.049968789001575, 200.24984394500788, False)
   (11, 217): (68.0294054067798, 340.147027033899, False)
   (11, 231): (50.0, 250.0, False)
   (12, 205): (59.0592922409336, 295.296461204668, False)
   (12, 206): (27.313000567495326, 136.56500283747664, False)
   (12, 213): (48.877397639399746, 244.38698819699874, False)
   (12, 218): (67.00746227100382, 335.0373113550191, False)
   (12, 219): (66.61080993352356, 333.0540496676178, False)
   (12, 230): (39.66106403010388, 198.3053201505194, False)
   (12, 234): (57.8013840664737, 289.0069203323685, False)
   (12, 237): (62.51399843235114, 312.5699921617557, False)
