All relevant information about the map is below:

Total # of nodes: 39
# of robots: 14, robots_origin_location: {38: {1, 4, 7, 8, 10, 13, 14}, 39: {2, 3, 5, 6, 9, 11, 12}}
# of requests: 10, request_pairs: [(1, 11), (2, 12), (3, 13), (4, 14), (5, 15), (6, 16), (7, 17), (8, 18), (9, 19), (10, 20)]
# of depots: 2, depot nodes: [38, 39]
# of service lines: 2
# of num transfers: 17, service lines mapping: {1: [21, 22, 23, 24, 25, 26, 27, 28, 29], 2: [30, 31, 32, 33, 34, 35, 36, 37]}
public transportation factor: 0.0
map_size: 39
outsourcing cost: 5000
robots max travel time: 406
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 7
depot service time: 2
transfer capacity: 1
transfer service time: 2
request nodes time windows: {1: (0, 293), 2: (0, 246), 3: (0, 247), 4: (0, 264), 5: (0, 263), 6: (0, 265), 7: (0, 276), 8: (0, 280), 9: (0, 259), 10: (0, 294), 11: (9, 390), 12: (0, 390), 13: (0, 353), 14: (13, 390), 15: (88, 390), 16: (72, 390), 17: (33, 390), 18: (53, 390), 19: (92, 390), 20: (126, 390)}
transfer nodes departure time: {21: 226, 22: 228, 23: 230, 24: 232, 25: 234, 26: 236, 27: 238, 28: 240, 29: 242, 30: 256, 31: 258, 32: 260, 33: 262, 34: 264, 35: 266, 36: 268, 37: 270}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 11): (12.806248474865697, 64.03124237432849, False)
   (1, 21): (43.60045871318328, 218.0022935659164, False)
   (1, 22): (41.617304093369626, 208.08652046684813, False)
   (1, 23): (40.22437072223753, 201.12185361118765, False)
   (1, 24): (38.27531841800928, 191.3765920900464, False)
   (1, 25): (36.89173349139343, 184.45866745696716, False)
   (1, 26): (35.510561809129406, 177.55280904564702, False)
   (1, 27): (33.61547262794322, 168.0773631397161, False)
   (1, 28): (32.2490309931942, 161.24515496597098, False)
   (1, 29): (20.615528128088304, 103.07764064044152, False)
   (1, 30): (39.66106403010388, 198.3053201505194, False)
   (1, 31): (34.9857113690718, 174.928556845359, False)
   (1, 32): (30.886890422961002, 154.43445211480503, False)
   (1, 33): (26.832815729997478, 134.1640786499874, False)
   (1, 34): (22.847319317591726, 114.23659658795863, False)
   (1, 35): (18.973665961010276, 94.86832980505139, False)
   (1, 36): (15.297058540778355, 76.48529270389177, False)
   (1, 37): (10.198039027185569, 50.99019513592785, False)
   (1, 38): (9.055385138137417, 45.27692569068709, False)
   (1, 39): (22.090722034374522, 110.45361017187261, False)
   (2, 12): (20.12461179749811, 100.62305898749054, False)
   (2, 21): (26.870057685088806, 134.35028842544403, False)
   (2, 22): (24.758836806279895, 123.79418403139948, False)
   (2, 23): (23.345235059857504, 116.72617529928752, False)
   (2, 24): (21.2602916254693, 106.3014581273465, False)
   (2, 25): (19.849433241279208, 99.24716620639603, False)
   (2, 26): (18.439088914585774, 92.19544457292886, False)
   (2, 27): (16.401219466856727, 82.00609733428364, False)
   (2, 28): (15.0, 75.0, False)
   (2, 29): (4.47213595499958, 22.360679774997898, False)
   (2, 30): (22.67156809750927, 113.35784048754634, False)
   (2, 31): (17.804493814764857, 89.02246907382428, False)
   (2, 32): (13.601470508735444, 68.00735254367721, False)
   (2, 33): (9.433981132056603, 47.169905660283014, False)
   (2, 34): (5.385164807134504, 26.92582403567252, False)
   (2, 35): (2.23606797749979, 11.180339887498949, False)
   (2, 36): (4.123105625617661, 20.615528128088304, False)
   (2, 37): (10.816653826391969, 54.083269131959845, False)
   (2, 38): (9.219544457292887, 46.09772228646443, False)
   (2, 39): (23.430749027719962, 117.15374513859982, False)
   (3, 13): (9.055385138137417, 45.27692569068709, False)
   (3, 21): (30.4138126514911, 152.0690632574555, False)
   (3, 22): (28.284271247461902, 141.4213562373095, False)
   (3, 23): (26.870057685088806, 134.35028842544403, False)
   (3, 24): (24.758836806279895, 123.79418403139948, False)
   (3, 25): (23.345235059857504, 116.72617529928752, False)
   (3, 26): (21.93171219946131, 109.65856099730655, False)
   (3, 27): (19.849433241279208, 99.24716620639603, False)
   (3, 28): (18.439088914585774, 92.19544457292886, False)
   (3, 29): (6.082762530298219, 30.413812651491096, False)
   (3, 30): (26.1725046566048, 130.86252328302402, False)
   (3, 31): (21.2602916254693, 106.3014581273465, False)
   (3, 32): (17.029386365926403, 85.14693182963201, False)
   (3, 33): (12.806248474865697, 64.03124237432849, False)
   (3, 34): (8.602325267042627, 43.01162633521314, False)
   (3, 35): (4.47213595499958, 22.360679774997898, False)
   (3, 36): (2, 10, False)
   (3, 37): (7.211102550927978, 36.05551275463989, False)
   (3, 38): (5.830951894845301, 29.154759474226502, False)
   (3, 39): (24.08318915758459, 120.41594578792296, False)
   (4, 14): (6.082762530298219, 30.413812651491096, False)
   (4, 21): (46.861498055439924, 234.30749027719963, False)
   (4, 22): (44.68780594300866, 223.43902971504332, False)
   (4, 23): (43.278170016764804, 216.39085008382403, False)
   (4, 24): (41.10960958218893, 205.54804791094466, False)
   (4, 25): (39.698866482558415, 198.49433241279206, False)
   (4, 26): (38.28837943815329, 191.44189719076647, False)
   (4, 27): (36.124783736376884, 180.62391868188442, False)
   (4, 28): (34.713109915419565, 173.56554957709784, False)
   (4, 29): (21.213203435596427, 106.06601717798213, False)
   (4, 30): (42.5205832509386, 212.602916254693, False)
   (4, 31): (37.53664875824692, 187.6832437912346, False)
   (4, 32): (33.301651610693426, 166.50825805346713, False)
   (4, 33): (29.068883707497267, 145.34441853748635, False)
   (4, 34): (24.839484696748443, 124.19742348374221, False)
   (4, 35): (20.615528128088304, 103.07764064044152, False)
   (4, 36): (16.401219466856727, 82.00609733428364, False)
   (4, 37): (9.433981132056603, 47.169905660283014, False)
   (4, 38): (11.704699910719626, 58.52349955359813, False)
   (4, 39): (32.7566787083184, 163.78339354159198, False)
   (5, 15): (41.10960958218893, 205.54804791094466, False)
