All relevant information about the map is below:

Total # of nodes: 36
# of robots: 19, robots_origin_location: {30: {3, 12}, 31: {8, 16, 11, 14}, 32: {9, 4, 6}, 33: {1}, 34: {18, 19, 7}, 35: {17, 10, 15}, 36: {2, 13, 5}}
# of requests: 13, request_pairs: [(1, 14), (2, 15), (3, 16), (4, 17), (5, 18), (6, 19), (7, 20), (8, 21), (9, 22), (10, 23), (11, 24), (12, 25), (13, 26)]
# of depots: 7, depot nodes: [30, 31, 32, 33, 34, 35, 36]
# of service lines: 1
# of num transfers: 3, service lines mapping: {1: [27, 28, 29]}
public transportation factor: 0.6
map_size: 36
outsourcing cost: 4167
robots max travel time: 802
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 2
transfer service time: 2
request nodes time windows: {1: (0, 236), 2: (0, 236), 3: (0, 265), 4: (0, 255), 5: (0, 287), 6: (0, 276), 7: (0, 252), 8: (0, 252), 9: (0, 249), 10: (0, 251), 11: (0, 262), 12: (0, 289), 13: (0, 271), 14: (57, 360), 15: (0, 360), 16: (0, 341), 17: (56, 360), 18: (106, 360), 19: (0, 334), 20: (75, 360), 21: (0, 274), 22: (43, 360), 23: (101, 360), 24: (42, 360), 25: (0, 322), 26: (0, 327)}
transfer nodes departure time: {27: 207, 28: 219, 29: 232}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 14): (13.892443989449804, 69.46221994724903, False)
   (1, 27): (18.027756377319946, 90.13878188659973, False)
   (1, 28): (2, 10, False)
   (1, 29): (16.401219466856727, 82.00609733428364, False)
   (1, 30): (21.213203435596427, 106.06601717798213, False)
   (1, 31): (12.165525060596439, 60.82762530298219, False)
   (1, 32): (21.2602916254693, 106.3014581273465, False)
   (1, 33): (6.082762530298219, 30.413812651491096, False)
   (1, 34): (11.180339887498949, 55.90169943749474, False)
   (1, 35): (19.209372712298546, 96.04686356149273, False)
   (1, 36): (12.165525060596439, 60.82762530298219, False)
   (2, 15): (13.0, 65.0, False)
   (2, 27): (17.72004514666935, 88.60022573334675, False)
   (2, 28): (12.041594578792296, 60.20797289396148, False)
   (2, 29): (23.194827009486403, 115.97413504743201, False)
   (2, 30): (9.433981132056603, 47.169905660283014, False)
   (2, 31): (23.769728648009426, 118.84864324004712, False)
   (2, 32): (9.219544457292887, 46.09772228646443, False)
   (2, 33): (17.08800749063506, 85.44003745317531, False)
   (2, 34): (5.0990195135927845, 25.495097567963924, False)
   (2, 35): (7.0710678118654755, 35.35533905932738, False)
   (2, 36): (22.47220505424423, 112.36102527122115, False)
   (3, 16): (9.055385138137417, 45.27692569068709, False)
