All relevant information about the map is below:

Total # of nodes: 72
# of robots: 23, robots_origin_location: {69: {9, 11, 13, 16, 20, 21}, 70: {3, 5, 6, 8, 12, 14}, 71: {4, 15, 19, 22, 23}, 72: {1, 2, 7, 10, 17, 18}}
# of requests: 17, request_pairs: [(1, 18), (2, 19), (3, 20), (4, 21), (5, 22), (6, 23), (7, 24), (8, 25), (9, 26), (10, 27), (11, 28), (12, 29), (13, 30), (14, 31), (15, 32), (16, 33), (17, 34)]
# of depots: 4, depot nodes: [69, 70, 71, 72]
# of service lines: 7
# of num transfers: 34, service lines mapping: {1: [35, 36, 37, 38, 39], 2: [40, 41, 42, 43, 44], 3: [45, 46, 47, 48, 49], 4: [50, 51, 52, 53, 54], 5: [55, 56, 57, 58, 59], 6: [60, 61, 62, 63, 64], 7: [65, 66, 67, 68]}
public transportation factor: 0.8
map_size: 72
outsourcing cost: 1250
robots max travel time: 802
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 6
depot service time: 2
transfer capacity: 4
transfer service time: 2
request nodes time windows: {1: (0, 310), 2: (0, 341), 3: (0, 345), 4: (0, 368), 5: (0, 303), 6: (0, 298), 7: (0, 345), 8: (0, 275), 9: (0, 276), 10: (0, 358), 11: (0, 321), 12: (0, 326), 13: (0, 314), 14: (0, 311), 15: (0, 272), 16: (0, 319), 17: (0, 343), 18: (234, 634), 19: (108, 508), 20: (267, 667), 21: (173, 573), 22: (184, 584), 23: (181, 581), 24: (308, 708), 25: (155, 555), 26: (93, 493), 27: (270, 670), 28: (0, 391), 29: (101, 501), 30: (92, 492), 31: (205, 605), 32: (135, 535), 33: (295, 695), 34: (162, 562)}
transfer nodes departure time: {35: 461, 36: 474, 37: 487, 38: 500, 39: 515, 40: 538, 41: 552, 42: 566, 43: 580, 44: 596, 45: 385, 46: 397, 47: 409, 48: 421, 49: 437, 50: 539, 51: 557, 52: 575, 53: 593, 54: 611, 55: 11, 56: 22, 57: 33, 58: 44, 59: 60, 60: 215, 61: 231, 62: 247, 63: 263, 64: 279, 65: 113, 66: 132, 67: 152, 68: 174}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 18): (16.1245154965971, 80.62257748298549, False)
   (1, 35): (22.47220505424423, 112.36102527122115, False)
   (1, 36): (10.04987562112089, 50.24937810560445, False)
   (1, 37): (6.082762530298219, 30.413812651491096, False)
   (1, 38): (17.69180601295413, 88.45903006477066, False)
   (1, 39): (33.301651610693426, 166.50825805346713, False)
   (1, 40): (39.824615503479755, 199.12307751739877, False)
   (1, 41): (38.3275357934736, 191.637678967368, False)
   (1, 42): (41.97618372363071, 209.88091861815354, False)
   (1, 43): (49.64876634922564, 248.2438317461282, False)
   (1, 44): (61.84658438426491, 309.23292192132453, False)
   (1, 45): (46.647615158762406, 233.23807579381202, False)
   (1, 46): (34.48187929913333, 172.40939649566667, False)
   (1, 47): (22.360679774997898, 111.80339887498948, False)
   (1, 48): (10.44030650891055, 52.201532544552755, False)
   (1, 49): (7.615773105863909, 38.07886552931954, False)
   (1, 50): (59.23681287847955, 296.1840643923977, False)
   (1, 51): (41.23105625617661, 206.15528128088303, False)
   (1, 52): (25.079872407968907, 125.39936203984453, False)
   (1, 53): (17.204650534085253, 86.02325267042627, False)
   (1, 54): (26.476404589747453, 132.38202294873727, False)
   (1, 56): (4.0, 20.0, False)
   (1, 57): (9.055385138137417, 45.27692569068709, False)
   (1, 58): (19.924858845171276, 99.62429422585637, False)
   (1, 59): (36.76955262170047, 183.84776310850236, False)
   (1, 60): (9.848857801796104, 49.244289008980516, False)
   (1, 61): (7.615773105863909, 38.07886552931954, False)
   (1, 62): (25.079872407968907, 125.39936203984453, False)
   (1, 63): (42.5440947723653, 212.7204738618265, False)
   (1, 64): (60.00833275470999, 300.04166377354994, False)
   (1, 65): (16.492422502470642, 82.46211251235322, False)
   (1, 66): (7.280109889280518, 36.40054944640259, False)
   (1, 67): (27.586228448267445, 137.93114224133723, False)
   (1, 68): (51.85556864985669, 259.2778432492835, False)
   (1, 69): (37.16180835212409, 185.80904176062046, False)
   (1, 70): (29.698484809834994, 148.49242404917499, False)
   (1, 71): (57.706152185014034, 288.5307609250702, False)
   (1, 72): (9.219544457292887, 46.09772228646443, False)
   (2, 19): (57.688820407423826, 288.44410203711914, False)
