All relevant information about the map is below:

Total # of nodes: 69
# of robots: 24, robots_origin_location: {60: {24, 1, 2}, 61: {19, 14}, 62: {3, 15, 7}, 63: {16, 20, 13}, 64: {5}, 65: {8, 4, 21}, 66: {10, 11, 12}, 67: {18, 22, 23}, 68: {9, 6, 17}, 69: set()}
# of requests: 19, request_pairs: [(1, 20), (2, 21), (3, 22), (4, 23), (5, 24), (6, 25), (7, 26), (8, 27), (9, 28), (10, 29), (11, 30), (12, 31), (13, 32), (14, 33), (15, 34), (16, 35), (17, 36), (18, 37), (19, 38)]
# of depots: 10, depot nodes: [60, 61, 62, 63, 64, 65, 66, 67, 68, 69]
# of service lines: 3
# of num transfers: 21, service lines mapping: {1: [39, 40, 41, 42, 43, 44, 45], 2: [46, 47, 48, 49, 50, 51, 52], 3: [53, 54, 55, 56, 57, 58, 59]}
public transportation factor: 0.0
map_size: 69
outsourcing cost: 5417
robots max travel time: 835
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 5
transfer service time: 2
request nodes time windows: {1: (0, 343), 2: (0, 353), 3: (0, 353), 4: (0, 352), 5: (0, 320), 6: (0, 286), 7: (0, 347), 8: (0, 288), 9: (0, 282), 10: (0, 325), 11: (0, 369), 12: (0, 335), 13: (0, 305), 14: (0, 361), 15: (0, 322), 16: (0, 352), 17: (0, 311), 18: (0, 328), 19: (0, 302), 20: (230, 630), 21: (71, 471), 22: (215, 615), 23: (280, 680), 24: (156, 556), 25: (0, 320), 26: (201, 601), 27: (113, 513), 28: (0, 396), 29: (238, 638), 30: (287, 687), 31: (61, 461), 32: (204, 604), 33: (146, 546), 34: (200, 600), 35: (322, 690), 36: (18, 418), 37: (327, 690), 38: (173, 573)}
transfer nodes departure time: {39: 142, 40: 144, 41: 146, 42: 148, 43: 150, 44: 152, 45: 154, 46: 78, 47: 80, 48: 82, 49: 84, 50: 86, 51: 88, 52: 90, 53: 556, 54: 558, 55: 560, 56: 562, 57: 564, 58: 566, 59: 568}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 20): (48.08326112068523, 240.41630560342614, False)
   (1, 39): (10.295630140987, 51.478150704935004, False)
   (1, 40): (10.44030650891055, 52.201532544552755, False)
   (1, 41): (15.524174696260024, 77.62087348130012, False)
   (1, 42): (22.825424421026653, 114.12712210513327, False)
   (1, 43): (30.23243291566195, 151.16216457830976, False)
   (1, 44): (38.41874542459709, 192.09372712298546, False)
   (1, 45): (51.66236541235796, 258.3118270617898, False)
   (1, 46): (18.439088914585774, 92.19544457292886, False)
   (1, 47): (12.806248474865697, 64.03124237432849, False)
   (1, 48): (12.041594578792296, 60.20797289396148, False)
   (1, 49): (17.88854381999832, 89.44271909999159, False)
   (1, 50): (26.248809496813376, 131.24404748406687, False)
   (1, 51): (35.38361202590826, 176.91806012954132, False)
   (1, 52): (44.82186966202994, 224.1093483101497, False)
   (1, 53): (58.52349955359813, 292.61749776799064, False)
   (1, 54): (52.20153254455275, 261.0076627227637, False)
   (1, 55): (46.09772228646444, 230.4886114323222, False)
   (1, 56): (40.311288741492746, 201.55644370746373, False)
   (1, 57): (35.0, 175.0, False)
   (1, 58): (30.4138126514911, 152.0690632574555, False)
   (1, 59): (25.80697580112788, 129.0348790056394, False)
   (1, 60): (26.92582403567252, 134.6291201783626, False)
   (1, 61): (22.360679774997898, 111.80339887498948, False)
   (1, 62): (68.06614430096654, 340.3307215048327, False)
   (1, 63): (59.033888572581766, 295.16944286290885, False)
   (1, 64): (15.297058540778355, 76.48529270389177, False)
   (1, 65): (45.044422518220834, 225.22211259110418, False)
   (1, 66): (26.076809620810597, 130.384048104053, False)
   (1, 67): (55.90169943749474, 279.5084971874737, False)
   (1, 68): (58.855755878248644, 294.27877939124323, False)
   (1, 69): (55.00909015790027, 275.04545078950133, False)
   (2, 21): (55.90169943749474, 279.5084971874737, False)
   (2, 39): (57.28001396647874, 286.4000698323937, False)
   (2, 40): (50.99019513592785, 254.95097567963924, False)
   (2, 41): (45.09988913511872, 225.49944567559362, False)
   (2, 42): (40.19950248448356, 200.9975124224178, False)
