All relevant information about the map is below:

Total # of nodes: 83
# of robots: 20, robots_origin_location: {75: {18}, 76: {16}, 77: {10, 19}, 78: {8, 2, 15}, 79: {3, 20, 13}, 80: {4, 5}, 81: {11, 6}, 82: {17, 12, 14}, 83: {1, 9, 7}}
# of requests: 20, request_pairs: [(1, 21), (2, 22), (3, 23), (4, 24), (5, 25), (6, 26), (7, 27), (8, 28), (9, 29), (10, 30), (11, 31), (12, 32), (13, 33), (14, 34), (15, 35), (16, 36), (17, 37), (18, 38), (19, 39), (20, 40)]
# of depots: 9, depot nodes: [75, 76, 77, 78, 79, 80, 81, 82, 83]
# of service lines: 6
# of num transfers: 34, service lines mapping: {1: [41, 42, 43, 44, 45, 46], 2: [47, 48, 49, 50, 51, 52], 3: [53, 54, 55, 56, 57, 58], 4: [59, 60, 61, 62, 63, 64], 5: [65, 66, 67, 68, 69, 70], 6: [71, 72, 73, 74]}
public transportation factor: 0.2
map_size: 83
outsourcing cost: 4167
robots max travel time: 340
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 6
transfer service time: 2
request nodes time windows: {1: (0, 385), 2: (0, 385), 3: (0, 385), 4: (0, 357), 5: (0, 302), 6: (0, 307), 7: (0, 287), 8: (0, 400), 9: (0, 302), 10: (0, 317), 11: (0, 333), 12: (0, 371), 13: (0, 322), 14: (0, 285), 15: (3, 403), 16: (2, 402), 17: (0, 384), 18: (0, 398), 19: (0, 326), 20: (0, 400), 21: (72, 472), 22: (135, 535), 23: (59, 459), 24: (22, 422), 25: (0, 363), 26: (78, 478), 27: (0, 336), 28: (142, 542), 29: (107, 507), 30: (208, 608), 31: (255, 655), 32: (293, 693), 33: (206, 606), 34: (96, 496), 35: (223, 623), 36: (78, 478), 37: (267, 667), 38: (341, 741), 39: (299, 699), 40: (326, 726)}
transfer nodes departure time: {41: 183, 42: 188, 43: 193, 44: 198, 45: 203, 46: 210, 47: 307, 48: 312, 49: 317, 50: 322, 51: 327, 52: 332, 53: 542, 54: 547, 55: 552, 56: 557, 57: 562, 58: 567, 59: 245, 60: 249, 61: 253, 62: 257, 63: 261, 64: 266, 65: 421, 66: 426, 67: 431, 68: 436, 69: 441, 70: 448, 71: 382, 72: 389, 73: 396, 74: 404}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 21): (52.630789467763066, 263.1539473388153, False)
   (1, 41): (62.12889826803627, 310.64449134018133, False)
   (1, 42): (59.80802621722272, 299.0401310861136, False)
   (1, 43): (60.530983801686226, 302.65491900843114, False)
   (1, 44): (64.28063471995279, 321.40317359976393, False)
   (1, 45): (70.60453243241541, 353.02266216207704, False)
   (1, 46): (84.11896337925236, 420.5948168962618, False)
   (1, 47): (79.51100552753688, 397.5550276376844, False)
   (1, 48): (66.2872536767062, 331.436268383531, False)
   (1, 49): (53.45091205957107, 267.25456029785533, False)
   (1, 50): (42.05948168962618, 210.2974084481309, False)
   (1, 51): (32.526911934581186, 162.63455967290594, False)
   (1, 52): (27.51363298439521, 137.56816492197603, False)
   (1, 53): (80.23091673413684, 401.1545836706842, False)
   (1, 54): (69.6419413859206, 348.20970692960304, False)
   (1, 55): (60.530983801686226, 302.65491900843114, False)
   (1, 56): (53.08483775994799, 265.4241887997399, False)
   (1, 57): (48.08326112068523, 240.41630560342614, False)
   (1, 58): (46.32493928760188, 231.62469643800938, False)
   (1, 59): (37.16180835212409, 185.80904176062046, False)
   (1, 60): (34.828149534535996, 174.14074767268, False)
   (1, 61): (35.22782990761707, 176.13914953808535, False)
   (1, 62): (38.27531841800928, 191.3765920900464, False)
   (1, 63): (43.41658669218482, 217.0829334609241, False)
   (1, 64): (50.039984012787215, 250.19992006393608, False)
   (1, 65): (45.18849411078001, 225.94247055390008, False)
   (1, 66): (36.40054944640259, 182.00274723201295, False)
   (1, 67): (29.68164415931166, 148.40822079655828, False)
   (1, 68): (28.160255680657446, 140.80127840328723, False)
   (1, 69): (32.57299494980466, 162.8649747490233, False)
   (1, 70): (48.16637831516918, 240.83189157584593, False)
   (1, 71): (78.84795495128583, 394.23977475642914, False)
   (1, 72): (57.38466694161429, 286.9233347080715, False)
   (1, 73): (37.8021163428716, 189.010581714358, False)
   (1, 74): (24.515301344262525, 122.57650672131263, False)
   (1, 75): (47.38143096192854, 236.9071548096427, False)
   (1, 76): (84.50443775329198, 422.5221887664599, False)
   (1, 77): (20.808652046684813, 104.04326023342406, False)
   (1, 78): (37.05401462729781, 185.27007313648906, False)
   (1, 79): (67.06713054842886, 335.3356527421443, False)
   (1, 80): (37.64306044943742, 188.2153022471871, False)
   (1, 81): (39.0, 195.0, False)
   (1, 82): (28.0178514522438, 140.089257261219, False)
   (1, 83): (15.132745950421556, 75.66372975210778, False)
   (2, 22): (2.8284271247461903, 14.142135623730951, False)
   (2, 41): (25.317977802344327, 126.58988901172164, False)
   (2, 42): (30.364452901377952, 151.82226450688975, False)
   (2, 43): (39.66106403010388, 198.3053201505194, False)
   (2, 44): (51.62363799656123, 258.11818998280614, False)
   (2, 45): (63.89053137985315, 319.4526568992658, False)
   (2, 46): (84.31488599292535, 421.5744299646268, False)
   (2, 47): (56.08029957123981, 280.40149785619906, False)
   (2, 48): (41.6293165929973, 208.1465829649865, False)
   (2, 49): (27.784887978899608, 138.92443989449805, False)
   (2, 50): (14.142135623730951, 70.71067811865476, False)
   (2, 51): (8.06225774829855, 40.311288741492746, False)
   (2, 52): (18.439088914585774, 92.19544457292886, False)
   (2, 53): (77.00649323271382, 385.0324661635691, False)
   (2, 54): (63.25345840347388, 316.2672920173694, False)
   (2, 55): (50.32891812864648, 251.6445906432324, False)
   (2, 56): (37.48332962798263, 187.41664813991315, False)
   (2, 57): (24.839484696748443, 124.19742348374221, False)
   (2, 58): (13.0, 65.0, False)
   (2, 59): (12.649110640673518, 63.24555320336759, False)
   (2, 60): (5.830951894845301, 29.154759474226502, False)
   (2, 61): (10.198039027185569, 50.99019513592785, False)
   (2, 62): (19.235384061671343, 96.17692030835671, False)
   (2, 63): (28.844410203711913, 144.22205101855957, False)
   (2, 64): (39.408120990476064, 197.0406049523803, False)
   (2, 65): (13.601470508735444, 68.00735254367721, False)
   (2, 66): (5.0990195135927845, 25.495097567963924, False)
   (2, 67): (14.142135623730951, 70.71067811865476, False)
   (2, 68): (27.018512172212592, 135.09256086106296, False)
   (2, 69): (40.19950248448356, 200.9975124224178, False)
   (2, 70): (62.64982043070834, 313.2491021535417, False)
   (2, 71): (49.8196748283246, 249.098374141623, False)
   (2, 72): (27.202941017470888, 136.01470508735443, False)
   (2, 73): (7.615773105863909, 38.07886552931954, False)
   (2, 74): (22.80350850198276, 114.0175425099138, False)
   (2, 75): (41.182520563948, 205.91260281974002, False)
   (2, 76): (52.0, 260.0, False)
   (2, 77): (49.33558553417604, 246.6779276708802, False)
   (2, 78): (33.52610922848042, 167.63054614240212, False)
   (2, 79): (51.85556864985669, 259.2778432492835, False)
   (2, 80): (3.1622776601683795, 15.811388300841898, False)
   (2, 81): (17.4928556845359, 87.4642784226795, False)
   (2, 82): (13.038404810405298, 65.1920240520265, False)
   (2, 83): (51.478150704935004, 257.390753524675, False)
   (3, 23): (11.180339887498949, 55.90169943749474, False)
