All relevant information about the map is below:

Total # of nodes: 83
# of robots: 27, robots_origin_location: {74: {17, 2, 20}, 75: {24, 3, 22}, 76: {25, 18, 13}, 77: {21, 14, 23}, 78: {10, 5, 6}, 79: {16, 19, 11}, 80: {26}, 81: {8, 1, 15}, 82: {27, 4}, 83: {9, 12, 7}}
# of requests: 23, request_pairs: [(1, 24), (2, 25), (3, 26), (4, 27), (5, 28), (6, 29), (7, 30), (8, 31), (9, 32), (10, 33), (11, 34), (12, 35), (13, 36), (14, 37), (15, 38), (16, 39), (17, 40), (18, 41), (19, 42), (20, 43), (21, 44), (22, 45), (23, 46)]
# of depots: 10, depot nodes: [74, 75, 76, 77, 78, 79, 80, 81, 82, 83]
# of service lines: 5
# of num transfers: 27, service lines mapping: {1: [47, 48, 49, 50, 51, 52], 2: [53, 54, 55, 56, 57, 58], 3: [59, 60, 61, 62, 63, 64], 4: [65, 66, 67, 68, 69, 70], 5: [71, 72, 73]}
public transportation factor: 0.8
map_size: 83
outsourcing cost: 6250
robots max travel time: 1000
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 8
transfer service time: 2
request nodes time windows: {1: (0, 316), 2: (0, 358), 3: (0, 357), 4: (0, 305), 5: (0, 368), 6: (0, 376), 7: (0, 286), 8: (0, 291), 9: (0, 291), 10: (0, 378), 11: (0, 307), 12: (0, 375), 13: (0, 365), 14: (0, 400), 15: (0, 300), 16: (0, 379), 17: (0, 366), 18: (0, 321), 19: (0, 360), 20: (0, 297), 21: (0, 318), 22: (0, 400), 23: (7, 407), 24: (169, 569), 25: (262, 662), 26: (180, 580), 27: (173, 573), 28: (275, 675), 29: (109, 509), 30: (148, 548), 31: (0, 386), 32: (184, 584), 33: (321, 721), 34: (158, 558), 35: (242, 642), 36: (309, 709), 37: (94, 494), 38: (85, 485), 39: (278, 678), 40: (52, 452), 41: (114, 514), 42: (262, 662), 43: (265, 665), 44: (7, 407), 45: (187, 587), 46: (78, 478)}
transfer nodes departure time: {47: 624, 48: 635, 49: 646, 50: 657, 51: 668, 52: 680, 53: 147, 54: 163, 55: 179, 56: 195, 57: 211, 58: 231, 59: 112, 60: 127, 61: 141, 62: 156, 63: 170, 64: 190, 65: 43, 66: 56, 67: 69, 68: 83, 69: 96, 70: 112, 71: 260, 72: 291, 73: 324}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 24): (56.568542494923804, 282.842712474619, False)
   (1, 47): (89.20201791439474, 446.0100895719737, False)
   (1, 48): (82.15229759416349, 410.7614879708174, False)
   (1, 49): (75.15317691222374, 375.7658845611187, False)
   (1, 50): (70.21395872616783, 351.0697936308392, False)
   (1, 51): (65.76473218982953, 328.82366094914767, False)
   (1, 52): (63.0317380372777, 315.15869018638847, False)
   (1, 53): (69.05070600652827, 345.2535300326414, False)
   (1, 54): (59.23681287847955, 296.1840643923977, False)
   (1, 55): (52.80151512977634, 264.0075756488817, False)
   (1, 56): (50.47771785649585, 252.38858928247924, False)
   (1, 57): (54.120236510939236, 270.60118255469615, False)
   (1, 58): (65.06919393998976, 325.3459696999488, False)
   (1, 59): (6.0, 30.0, False)
   (1, 60): (11.40175425099138, 57.0087712549569, False)
   (1, 61): (26.1725046566048, 130.86252328302402, False)
   (1, 62): (41.86884283091664, 209.3442141545832, False)
   (1, 63): (56.85068161420758, 284.2534080710379, False)
   (1, 64): (79.02531240052139, 395.12656200260693, False)
   (1, 67): (59.54829972383762, 297.7414986191881, False)
   (1, 68): (46.69047011971501, 233.45235059857504, False)
   (1, 69): (35.22782990761707, 176.13914953808535, False)
   (1, 70): (23.345235059857504, 116.72617529928752, False)
   (1, 71): (92.09777413162601, 460.48887065813005, False)
   (1, 72): (55.97320787662612, 279.8660393831306, False)
   (1, 73): (18.384776310850235, 91.92388155425118, False)
   (1, 74): (26.1725046566048, 130.86252328302402, False)
   (1, 75): (77.4919350642375, 387.4596753211875, False)
   (1, 76): (62.289646009589745, 311.44823004794875, False)
   (1, 77): (57.0, 285.0, False)
   (1, 78): (12.083045973594572, 60.41522986797286, False)
   (1, 79): (74.10802925459562, 370.5401462729781, False)
   (1, 80): (62.16912416947821, 310.84562084739105, False)
   (1, 81): (93.08598175880189, 465.42990879400946, False)
   (1, 82): (53.41348144429457, 267.0674072214728, False)
   (1, 83): (101.41498903022176, 507.0749451511088, False)
   (2, 25): (48.83646178829912, 244.1823089414956, False)
   (2, 47): (50.24937810560445, 251.24689052802225, False)
   (2, 48): (49.36598018878993, 246.82990094394967, False)
   (2, 49): (49.9799959983992, 249.899979991996, False)
   (2, 50): (53.85164807134504, 269.2582403567252, False)
   (2, 51): (58.7962583843564, 293.981291921782, False)
   (2, 52): (66.06814663663572, 330.3407331831786, False)
   (2, 53): (59.81638571495272, 299.0819285747636, False)
   (2, 54): (43.41658669218482, 217.0829334609241, False)
   (2, 55): (27.018512172212592, 135.09256086106296, False)
   (2, 56): (9.899494936611665, 49.49747468305833, False)
   (2, 57): (6.708203932499369, 33.54101966249685, False)
   (2, 58): (28.844410203711913, 144.22205101855957, False)
   (2, 59): (55.94640292279746, 279.7320146139873, False)
   (2, 60): (42.37924020083418, 211.8962010041709, False)
   (2, 61): (31.064449134018133, 155.32224567009067, False)
   (2, 62): (24.596747752497688, 122.98373876248844, False)
   (2, 63): (26.419689627245813, 132.09844813622905, False)
   (2, 64): (41.0, 205.0, False)
   (2, 66): (36.345563690772494, 181.72781845386248, False)
   (2, 67): (26.0, 130.0, False)
   (2, 68): (18.601075237738275, 93.00537618869137, False)
   (2, 69): (20.024984394500787, 100.12492197250394, False)
   (2, 70): (31.064449134018133, 155.32224567009067, False)
   (2, 71): (49.47726750741192, 247.3863375370596, False)
   (2, 72): (24.186773244895647, 120.93386622447824, False)
   (2, 73): (36.87817782917155, 184.39088914585773, False)
   (2, 74): (30.14962686336267, 150.74813431681335, False)
   (2, 75): (25.079872407968907, 125.39936203984453, False)
   (2, 76): (19.849433241279208, 99.24716620639603, False)
   (2, 77): (60.802960454241045, 304.0148022712052, False)
   (2, 78): (45.12205669071391, 225.61028345356956, False)
   (2, 79): (69.52697318307479, 347.63486591537395, False)
   (2, 80): (41.340053217188775, 206.70026608594387, False)
   (2, 81): (51.97114584074513, 259.8557292037257, False)
   (2, 82): (26.40075756488817, 132.00378782444085, False)
   (2, 83): (53.0, 265.0, False)
   (3, 26): (29.5296461204668, 147.648230602334, False)
   (3, 47): (51.478150704935004, 257.390753524675, False)
   (3, 48): (50.15974481593781, 250.79872407968907, False)
   (3, 49): (50.28916384272063, 251.44581921360316, False)
   (3, 50): (53.71219600798314, 268.5609800399157, False)
   (3, 51): (58.25804665451803, 291.29023327259017, False)
   (3, 52): (65.19202405202648, 325.9601202601324, False)
   (3, 53): (59.405386961116584, 297.0269348055829, False)
   (3, 54): (43.01162633521314, 215.05813167606567, False)
   (3, 55): (26.627053911388696, 133.13526955694348, False)
   (3, 56): (9.433981132056603, 47.169905660283014, False)
   (3, 57): (7.0710678118654755, 35.35533905932738, False)
   (3, 58): (29.206163733020468, 146.03081866510234, False)
   (3, 59): (53.71219600798314, 268.5609800399157, False)
   (3, 60): (40.162171256046406, 200.81085628023203, False)
   (3, 61): (29.017236257093817, 145.08618128546908, False)
   (3, 62): (23.323807579381203, 116.61903789690601, False)
   (3, 63): (26.40075756488817, 132.00378782444085, False)
   (3, 64): (42.04759208325728, 210.2379604162864, False)
   (3, 66): (37.12142238654117, 185.60711193270583, False)
   (3, 67): (26.248809496813376, 131.24404748406687, False)
   (3, 68): (17.69180601295413, 88.45903006477066, False)
   (3, 69): (18.0, 90.0, False)
   (3, 70): (28.844410203711913, 144.22205101855957, False)
   (3, 71): (50.96076922496363, 254.80384612481814, False)
   (3, 72): (24.166091947189145, 120.83045973594572, False)
   (3, 73): (34.713109915419565, 173.56554957709784, False)
