All relevant information about the map is below:

Total # of nodes: 78
# of robots: 20, robots_origin_location: {72: {10, 11, 20, 5}, 73: {2, 18, 6, 7}, 74: {16, 9, 17}, 75: set(), 76: {8, 4, 12}, 77: {19, 3, 15}, 78: {1, 13, 14}}
# of requests: 24, request_pairs: [(1, 25), (2, 26), (3, 27), (4, 28), (5, 29), (6, 30), (7, 31), (8, 32), (9, 33), (10, 34), (11, 35), (12, 36), (13, 37), (14, 38), (15, 39), (16, 40), (17, 41), (18, 42), (19, 43), (20, 44), (21, 45), (22, 46), (23, 47), (24, 48)]
# of depots: 7, depot nodes: [72, 73, 74, 75, 76, 77, 78]
# of service lines: 2
# of num transfers: 23, service lines mapping: {1: [49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60], 2: [61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71]}
public transportation factor: 1.0
map_size: 78
outsourcing cost: 7500
robots max travel time: 901
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 2
transfer service time: 2
request nodes time windows: {1: (0, 370), 2: (0, 367), 3: (0, 386), 4: (0, 348), 5: (0, 308), 6: (0, 366), 7: (0, 364), 8: (0, 295), 9: (0, 368), 10: (0, 296), 11: (0, 374), 12: (0, 285), 13: (0, 364), 14: (0, 332), 15: (0, 323), 16: (0, 280), 17: (0, 379), 18: (0, 338), 19: (0, 351), 20: (0, 339), 21: (0, 278), 22: (0, 319), 23: (0, 361), 24: (0, 288), 25: (194, 594), 26: (57, 457), 27: (266, 666), 28: (324, 724), 29: (101, 501), 30: (81, 481), 31: (308, 708), 32: (0, 370), 33: (176, 576), 34: (53, 453), 35: (206, 606), 36: (0, 341), 37: (169, 569), 38: (0, 397), 39: (129, 529), 40: (91, 491), 41: (357, 757), 42: (40, 440), 43: (156, 556), 44: (52, 452), 45: (69, 469), 46: (113, 513), 47: (202, 602), 48: (0, 308)}
transfer nodes departure time: {49: 334, 50: 342, 51: 350, 52: 358, 53: 366, 54: 374, 55: 382, 56: 390, 57: 398, 58: 406, 59: 414, 60: 430, 61: 327, 62: 335, 63: 343, 64: 351, 65: 359, 66: 367, 67: 375, 68: 383, 69: 391, 70: 399, 71: 414}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 25): (37.16180835212409, 185.80904176062046, False)
   (1, 49): (64.07027391856539, 320.3513695928269, False)
   (1, 50): (63.0317380372777, 315.15869018638847, False)
   (1, 51): (62.39390995922599, 311.9695497961299, False)
   (1, 52): (61.18823416311342, 305.9411708155671, False)
   (1, 53): (61.40032573203501, 307.001628660175, False)
   (1, 54): (61.09828148156051, 305.49140740780257, False)
   (1, 55): (62.16912416947821, 310.84562084739105, False)
   (1, 56): (62.76941930590086, 313.8470965295043, False)
   (1, 57): (64.63745044476924, 323.1872522238462, False)
   (1, 58): (66.84309986827361, 334.21549934136806, False)
   (1, 59): (68.62215385719105, 343.11076928595526, False)
   (1, 60): (75.6042326857432, 378.021163428716, False)
   (1, 61): (77.38862965578342, 386.9431482789171, False)
   (1, 62): (73.06161783043132, 365.3080891521566, False)
   (1, 63): (68.8839603971781, 344.4198019858905, False)
   (1, 64): (64.88451279003334, 324.4225639501667, False)
   (1, 65): (61.09828148156051, 305.49140740780257, False)
   (1, 66): (57.56735185849702, 287.8367592924851, False)
   (1, 67): (54.3415126767741, 271.7075633838705, False)
   (1, 68): (51.478150704935004, 257.390753524675, False)
   (1, 69): (48.041648597857254, 240.20824298928628, False)
   (1, 70): (46.09772228646444, 230.4886114323222, False)
   (1, 71): (43.32435804486894, 216.6217902243447, False)
   (1, 72): (59.07622195096772, 295.3811097548386, False)
   (1, 73): (15.297058540778355, 76.48529270389177, False)
   (1, 74): (66.09841147864296, 330.4920573932148, False)
   (1, 75): (45.70557952810576, 228.5278976405288, False)
   (1, 76): (13.0, 65.0, False)
   (1, 77): (21.213203435596427, 106.06601717798213, False)
   (1, 78): (77.79460135510689, 388.9730067755345, False)
   (2, 26): (36.359317925395686, 181.79658962697843, False)
   (2, 49): (21.840329667841555, 109.20164833920778, False)
   (2, 50): (17.46424919657298, 87.3212459828649, False)
   (2, 51): (13.601470508735444, 68.00735254367721, False)
   (2, 52): (11.661903789690601, 58.309518948453004, False)
   (2, 53): (11.045361017187261, 55.226805085936306, False)
   (2, 54): (13.601470508735444, 68.00735254367721, False)
   (2, 55): (16.64331697709324, 83.21658488546619, False)
   (2, 56): (21.2602916254693, 106.3014581273465, False)
   (2, 57): (25.495097567963924, 127.47548783981962, False)
