All relevant information about the map is below:

Total # of nodes: 66
# of robots: 24, robots_origin_location: {62: {8, 1, 2, 24}, 63: {17, 3, 12, 23}, 64: {4, 6, 9, 13, 14, 18}, 65: {19, 11, 20, 15}, 66: {5, 7, 10, 16, 21, 22}}
# of requests: 24, request_pairs: [(1, 25), (2, 26), (3, 27), (4, 28), (5, 29), (6, 30), (7, 31), (8, 32), (9, 33), (10, 34), (11, 35), (12, 36), (13, 37), (14, 38), (15, 39), (16, 40), (17, 41), (18, 42), (19, 43), (20, 44), (21, 45), (22, 46), (23, 47), (24, 48)]
# of depots: 5, depot nodes: [62, 63, 64, 65, 66]
# of service lines: 3
# of num transfers: 13, service lines mapping: {1: [49, 50, 51, 52, 53], 2: [54, 55, 56, 57, 58], 3: [59, 60, 61]}
public transportation factor: 0.0
map_size: 66
outsourcing cost: 417
robots max travel time: 373
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 6
depot service time: 2
transfer capacity: 8
transfer service time: 2
request nodes time windows: {1: (0, 277), 2: (0, 322), 3: (0, 306), 4: (0, 268), 5: (0, 302), 6: (0, 346), 7: (0, 347), 8: (0, 293), 9: (0, 323), 10: (0, 286), 11: (0, 300), 12: (0, 277), 13: (0, 274), 14: (0, 325), 15: (0, 276), 16: (0, 321), 17: (0, 296), 18: (0, 325), 19: (0, 337), 20: (0, 362), 21: (0, 331), 22: (0, 292), 23: (0, 356), 24: (0, 310), 25: (24, 424), 26: (59, 459), 27: (228, 628), 28: (269, 660), 29: (151, 551), 30: (88, 488), 31: (17, 417), 32: (0, 358), 33: (113, 513), 34: (113, 513), 35: (52, 452), 36: (0, 320), 37: (61, 461), 38: (45, 445), 39: (59, 459), 40: (199, 599), 41: (207, 607), 42: (0, 366), 43: (253, 653), 44: (287, 660), 45: (69, 469), 46: (0, 373), 47: (318, 660), 48: (51, 451)}
transfer nodes departure time: {49: 134, 50: 136, 51: 138, 52: 140, 53: 142, 54: 190, 55: 192, 56: 194, 57: 196, 58: 198, 59: 102, 60: 104, 61: 106}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 25): (32.38826948140329, 161.94134740701645, False)
   (1, 49): (57.697486947006624, 288.4874347350331, False)
   (1, 50): (58.60034129593445, 293.00170647967224, False)
   (1, 51): (58.60034129593445, 293.00170647967224, False)
   (1, 52): (58.60034129593445, 293.00170647967224, False)
   (1, 53): (29.732137494637012, 148.66068747318505, False)
   (1, 54): (51.42956348249516, 257.14781741247583, False)
   (1, 55): (40.8166632639171, 204.0833163195855, False)
   (1, 56): (29.832867780352597, 149.164338901763, False)
   (1, 57): (20.808652046684813, 104.04326023342406, False)
   (1, 58): (15.231546211727817, 76.15773105863909, False)
   (1, 59): (29.154759474226502, 145.7737973711325, False)
   (1, 60): (6.4031242374328485, 32.01562118716424, False)
   (1, 61): (37.12142238654117, 185.60711193270583, False)
   (1, 62): (29.68164415931166, 148.40822079655828, False)
   (1, 63): (50.00999900019995, 250.04999500099973, False)
   (1, 64): (30.610455730027933, 153.05227865013967, False)
   (1, 65): (26.627053911388696, 133.13526955694348, False)
   (1, 66): (36.05551275463989, 180.27756377319946, False)
   (2, 26): (47.634021455258214, 238.17010727629108, False)
   (2, 49): (55.31726674375732, 276.5863337187866, False)
   (2, 50): (55.97320787662612, 279.8660393831306, False)
   (2, 51): (55.97320787662612, 279.8660393831306, False)
   (2, 52): (55.97320787662612, 279.8660393831306, False)
   (2, 53): (51.97114584074513, 259.8557292037257, False)
   (2, 54): (50.0, 250.0, False)
   (2, 55): (42.485291572496, 212.42645786248002, False)
   (2, 56): (36.6742416417845, 183.3712082089225, False)
   (2, 57): (34.23448553724738, 171.17242768623692, False)
   (2, 58): (38.01315561749642, 190.0657780874821, False)
   (2, 59): (51.62363799656123, 258.11818998280614, False)
   (2, 60): (23.323807579381203, 116.61903789690601, False)
   (2, 61): (23.853720883753127, 119.26860441876563, False)
   (2, 62): (8.0, 40.0, False)
   (2, 63): (38.47076812334269, 192.35384061671343, False)
   (2, 64): (8.246211251235321, 41.23105625617661, False)
   (2, 65): (32.55764119219941, 162.78820596099706, False)
   (2, 66): (34.132096331752024, 170.66048165876012, False)
