All relevant information about the map is below:

Total # of nodes: 92
# of robots: 20, robots_origin_location: {88: {16, 18, 20, 15}, 89: {17, 2, 19, 13}, 90: {10, 4, 5, 7}, 91: {9, 11, 12, 14}, 92: {8, 1, 3, 6}}
# of requests: 27, request_pairs: [(1, 28), (2, 29), (3, 30), (4, 31), (5, 32), (6, 33), (7, 34), (8, 35), (9, 36), (10, 37), (11, 38), (12, 39), (13, 40), (14, 41), (15, 42), (16, 43), (17, 44), (18, 45), (19, 46), (20, 47), (21, 48), (22, 49), (23, 50), (24, 51), (25, 52), (26, 53), (27, 54)]
# of depots: 5, depot nodes: [88, 89, 90, 91, 92]
# of service lines: 7
# of num transfers: 33, service lines mapping: {1: [55, 56, 57, 58, 59], 2: [60, 61, 62, 63, 64], 3: [65, 66, 67, 68, 69], 4: [70, 71, 72, 73, 74], 5: [75, 76, 77, 78, 79], 6: [80, 81, 82, 83, 84], 7: [85, 86, 87]}
public transportation factor: 0.0
map_size: 92
outsourcing cost: 2500
robots max travel time: 472
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 5
transfer service time: 2
request nodes time windows: {1: (15, 415), 2: (13, 413), 3: (0, 385), 4: (13, 413), 5: (0, 320), 6: (26, 426), 7: (0, 326), 8: (0, 362), 9: (0, 309), 10: (0, 345), 11: (0, 326), 12: (0, 303), 13: (0, 330), 14: (4, 404), 15: (0, 395), 16: (0, 298), 17: (0, 305), 18: (0, 379), 19: (0, 378), 20: (0, 363), 21: (0, 348), 22: (11, 411), 23: (0, 347), 24: (0, 354), 25: (0, 315), 26: (0, 296), 27: (0, 389), 28: (207, 607), 29: (284, 684), 30: (147, 547), 31: (319, 719), 32: (180, 580), 33: (206, 606), 34: (307, 707), 35: (171, 571), 36: (204, 604), 37: (243, 643), 38: (268, 668), 39: (236, 636), 40: (299, 699), 41: (145, 545), 42: (262, 662), 43: (79, 479), 44: (276, 676), 45: (186, 586), 46: (229, 629), 47: (149, 549), 48: (268, 668), 49: (239, 639), 50: (41, 441), 51: (14, 414), 52: (299, 699), 53: (271, 671), 54: (12, 412)}
transfer nodes departure time: {55: 339, 56: 341, 57: 343, 58: 345, 59: 347, 60: 607, 61: 609, 62: 611, 63: 613, 64: 615, 65: 90, 66: 92, 67: 94, 68: 96, 69: 98, 70: 10, 71: 12, 72: 14, 73: 16, 74: 18, 75: 566, 76: 568, 77: 570, 78: 572, 79: 574, 80: 369, 81: 371, 82: 373, 83: 375, 84: 377, 85: 15, 86: 17, 87: 19}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 28): (101.71037311896953, 508.55186559484764, False)
   (1, 55): (9.219544457292887, 46.09772228646443, False)
   (1, 56): (25.019992006393608, 125.09996003196804, False)
   (1, 57): (43.104524124504614, 215.52262062252308, False)
   (1, 58): (61.40032573203501, 307.001628660175, False)
   (1, 59): (82.87339742040264, 414.3669871020132, False)
   (1, 60): (64.8459713474939, 324.2298567374695, False)
   (1, 61): (51.10772935672255, 255.53864678361276, False)
   (1, 62): (37.20215047547655, 186.01075237738274, False)
   (1, 63): (24.08318915758459, 120.41594578792296, False)
   (1, 64): (13.0, 65.0, False)
   (1, 75): (57.14017850864661, 285.70089254323307, False)
   (1, 76): (53.9351462406472, 269.675731203236, False)
   (1, 77): (59.22837157984339, 296.141857899217, False)
   (1, 78): (71.11961754677819, 355.5980877338909, False)
   (1, 79): (87.45856161634491, 437.29280808172456, False)
   (1, 80): (65.92419889539804, 329.6209944769902, False)
   (1, 81): (58.855755878248644, 294.27877939124323, False)
   (1, 82): (55.226805085936306, 276.1340254296815, False)
   (1, 83): (56.08029957123981, 280.40149785619906, False)
   (1, 84): (66.46803743153546, 332.3401871576773, False)
   (1, 88): (90.0, 450.0, False)
   (1, 89): (25.495097567963924, 127.47548783981962, False)
   (1, 90): (39.0, 195.0, False)
   (1, 91): (62.297672508690084, 311.4883625434504, False)
   (1, 92): (45.0111097397076, 225.055548698538, False)
   (2, 29): (39.395431207184416, 196.97715603592206, False)
   (2, 55): (43.86342439892262, 219.3171219946131, False)
   (2, 56): (29.546573405388315, 147.73286702694156, False)
   (2, 57): (23.769728648009426, 118.84864324004712, False)
   (2, 58): (30.610455730027933, 153.05227865013967, False)
   (2, 59): (47.12748667179272, 235.6374333589636, False)
   (2, 60): (21.213203435596427, 106.06601717798213, False)
   (2, 61): (7.0, 35.0, False)
   (2, 62): (8.06225774829855, 40.311288741492746, False)
   (2, 63): (22.47220505424423, 112.36102527122115, False)
   (2, 64): (39.21734310225516, 196.08671551127577, False)
   (2, 65): (41.30375285612676, 206.51876428063383, False)
   (2, 66): (41.30375285612676, 206.51876428063383, False)
   (2, 67): (41.30375285612676, 206.51876428063383, False)
   (2, 68): (41.30375285612676, 206.51876428063383, False)
   (2, 69): (81.30190649671138, 406.5095324835569, False)
   (2, 75): (12.083045973594572, 60.41522986797286, False)
   (2, 76): (22.627416997969522, 113.13708498984761, False)
   (2, 77): (43.41658669218482, 217.0829334609241, False)
   (2, 78): (64.47480127925948, 322.37400639629743, False)
   (2, 79): (86.7294644281861, 433.64732214093056, False)
   (2, 80): (24.020824298928627, 120.10412149464314, False)
   (2, 81): (26.40075756488817, 132.00378782444085, False)
   (2, 82): (35.84689665786984, 179.2344832893492, False)
   (2, 83): (49.33558553417604, 246.6779276708802, False)
   (2, 84): (73.68174807915459, 368.40874039577295, False)
   (2, 88): (59.033888572581766, 295.16944286290885, False)
   (2, 89): (60.207972893961475, 301.03986446980736, False)
   (2, 90): (41.012193308819754, 205.06096654409876, False)
   (2, 91): (22.80350850198276, 114.0175425099138, False)
   (2, 92): (80.52949770115296, 402.64748850576484, False)
   (3, 30): (52.80151512977634, 264.0075756488817, False)
   (3, 55): (49.39635614091387, 246.98178070456936, False)
   (3, 56): (30.870698080866262, 154.3534904043313, False)
   (3, 57): (13.45362404707371, 67.26812023536854, False)
   (3, 58): (9.433981132056603, 47.169905660283014, False)
   (3, 59): (29.0, 145.0, False)
   (3, 60): (17.72004514666935, 88.60022573334675, False)
   (3, 61): (16.64331697709324, 83.21658488546619, False)
   (3, 62): (25.079872407968907, 125.39936203984453, False)
   (3, 63): (37.48332962798263, 187.41664813991315, False)
   (3, 64): (53.009433122794285, 265.0471656139714, False)
   (3, 65): (31.400636936215164, 157.00318468107582, False)
   (3, 66): (31.400636936215164, 157.00318468107582, False)
   (3, 67): (31.400636936215164, 157.00318468107582, False)
   (3, 68): (31.400636936215164, 157.00318468107582, False)
   (3, 69): (61.26989472816156, 306.3494736408078, False)
   (3, 75): (19.6468827043885, 98.2344135219425, False)
   (3, 76): (2.0, 10.0, False)
   (3, 77): (24.515301344262525, 122.57650672131263, False)
   (3, 78): (46.09772228646444, 230.4886114323222, False)
