All relevant information about the map is below:

Total # of nodes: 83
# of robots: 22, robots_origin_location: {79: {12, 15, 18, 20, 21}, 80: {19, 3, 14, 22}, 81: {9, 4, 13, 17}, 82: {8, 11, 5, 7}, 83: {1, 2, 6, 10, 16}}
# of requests: 28, request_pairs: [(1, 29), (2, 30), (3, 31), (4, 32), (5, 33), (6, 34), (7, 35), (8, 36), (9, 37), (10, 38), (11, 39), (12, 40), (13, 41), (14, 42), (15, 43), (16, 44), (17, 45), (18, 46), (19, 47), (20, 48), (21, 49), (22, 50), (23, 51), (24, 52), (25, 53), (26, 54), (27, 55), (28, 56)]
# of depots: 5, depot nodes: [79, 80, 81, 82, 83]
# of service lines: 2
# of num transfers: 22, service lines mapping: {1: [57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67], 2: [68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]}
public transportation factor: 0.8
map_size: 83
outsourcing cost: 1667
robots max travel time: 10
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 5
depot service time: 2
transfer capacity: 3
transfer service time: 2
request nodes time windows: {1: (0, 312), 2: (0, 305), 3: (0, 364), 4: (0, 314), 5: (0, 288), 6: (0, 361), 7: (0, 318), 8: (0, 375), 9: (0, 325), 10: (0, 300), 11: (0, 357), 12: (0, 377), 13: (0, 349), 14: (0, 359), 15: (0, 316), 16: (7, 407), 17: (0, 356), 18: (0, 373), 19: (0, 374), 20: (0, 379), 21: (0, 357), 22: (4, 404), 23: (0, 283), 24: (0, 384), 25: (0, 287), 26: (0, 372), 27: (0, 313), 28: (1, 401), 29: (127, 527), 30: (9, 409), 31: (324, 724), 32: (152, 552), 33: (89, 489), 34: (88, 488), 35: (161, 561), 36: (331, 731), 37: (280, 680), 38: (0, 368), 39: (266, 666), 40: (105, 505), 41: (5, 405), 42: (171, 571), 43: (86, 486), 44: (211, 611), 45: (109, 509), 46: (111, 511), 47: (149, 549), 48: (360, 760), 49: (248, 648), 50: (225, 625), 51: (69, 469), 52: (367, 767), 53: (213, 613), 54: (119, 519), 55: (239, 639), 56: (262, 662)}
transfer nodes departure time: {57: 302, 58: 308, 59: 314, 60: 320, 61: 326, 62: 332, 63: 338, 64: 344, 65: 350, 66: 356, 67: 366, 68: 209, 69: 216, 70: 222, 71: 228, 72: 234, 73: 240, 74: 246, 75: 252, 76: 258, 77: 264, 78: 270}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (4, 67): (9.055385138137417, 45.27692569068709, False)
   (5, 73): (7.0710678118654755, 35.35533905932738, False)
   (5, 74): (5.0, 25.0, False)
   (5, 75): (7.0710678118654755, 35.35533905932738, False)
   (6, 79): (3.0, 15.0, False)
   (7, 81): (5.830951894845301, 29.154759474226502, False)
   (10, 78): (6.324555320336759, 31.622776601683796, False)
   (11, 79): (9.848857801796104, 49.244289008980516, False)
   (11, 80): (2, 10, False)
   (13, 60): (9.0, 45.0, False)
   (13, 61): (5.830951894845301, 29.154759474226502, False)
   (13, 62): (6.082762530298219, 30.413812651491096, False)
   (13, 63): (9.219544457292887, 46.09772228646443, False)
   (13, 68): (6.708203932499369, 33.54101966249685, False)
   (13, 69): (2.23606797749979, 11.180339887498949, False)
   (13, 70): (4.47213595499958, 22.360679774997898, False)
   (13, 71): (9.219544457292887, 46.09772228646443, False)
   (15, 75): (7.0, 35.0, False)
   (15, 76): (5.656854249492381, 28.284271247461902, False)
   (15, 77): (8.06225774829855, 40.311288741492746, False)
   (15, 83): (10.0, 50.0, False)
   (20, 78): (9.055385138137417, 45.27692569068709, False)
   (21, 78): (7.0710678118654755, 35.35533905932738, False)
   (21, 83): (7.0710678118654755, 35.35533905932738, False)
   (22, 66): (7.615773105863909, 38.07886552931954, False)
   (22, 67): (9.055385138137417, 45.27692569068709, False)
   (24, 57): (3.1622776601683795, 15.811388300841898, False)
   (24, 58): (4.0, 20.0, False)
   (24, 59): (8.54400374531753, 42.720018726587654, False)
   (30, 82): (9.055385138137417, 45.27692569068709, False)
   (32, 58): (6.4031242374328485, 32.01562118716424, False)
   (32, 59): (2.0, 10.0, False)
   (32, 60): (4.123105625617661, 20.615528128088304, False)
   (32, 61): (8.94427190999916, 44.721359549995796, False)
   (32, 70): (9.486832980505138, 47.434164902525694, False)
   (32, 71): (9.219544457292887, 46.09772228646443, False)
   (33, 82): (8.06225774829855, 40.311288741492746, False)
   (34, 81): (6.082762530298219, 30.413812651491096, False)
   (37, 59): (10.0, 50.0, False)
   (37, 60): (9.848857801796104, 49.244289008980516, False)
   (40, 65): (8.0, 40.0, False)
   (40, 66): (5.0, 25.0, False)
   (40, 67): (9.848857801796104, 49.244289008980516, False)
   (42, 57): (2.0, 10.0, False)
   (42, 58): (3.1622776601683795, 15.811388300841898, False)
   (42, 59): (8.06225774829855, 40.311288741492746, False)
   (44, 77): (8.06225774829855, 40.311288741492746, False)
