All relevant information about the map is below:

Total # of nodes: 99
# of robots: 30, robots_origin_location: {89: {19, 20}, 90: {18, 15, 7}, 91: {25, 2, 10}, 92: {26, 29, 30}, 93: {24, 13}, 94: {27, 22}, 95: {8, 17, 4}, 96: {11, 12, 5}, 97: {28, 6, 14}, 98: {16, 21, 23}, 99: {1, 3, 9}}
# of requests: 29, request_pairs: [(1, 30), (2, 31), (3, 32), (4, 33), (5, 34), (6, 35), (7, 36), (8, 37), (9, 38), (10, 39), (11, 40), (12, 41), (13, 42), (14, 43), (15, 44), (16, 45), (17, 46), (18, 47), (19, 48), (20, 49), (21, 50), (22, 51), (23, 52), (24, 53), (25, 54), (26, 55), (27, 56), (28, 57), (29, 58)]
# of depots: 11, depot nodes: [89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]
# of service lines: 5
# of num transfers: 30, service lines mapping: {1: [59, 60, 61, 62, 63, 64], 2: [65, 66, 67, 68, 69, 70], 3: [71, 72, 73, 74, 75, 76], 4: [77, 78, 79, 80, 81, 82], 5: [83, 84, 85, 86, 87, 88]}
public transportation factor: 0.2
map_size: 99
outsourcing cost: 417
robots max travel time: 241
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 4
transfer service time: 2
request nodes time windows: {1: (0, 368), 2: (33, 433), 3: (17, 417), 4: (0, 332), 5: (0, 345), 6: (0, 382), 7: (25, 425), 8: (0, 340), 9: (39, 439), 10: (0, 316), 11: (0, 301), 12: (0, 397), 13: (19, 419), 14: (0, 308), 15: (0, 369), 16: (23, 423), 17: (38, 438), 18: (0, 299), 19: (9, 409), 20: (5, 405), 21: (31, 431), 22: (0, 392), 23: (0, 332), 24: (0, 373), 25: (0, 397), 26: (0, 340), 27: (20, 420), 28: (46, 446), 29: (0, 339), 30: (333, 733), 31: (294, 694), 32: (53, 453), 33: (165, 565), 34: (191, 591), 35: (194, 594), 36: (229, 629), 37: (131, 531), 38: (266, 666), 39: (220, 620), 40: (277, 677), 41: (150, 550), 42: (83, 483), 43: (56, 456), 44: (150, 550), 45: (244, 644), 46: (337, 737), 47: (104, 504), 48: (102, 502), 49: (264, 664), 50: (188, 588), 51: (72, 472), 52: (0, 395), 53: (330, 730), 54: (385, 785), 55: (321, 721), 56: (231, 631), 57: (356, 756), 58: (268, 668)}
transfer nodes departure time: {59: 163, 60: 170, 61: 177, 62: 184, 63: 191, 64: 199, 65: 354, 66: 359, 67: 364, 68: 369, 69: 374, 70: 382, 71: 700, 72: 705, 73: 711, 74: 717, 75: 723, 76: 729, 77: 17, 78: 24, 79: 31, 80: 38, 81: 45, 82: 52, 83: 5, 84: 10, 85: 15, 86: 20, 87: 25, 88: 30}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 30): (64.1404708432983, 320.7023542164915, False)
   (1, 59): (61.032778078668514, 305.16389039334257, False)
   (1, 60): (44.10215414239989, 220.51077071199944, False)
   (1, 61): (32.69556544854363, 163.47782724271815, False)
   (1, 62): (33.61547262794322, 168.0773631397161, False)
   (1, 63): (45.09988913511872, 225.49944567559362, False)
   (1, 64): (66.2872536767062, 331.436268383531, False)
   (1, 65): (22.360679774997898, 111.80339887498948, False)
   (1, 66): (17.26267650163207, 86.31338250816034, False)
   (1, 67): (21.2602916254693, 106.3014581273465, False)
   (1, 68): (31.016124838541646, 155.08062419270823, False)
   (1, 69): (42.7551166528639, 213.7755832643195, False)
   (1, 70): (69.02897942168927, 345.14489710844634, False)
   (1, 71): (33.83784863137726, 169.1892431568863, False)
   (1, 72): (36.124783736376884, 180.62391868188442, False)
   (1, 73): (43.86342439892262, 219.3171219946131, False)
   (1, 74): (55.0, 275.0, False)
   (1, 75): (67.88225099390856, 339.41125496954277, False)
   (1, 76): (81.68843247363729, 408.4421623681865, False)
   (1, 89): (88.23264701911646, 441.1632350955823, False)
   (1, 90): (30.479501308256342, 152.3975065412817, False)
   (1, 91): (62.289646009589745, 311.44823004794875, False)
   (1, 92): (22.47220505424423, 112.36102527122115, False)
   (1, 93): (7.615773105863909, 38.07886552931954, False)
   (1, 94): (58.05170109479997, 290.25850547399983, False)
   (1, 95): (45.880278987817846, 229.40139493908924, False)
   (1, 96): (31.89043743820395, 159.45218719101976, False)
   (1, 97): (34.20526275297414, 171.0263137648707, False)
   (1, 98): (57.21887800367987, 286.09439001839934, False)
   (1, 99): (17.26267650163207, 86.31338250816034, False)
   (2, 31): (21.93171219946131, 109.65856099730655, False)
   (2, 59): (58.077534382926416, 290.38767191463205, False)
   (2, 60): (45.31004303683677, 226.55021518418383, False)
   (2, 61): (40.45985664828782, 202.2992832414391, False)
   (2, 62): (45.12205669071391, 225.61028345356956, False)
   (2, 63): (58.309518948453004, 291.547594742265, False)
   (2, 64): (78.43468620451031, 392.17343102255154, False)
   (2, 65): (73.49829930005184, 367.4914965002592, False)
   (2, 66): (62.03224967708329, 310.16124838541646, False)
   (2, 67): (51.478150704935004, 257.390753524675, False)
   (2, 68): (42.5205832509386, 212.602916254693, False)
   (2, 69): (36.359317925395686, 181.79658962697843, False)
   (2, 70): (37.8549864614954, 189.274932307477, False)
   (2, 71): (72.3394774656273, 361.6973873281365, False)
   (2, 72): (58.077534382926416, 290.38767191463205, False)
   (2, 73): (43.01162633521314, 215.05813167606567, False)
   (2, 74): (28.442925306655784, 142.21462653327893, False)
   (2, 75): (15.811388300841896, 79.05694150420948, False)
   (2, 76): (13.152946437965905, 65.76473218982953, False)
   (2, 89): (34.48187929913333, 172.40939649566667, False)
