All relevant information about the map is below:

Total # of nodes: 100
# of robots: 26, robots_origin_location: {90: {8, 17, 26}, 91: {11, 6, 23}, 92: {22, 7}, 93: {9, 13, 25}, 94: {24, 20}, 95: {1, 3, 12}, 96: {16, 5, 14}, 97: {10, 21}, 98: {4}, 99: {18, 19}, 100: {2, 15}}
# of requests: 30, request_pairs: [(1, 31), (2, 32), (3, 33), (4, 34), (5, 35), (6, 36), (7, 37), (8, 38), (9, 39), (10, 40), (11, 41), (12, 42), (13, 43), (14, 44), (15, 45), (16, 46), (17, 47), (18, 48), (19, 49), (20, 50), (21, 51), (22, 52), (23, 53), (24, 54), (25, 55), (26, 56), (27, 57), (28, 58), (29, 59), (30, 60)]
# of depots: 11, depot nodes: [90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]
# of service lines: 9
# of num transfers: 29, service lines mapping: {1: [61, 62, 63, 64], 2: [65, 66, 67, 68], 3: [69, 70, 71, 72], 4: [73, 74, 75, 76], 5: [77, 78, 79, 80], 6: [81, 82, 83, 84], 7: [85, 86, 87, 88], 8: [89], 9: []}
public transportation factor: 0.4
map_size: 100
outsourcing cost: 7083
robots max travel time: 703
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 5
transfer service time: 2
request nodes time windows: {1: (0, 340), 2: (25, 425), 3: (48, 448), 4: (0, 355), 5: (21, 421), 6: (0, 377), 7: (0, 312), 8: (31, 431), 9: (11, 411), 10: (0, 350), 11: (24, 424), 12: (0, 306), 13: (0, 373), 14: (0, 384), 15: (45, 445), 16: (0, 363), 17: (0, 372), 18: (0, 304), 19: (0, 303), 20: (37, 437), 21: (38, 438), 22: (0, 388), 23: (0, 337), 24: (0, 380), 25: (0, 319), 26: (0, 327), 27: (0, 338), 28: (0, 307), 29: (0, 312), 30: (0, 305), 31: (165, 565), 32: (211, 611), 33: (365, 765), 34: (309, 709), 35: (168, 568), 36: (364, 764), 37: (72, 472), 38: (285, 685), 39: (90, 490), 40: (54, 454), 41: (202, 602), 42: (185, 585), 43: (148, 548), 44: (74, 474), 45: (184, 584), 46: (42, 442), 47: (218, 618), 48: (7, 407), 49: (0, 391), 50: (402, 802), 51: (283, 683), 52: (125, 525), 53: (0, 382), 54: (164, 564), 55: (248, 648), 56: (291, 691), 57: (14, 414), 58: (280, 680), 59: (0, 361), 60: (162, 562)}
transfer nodes departure time: {61: 768, 62: 781, 63: 794, 64: 808, 65: 427, 66: 439, 67: 451, 68: 463, 69: 201, 70: 215, 71: 229, 72: 244, 73: 674, 74: 685, 75: 696, 76: 707, 77: 43, 78: 57, 79: 70, 80: 84, 81: 778, 82: 790, 83: 802, 84: 814, 85: 377, 86: 388, 87: 399, 88: 411, 89: 28}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 31): (67.54257916307313, 337.71289581536564, False)
   (1, 61): (90.80198235721508, 454.0099117860754, False)
   (1, 62): (65.11528238439882, 325.5764119219941, False)
   (1, 63): (41.048751503547585, 205.24375751773792, False)
   (1, 64): (23.345235059857504, 116.72617529928752, False)
   (1, 65): (60.37383539249432, 301.8691769624716, False)
   (1, 66): (59.21148537234985, 296.05742686174926, False)
   (1, 67): (66.21933252457322, 331.0966626228661, False)
   (1, 68): (79.25906888173743, 396.2953444086872, False)
   (1, 69): (91.92388155425118, 459.6194077712559, False)
   (1, 70): (64.40496875241847, 322.02484376209236, False)
   (1, 71): (37.44329045369811, 187.21645226849057, False)
   (1, 72): (13.0, 65.0, False)
   (1, 73): (85.09406559801923, 425.47032799009617, False)
   (1, 74): (69.72087205421343, 348.60436027106715, False)
   (1, 75): (57.706152185014034, 288.5307609250702, False)
   (1, 76): (53.0, 265.0, False)
   (1, 78): (44.0, 220.0, False)
   (1, 79): (58.137767414994535, 290.6888370749727, False)
   (1, 80): (80.72174428244226, 403.6087214122113, False)
   (1, 81): (49.73932046178355, 248.69660230891776, False)
   (1, 82): (48.041648597857254, 240.20824298928628, False)
   (1, 83): (57.0087712549569, 285.0438562747845, False)
   (1, 84): (72.80109889280519, 364.0054944640259, False)
   (1, 85): (26.0, 130.0, False)
   (1, 86): (20.396078054371138, 101.9803902718557, False)
   (1, 87): (34.0, 170.0, False)
   (1, 88): (55.90169943749474, 279.5084971874737, False)
   (1, 90): (60.4648658313239, 302.3243291566195, False)
   (1, 91): (58.180752831155424, 290.90376415577714, False)
   (1, 92): (66.03029607687671, 330.15148038438355, False)
   (1, 93): (23.53720459187964, 117.6860229593982, False)
   (1, 94): (94.93682109698007, 474.68410548490033, False)
   (1, 95): (45.5411901469428, 227.705950734714, False)
   (1, 96): (36.87817782917155, 184.39088914585773, False)
   (1, 97): (52.773099207835045, 263.86549603917524, False)
   (1, 98): (53.23532661682466, 266.1766330841233, False)
   (1, 99): (31.78049716414141, 158.90248582070706, False)
   (1, 100): (45.09988913511872, 225.49944567559362, False)
   (2, 32): (41.677331968349414, 208.38665984174708, False)
   (2, 61): (85.44588931013593, 427.22944655067965, False)
   (2, 62): (61.741396161732524, 308.7069808086626, False)
   (2, 63): (42.1070065428546, 210.535032714273, False)
   (2, 64): (34.828149534535996, 174.14074767268, False)
   (2, 65): (72.78049189171504, 363.9024594585752, False)
   (2, 66): (53.31041174104736, 266.5520587052368, False)
   (2, 67): (37.48332962798263, 187.41664813991315, False)
   (2, 68): (31.400636936215164, 157.00318468107582, False)
   (2, 69): (47.853944456021594, 239.26972228010797, False)
   (2, 70): (25.612496949731394, 128.06248474865697, False)
   (2, 71): (24.041630560342615, 120.20815280171307, False)
   (2, 72): (49.040799340956916, 245.20399670478457, False)
   (2, 73): (84.21995013059554, 421.09975065297766, False)
   (2, 74): (62.26556030423239, 311.3278015211619, False)
   (2, 75): (39.824615503479755, 199.12307751739877, False)
   (2, 76): (17.46424919657298, 87.3212459828649, False)
   (2, 79): (22.80350850198276, 114.0175425099138, False)
   (2, 80): (24.166091947189145, 120.83045973594572, False)
   (2, 81): (69.18092222571191, 345.90461112855957, False)
   (2, 82): (47.07440918375928, 235.3720459187964, False)
   (2, 83): (27.459060435491963, 137.2953021774598, False)
   (2, 84): (20.0, 100.0, False)
   (2, 85): (73.53910524340094, 367.6955262170047, False)
   (2, 86): (51.264022471905186, 256.3201123595259, False)
   (2, 87): (29.120439557122072, 145.60219778561037, False)
   (2, 88): (6.708203932499369, 33.54101966249685, False)
   (2, 90): (7.211102550927978, 36.05551275463989, False)
   (2, 91): (12.206555615733702, 61.032778078668514, False)
   (2, 92): (10.0, 50.0, False)
   (2, 93): (51.24451190127583, 256.2225595063791, False)
   (2, 94): (49.36598018878993, 246.82990094394967, False)
   (2, 95): (51.478150704935004, 257.390753524675, False)
   (2, 96): (21.2602916254693, 106.3014581273465, False)
   (2, 97): (47.67598976424087, 238.37994882120432, False)
