All relevant information about the map is below:

Total # of nodes: 74
# of robots: 37, robots_origin_location: {68: {17, 34, 33}, 69: {2, 7, 9, 21, 23, 28}, 70: {32, 1, 13, 14, 15}, 71: {3, 35, 8, 12, 16, 29}, 72: {4, 37, 11, 26, 31}, 73: {36, 18, 19, 24, 27, 30}, 74: {5, 6, 10, 20, 22, 25}}
# of requests: 31, request_pairs: [(1, 32), (2, 33), (3, 34), (4, 35), (5, 36), (6, 37), (7, 38), (8, 39), (9, 40), (10, 41), (11, 42), (12, 43), (13, 44), (14, 45), (15, 46), (16, 47), (17, 48), (18, 49), (19, 50), (20, 51), (21, 52), (22, 53), (23, 54), (24, 55), (25, 56), (26, 57), (27, 58), (28, 59), (29, 60), (30, 61), (31, 62)]
# of depots: 7, depot nodes: [68, 69, 70, 71, 72, 73, 74]
# of service lines: 1
# of num transfers: 5, service lines mapping: {1: [63, 64, 65, 66, 67]}
public transportation factor: 0.2
map_size: 74
outsourcing cost: 2500
robots max travel time: 307
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 6
depot service time: 2
transfer capacity: 4
transfer service time: 2
request nodes time windows: {1: (0, 342), 2: (0, 321), 3: (0, 293), 4: (0, 347), 5: (0, 370), 6: (0, 286), 7: (0, 333), 8: (0, 320), 9: (0, 279), 10: (0, 372), 11: (0, 371), 12: (0, 370), 13: (0, 366), 14: (0, 308), 15: (0, 366), 16: (0, 313), 17: (0, 373), 18: (0, 296), 19: (0, 317), 20: (0, 353), 21: (0, 364), 22: (0, 277), 23: (0, 374), 24: (0, 325), 25: (0, 354), 26: (0, 312), 27: (0, 307), 28: (0, 354), 29: (0, 360), 30: (0, 355), 31: (0, 364), 32: (233, 633), 33: (113, 513), 34: (229, 629), 35: (95, 495), 36: (131, 531), 37: (0, 378), 38: (289, 689), 39: (163, 563), 40: (274, 674), 41: (108, 508), 42: (18, 418), 43: (306, 706), 44: (101, 501), 45: (177, 577), 46: (149, 549), 47: (272, 672), 48: (30, 430), 49: (271, 671), 50: (57, 457), 51: (229, 629), 52: (102, 502), 53: (0, 333), 54: (359, 740), 55: (296, 696), 56: (174, 574), 57: (167, 567), 58: (14, 414), 59: (350, 740), 60: (201, 601), 61: (156, 556), 62: (276, 676)}
transfer nodes departure time: {63: 241, 64: 247, 65: 253, 66: 259, 67: 265}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 32): (16.64331697709324, 83.21658488546619, False)
   (1, 63): (50.35871324805669, 251.79356624028344, False)
   (1, 64): (39.45883931389772, 197.2941965694886, False)
   (1, 65): (33.28663395418648, 166.43316977093238, False)
   (1, 66): (35.35533905932738, 176.7766952966369, False)
   (1, 67): (44.40720662234904, 222.03603311174518, False)
   (1, 68): (12.649110640673518, 63.24555320336759, False)
   (1, 69): (16.0312195418814, 80.15609770940699, False)
   (1, 70): (33.13608305156178, 165.68041525780893, False)
   (1, 71): (49.64876634922564, 248.2438317461282, False)
   (1, 72): (66.48308055437865, 332.41540277189324, False)
   (1, 73): (5.0, 25.0, False)
   (1, 74): (8.54400374531753, 42.720018726587654, False)
   (2, 33): (27.202941017470888, 136.01470508735443, False)
   (2, 63): (83.23460818673925, 416.17304093369626, False)
   (2, 64): (67.11929677819934, 335.5964838909967, False)
   (2, 65): (51.10772935672255, 255.53864678361276, False)
   (2, 66): (34.438350715445125, 172.19175357722563, False)
   (2, 67): (18.439088914585774, 92.19544457292886, False)
   (2, 68): (59.665735560705194, 298.328677803526, False)
   (2, 69): (65.52098900352466, 327.6049450176233, False)
   (2, 70): (66.64833081180653, 333.24165405903267, False)
   (2, 71): (84.31488599292535, 421.5744299646268, False)
   (2, 72): (22.0, 110.0, False)
   (2, 73): (58.008620049092706, 290.0431002454635, False)
   (2, 74): (59.30430001273095, 296.52150006365474, False)
   (3, 34): (48.104053883222775, 240.52026941611388, False)
   (3, 63): (49.09175083453431, 245.45875417267155, False)
   (3, 64): (39.56008088970496, 197.80040444852483, False)
   (3, 65): (35.35533905932738, 176.7766952966369, False)
   (3, 66): (37.94733192202055, 189.73665961010278, False)
   (3, 67): (47.01063709417264, 235.05318547086318, False)
   (3, 68): (75.8023746329889, 379.0118731649445, False)
   (3, 69): (81.83520025025906, 409.1760012512953, False)
   (3, 70): (44.721359549995796, 223.60679774997897, False)
   (3, 71): (51.15662224971465, 255.78311124857325, False)
   (3, 72): (34.66987164671943, 173.34935823359714, False)
   (3, 73): (63.41135544995076, 317.0567772497538, False)
   (3, 74): (60.207972893961475, 301.03986446980736, False)
   (4, 35): (24.73863375370596, 123.6931687685298, False)
   (4, 63): (51.478150704935004, 257.390753524675, False)
   (4, 64): (39.20459156782532, 196.0229578391266, False)
   (4, 65): (30.886890422961002, 154.43445211480503, False)
   (4, 66): (29.5296461204668, 147.648230602334, False)
   (4, 67): (37.013511046643494, 185.06755523321746, False)
   (4, 68): (68.60029154456998, 343.0014577228499, False)
   (4, 69): (74.81310045707235, 374.06550228536173, False)
   (4, 70): (43.174066289845804, 215.870331449229, False)
   (4, 71): (53.33854141237835, 266.6927070618917, False)
   (4, 72): (25.495097567963924, 127.47548783981962, False)
   (4, 73): (57.28001396647874, 286.4000698323937, False)
   (4, 74): (54.67174773134658, 273.3587386567329, False)
   (5, 36): (42.941821107167776, 214.7091055358389, False)
   (5, 63): (29.154759474226502, 145.7737973711325, False)
   (5, 64): (16.0312195418814, 80.15609770940699, False)
   (5, 65): (13.92838827718412, 69.6419413859206, False)
   (5, 66): (26.68332812825267, 133.41664064126334, False)
   (5, 67): (42.5440947723653, 212.7204738618265, False)
   (5, 68): (35.014282800023196, 175.07141400011596, False)
   (5, 69): (39.45883931389772, 197.2941965694886, False)
   (5, 70): (10.198039027185569, 50.99019513592785, False)
   (5, 71): (29.068883707497267, 145.34441853748635, False)
   (5, 72): (57.0087712549569, 285.0438562747845, False)
   (5, 73): (20.024984394500787, 100.12492197250394, False)
   (5, 74): (15.132745950421556, 75.66372975210778, False)
   (6, 37): (17.029386365926403, 85.14693182963201, False)
   (6, 63): (48.093658625644196, 240.46829312822098, False)
   (6, 64): (38.07886552931954, 190.39432764659773, False)
