All relevant information about the map is below:

Total # of nodes: 84
# of robots: 34, robots_origin_location: {72: {32, 12, 29, 6}, 73: {21, 2, 10, 5}, 74: {8, 23}, 75: {3}, 76: {17, 20}, 77: {22}, 78: {4, 14}, 79: {16, 19, 13, 7}, 80: {33}, 81: {1, 9}, 82: {24, 18, 28, 34}, 83: {27, 25, 11, 15}, 84: {26, 30, 31}}
# of requests: 32, request_pairs: [(1, 33), (2, 34), (3, 35), (4, 36), (5, 37), (6, 38), (7, 39), (8, 40), (9, 41), (10, 42), (11, 43), (12, 44), (13, 45), (14, 46), (15, 47), (16, 48), (17, 49), (18, 50), (19, 51), (20, 52), (21, 53), (22, 54), (23, 55), (24, 56), (25, 57), (26, 58), (27, 59), (28, 60), (29, 61), (30, 62), (31, 63), (32, 64)]
# of depots: 13, depot nodes: [72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84]
# of service lines: 2
# of num transfers: 7, service lines mapping: {1: [65, 66, 67, 68], 2: [69, 70, 71]}
public transportation factor: 0.8
map_size: 84
outsourcing cost: 6667
robots max travel time: 373
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 5
transfer service time: 2
request nodes time windows: {1: (0, 323), 2: (1, 401), 3: (0, 354), 4: (0, 326), 5: (0, 394), 6: (0, 312), 7: (0, 319), 8: (0, 367), 9: (0, 324), 10: (0, 320), 11: (0, 285), 12: (0, 358), 13: (0, 391), 14: (0, 366), 15: (0, 394), 16: (0, 328), 17: (0, 353), 18: (0, 286), 19: (0, 368), 20: (0, 290), 21: (0, 284), 22: (0, 297), 23: (0, 295), 24: (0, 362), 25: (0, 323), 26: (0, 354), 27: (0, 308), 28: (0, 373), 29: (0, 314), 30: (0, 296), 31: (0, 317), 32: (0, 293), 33: (307, 707), 34: (132, 532), 35: (98, 498), 36: (133, 533), 37: (59, 459), 38: (258, 658), 39: (67, 467), 40: (118, 518), 41: (124, 524), 42: (166, 566), 43: (17, 417), 44: (171, 571), 45: (52, 452), 46: (343, 743), 47: (229, 629), 48: (142, 542), 49: (135, 535), 50: (187, 587), 51: (77, 477), 52: (132, 532), 53: (145, 545), 54: (252, 652), 55: (15, 415), 56: (198, 598), 57: (278, 678), 58: (121, 521), 59: (0, 396), 60: (292, 692), 61: (161, 561), 62: (0, 385), 63: (309, 709), 64: (100, 500)}
transfer nodes departure time: {65: 572, 66: 596, 67: 620, 68: 645, 69: 15, 70: 48, 71: 81}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 33): (36.235341863986875, 181.1767093199344, False)
   (1, 65): (32.31098884280702, 161.55494421403512, False)
   (1, 66): (7.280109889280518, 36.40054944640259, False)
   (1, 67): (22.627416997969522, 113.13708498984761, False)
   (1, 68): (50.0, 250.0, False)
   (1, 70): (22.135943621178654, 110.67971810589327, False)
   (1, 71): (51.478150704935004, 257.390753524675, False)
   (1, 72): (22.360679774997898, 111.80339887498948, False)
   (1, 73): (41.88078318274385, 209.40391591371923, False)
   (1, 74): (4.123105625617661, 20.615528128088304, False)
   (1, 75): (42.485291572496, 212.42645786248002, False)
   (1, 76): (34.0, 170.0, False)
   (1, 77): (15.811388300841896, 79.05694150420948, False)
   (1, 78): (34.438350715445125, 172.19175357722563, False)
   (1, 79): (60.14149981501958, 300.70749907509787, False)
   (1, 80): (29.017236257093817, 145.08618128546908, False)
   (1, 81): (12.649110640673518, 63.24555320336759, False)
   (1, 82): (31.89043743820395, 159.45218719101976, False)
   (1, 83): (32.2490309931942, 161.24515496597098, False)
   (1, 84): (34.40930106817051, 172.04650534085255, False)
   (2, 34): (66.03029607687671, 330.15148038438355, False)
   (2, 65): (22.0, 110.0, False)
   (2, 66): (42.720018726587654, 213.60009363293827, False)
   (2, 67): (67.94115100585212, 339.7057550292606, False)
   (2, 68): (94.847245611035, 474.23622805517505, False)
   (2, 70): (39.21734310225516, 196.08671551127577, False)
   (2, 71): (75.53806987208503, 377.69034936042516, False)
   (2, 72): (42.37924020083418, 211.8962010041709, False)
   (2, 73): (7.0710678118654755, 35.35533905932738, False)
   (2, 74): (47.38143096192854, 236.9071548096427, False)
   (2, 75): (11.704699910719626, 58.52349955359813, False)
   (2, 76): (74.32361670424818, 371.6180835212409, False)
   (2, 77): (59.54829972383762, 297.7414986191881, False)
   (2, 78): (79.05694150420949, 395.28470752104744, False)
   (2, 79): (71.7007670809734, 358.503835404867, False)
   (2, 80): (33.015148038438355, 165.07574019219177, False)
   (2, 81): (40.496913462633174, 202.48456731316588, False)
   (2, 82): (13.45362404707371, 67.26812023536854, False)
   (2, 83): (38.05259518088089, 190.26297590440447, False)
   (2, 84): (54.037024344425184, 270.1851217221259, False)
   (3, 35): (58.137767414994535, 290.6888370749727, False)
   (3, 65): (64.1404708432983, 320.7023542164915, False)
   (3, 66): (37.21558813185679, 186.07794065928397, False)
   (3, 67): (10.295630140987, 51.478150704935004, False)
   (3, 68): (17.4928556845359, 87.4642784226795, False)
   (3, 70): (45.69463863518345, 228.47319317591726, False)
