All relevant information about the map is below:

Total # of nodes: 77
# of robots: 36, robots_origin_location: {73: {2, 36, 7, 12, 13, 22}, 74: {32, 9, 11, 23, 25, 27}, 75: {35, 5, 6, 14, 17, 28, 29, 31}, 76: {1, 3, 8, 10, 15, 16, 18, 19}, 77: {33, 34, 4, 20, 21, 24, 26, 30}}
# of requests: 32, request_pairs: [(1, 33), (2, 34), (3, 35), (4, 36), (5, 37), (6, 38), (7, 39), (8, 40), (9, 41), (10, 42), (11, 43), (12, 44), (13, 45), (14, 46), (15, 47), (16, 48), (17, 49), (18, 50), (19, 51), (20, 52), (21, 53), (22, 54), (23, 55), (24, 56), (25, 57), (26, 58), (27, 59), (28, 60), (29, 61), (30, 62), (31, 63), (32, 64)]
# of depots: 5, depot nodes: [73, 74, 75, 76, 77]
# of service lines: 2
# of num transfers: 8, service lines mapping: {1: [65, 66, 67, 68], 2: [69, 70, 71, 72]}
public transportation factor: 0.8
map_size: 77
outsourcing cost: 8333
robots max travel time: 10
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 8
depot service time: 2
transfer capacity: 3
transfer service time: 2
request nodes time windows: {1: (0, 391), 2: (0, 338), 3: (0, 315), 4: (0, 278), 5: (0, 341), 6: (0, 389), 7: (0, 390), 8: (0, 295), 9: (0, 284), 10: (0, 279), 11: (0, 340), 12: (0, 374), 13: (0, 312), 14: (0, 286), 15: (0, 352), 16: (0, 369), 17: (0, 317), 18: (0, 329), 19: (0, 332), 20: (0, 297), 21: (0, 318), 22: (0, 374), 23: (0, 354), 24: (0, 285), 25: (0, 391), 26: (0, 305), 27: (0, 330), 28: (0, 352), 29: (0, 375), 30: (0, 278), 31: (0, 387), 32: (0, 344), 33: (258, 658), 34: (147, 547), 35: (287, 687), 36: (252, 652), 37: (45, 445), 38: (124, 524), 39: (329, 729), 40: (219, 619), 41: (44, 444), 42: (0, 365), 43: (70, 470), 44: (16, 416), 45: (2, 402), 46: (161, 561), 47: (297, 697), 48: (189, 589), 49: (316, 716), 50: (207, 607), 51: (118, 518), 52: (37, 437), 53: (134, 534), 54: (33, 433), 55: (4, 404), 56: (227, 627), 57: (156, 556), 58: (212, 612), 59: (252, 652), 60: (236, 636), 61: (123, 523), 62: (214, 614), 63: (187, 587), 64: (173, 573)}
transfer nodes departure time: {65: 331, 66: 353, 67: 375, 68: 402, 69: 269, 70: 291, 71: 314, 72: 339}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 69): (9.219544457292887, 46.09772228646443, False)
   (2, 76): (9.486832980505138, 47.434164902525694, False)
   (3, 69): (8.602325267042627, 43.01162633521314, False)
   (3, 73): (8.246211251235321, 41.23105625617661, False)
   (5, 67): (9.433981132056603, 47.169905660283014, False)
   (5, 71): (4.123105625617661, 20.615528128088304, False)
   (12, 75): (5.656854249492381, 28.284271247461902, False)
   (15, 67): (7.0710678118654755, 35.35533905932738, False)
   (15, 71): (5.656854249492381, 28.284271247461902, False)
   (18, 68): (4.0, 20.0, False)
   (20, 74): (5.0, 25.0, False)
   (22, 76): (8.602325267042627, 43.01162633521314, False)
   (24, 68): (8.54400374531753, 42.720018726587654, False)
   (32, 65): (6.324555320336759, 31.622776601683796, False)
   (32, 69): (9.219544457292887, 46.09772228646443, False)
   (34, 67): (10.0, 50.0, False)
   (35, 72): (7.0710678118654755, 35.35533905932738, False)
   (36, 66): (6.324555320336759, 31.622776601683796, False)
   (36, 70): (7.0710678118654755, 35.35533905932738, False)
   (39, 68): (4.242640687119285, 21.213203435596423, False)
   (45, 70): (7.0, 35.0, False)
   (45, 77): (5.0990195135927845, 25.495097567963924, False)
   (47, 66): (5.656854249492381, 28.284271247461902, False)
   (51, 65): (7.211102550927978, 36.05551275463989, False)
   (51, 69): (7.280109889280518, 36.40054944640259, False)
   (51, 73): (7.810249675906654, 39.05124837953327, False)
   (63, 66): (5.0, 25.0, False)
   (63, 70): (6.708203932499369, 33.54101966249685, False)
   (65, 32): (6.324555320336759, 31.622776601683796, False)
   (65, 51): (7.211102550927978, 36.05551275463989, False)
   (65, 66): (19.75854245636555, 96.81685803619119, True)
   (65, 67): (41.1170849127311, 191.65786182674583, True)
   (65, 68): (67.5291535775188, 308.7799371720903, True)
   (66, 36): (6.324555320336759, 31.622776601683796, False)
   (66, 47): (5.656854249492381, 28.284271247461902, False)
   (66, 63): (5.0, 25.0, False)
   (66, 67): (19.75854245636555, 96.81685803619119, True)
   (66, 68): (46.17084248698919, 216.16858606189754, True)
   (67, 34): (10.0, 50.0, False)
   (67, 68): (24.81289987083332, 121.58320936708326, True)
   (68, 39): (4.242640687119285, 21.213203435596423, False)
   (69, 1): (9.219544457292887, 46.09772228646443, False)
   (69, 3): (8.602325267042627, 43.01162633521314, False)
   (69, 32): (9.219544457292887, 46.09772228646443, False)
   (69, 51): (7.280109889280518, 36.40054944640259, False)
   (69, 70): (20.0, 98.0, True)
   (69, 71): (42.242834546817726, 197.11774755206594, True)
   (69, 72): (66.25299358476171, 302.6543692068562, True)
   (69, 73): (7.0710678118654755, 35.35533905932738, False)
   (70, 36): (7.0710678118654755, 35.35533905932738, False)
   (70, 45): (7.0, 35.0, False)
   (70, 47): (7.615773105863909, 38.07886552931954, False)
   (70, 63): (6.708203932499369, 33.54101966249685, False)
   (70, 71): (20.645580640902306, 101.16334514042128, True)
   (70, 72): (44.659029250553246, 208.83629186518323, True)
   (71, 5): (4.123105625617661, 20.615528128088304, False)
   (71, 15): (5.656854249492381, 28.284271247461902, False)
   (71, 72): (22.414281161795042, 109.8299776927957, True)
   (72, 35): (7.0710678118654755, 35.35533905932738, False)
   (73, 3): (8.246211251235321, 41.23105625617661, False)
   (73, 69): (7.0710678118654755, 35.35533905932738, False)
   (74, 20): (5.0, 25.0, False)
   (75, 12): (5.656854249492381, 28.284271247461902, False)
   (75, 77): (8.48528137423857, 42.426406871192846, False)
   (76, 2): (9.486832980505138, 47.434164902525694, False)
   (76, 22): (8.602325267042627, 43.01162633521314, False)
   (77, 75): (8.48528137423857, 42.426406871192846, False)
