All relevant information about the map is below:

Total # of nodes: 80
# of robots: 28, robots_origin_location: {70: {11, 3, 12, 21}, 71: {18, 13, 6, 22}, 72: {25, 19, 15}, 73: {8, 16, 5, 23}, 74: set(), 75: set(), 76: {26, 4}, 77: {1, 28, 9, 17}, 78: {24, 2, 20}, 79: {10, 7}, 80: {27, 14}}
# of requests: 33, request_pairs: [(1, 34), (2, 35), (3, 36), (4, 37), (5, 38), (6, 39), (7, 40), (8, 41), (9, 42), (10, 43), (11, 44), (12, 45), (13, 46), (14, 47), (15, 48), (16, 49), (17, 50), (18, 51), (19, 52), (20, 53), (21, 54), (22, 55), (23, 56), (24, 57), (25, 58), (26, 59), (27, 60), (28, 61), (29, 62), (30, 63), (31, 64), (32, 65), (33, 66)]
# of depots: 11, depot nodes: [70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80]
# of service lines: 2
# of num transfers: 3, service lines mapping: {1: [67, 68], 2: [69]}
public transportation factor: 0.8
map_size: 80
outsourcing cost: 4583
robots max travel time: 109
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 6
transfer service time: 2
request nodes time windows: {1: (0, 311), 2: (0, 357), 3: (0, 348), 4: (0, 316), 5: (0, 314), 6: (0, 323), 7: (0, 297), 8: (0, 347), 9: (0, 315), 10: (0, 338), 11: (0, 315), 12: (0, 307), 13: (0, 359), 14: (0, 324), 15: (0, 302), 16: (0, 300), 17: (0, 334), 18: (0, 323), 19: (0, 281), 20: (0, 285), 21: (0, 338), 22: (0, 291), 23: (0, 364), 24: (0, 390), 25: (0, 381), 26: (0, 323), 27: (0, 341), 28: (0, 368), 29: (0, 308), 30: (0, 349), 31: (0, 344), 32: (0, 394), 33: (0, 383), 34: (139, 539), 35: (7, 407), 36: (216, 616), 37: (140, 540), 38: (98, 498), 39: (101, 501), 40: (208, 608), 41: (235, 635), 42: (217, 617), 43: (86, 486), 44: (148, 548), 45: (170, 570), 46: (62, 462), 47: (229, 629), 48: (77, 477), 49: (2, 402), 50: (214, 614), 51: (180, 580), 52: (176, 576), 53: (162, 562), 54: (51, 451), 55: (0, 344), 56: (159, 559), 57: (337, 737), 58: (258, 658), 59: (286, 686), 60: (125, 525), 61: (148, 548), 62: (243, 643), 63: (198, 598), 64: (149, 549), 65: (62, 462), 66: (131, 531)}
transfer nodes departure time: {67: 78, 68: 137, 69: 53}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 34): (36.359317925395686, 181.79658962697843, False)
   (1, 67): (68.8839603971781, 344.4198019858905, False)
   (1, 68): (2.23606797749979, 11.180339887498949, False)
   (1, 69): (26.248809496813376, 131.24404748406687, False)
   (1, 70): (73.00684899377592, 365.0342449688796, False)
   (1, 71): (64.28063471995279, 321.40317359976393, False)
   (1, 72): (45.65084884205331, 228.25424421026653, False)
   (1, 73): (61.26989472816156, 306.3494736408078, False)
   (1, 74): (57.697486947006624, 288.4874347350331, False)
   (1, 75): (40.311288741492746, 201.55644370746373, False)
   (1, 76): (53.85164807134504, 269.2582403567252, False)
   (1, 77): (14.142135623730951, 70.71067811865476, False)
   (1, 78): (63.12685640834652, 315.6342820417326, False)
   (1, 79): (42.37924020083418, 211.8962010041709, False)
   (1, 80): (44.68780594300866, 223.43902971504332, False)
   (2, 35): (18.973665961010276, 94.86832980505139, False)
   (2, 68): (11.661903789690601, 58.309518948453004, False)
   (2, 69): (39.92492955535426, 199.6246477767713, False)
   (2, 70): (75.92759709091287, 379.63798545456433, False)
   (2, 71): (71.25307010929424, 356.2653505464712, False)
   (2, 72): (58.008620049092706, 290.0431002454635, False)
   (2, 73): (63.788713735268246, 318.9435686763412, False)
   (2, 74): (69.6419413859206, 348.20970692960304, False)
   (2, 75): (52.03844732503075, 260.1922366251538, False)
   (2, 76): (66.40030120413611, 332.00150602068055, False)
   (2, 77): (5.385164807134504, 26.92582403567252, False)
   (2, 78): (70.45565981523414, 352.2782990761707, False)
   (2, 79): (47.042533945356304, 235.2126697267815, False)
   (2, 80): (58.412327466040935, 292.0616373302047, False)
   (3, 36): (34.40930106817051, 172.04650534085255, False)
   (3, 67): (52.630789467763066, 263.1539473388153, False)
   (3, 68): (18.0, 90.0, False)
   (3, 69): (28.460498941515414, 142.30249470757707, False)
   (3, 70): (56.824290580701486, 284.1214529035074, False)
   (3, 71): (47.16990566028302, 235.8495283014151, False)
   (3, 72): (33.24154027718932, 166.20770138594662, False)
   (3, 73): (45.48626166217664, 227.4313083108832, False)
   (3, 74): (44.204072210600685, 221.02036105300343, False)
   (3, 75): (47.41307836451879, 237.06539182259394, False)
   (3, 76): (41.72529209005013, 208.62646045025065, False)
   (3, 77): (22.47220505424423, 112.36102527122115, False)
   (3, 78): (46.04345773288535, 230.21728866442675, False)
