All relevant information about the map is below:

Total # of nodes: 109
# of robots: 28, robots_origin_location: {97: {1, 7}, 98: {16, 2}, 99: {17, 26}, 100: {4}, 101: {9, 25}, 102: {3, 20}, 103: {19}, 104: {27, 23}, 105: {28, 21}, 106: {24, 18, 22}, 107: {13, 5, 14}, 108: {10, 12, 6}, 109: {8, 11, 15}}
# of requests: 33, request_pairs: [(1, 34), (2, 35), (3, 36), (4, 37), (5, 38), (6, 39), (7, 40), (8, 41), (9, 42), (10, 43), (11, 44), (12, 45), (13, 46), (14, 47), (15, 48), (16, 49), (17, 50), (18, 51), (19, 52), (20, 53), (21, 54), (22, 55), (23, 56), (24, 57), (25, 58), (26, 59), (27, 60), (28, 61), (29, 62), (30, 63), (31, 64), (32, 65), (33, 66)]
# of depots: 13, depot nodes: [97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]
# of service lines: 3
# of num transfers: 30, service lines mapping: {1: [67, 68, 69, 70, 71, 72, 73, 74, 75, 76], 2: [77, 78, 79, 80, 81, 82, 83, 84, 85, 86], 3: [87, 88, 89, 90, 91, 92, 93, 94, 95, 96]}
public transportation factor: 0.4
map_size: 109
outsourcing cost: 2917
robots max travel time: 1000
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 5
transfer service time: 2
request nodes time windows: {1: (46, 446), 2: (0, 329), 3: (60, 460), 4: (54, 454), 5: (0, 344), 6: (23, 423), 7: (0, 345), 8: (0, 334), 9: (0, 364), 10: (0, 313), 11: (0, 323), 12: (0, 381), 13: (0, 388), 14: (0, 336), 15: (0, 387), 16: (18, 418), 17: (0, 336), 18: (0, 349), 19: (0, 356), 20: (0, 309), 21: (0, 379), 22: (0, 330), 23: (0, 357), 24: (0, 400), 25: (0, 338), 26: (13, 413), 27: (23, 423), 28: (42, 442), 29: (0, 313), 30: (0, 319), 31: (0, 382), 32: (0, 357), 33: (46, 446), 34: (366, 766), 35: (242, 642), 36: (265, 665), 37: (246, 646), 38: (20, 420), 39: (329, 729), 40: (146, 546), 41: (235, 635), 42: (269, 669), 43: (263, 663), 44: (105, 505), 45: (358, 758), 46: (191, 591), 47: (253, 653), 48: (349, 749), 49: (282, 682), 50: (87, 487), 51: (156, 556), 52: (324, 724), 53: (255, 655), 54: (181, 581), 55: (102, 502), 56: (0, 391), 57: (250, 650), 58: (331, 731), 59: (171, 571), 60: (402, 802), 61: (157, 557), 62: (310, 710), 63: (308, 708), 64: (132, 532), 65: (147, 547), 66: (222, 622)}
transfer nodes departure time: {67: 44, 68: 50, 69: 56, 70: 62, 71: 68, 72: 74, 73: 80, 74: 86, 75: 92, 76: 100, 77: 527, 78: 533, 79: 539, 80: 546, 81: 552, 82: 559, 83: 565, 84: 572, 85: 578, 86: 585, 87: 125, 88: 131, 89: 137, 90: 143, 91: 149, 92: 155, 93: 161, 94: 167, 95: 173, 96: 180}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 34): (108.37435120913067, 541.8717560456533, False)
   (1, 75): (35.35533905932738, 176.7766952966369, False)
   (1, 76): (32.2490309931942, 161.24515496597098, False)
   (1, 77): (108.2266141020775, 541.1330705103875, False)
   (1, 78): (98.6154146165801, 493.0770730829005, False)
   (1, 79): (89.06739021662193, 445.3369510831096, False)
   (1, 80): (78.71467461661771, 393.57337308308854, False)
   (1, 81): (69.35416353759881, 346.77081768799405, False)
   (1, 82): (59.23681287847955, 296.1840643923977, False)
   (1, 83): (50.28916384272063, 251.44581921360316, False)
   (1, 84): (40.792156108742276, 203.9607805437114, False)
   (1, 85): (33.015148038438355, 165.07574019219177, False)
   (1, 86): (25.0, 125.0, False)
   (1, 89): (78.77182237323191, 393.85911186615954, False)
   (1, 90): (72.56031973468694, 362.8015986734347, False)
   (1, 91): (65.7419196555744, 328.70959827787203, False)
   (1, 92): (59.23681287847955, 296.1840643923977, False)
   (1, 93): (54.120236510939236, 270.60118255469615, False)
   (1, 94): (48.662100242385755, 243.31050121192877, False)
   (1, 95): (45.0111097397076, 225.055548698538, False)
   (1, 96): (40.024992192379, 200.124960961895, False)
   (1, 97): (7.615773105863909, 38.07886552931954, False)
   (1, 98): (44.9221548904324, 224.61077445216202, False)
   (1, 99): (56.356011214421486, 281.7800560721074, False)
   (1, 100): (94.25497334358543, 471.2748667179272, False)
   (1, 101): (110.02272492535349, 550.1136246267674, False)
   (1, 102): (73.35529974037323, 366.7764987018661, False)
   (1, 103): (96.00520819205592, 480.0260409602796, False)
   (1, 104): (33.0, 165.0, False)
   (1, 105): (57.48912940721924, 287.4456470360962, False)
   (1, 106): (33.734255586866, 168.67127793433, False)
   (1, 107): (28.0, 140.0, False)
   (1, 108): (28.30194339616981, 141.50971698084905, False)
   (1, 109): (32.38826948140329, 161.94134740701645, False)
   (2, 35): (57.14017850864661, 285.70089254323307, False)
   (2, 70): (52.92447448959697, 264.62237244798484, False)
   (2, 71): (45.60701700396552, 228.0350850198276, False)
   (2, 72): (40.19950248448356, 200.9975124224178, False)
   (2, 73): (35.22782990761707, 176.13914953808535, False)
   (2, 74): (32.31098884280702, 161.55494421403512, False)
   (2, 75): (32.802438933713454, 164.01219466856728, False)
   (2, 76): (36.359317925395686, 181.79658962697843, False)
   (2, 77): (93.02150289046077, 465.1075144523038, False)
   (2, 78): (83.6719785830358, 418.359892915179, False)
   (2, 79): (74.46475676452586, 372.3237838226293, False)
   (2, 80): (64.51356446515724, 322.5678223257862, False)
   (2, 81): (55.78530272392541, 278.92651361962703, False)
   (2, 82): (46.52956049652737, 232.64780248263685, False)
   (2, 83): (39.0, 195.0, False)
   (2, 84): (31.78049716414141, 158.90248582070706, False)
   (2, 85): (27.784887978899608, 138.92443989449805, False)
   (2, 86): (26.627053911388696, 133.13526955694348, False)
   (2, 87): (76.55063683601855, 382.7531841800928, False)
   (2, 88): (70.32780389006896, 351.6390194503448, False)
   (2, 89): (63.50590523722971, 317.5295261861486, False)
   (2, 90): (57.9396237474839, 289.6981187374195, False)
   (2, 91): (51.92301994298868, 259.6150997149434, False)
   (2, 92): (46.52956049652737, 232.64780248263685, False)
   (2, 93): (43.0, 215.0, False)
   (2, 94): (39.6232255123179, 198.1161275615895, False)
   (2, 95): (38.62641583165593, 193.13207915827968, False)
   (2, 96): (38.41874542459709, 192.09372712298546, False)
   (2, 97): (18.110770276274835, 90.55385138137417, False)
   (2, 98): (34.058772731852805, 170.29386365926402, False)
   (2, 99): (42.44997055358225, 212.24985276791125, False)
   (2, 100): (91.706052144883, 458.53026072441503, False)
   (2, 101): (105.34229919647663, 526.7114959823832, False)
   (2, 102): (59.135437767890075, 295.67718883945037, False)
   (2, 103): (94.87360012142472, 474.3680006071236, False)
   (2, 104): (48.83646178829912, 244.1823089414956, False)
   (2, 105): (40.311288741492746, 201.55644370746373, False)
   (2, 106): (48.041648597857254, 240.20824298928628, False)
   (2, 107): (43.93176527297759, 219.65882636488797, False)
   (2, 108): (10.816653826391969, 54.083269131959845, False)
   (2, 109): (47.16990566028302, 235.8495283014151, False)
   (3, 36): (94.06912352095134, 470.3456176047567, False)
   (3, 77): (15.620499351813308, 78.10249675906654, False)
   (3, 78): (19.235384061671343, 96.17692030835671, False)
   (3, 79): (26.30589287593181, 131.52946437965906, False)
   (3, 80): (35.73513677041127, 178.67568385205635, False)
   (3, 81): (44.77722635447622, 223.8861317723811, False)
   (3, 82): (55.00909015790027, 275.04545078950133, False)
   (3, 83): (64.4980619863884, 322.49030993194197, False)
   (3, 84): (74.94664769020693, 374.73323845103465, False)
   (3, 85): (84.59905436823747, 422.9952718411874, False)
   (3, 86): (96.51942809610924, 482.59714048054616, False)
   (3, 87): (32.57299494980466, 162.8649747490233, False)
   (3, 88): (34.132096331752024, 170.66048165876012, False)
   (3, 89): (38.2099463490856, 191.049731745428, False)
   (3, 90): (42.44997055358225, 212.24985276791125, False)
   (3, 91): (48.46648326421054, 242.33241632105268, False)
   (3, 92): (55.00909015790027, 275.04545078950133, False)
   (3, 93): (61.05735008989499, 305.28675044947494, False)
