All relevant information about the map is below:

Total # of nodes: 87
# of robots: 36, robots_origin_location: {80: {16, 23, 28, 15}, 81: {24, 9}, 82: {35, 5, 6, 17, 21}, 83: {8, 18, 19}, 84: {10, 11, 14, 29, 30, 31}, 85: {2, 3, 36, 7, 25, 27}, 86: {1, 26, 12, 34}, 87: {32, 33, 4, 13, 20, 22}}
# of requests: 35, request_pairs: [(1, 36), (2, 37), (3, 38), (4, 39), (5, 40), (6, 41), (7, 42), (8, 43), (9, 44), (10, 45), (11, 46), (12, 47), (13, 48), (14, 49), (15, 50), (16, 51), (17, 52), (18, 53), (19, 54), (20, 55), (21, 56), (22, 57), (23, 58), (24, 59), (25, 60), (26, 61), (27, 62), (28, 63), (29, 64), (30, 65), (31, 66), (32, 67), (33, 68), (34, 69), (35, 70)]
# of depots: 8, depot nodes: [80, 81, 82, 83, 84, 85, 86, 87]
# of service lines: 1
# of num transfers: 9, service lines mapping: {1: [71, 72, 73, 74, 75, 76, 77, 78, 79]}
public transportation factor: 1.0
map_size: 87
outsourcing cost: 1667
robots max travel time: 208
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 6
depot service time: 2
transfer capacity: 4
transfer service time: 2
request nodes time windows: {1: (0, 337), 2: (0, 364), 3: (0, 381), 4: (0, 351), 5: (0, 333), 6: (0, 364), 7: (0, 346), 8: (0, 332), 9: (0, 325), 10: (0, 352), 11: (0, 324), 12: (0, 397), 13: (0, 389), 14: (2, 402), 15: (0, 318), 16: (0, 311), 17: (0, 336), 18: (0, 335), 19: (0, 311), 20: (0, 379), 21: (0, 378), 22: (0, 364), 23: (0, 293), 24: (0, 346), 25: (0, 321), 26: (0, 336), 27: (0, 294), 28: (0, 355), 29: (0, 317), 30: (0, 311), 31: (0, 396), 32: (15, 415), 33: (0, 319), 34: (0, 316), 35: (0, 347), 36: (83, 483), 37: (87, 487), 38: (73, 473), 39: (334, 734), 40: (0, 382), 41: (223, 623), 42: (98, 498), 43: (36, 436), 44: (83, 483), 45: (329, 729), 46: (45, 445), 47: (358, 758), 48: (270, 670), 49: (294, 694), 50: (92, 492), 51: (235, 635), 52: (49, 449), 53: (215, 615), 54: (46, 446), 55: (78, 478), 56: (339, 739), 57: (155, 555), 58: (50, 450), 59: (56, 456), 60: (276, 676), 61: (34, 434), 62: (47, 447), 63: (76, 476), 64: (276, 676), 65: (144, 544), 66: (177, 577), 67: (251, 651), 68: (42, 442), 69: (86, 486), 70: (293, 693)}
transfer nodes departure time: {71: 523, 72: 536, 73: 548, 74: 560, 75: 573, 76: 585, 77: 597, 78: 610, 79: 625}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 36): (51.97114584074513, 259.8557292037257, False)
   (1, 71): (67.62396025078685, 338.11980125393427, False)
   (1, 72): (58.249463516842795, 291.247317584214, False)
   (1, 73): (50.11985634456667, 250.59928172283335, False)
   (1, 74): (42.720018726587654, 213.60009363293827, False)
   (1, 75): (35.510561809129406, 177.55280904564702, False)
   (1, 76): (31.144823004794873, 155.72411502397438, False)
   (1, 77): (29.546573405388315, 147.73286702694156, False)
   (1, 78): (30.4138126514911, 152.0690632574555, False)
   (1, 79): (37.12142238654117, 185.60711193270583, False)
   (1, 80): (58.66856057549052, 293.3428028774526, False)
   (1, 81): (61.68468205316454, 308.4234102658227, False)
   (1, 82): (38.47076812334269, 192.35384061671343, False)
   (1, 83): (72.01388754955533, 360.06943774777665, False)
   (1, 84): (26.248809496813376, 131.24404748406687, False)
   (1, 85): (51.22499389946279, 256.12496949731394, False)
   (1, 86): (41.048751503547585, 205.24375751773792, False)
   (1, 87): (57.0087712549569, 285.0438562747845, False)
   (2, 37): (57.723478758647246, 288.61739379323626, False)
   (2, 71): (35.608987629529715, 178.04493814764857, False)
   (2, 72): (35.4682957019364, 177.341478509682, False)
   (2, 73): (37.21558813185679, 186.07794065928397, False)
   (2, 74): (41.30375285612676, 206.51876428063383, False)
   (2, 75): (48.08326112068523, 240.41630560342614, False)
   (2, 76): (55.036351623268054, 275.1817581163403, False)
   (2, 77): (62.76941930590086, 313.8470965295043, False)
   (2, 78): (71.84705978674423, 359.23529893372114, False)
   (2, 79): (83.09632964216891, 415.4816482108446, False)
   (2, 80): (57.4543296888929, 287.2716484444645, False)
   (2, 81): (22.090722034374522, 110.45361017187261, False)
   (2, 82): (82.97590011563598, 414.8795005781799, False)
   (2, 83): (53.45091205957107, 267.25456029785533, False)
   (2, 84): (64.0, 320.0, False)
   (2, 85): (66.21933252457322, 331.0966626228661, False)
   (2, 86): (63.702433234531945, 318.5121661726597, False)
   (2, 87): (49.64876634922564, 248.2438317461282, False)
   (3, 38): (18.027756377319946, 90.13878188659973, False)
   (3, 71): (62.36184731067546, 311.8092365533773, False)
   (3, 72): (55.54277630799526, 277.7138815399763, False)
   (3, 73): (49.39635614091387, 246.98178070456936, False)
   (3, 74): (44.598206241955516, 222.9910312097776, False)
   (3, 75): (42.43819034784589, 212.19095173922943, False)
   (3, 76): (41.78516483155236, 208.92582415776178, False)
   (3, 77): (43.41658669218482, 217.0829334609241, False)
   (3, 78): (48.093658625644196, 240.46829312822098, False)
   (3, 79): (55.08175741568164, 275.40878707840824, False)
   (3, 80): (21.95449840010015, 109.77249200050075, False)
   (3, 81): (37.64306044943742, 188.2153022471871, False)
   (3, 82): (54.405882034941776, 272.02941017470886, False)
   (3, 83): (13.92838827718412, 69.6419413859206, False)
   (3, 84): (65.21502894272147, 326.07514471360736, False)
   (3, 85): (33.1058907144937, 165.52945357246847, False)
   (3, 86): (36.345563690772494, 181.72781845386248, False)
   (3, 87): (17.26267650163207, 86.31338250816034, False)
   (4, 39): (63.12685640834652, 315.6342820417326, False)
   (4, 71): (81.41252974819048, 407.0626487409524, False)
   (4, 72): (71.11961754677819, 355.5980877338909, False)
   (4, 73): (61.29437168288782, 306.4718584144391, False)
   (4, 74): (51.478150704935004, 257.390753524675, False)
   (4, 75): (41.182520563948, 205.91260281974002, False)
   (4, 76): (31.38470965295043, 156.92354826475216, False)
   (4, 77): (21.633307652783937, 108.16653826391969, False)
   (4, 78): (11.40175425099138, 57.0087712549569, False)
   (4, 79): (3.605551275463989, 18.027756377319946, False)
   (4, 80): (36.013886210738214, 180.06943105369106, False)
   (4, 81): (65.11528238439882, 325.5764119219941, False)
   (4, 82): (5.0, 25.0, False)
   (4, 83): (50.00999900019995, 250.04999500099973, False)
   (4, 84): (50.039984012787215, 250.19992006393608, False)
   (4, 85): (25.079872407968907, 125.39936203984453, False)
   (4, 86): (20.248456731316587, 101.24228365658294, False)
   (4, 87): (39.05124837953327, 195.25624189766634, False)
   (5, 40): (27.784887978899608, 138.92443989449805, False)
   (5, 71): (54.230987451824994, 271.15493725912495, False)
   (5, 72): (44.01136216933077, 220.05681084665386, False)
   (5, 73): (34.17601498127012, 170.88007490635061, False)
   (5, 74): (24.351591323771842, 121.75795661885921, False)
   (5, 75): (14.317821063276353, 71.58910531638176, False)
   (5, 76): (5.0990195135927845, 25.495097567963924, False)
   (5, 77): (6.4031242374328485, 32.01562118716424, False)
   (5, 78): (16.401219466856727, 82.00609733428364, False)
   (5, 79): (29.154759474226502, 145.7737973711325, False)
   (5, 80): (28.319604517012593, 141.59802258506295, False)
   (5, 81): (37.48332962798263, 187.41664813991315, False)
   (5, 82): (29.5296461204668, 147.648230602334, False)
   (5, 83): (40.22437072223753, 201.12185361118765, False)
