All relevant information about the map is below:

Total # of nodes: 102
# of robots: 37, robots_origin_location: {89: {24, 10, 26, 21}, 90: {25, 27, 28, 33}, 91: {35, 15}, 92: {17, 18}, 93: {19, 20}, 94: set(), 95: {8, 2, 29, 7}, 96: {36, 37, 6}, 97: {1, 13, 9, 14}, 98: {5, 23}, 99: {16, 34, 4, 30}, 100: {32}, 101: {12, 31}, 102: {11, 3, 22}}
# of requests: 35, request_pairs: [(1, 36), (2, 37), (3, 38), (4, 39), (5, 40), (6, 41), (7, 42), (8, 43), (9, 44), (10, 45), (11, 46), (12, 47), (13, 48), (14, 49), (15, 50), (16, 51), (17, 52), (18, 53), (19, 54), (20, 55), (21, 56), (22, 57), (23, 58), (24, 59), (25, 60), (26, 61), (27, 62), (28, 63), (29, 64), (30, 65), (31, 66), (32, 67), (33, 68), (34, 69), (35, 70)]
# of depots: 14, depot nodes: [89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102]
# of service lines: 2
# of num transfers: 18, service lines mapping: {1: [71, 72, 73, 74, 75, 76, 77, 78, 79], 2: [80, 81, 82, 83, 84, 85, 86, 87, 88]}
public transportation factor: 1.0
map_size: 102
outsourcing cost: 8333
robots max travel time: 637
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 8
transfer service time: 2
request nodes time windows: {1: (0, 328), 2: (17, 417), 3: (23, 423), 4: (21, 421), 5: (0, 350), 6: (0, 379), 7: (3, 403), 8: (6, 406), 9: (0, 347), 10: (0, 341), 11: (42, 442), 12: (0, 329), 13: (0, 364), 14: (0, 350), 15: (14, 414), 16: (15, 415), 17: (0, 399), 18: (0, 317), 19: (0, 384), 20: (0, 314), 21: (0, 321), 22: (0, 382), 23: (0, 399), 24: (0, 318), 25: (0, 357), 26: (0, 361), 27: (4, 404), 28: (36, 436), 29: (0, 390), 30: (17, 417), 31: (0, 364), 32: (0, 345), 33: (0, 318), 34: (0, 308), 35: (0, 387), 36: (78, 478), 37: (376, 776), 38: (384, 784), 39: (225, 625), 40: (43, 443), 41: (222, 622), 42: (96, 496), 43: (85, 485), 44: (207, 607), 45: (90, 490), 46: (432, 832), 47: (212, 612), 48: (67, 467), 49: (248, 648), 50: (214, 614), 51: (192, 592), 52: (220, 620), 53: (63, 463), 54: (103, 503), 55: (30, 430), 56: (255, 655), 57: (191, 591), 58: (216, 616), 59: (289, 689), 60: (353, 753), 61: (283, 683), 62: (319, 719), 63: (248, 648), 64: (136, 536), 65: (202, 602), 66: (14, 414), 67: (230, 630), 68: (56, 456), 69: (28, 428), 70: (76, 476)}
transfer nodes departure time: {71: 650, 72: 661, 73: 672, 74: 683, 75: 694, 76: 705, 77: 717, 78: 728, 79: 745, 80: 697, 81: 712, 82: 726, 83: 740, 84: 755, 85: 769, 86: 783, 87: 798, 88: 820}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 36): (12.083045973594572, 60.41522986797286, False)
   (1, 71): (77.27871634544663, 386.39358172723314, False)
   (1, 72): (68.8839603971781, 344.4198019858905, False)
   (1, 73): (60.530983801686226, 302.65491900843114, False)
   (1, 74): (52.23983154643591, 261.1991577321795, False)
   (1, 75): (44.04543109109048, 220.2271554554524, False)
   (1, 76): (36.013886210738214, 180.06943105369106, False)
   (1, 77): (27.294688127912362, 136.4734406395618, False)
   (1, 78): (20.248456731316587, 101.24228365658294, False)
   (1, 79): (13.0, 65.0, False)
   (1, 80): (77.10382610480494, 385.5191305240247, False)
   (1, 81): (67.1863081289633, 335.93154064481655, False)
   (1, 82): (58.034472514187634, 290.17236257093816, False)
   (1, 83): (49.8196748283246, 249.098374141623, False)
   (1, 84): (43.46262762420146, 217.31313812100728, False)
   (1, 85): (39.20459156782532, 196.0229578391266, False)
   (1, 86): (38.01315561749642, 190.0657780874821, False)
   (1, 87): (41.10960958218893, 205.54804791094466, False)
   (1, 88): (51.088159097779204, 255.44079548889601, False)
   (1, 89): (90.0499861188218, 450.24993059410906, False)
   (1, 90): (10.44030650891055, 52.201532544552755, False)
   (1, 91): (50.566787519082126, 252.83393759541065, False)
   (1, 92): (38.41874542459709, 192.09372712298546, False)
   (1, 93): (73.348483283569, 366.742416417845, False)
   (1, 94): (14.035668847618199, 70.178344238091, False)
   (1, 95): (87.84645695758026, 439.2322847879013, False)
   (1, 96): (17.08800749063506, 85.44003745317531, False)
   (1, 97): (85.63293758829018, 428.1646879414509, False)
   (1, 98): (75.71657678474378, 378.5828839237189, False)
   (1, 99): (45.221676218380054, 226.10838109190027, False)
   (1, 100): (14.0, 70.0, False)
   (1, 101): (71.34423592694787, 356.72117963473937, False)
   (1, 102): (106.15083607772479, 530.7541803886239, False)
   (2, 37): (98.6154146165801, 493.0770730829005, False)
   (2, 71): (60.166435825965294, 300.8321791298265, False)
   (2, 72): (51.62363799656123, 258.11818998280614, False)
   (2, 73): (43.08131845707603, 215.40659228538016, False)
   (2, 74): (34.539832078341085, 172.69916039170542, False)
   (2, 75): (26.0, 130.0, False)
   (2, 76): (17.46424919657298, 87.3212459828649, False)
   (2, 77): (8.06225774829855, 40.311288741492746, False)
   (2, 78): (2, 10, False)
   (2, 79): (15.524174696260024, 77.62087348130012, False)
   (2, 80): (90.24965373894794, 451.2482686947397, False)
   (2, 81): (79.05694150420949, 395.28470752104744, False)
   (2, 82): (68.41052550594829, 342.0526275297414, False)
   (2, 83): (58.05170109479997, 290.25850547399983, False)
   (2, 84): (48.093658625644196, 240.46829312822098, False)
   (2, 85): (39.20459156782532, 196.0229578391266, False)
   (2, 86): (31.953090617340916, 159.76545308670458, False)
   (2, 87): (28.319604517012593, 141.59802258506295, False)
   (2, 88): (31.400636936215164, 157.00318468107582, False)
   (2, 89): (89.56003573022959, 447.8001786511479, False)
   (2, 90): (14.866068747318506, 74.33034373659252, False)
