All relevant information about the map is below:

Total # of nodes: 93
# of robots: 33, robots_origin_location: {87: {2, 4, 6, 12, 13}, 88: {9, 15, 17, 20, 24}, 89: {8, 10, 19, 21, 23}, 90: {33, 14, 30}, 91: {32, 1, 11, 18, 25}, 92: {3, 16, 22, 27, 28}, 93: {5, 7, 26, 29, 31}}
# of requests: 37, request_pairs: [(1, 38), (2, 39), (3, 40), (4, 41), (5, 42), (6, 43), (7, 44), (8, 45), (9, 46), (10, 47), (11, 48), (12, 49), (13, 50), (14, 51), (15, 52), (16, 53), (17, 54), (18, 55), (19, 56), (20, 57), (21, 58), (22, 59), (23, 60), (24, 61), (25, 62), (26, 63), (27, 64), (28, 65), (29, 66), (30, 67), (31, 68), (32, 69), (33, 70), (34, 71), (35, 72), (36, 73), (37, 74)]
# of depots: 7, depot nodes: [87, 88, 89, 90, 91, 92, 93]
# of service lines: 4
# of num transfers: 12, service lines mapping: {1: [75, 76, 77], 2: [78, 79, 80], 3: [81, 82, 83], 4: [84, 85, 86]}
public transportation factor: 0.6
map_size: 93
outsourcing cost: 8333
robots max travel time: 109
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 5
depot service time: 2
transfer capacity: 8
transfer service time: 2
request nodes time windows: {1: (0, 301), 2: (0, 343), 3: (0, 359), 4: (0, 305), 5: (0, 341), 6: (18, 418), 7: (0, 301), 8: (0, 354), 9: (0, 352), 10: (0, 358), 11: (0, 347), 12: (0, 320), 13: (0, 394), 14: (0, 333), 15: (0, 311), 16: (0, 306), 17: (0, 360), 18: (0, 303), 19: (0, 398), 20: (0, 334), 21: (0, 304), 22: (0, 315), 23: (0, 375), 24: (0, 350), 25: (31, 431), 26: (24, 424), 27: (0, 343), 28: (25, 425), 29: (0, 384), 30: (1, 401), 31: (0, 302), 32: (0, 298), 33: (8, 408), 34: (0, 377), 35: (0, 400), 36: (0, 363), 37: (0, 337), 38: (45, 445), 39: (71, 471), 40: (78, 478), 41: (239, 639), 42: (127, 527), 43: (113, 513), 44: (0, 382), 45: (347, 747), 46: (51, 451), 47: (165, 565), 48: (285, 685), 49: (145, 545), 50: (125, 525), 51: (140, 540), 52: (307, 707), 53: (154, 554), 54: (175, 575), 55: (78, 478), 56: (388, 788), 57: (177, 577), 58: (262, 662), 59: (311, 711), 60: (364, 764), 61: (321, 721), 62: (149, 549), 63: (244, 644), 64: (190, 590), 65: (291, 691), 66: (144, 544), 67: (207, 607), 68: (93, 493), 69: (73, 473), 70: (299, 699), 71: (218, 618), 72: (90, 490), 73: (269, 669), 74: (29, 429)}
transfer nodes departure time: {75: 420, 76: 447, 77: 474, 78: 694, 79: 713, 80: 732, 81: 92, 82: 114, 83: 136, 84: 479, 85: 498, 86: 517}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 38): (63.0317380372777, 315.15869018638847, False)
   (1, 75): (31.064449134018133, 155.32224567009067, False)
   (1, 76): (49.92995093127971, 249.64975465639856, False)
   (1, 77): (85.44003745317531, 427.20018726587654, False)
   (1, 78): (64.8459713474939, 324.2298567374695, False)
   (1, 79): (37.57658845611187, 187.88294228055935, False)
   (1, 80): (13.416407864998739, 67.0820393249937, False)
   (1, 81): (40.19950248448356, 200.9975124224178, False)
   (1, 82): (33.28663395418648, 166.43316977093238, False)
   (1, 83): (53.150729063673246, 265.75364531836624, False)
   (1, 84): (58.0, 290.0, False)
   (1, 85): (62.609903369994115, 313.0495168499706, False)
   (1, 86): (77.79460135510689, 388.9730067755345, False)
   (1, 87): (79.75587752636166, 398.7793876318083, False)
   (1, 88): (3.0, 15.0, False)
   (1, 89): (41.677331968349414, 208.38665984174708, False)
   (1, 90): (42.2965719651132, 211.482859825566, False)
   (1, 91): (82.09750300709517, 410.48751503547584, False)
   (1, 92): (38.58756276314948, 192.9378138157474, False)
   (1, 93): (62.64982043070834, 313.2491021535417, False)
   (2, 39): (24.08318915758459, 120.41594578792296, False)
   (2, 75): (32.7566787083184, 163.78339354159198, False)
   (2, 76): (17.69180601295413, 88.45903006477066, False)
   (2, 77): (52.952809179494906, 264.76404589747455, False)
   (2, 78): (45.967379738244816, 229.83689869122406, False)
   (2, 79): (30.265491900843113, 151.32745950421557, False)
   (2, 80): (35.38361202590826, 176.91806012954132, False)
   (2, 81): (36.76955262170047, 183.84776310850236, False)
   (2, 82): (4.47213595499958, 22.360679774997898, False)
   (2, 83): (29.206163733020468, 146.03081866510234, False)
   (2, 84): (53.25410782277739, 266.27053911388697, False)
   (2, 85): (42.04759208325728, 210.2379604162864, False)
   (2, 86): (47.70744176750625, 238.53720883753127, False)
   (2, 87): (46.87216658103186, 234.36083290515933, False)
   (2, 88): (30.4138126514911, 152.0690632574555, False)
   (2, 89): (23.769728648009426, 118.84864324004712, False)
   (2, 90): (22.47220505424423, 112.36102527122115, False)
   (2, 91): (52.952809179494906, 264.76404589747455, False)
   (2, 92): (34.132096331752024, 170.66048165876012, False)
   (2, 93): (29.68164415931166, 148.40822079655828, False)
   (3, 40): (54.42425929675111, 272.12129648375554, False)
   (3, 75): (32.14031735997639, 160.70158679988197, False)
   (3, 76): (56.08029957123981, 280.40149785619906, False)
   (3, 77): (91.706052144883, 458.53026072441503, False)
   (3, 78): (103.40696301506973, 517.0348150753487, False)
   (3, 79): (86.4060183089118, 432.030091544559, False)
   (3, 80): (75.32595834106593, 376.62979170532964, False)
   (3, 81): (23.53720459187964, 117.6860229593982, False)
   (3, 82): (53.53503525729669, 267.67517628648346, False)
   (3, 83): (86.05230967266364, 430.2615483633182, False)
