All relevant information about the map is below:

Total # of nodes: 109
# of robots: 35, robots_origin_location: {93: {15, 21, 7}, 94: {28}, 95: {27, 6, 23}, 96: {3, 4}, 97: {30}, 98: {31}, 99: {20, 29, 22}, 100: {17, 26}, 101: set(), 102: {2, 10}, 103: {18, 14}, 104: {11, 12, 13}, 105: {9}, 106: {32, 19}, 107: {1, 34, 33}, 108: {8, 24, 25}, 109: {16, 35, 5}}
# of requests: 37, request_pairs: [(1, 38), (2, 39), (3, 40), (4, 41), (5, 42), (6, 43), (7, 44), (8, 45), (9, 46), (10, 47), (11, 48), (12, 49), (13, 50), (14, 51), (15, 52), (16, 53), (17, 54), (18, 55), (19, 56), (20, 57), (21, 58), (22, 59), (23, 60), (24, 61), (25, 62), (26, 63), (27, 64), (28, 65), (29, 66), (30, 67), (31, 68), (32, 69), (33, 70), (34, 71), (35, 72), (36, 73), (37, 74)]
# of depots: 17, depot nodes: [93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]
# of service lines: 5
# of num transfers: 18, service lines mapping: {1: [75, 76, 77, 78], 2: [79, 80, 81, 82], 3: [83, 84, 85, 86], 4: [87, 88, 89, 90], 5: [91, 92]}
public transportation factor: 0.4
map_size: 109
outsourcing cost: 8750
robots max travel time: 703
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 2
transfer service time: 2
request nodes time windows: {1: (13, 413), 2: (0, 391), 3: (0, 356), 4: (57, 457), 5: (0, 379), 6: (0, 377), 7: (0, 339), 8: (13, 413), 9: (0, 352), 10: (0, 312), 11: (0, 316), 12: (62, 462), 13: (26, 426), 14: (33, 433), 15: (0, 337), 16: (0, 389), 17: (0, 369), 18: (0, 328), 19: (0, 328), 20: (0, 392), 21: (0, 313), 22: (0, 366), 23: (0, 332), 24: (60, 460), 25: (0, 387), 26: (0, 325), 27: (54, 454), 28: (0, 328), 29: (6, 406), 30: (0, 354), 31: (0, 317), 32: (0, 363), 33: (0, 369), 34: (25, 425), 35: (0, 317), 36: (24, 424), 37: (35, 435), 38: (349, 749), 39: (215, 615), 40: (299, 699), 41: (174, 574), 42: (379, 779), 43: (349, 749), 44: (251, 651), 45: (100, 500), 46: (115, 515), 47: (267, 667), 48: (0, 348), 49: (423, 823), 50: (209, 609), 51: (183, 583), 52: (188, 588), 53: (275, 675), 54: (255, 655), 55: (177, 577), 56: (61, 461), 57: (370, 770), 58: (27, 427), 59: (142, 542), 60: (269, 669), 61: (293, 693), 62: (195, 595), 63: (16, 416), 64: (224, 624), 65: (140, 540), 66: (293, 693), 67: (151, 551), 68: (136, 536), 69: (91, 491), 70: (153, 553), 71: (200, 600), 72: (217, 617), 73: (221, 621), 74: (238, 638)}
transfer nodes departure time: {75: 593, 76: 608, 77: 623, 78: 640, 79: 541, 80: 556, 81: 571, 82: 586, 83: 103, 84: 106, 85: 109, 86: 144, 87: 459, 88: 471, 89: 484, 90: 497, 91: 21, 92: 67}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 38): (61.814237842102365, 309.0711892105118, False)
   (1, 75): (110.06361796706484, 550.3180898353243, False)
   (1, 76): (79.37883848986453, 396.89419244932265, False)
   (1, 77): (48.84669896727925, 244.23349483639626, False)
   (1, 78): (14.866068747318506, 74.33034373659252, False)
   (1, 79): (100.00499987500625, 500.02499937503126, False)
   (1, 80): (70.25667228100119, 351.28336140500596, False)
   (1, 81): (42.05948168962618, 210.2974084481309, False)
   (1, 82): (22.360679774997898, 111.80339887498948, False)
   (1, 86): (34.66987164671943, 173.34935823359714, False)
   (1, 87): (106.02358228243375, 530.1179114121687, False)
   (1, 88): (81.54140052758476, 407.7070026379238, False)
   (1, 89): (56.302753041036986, 281.51376520518494, False)
   (1, 90): (31.575306807693888, 157.87653403846943, False)
   (1, 93): (34.0, 170.0, False)
   (1, 94): (26.832815729997478, 134.1640786499874, False)
   (1, 95): (61.61980201201558, 308.09901006007794, False)
   (1, 96): (92.28217596047462, 461.4108798023731, False)
   (1, 97): (109.20164833920778, 546.0082416960389, False)
   (1, 98): (57.42821606144492, 287.1410803072246, False)
   (1, 99): (91.67878707749138, 458.3939353874569, False)
   (1, 100): (63.953107821277925, 319.7655391063896, False)
   (1, 101): (60.00833275470999, 300.04166377354994, False)
   (1, 102): (66.03029607687671, 330.15148038438355, False)
   (1, 103): (19.313207915827967, 96.56603957913984, False)
   (1, 104): (24.515301344262525, 122.57650672131263, False)
   (1, 105): (101.31633629380802, 506.5816814690401, False)
   (1, 106): (44.721359549995796, 223.60679774997897, False)
   (1, 107): (69.06518659932803, 345.3259329966402, False)
   (1, 108): (52.20153254455275, 261.0076627227637, False)
   (1, 109): (87.69264507357501, 438.46322536787505, False)
   (2, 39): (72.69112738154499, 363.45563690772497, False)
   (2, 75): (74.24284477308234, 371.21422386541167, False)
   (2, 76): (54.56189146281496, 272.8094573140748, False)
   (2, 77): (48.373546489791295, 241.86773244895647, False)
   (2, 78): (63.06346010171025, 315.3173005085512, False)
   (2, 79): (91.35097153287424, 456.75485766437123, False)
   (2, 80): (68.42514157822401, 342.1257078911201, False)
   (2, 81): (54.00925846556311, 270.04629232781554, False)
   (2, 82): (55.226805085936306, 276.1340254296815, False)
   (2, 83): (73.24616030891995, 366.2308015445998, False)
   (2, 84): (73.24616030891995, 366.2308015445998, False)
   (2, 85): (73.24616030891995, 366.2308015445998, False)
   (2, 86): (42.941821107167776, 214.7091055358389, False)
   (2, 87): (61.09828148156051, 305.49140740780257, False)
   (2, 88): (50.20956084253277, 251.04780421266383, False)
   (2, 89): (50.0, 250.0, False)
   (2, 90): (61.5223536610881, 307.6117683054405, False)
   (2, 92): (15.0, 75.0, False)
   (2, 93): (43.56604182158393, 217.83020910791964, False)
   (2, 94): (94.92101980067429, 474.60509900337144, False)
   (2, 95): (21.095023109728988, 105.47511554864494, False)
   (2, 96): (46.06517122512408, 230.32585612562042, False)
   (2, 97): (75.66372975210778, 378.3186487605389, False)
   (2, 98): (76.15773105863909, 380.78865529319546, False)
   (2, 99): (67.26812023536856, 336.34060117684277, False)
