All relevant information about the map is below:

Total # of nodes: 113
# of robots: 42, robots_origin_location: {107: {33, 4, 8, 16, 26, 28}, 108: {32, 35, 11, 18, 21, 31}, 109: {5, 6, 7, 13, 14, 19}, 110: {38, 39, 41, 42, 17, 20}, 111: {34, 3, 36, 37, 22, 29}, 112: {40, 10, 12, 15, 23, 25}, 113: {1, 2, 9, 24, 27, 30}}
# of requests: 37, request_pairs: [(1, 38), (2, 39), (3, 40), (4, 41), (5, 42), (6, 43), (7, 44), (8, 45), (9, 46), (10, 47), (11, 48), (12, 49), (13, 50), (14, 51), (15, 52), (16, 53), (17, 54), (18, 55), (19, 56), (20, 57), (21, 58), (22, 59), (23, 60), (24, 61), (25, 62), (26, 63), (27, 64), (28, 65), (29, 66), (30, 67), (31, 68), (32, 69), (33, 70), (34, 71), (35, 72), (36, 73), (37, 74)]
# of depots: 7, depot nodes: [107, 108, 109, 110, 111, 112, 113]
# of service lines: 6
# of num transfers: 32, service lines mapping: {1: [75, 76, 77, 78, 79, 80], 2: [81, 82, 83, 84, 85, 86], 3: [87, 88, 89, 90, 91, 92], 4: [93, 94, 95, 96, 97, 98], 5: [99, 100, 101, 102, 103, 104], 6: [105, 106]}
public transportation factor: 0.4
map_size: 113
outsourcing cost: 1667
robots max travel time: 241
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 6
depot service time: 2
transfer capacity: 0
transfer service time: 2
request nodes time windows: {1: (22, 422), 2: (0, 328), 3: (0, 365), 4: (63, 463), 5: (0, 337), 6: (0, 394), 7: (2, 402), 8: (9, 409), 9: (0, 322), 10: (59, 459), 11: (75, 475), 12: (38, 438), 13: (68, 468), 14: (0, 366), 15: (0, 316), 16: (48, 448), 17: (65, 465), 18: (40, 440), 19: (81, 481), 20: (0, 313), 21: (0, 324), 22: (0, 400), 23: (0, 313), 24: (68, 468), 25: (0, 336), 26: (0, 322), 27: (0, 390), 28: (0, 350), 29: (0, 348), 30: (0, 370), 31: (0, 393), 32: (8, 408), 33: (16, 416), 34: (0, 340), 35: (57, 457), 36: (0, 331), 37: (5, 405), 38: (342, 742), 39: (295, 695), 40: (319, 719), 41: (441, 841), 42: (198, 598), 43: (86, 486), 44: (359, 759), 45: (225, 625), 46: (268, 668), 47: (353, 753), 48: (398, 798), 49: (133, 533), 50: (403, 803), 51: (201, 601), 52: (122, 522), 53: (190, 590), 54: (448, 848), 55: (211, 611), 56: (456, 856), 57: (286, 686), 58: (66, 466), 59: (99, 499), 60: (26, 426), 61: (307, 707), 62: (12, 412), 63: (205, 605), 64: (86, 486), 65: (37, 437), 66: (116, 516), 67: (118, 518), 68: (96, 496), 69: (101, 501), 70: (268, 668), 71: (50, 450), 72: (161, 561), 73: (29, 429), 74: (83, 483)}
transfer nodes departure time: {75: 192, 76: 201, 77: 210, 78: 219, 79: 228, 80: 241, 81: 250, 82: 257, 83: 264, 84: 271, 85: 279, 86: 296, 87: 362, 88: 372, 89: 382, 90: 392, 91: 402, 92: 413, 93: 794, 94: 806, 95: 818, 96: 830, 97: 842, 98: 854, 99: 211, 100: 223, 101: 235, 102: 247, 103: 259, 104: 273, 105: 418, 106: 452}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 38): (56.859475903318, 284.29737951659, False)
   (1, 75): (52.49761899362675, 262.48809496813374, False)
   (1, 76): (40.496913462633174, 202.48456731316588, False)
   (1, 77): (33.28663395418648, 166.43316977093238, False)
   (1, 78): (34.058772731852805, 170.29386365926402, False)
   (1, 79): (42.37924020083418, 211.8962010041709, False)
   (1, 80): (62.625873247404705, 313.12936623702353, False)
   (1, 81): (55.65968020030299, 278.29840100151495, False)
   (1, 82): (45.18849411078001, 225.94247055390008, False)
   (1, 83): (35.805027579936315, 179.02513789968157, False)
   (1, 84): (28.600699292150182, 143.0034964607509, False)
   (1, 85): (25.317977802344327, 126.58988901172164, False)
   (1, 86): (45.27692569068709, 226.38462845343543, False)
   (1, 87): (54.3323108288245, 271.6615541441225, False)
   (1, 88): (36.05551275463989, 180.27756377319946, False)
   (1, 89): (18.027756377319946, 90.13878188659973, False)
   (1, 90): (4.0, 20.0, False)
   (1, 91): (19.313207915827967, 96.56603957913984, False)
   (1, 92): (40.26164427839479, 201.30822139197394, False)
   (1, 93): (65.80273550544841, 329.01367752724207, False)
   (1, 94): (45.27692569068709, 226.38462845343543, False)
   (1, 95): (28.460498941515414, 142.30249470757707, False)
   (1, 96): (24.698178070456937, 123.49089035228468, False)
   (1, 97): (38.07886552931954, 190.39432764659773, False)
   (1, 98): (58.69412236331676, 293.4706118165838, False)
   (1, 99): (71.7007670809734, 358.503835404867, False)
   (1, 100): (49.92995093127971, 249.64975465639856, False)
   (1, 101): (30.083217912982647, 150.41608956491325, False)
   (1, 102): (19.4164878389476, 97.082439194738, False)
   (1, 103): (30.14962686336267, 150.74813431681335, False)
   (1, 104): (54.817880294662984, 274.0894014733149, False)
   (1, 105): (48.041648597857254, 240.20824298928628, False)
   (1, 106): (36.76955262170047, 183.84776310850236, False)
   (1, 107): (58.309518948453004, 291.547594742265, False)
   (1, 108): (31.0, 155.0, False)
   (1, 109): (11.40175425099138, 57.0087712549569, False)
   (1, 110): (53.71219600798314, 268.5609800399157, False)
   (1, 111): (40.8166632639171, 204.0833163195855, False)
   (1, 112): (41.6293165929973, 208.1465829649865, False)
   (1, 113): (18.439088914585774, 92.19544457292886, False)
   (2, 39): (31.064449134018133, 155.32224567009067, False)
   (2, 75): (31.016124838541646, 155.08062419270823, False)
   (2, 76): (29.154759474226502, 145.7737973711325, False)
   (2, 77): (36.359317925395686, 181.79658962697843, False)
   (2, 78): (48.76474136094644, 243.82370680473218, False)
   (2, 79): (63.387695966961914, 316.9384798348096, False)
   (2, 80): (88.02272433866155, 440.1136216933077, False)
   (2, 81): (30.265491900843113, 151.32745950421557, False)
   (2, 82): (29.120439557122072, 145.60219778561037, False)
   (2, 83): (32.802438933713454, 164.01219466856728, False)
   (2, 84): (40.0, 200.0, False)
   (2, 85): (50.08991914547278, 250.44959572736389, False)
   (2, 86): (83.54639429682169, 417.73197148410844, False)
   (2, 87): (115.00434774390054, 575.0217387195027, False)
   (2, 88): (97.41663102366043, 487.08315511830216, False)
   (2, 89): (80.80222769206304, 404.01113846031524, False)
   (2, 90): (65.06919393998976, 325.3459696999488, False)
   (2, 91): (51.03920062069938, 255.1960031034969, False)
   (2, 92): (39.81205847478876, 199.0602923739438, False)
   (2, 93): (133.2066064427737, 666.0330322138685, False)
   (2, 94): (113.17243480636087, 565.8621740318043, False)
   (2, 95): (94.40338976964757, 472.01694884823786, False)
   (2, 96): (77.82030583337487, 389.10152916687434, False)
   (2, 97): (65.11528238439882, 325.5764119219941, False)
   (2, 98): (59.033888572581766, 295.16944286290885, False)
   (2, 99): (93.1933474020544, 465.966737010272, False)
   (2, 100): (74.33034373659252, 371.6517186829626, False)
   (2, 101): (58.52349955359813, 292.61749776799064, False)
   (2, 102): (48.83646178829912, 244.1823089414956, False)
   (2, 103): (49.040799340956916, 245.20399670478457, False)
   (2, 104): (63.28506932918696, 316.4253466459348, False)
   (2, 105): (45.0111097397076, 225.055548698538, False)
   (2, 106): (77.88452991448301, 389.422649572415, False)
   (2, 107): (77.00649323271382, 385.0324661635691, False)
   (2, 108): (92.11405973031478, 460.5702986515739, False)
   (2, 109): (74.02702209328699, 370.1351104664349, False)
   (2, 110): (73.02739212103907, 365.1369606051953, False)
   (2, 111): (30.463092423455635, 152.31546211727817, False)
   (2, 112): (64.93843238021688, 324.69216190108443, False)
   (2, 113): (83.86894538504703, 419.34472692523514, False)
   (3, 40): (29.068883707497267, 145.34441853748635, False)
