All relevant information about the map is below:

Total # of nodes: 108
# of robots: 41, robots_origin_location: {97: {38}, 98: {1, 35, 5, 30}, 99: {34, 36, 41, 14, 15}, 100: {17, 29}, 101: {2, 4, 11, 16, 20}, 102: {8, 25, 26}, 103: {33, 3, 13, 21, 28}, 104: {6, 7, 12, 18, 19}, 105: {24, 37, 39}, 106: {10}, 107: {31, 23}, 108: {32, 40, 9, 22, 27}}
# of requests: 39, request_pairs: [(1, 40), (2, 41), (3, 42), (4, 43), (5, 44), (6, 45), (7, 46), (8, 47), (9, 48), (10, 49), (11, 50), (12, 51), (13, 52), (14, 53), (15, 54), (16, 55), (17, 56), (18, 57), (19, 58), (20, 59), (21, 60), (22, 61), (23, 62), (24, 63), (25, 64), (26, 65), (27, 66), (28, 67), (29, 68), (30, 69), (31, 70), (32, 71), (33, 72), (34, 73), (35, 74), (36, 75), (37, 76), (38, 77), (39, 78)]
# of depots: 12, depot nodes: [97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]
# of service lines: 6
# of num transfers: 18, service lines mapping: {1: [79, 80, 81], 2: [82, 83, 84], 3: [85, 86, 87], 4: [88, 89, 90], 5: [91, 92, 93], 6: [94, 95, 96]}
public transportation factor: 0.6
map_size: 108
outsourcing cost: 5833
robots max travel time: 505
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 5
depot service time: 2
transfer capacity: 5
transfer service time: 2
request nodes time windows: {1: (0, 389), 2: (0, 308), 3: (20, 420), 4: (14, 414), 5: (0, 355), 6: (0, 362), 7: (0, 368), 8: (0, 382), 9: (0, 324), 10: (0, 377), 11: (38, 438), 12: (0, 398), 13: (0, 330), 14: (0, 384), 15: (17, 417), 16: (0, 312), 17: (0, 326), 18: (0, 309), 19: (0, 317), 20: (0, 396), 21: (47, 447), 22: (0, 314), 23: (51, 451), 24: (0, 373), 25: (49, 449), 26: (0, 397), 27: (0, 357), 28: (0, 310), 29: (0, 345), 30: (40, 440), 31: (0, 332), 32: (29, 429), 33: (0, 312), 34: (33, 433), 35: (8, 408), 36: (0, 309), 37: (26, 426), 38: (51, 451), 39: (5, 405), 40: (358, 758), 41: (273, 673), 42: (372, 772), 43: (232, 632), 44: (107, 507), 45: (143, 543), 46: (94, 494), 47: (67, 467), 48: (43, 443), 49: (367, 767), 50: (274, 674), 51: (312, 712), 52: (312, 712), 53: (244, 644), 54: (246, 646), 55: (207, 607), 56: (0, 363), 57: (44, 444), 58: (237, 637), 59: (326, 726), 60: (391, 791), 61: (162, 562), 62: (205, 605), 63: (119, 519), 64: (156, 556), 65: (264, 664), 66: (151, 551), 67: (226, 626), 68: (264, 664), 69: (360, 760), 70: (50, 450), 71: (346, 746), 72: (254, 654), 73: (299, 699), 74: (75, 475), 75: (217, 617), 76: (161, 561), 77: (436, 836), 78: (312, 712)}
transfer nodes departure time: {79: 175, 80: 211, 81: 249, 82: 120, 83: 145, 84: 170, 85: 312, 86: 340, 87: 368, 88: 69, 89: 106, 90: 145, 91: 786, 92: 811, 93: 836, 94: 870, 95: 897, 96: 924}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 40): (93.72299611087985, 468.61498055439927, False)
   (1, 79): (105.07616285342742, 525.3808142671371, False)
   (1, 80): (73.824115301167, 369.120576505835, False)
   (1, 81): (78.16009211867653, 390.80046059338264, False)
   (1, 82): (98.65596788841515, 493.27983944207574, False)
   (1, 83): (99.82484660644363, 499.12423303221817, False)
   (1, 84): (112.50777750893491, 562.5388875446745, False)
   (1, 85): (79.22752047110903, 396.13760235554514, False)
   (1, 86): (58.60034129593445, 293.00170647967224, False)
   (1, 87): (64.53681120105021, 322.6840560052511, False)
   (1, 89): (56.356011214421486, 281.7800560721074, False)
   (1, 90): (61.0, 305.0, False)
   (1, 91): (97.02061636580135, 485.1030818290067, False)
   (1, 92): (63.34824385884742, 316.7412192942371, False)
   (1, 93): (36.124783736376884, 180.62391868188442, False)
   (1, 94): (105.64563407921787, 528.2281703960894, False)
   (1, 95): (65.94694837519019, 329.73474187595093, False)
   (1, 96): (31.575306807693888, 157.87653403846943, False)
   (1, 97): (60.13318551349163, 300.66592756745814, False)
   (1, 98): (86.53900854527974, 432.6950427263987, False)
   (1, 99): (123.60016181219181, 618.0008090609591, False)
   (1, 100): (59.464274989274024, 297.3213749463701, False)
   (1, 101): (57.723478758647246, 288.61739379323626, False)
   (1, 102): (26.0, 130.0, False)
   (1, 103): (111.35977729862789, 556.7988864931394, False)
   (1, 104): (73.35529974037323, 366.7764987018661, False)
   (1, 105): (91.78235124467012, 458.9117562233506, False)
   (1, 106): (30.265491900843113, 151.32745950421557, False)
   (1, 107): (25.317977802344327, 126.58988901172164, False)
   (1, 108): (89.87213138676528, 449.36065693382636, False)
   (2, 41): (65.7419196555744, 328.70959827787203, False)
   (2, 79): (86.40023148117139, 432.00115740585693, False)
   (2, 80): (31.78049716414141, 158.90248582070706, False)
   (2, 81): (30.4138126514911, 152.0690632574555, False)
   (2, 82): (89.87213138676528, 449.36065693382636, False)
   (2, 83): (68.4470598345904, 342.235299172952, False)
   (2, 84): (61.66036003787198, 308.30180018935994, False)
   (2, 85): (43.139309220245984, 215.69654610122993, False)
   (2, 86): (2, 10, False)
   (2, 87): (43.41658669218482, 217.0829334609241, False)
   (2, 89): (26.076809620810597, 130.384048104053, False)
   (2, 90): (38.27531841800928, 191.3765920900464, False)
   (2, 91): (78.87331614684399, 394.36658073421995, False)
   (2, 92): (66.30987860040162, 331.54939300200806, False)
   (2, 93): (72.56031973468694, 362.8015986734347, False)
   (2, 94): (45.967379738244816, 229.83689869122406, False)
   (2, 95): (14.866068747318506, 74.33034373659252, False)
   (2, 96): (42.2965719651132, 211.482859825566, False)
   (2, 97): (50.11985634456667, 250.59928172283335, False)
   (2, 98): (32.14031735997639, 160.70158679988197, False)
   (2, 99): (68.15423684555495, 340.7711842277747, False)
   (2, 100): (5.656854249492381, 28.284271247461902, False)
   (2, 101): (65.14598989960932, 325.7299494980466, False)
   (2, 102): (49.03060268852505, 245.15301344262525, False)
   (2, 103): (64.00781202322104, 320.0390601161052, False)
   (2, 104): (17.11724276862369, 85.58621384311846, False)
   (2, 105): (85.27602242131137, 426.38011210655685, False)
   (2, 106): (36.71511950137164, 183.5755975068582, False)
   (2, 107): (45.35416188179427, 226.77080940897133, False)
   (2, 108): (32.69556544854363, 163.47782724271815, False)
   (3, 42): (49.39635614091387, 246.98178070456936, False)
   (3, 79): (72.94518489934754, 364.72592449673766, False)
   (3, 80): (24.331050121192877, 121.65525060596438, False)
   (3, 81): (47.92702786528704, 239.6351393264352, False)
   (3, 82): (74.41102068914255, 372.05510344571275, False)
   (3, 83): (58.249463516842795, 291.247317584214, False)
   (3, 84): (61.741396161732524, 308.7069808086626, False)
   (3, 85): (59.405386961116584, 297.0269348055829, False)
   (3, 86): (17.08800749063506, 85.44003745317531, False)
   (3, 87): (27.80287754891569, 139.01438774457844, False)
   (3, 89): (10.295630140987, 51.478150704935004, False)
   (3, 90): (50.80354318352215, 254.01771591761076, False)
   (3, 91): (65.0, 325.0, False)
   (3, 92): (48.75448697299562, 243.7724348649781, False)
   (3, 93): (56.753854494650845, 283.7692724732542, False)
   (3, 94): (56.43580423808985, 282.17902119044925, False)
   (3, 95): (15.0, 75.0, False)
   (3, 96): (26.92582403567252, 134.6291201783626, False)
   (3, 97): (33.015148038438355, 165.07574019219177, False)
   (3, 98): (49.64876634922564, 248.2438317461282, False)
   (3, 99): (72.20110802473879, 361.00554012369395, False)
   (3, 100): (13.038404810405298, 65.1920240520265, False)
   (3, 101): (47.43416490252569, 237.17082451262843, False)
   (3, 102): (34.438350715445125, 172.19175357722563, False)
   (3, 103): (61.68468205316454, 308.4234102658227, False)
   (3, 104): (34.713109915419565, 173.56554957709784, False)
   (3, 105): (69.29646455628166, 346.4823227814083, False)
   (3, 106): (37.013511046643494, 185.06755523321746, False)
   (3, 107): (31.38470965295043, 156.92354826475216, False)
   (3, 108): (39.05124837953327, 195.25624189766634, False)
   (4, 43): (34.23448553724738, 171.17242768623692, False)
   (4, 79): (99.85990186255943, 499.2995093127971, False)
   (4, 80): (47.12748667179272, 235.6374333589636, False)
   (4, 81): (29.427877939124322, 147.13938969562162, False)
   (4, 83): (77.00649323271382, 385.0324661635691, False)
   (4, 84): (51.42956348249516, 257.14781741247583, False)
   (4, 85): (45.0111097397076, 225.055548698538, False)
   (4, 86): (36.6742416417845, 183.3712082089225, False)
   (4, 87): (67.08203932499369, 335.4101966249684, False)
