All relevant information about the map is below:

Total # of nodes: 31
# of robots: 3, robots_origin_location: {31: {1, 2, 3}}
# of requests: 3, request_pairs: [(1, 4), (2, 5), (3, 6)]
# of depots: 1, depot nodes: [31]
# of service lines: 6
# of num transfers: 24, service lines mapping: {1: [7, 8, 9, 10], 2: [11, 12, 13, 14], 3: [15, 16, 17, 18], 4: [19, 20, 21, 22], 5: [23, 24, 25, 26], 6: [27, 28, 29, 30]}
public transportation factor: 0.4
map_size: 31
outsourcing cost: 1250
robots max travel time: 967
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 6
transfer service time: 2
request nodes time windows: {1: (0, 253), 2: (0, 231), 3: (0, 246), 4: (0, 310), 5: (65, 310), 6: (0, 310)}
transfer nodes departure time: {7: 182, 8: 187, 9: 192, 10: 197, 11: 173, 12: 179, 13: 185, 14: 191, 15: 195, 16: 201, 17: 207, 18: 214, 19: 20, 20: 26, 21: 32, 22: 39, 23: 87, 24: 92, 25: 98, 26: 104, 27: 187, 28: 193, 29: 199, 30: 206}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 4): (4.0, 20.0, False)
   (1, 7): (25.0, 125.0, False)
   (1, 8): (19.79898987322333, 98.99494936611666, False)
   (1, 9): (15.264337522473747, 76.32168761236873, False)
   (1, 10): (11.045361017187261, 55.226805085936306, False)
   (1, 11): (23.430749027719962, 117.15374513859982, False)
   (1, 12): (15.556349186104045, 77.78174593052023, False)
   (1, 13): (8.06225774829855, 40.311288741492746, False)
   (1, 14): (4.123105625617661, 20.615528128088304, False)
   (1, 15): (23.021728866442675, 115.10864433221337, False)
   (1, 16): (14.212670403551895, 71.06335201775947, False)
   (1, 17): (5.0, 25.0, False)
   (1, 18): (6.324555320336759, 31.622776601683796, False)
   (1, 20): (12.806248474865697, 64.03124237432849, False)
   (1, 21): (10.04987562112089, 50.24937810560445, False)
   (1, 22): (16.401219466856727, 82.00609733428364, False)
   (1, 23): (17.46424919657298, 87.3212459828649, False)
   (1, 24): (11.180339887498949, 55.90169943749474, False)
   (1, 25): (5.830951894845301, 29.154759474226502, False)
   (1, 26): (8.06225774829855, 40.311288741492746, False)
   (1, 27): (14.866068747318506, 74.33034373659252, False)
   (1, 28): (7.280109889280518, 36.40054944640259, False)
   (1, 29): (9.0, 45.0, False)
   (1, 30): (17.88854381999832, 89.44271909999159, False)
   (1, 31): (15.811388300841896, 79.05694150420948, False)
   (2, 5): (22.80350850198276, 114.0175425099138, False)
   (2, 7): (15.033296378372908, 75.16648189186454, False)
   (2, 8): (9.219544457292887, 46.09772228646443, False)
   (2, 9): (4.242640687119285, 21.213203435596423, False)
   (2, 10): (6.4031242374328485, 32.01562118716424, False)
   (2, 11): (13.038404810405298, 65.1920240520265, False)
   (2, 12): (7.810249675906654, 39.05124837953327, False)
   (2, 13): (9.055385138137417, 45.27692569068709, False)
   (2, 14): (17.4928556845359, 87.4642784226795, False)
   (2, 15): (14.317821063276353, 71.58910531638176, False)
   (2, 16): (9.219544457292887, 46.09772228646443, False)
   (2, 17): (12.165525060596439, 60.82762530298219, False)
   (2, 18): (21.095023109728988, 105.47511554864494, False)
   (2, 19): (17.804493814764857, 89.02246907382428, False)
   (2, 20): (9.433981132056603, 47.169905660283014, False)
   (2, 21): (7.211102550927978, 36.05551275463989, False)
   (2, 22): (15.297058540778355, 76.48529270389177, False)
   (2, 23): (12.0, 60.0, False)
   (2, 24): (8.602325267042627, 43.01162633521314, False)
   (2, 25): (11.180339887498949, 55.90169943749474, False)
   (2, 26): (17.26267650163207, 86.31338250816034, False)
   (2, 27): (10.198039027185569, 50.99019513592785, False)
   (2, 28): (9.486832980505138, 47.434164902525694, False)
   (2, 29): (16.492422502470642, 82.46211251235322, False)
   (2, 30): (26.40075756488817, 132.00378782444085, False)
   (2, 31): (5.0, 25.0, False)
   (3, 6): (29.732137494637012, 148.66068747318505, False)
   (3, 7): (27.892651361962706, 139.46325680981352, False)
   (3, 8): (21.840329667841555, 109.20164833920778, False)
   (3, 9): (15.811388300841896, 79.05694150420948, False)
   (3, 10): (8.54400374531753, 42.720018726587654, False)
   (3, 11): (25.96150997149434, 129.8075498574717, False)
   (3, 12): (18.24828759089466, 91.2414379544733, False)
   (3, 13): (11.045361017187261, 55.226805085936306, False)
   (3, 14): (7.615773105863909, 38.07886552931954, False)
   (3, 15): (26.476404589747453, 132.38202294873727, False)
   (3, 16): (18.027756377319946, 90.13878188659973, False)
   (3, 17): (10.770329614269007, 53.85164807134504, False)
   (3, 18): (10.04987562112089, 50.24937810560445, False)
   (3, 20): (17.0, 85.0, False)
   (3, 21): (8.246211251235321, 41.23105625617661, False)
   (3, 22): (5.830951894845301, 29.154759474226502, False)
   (3, 23): (8.0, 40.0, False)
   (3, 24): (5.830951894845301, 29.154759474226502, False)
   (3, 25): (10.44030650891055, 52.201532544552755, False)
   (3, 26): (17.4928556845359, 87.4642784226795, False)
   (3, 27): (6.324555320336759, 31.622776601683796, False)
   (3, 28): (9.055385138137417, 45.27692569068709, False)
   (3, 29): (17.88854381999832, 89.44271909999159, False)
   (3, 30): (28.0178514522438, 140.089257261219, False)
   (3, 31): (16.76305461424021, 83.81527307120106, False)
   (4, 7): (21.93171219946131, 109.65856099730655, False)
   (4, 8): (17.204650534085253, 86.02325267042627, False)
   (4, 9): (13.601470508735444, 68.00735254367721, False)
   (4, 10): (11.40175425099138, 57.0087712549569, False)
   (4, 11): (20.518284528683193, 102.59142264341597, False)
   (4, 12): (13.038404810405298, 65.1920240520265, False)
   (4, 13): (7.0, 35.0, False)
   (4, 14): (8.06225774829855, 40.311288741492746, False)
   (4, 15): (19.849433241279208, 99.24716620639603, False)
   (4, 16): (11.40175425099138, 57.0087712549569, False)
   (4, 17): (4.123105625617661, 20.615528128088304, False)
   (4, 18): (10.198039027185569, 50.99019513592785, False)
   (4, 19): (15.811388300841896, 79.05694150420948, False)
   (4, 20): (10.0, 50.0, False)
   (4, 21): (10.44030650891055, 52.201532544552755, False)
