All relevant information about the map is below:

Total # of nodes: 115
# of robots: 41, robots_origin_location: {99: set(), 100: {32, 28}, 101: {2, 23}, 102: {21}, 103: {24, 18, 6, 30}, 104: {25, 4}, 105: {26, 13, 39}, 106: {8, 37, 20, 29}, 107: {40, 5, 14}, 108: {16, 9, 19, 22}, 109: {1}, 110: {34, 38}, 111: {33, 35}, 112: {11, 10, 3, 15}, 113: {41, 12, 7}, 114: set(), 115: {17, 27, 36, 31}}
# of requests: 41, request_pairs: [(1, 42), (2, 43), (3, 44), (4, 45), (5, 46), (6, 47), (7, 48), (8, 49), (9, 50), (10, 51), (11, 52), (12, 53), (13, 54), (14, 55), (15, 56), (16, 57), (17, 58), (18, 59), (19, 60), (20, 61), (21, 62), (22, 63), (23, 64), (24, 65), (25, 66), (26, 67), (27, 68), (28, 69), (29, 70), (30, 71), (31, 72), (32, 73), (33, 74), (34, 75), (35, 76), (36, 77), (37, 78), (38, 79), (39, 80), (40, 81), (41, 82)]
# of depots: 17, depot nodes: [99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115]
# of service lines: 6
# of num transfers: 16, service lines mapping: {1: [83, 84, 85], 2: [86, 87, 88], 3: [89, 90, 91], 4: [92, 93, 94], 5: [95, 96, 97], 6: [98]}
public transportation factor: 0.8
map_size: 115
outsourcing cost: 7916
robots max travel time: 43
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 1
transfer service time: 2
request nodes time windows: {1: (45, 445), 2: (0, 323), 3: (68, 468), 4: (25, 425), 5: (31, 431), 6: (22, 422), 7: (0, 365), 8: (8, 408), 9: (67, 467), 10: (72, 472), 11: (26, 426), 12: (0, 396), 13: (75, 475), 14: (3, 403), 15: (21, 421), 16: (8, 408), 17: (54, 454), 18: (31, 431), 19: (0, 347), 20: (72, 472), 21: (0, 400), 22: (0, 379), 23: (18, 418), 24: (0, 353), 25: (0, 350), 26: (0, 331), 27: (0, 373), 28: (0, 326), 29: (0, 393), 30: (0, 355), 31: (8, 408), 32: (0, 372), 33: (61, 461), 34: (0, 377), 35: (0, 397), 36: (0, 346), 37: (0, 316), 38: (0, 382), 39: (31, 431), 40: (15, 415), 41: (0, 398), 42: (247, 647), 43: (168, 568), 44: (444, 844), 45: (129, 529), 46: (158, 558), 47: (195, 595), 48: (63, 463), 49: (215, 615), 50: (436, 836), 51: (196, 596), 52: (106, 506), 53: (316, 716), 54: (330, 730), 55: (165, 565), 56: (379, 779), 57: (340, 740), 58: (116, 516), 59: (232, 632), 60: (284, 684), 61: (410, 810), 62: (208, 608), 63: (335, 735), 64: (181, 581), 65: (316, 716), 66: (312, 712), 67: (246, 646), 68: (91, 491), 69: (175, 575), 70: (317, 717), 71: (342, 742), 72: (278, 678), 73: (273, 673), 74: (175, 575), 75: (276, 676), 76: (195, 595), 77: (149, 549), 78: (141, 541), 79: (141, 541), 80: (213, 613), 81: (340, 740), 82: (372, 772)}
transfer nodes departure time: {83: 448, 84: 489, 85: 531, 86: 771, 87: 802, 88: 833, 89: 660, 90: 706, 91: 752, 92: 583, 93: 628, 94: 673, 95: 258, 96: 296, 97: 335, 98: 666}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 85): (12.806248474865697, 64.03124237432849, False)
   (1, 97): (21.095023109728988, 105.47511554864494, False)
   (1, 104): (20.248456731316587, 101.24228365658294, False)
   (1, 106): (26.419689627245813, 132.09844813622905, False)
   (1, 111): (41.048751503547585, 205.24375751773792, False)
   (1, 113): (39.56008088970496, 197.80040444852483, False)
   (1, 114): (29.206163733020468, 146.03081866510234, False)
   (2, 43): (31.76476034853718, 158.8238017426859, False)
   (2, 83): (38.600518131237564, 193.0025906561878, False)
   (2, 84): (17.4928556845359, 87.4642784226795, False)
   (2, 86): (31.016124838541646, 155.08062419270823, False)
   (2, 87): (12.165525060596439, 60.82762530298219, False)
   (2, 90): (15.297058540778355, 76.48529270389177, False)
   (2, 92): (33.301651610693426, 166.50825805346713, False)
   (2, 95): (42.20189569201838, 211.0094784600919, False)
   (2, 96): (19.1049731745428, 95.524865872714, False)
   (2, 98): (18.110770276274835, 90.55385138137417, False)
   (2, 101): (28.42534080710379, 142.12670403551894, False)
   (2, 102): (26.40075756488817, 132.00378782444085, False)
   (2, 103): (32.7566787083184, 163.78339354159198, False)
   (2, 107): (37.36308338453881, 186.81541692269406, False)
   (2, 115): (34.0147027033899, 170.0735135169495, False)
   (3, 85): (16.0, 80.0, False)
   (3, 97): (24.186773244895647, 120.93386622447824, False)
   (3, 104): (29.966648127543394, 149.83324063771698, False)
   (3, 106): (36.359317925395686, 181.79658962697843, False)
   (3, 114): (39.20459156782532, 196.0229578391266, False)
   (4, 84): (24.73863375370596, 123.6931687685298, False)
   (4, 85): (30.479501308256342, 152.3975065412817, False)
   (4, 87): (41.10960958218893, 205.54804791094466, False)
   (4, 88): (23.853720883753127, 119.26860441876563, False)
   (4, 90): (42.0, 210.0, False)
   (4, 93): (37.589892258425, 187.94946129212502, False)
   (4, 96): (25.079872407968907, 125.39936203984453, False)
   (4, 97): (27.459060435491963, 137.2953021774598, False)
   (4, 104): (26.92582403567252, 134.6291201783626, False)
   (4, 106): (22.825424421026653, 114.12712210513327, False)
   (4, 107): (35.805027579936315, 179.02513789968157, False)
   (4, 108): (22.80350850198276, 114.0175425099138, False)
   (4, 113): (31.400636936215164, 157.00318468107582, False)
   (4, 114): (18.601075237738275, 93.00537618869137, False)
   (5, 88): (31.400636936215164, 157.00318468107582, False)
   (5, 91): (20.0, 100.0, False)
   (5, 93): (18.439088914585774, 92.19544457292886, False)
   (5, 95): (41.23105625617661, 206.15528128088303, False)
   (5, 99): (15.264337522473747, 76.32168761236873, False)
   (5, 100): (23.769728648009426, 118.84864324004712, False)
   (5, 103): (40.0, 200.0, False)
   (5, 105): (18.110770276274835, 90.55385138137417, False)
   (5, 107): (24.186773244895647, 120.93386622447824, False)
   (5, 108): (34.713109915419565, 173.56554957709784, False)
   (5, 109): (8.06225774829855, 40.311288741492746, False)
   (5, 110): (31.78049716414141, 158.90248582070706, False)
   (5, 112): (42.04759208325728, 210.2379604162864, False)
   (5, 115): (35.805027579936315, 179.02513789968157, False)
   (6, 84): (40.8166632639171, 204.0833163195855, False)
   (6, 85): (33.421549934136806, 167.10774967068403, False)
   (6, 97): (25.45584412271571, 127.27922061357856, False)
   (6, 98): (34.92849839314596, 174.6424919657298, False)
