All relevant information about the map is below:

Total # of nodes: 119
# of robots: 46, robots_origin_location: {103: {46, 2, 22}, 104: {8, 12, 23}, 105: {29}, 106: {28, 30}, 107: {17, 10, 3}, 108: {15, 14, 7}, 109: {35, 4, 13}, 110: {43}, 111: {24, 25, 11}, 112: {42, 20, 5}, 113: {26, 27, 36}, 114: {40, 19, 38}, 115: {9, 21, 33}, 116: {45, 6, 31}, 117: {32, 1, 39}, 118: {16, 18, 34}, 119: {41, 44, 37}}
# of requests: 43, request_pairs: [(1, 44), (2, 45), (3, 46), (4, 47), (5, 48), (6, 49), (7, 50), (8, 51), (9, 52), (10, 53), (11, 54), (12, 55), (13, 56), (14, 57), (15, 58), (16, 59), (17, 60), (18, 61), (19, 62), (20, 63), (21, 64), (22, 65), (23, 66), (24, 67), (25, 68), (26, 69), (27, 70), (28, 71), (29, 72), (30, 73), (31, 74), (32, 75), (33, 76), (34, 77), (35, 78), (36, 79), (37, 80), (38, 81), (39, 82), (40, 83), (41, 84), (42, 85), (43, 86)]
# of depots: 17, depot nodes: [103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119]
# of service lines: 3
# of num transfers: 16, service lines mapping: {1: [87, 88, 89, 90, 91, 92], 2: [93, 94, 95, 96, 97, 98], 3: [99, 100, 101, 102]}
public transportation factor: 0.8
map_size: 119
outsourcing cost: 5000
robots max travel time: 736
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 1
transfer service time: 2
request nodes time windows: {1: (0, 363), 2: (0, 320), 3: (9, 409), 4: (12, 412), 5: (0, 379), 6: (51, 451), 7: (34, 434), 8: (80, 480), 9: (0, 331), 10: (77, 477), 11: (0, 384), 12: (68, 468), 13: (0, 388), 14: (0, 400), 15: (0, 362), 16: (0, 355), 17: (14, 414), 18: (6, 406), 19: (0, 393), 20: (3, 403), 21: (45, 445), 22: (10, 410), 23: (0, 345), 24: (55, 455), 25: (70, 470), 26: (0, 376), 27: (1, 401), 28: (84, 484), 29: (43, 443), 30: (77, 477), 31: (60, 460), 32: (0, 392), 33: (91, 491), 34: (5, 405), 35: (86, 486), 36: (84, 484), 37: (96, 496), 38: (72, 472), 39: (4, 404), 40: (23, 423), 41: (20, 420), 42: (92, 492), 43: (11, 411), 44: (226, 626), 45: (161, 561), 46: (175, 575), 47: (281, 681), 48: (202, 602), 49: (327, 727), 50: (198, 598), 51: (216, 616), 52: (0, 400), 53: (210, 610), 54: (127, 527), 55: (261, 661), 56: (240, 640), 57: (277, 677), 58: (176, 576), 59: (36, 436), 60: (200, 600), 61: (389, 789), 62: (273, 673), 63: (172, 572), 64: (177, 577), 65: (355, 755), 66: (115, 515), 67: (314, 714), 68: (420, 820), 69: (119, 519), 70: (305, 705), 71: (198, 598), 72: (377, 777), 73: (221, 621), 74: (161, 561), 75: (157, 557), 76: (212, 612), 77: (386, 786), 78: (414, 814), 79: (355, 755), 80: (430, 830), 81: (229, 629), 82: (280, 680), 83: (122, 522), 84: (344, 744), 85: (345, 745), 86: (233, 633)}
transfer nodes departure time: {87: 886, 88: 905, 89: 924, 90: 943, 91: 962, 92: 983, 93: 24, 94: 37, 95: 51, 96: 65, 97: 79, 98: 95, 99: 656, 100: 679, 101: 702, 102: 727}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 44): (55.226805085936306, 276.1340254296815, False)
   (1, 87): (64.89992295835181, 324.49961479175903, False)
   (1, 88): (53.45091205957107, 267.25456029785533, False)
   (1, 89): (49.16299421312742, 245.8149710656371, False)
   (1, 90): (52.773099207835045, 263.86549603917524, False)
   (1, 91): (62.93647591023825, 314.6823795511913, False)
   (1, 92): (79.61155694998057, 398.05778474990285, False)
   (1, 95): (40.718546143004666, 203.59273071502332, False)
   (1, 96): (46.389654018972806, 231.94827009486403, False)
   (1, 97): (55.226805085936306, 276.1340254296815, False)
   (1, 98): (68.41052550594829, 342.0526275297414, False)
   (1, 99): (35.22782990761707, 176.13914953808535, False)
   (1, 100): (12.529964086141668, 62.64982043070834, False)
   (1, 101): (20.615528128088304, 103.07764064044152, False)
   (1, 102): (47.43416490252569, 237.17082451262843, False)
   (1, 103): (27.294688127912362, 136.4734406395618, False)
   (1, 104): (47.01063709417264, 235.05318547086318, False)
   (1, 105): (25.96150997149434, 129.8075498574717, False)
   (1, 106): (43.73785545725808, 218.6892772862904, False)
   (1, 107): (113.99122773266372, 569.9561386633186, False)
   (1, 108): (21.400934559032695, 107.00467279516347, False)
   (1, 109): (77.47257579298626, 387.3628789649313, False)
   (1, 110): (93.00537618869137, 465.02688094345683, False)
   (1, 111): (84.5931439302264, 422.965719651132, False)
   (1, 112): (64.1248781675256, 320.62439083762797, False)
   (1, 113): (92.0869154657707, 460.4345773288535, False)
   (1, 114): (37.12142238654117, 185.60711193270583, False)
   (1, 115): (60.14149981501958, 300.70749907509787, False)
   (1, 116): (79.40403012442127, 397.02015062210637, False)
   (1, 117): (101.00495037373169, 505.0247518686584, False)
   (1, 118): (78.84795495128583, 394.23977475642914, False)
   (1, 119): (50.566787519082126, 252.83393759541065, False)
   (2, 45): (46.389654018972806, 231.94827009486403, False)
   (2, 87): (57.271284253105414, 286.35642126552705, False)
   (2, 88): (39.0, 195.0, False)
   (2, 89): (23.345235059857504, 116.72617529928752, False)
   (2, 90): (19.4164878389476, 97.082439194738, False)
   (2, 91): (31.89043743820395, 159.45218719101976, False)
   (2, 92): (52.32590180780452, 261.6295090390226, False)
   (2, 95): (47.01063709417264, 235.05318547086318, False)
   (2, 96): (32.802438933713454, 164.01219466856728, False)
   (2, 97): (18.601075237738275, 93.00537618869137, False)
   (2, 98): (2.0, 10.0, False)
   (2, 99): (71.58910531638176, 357.9455265819088, False)
   (2, 100): (60.67124524847005, 303.35622624235026, False)
   (2, 101): (59.90826320300064, 299.5413160150032, False)
   (2, 102): (70.7248188403477, 353.62409420173844, False)
   (2, 103): (42.579337712087536, 212.89668856043767, False)
   (2, 104): (74.63243262818116, 373.1621631409058, False)
   (2, 105): (49.09175083453431, 245.45875417267155, False)
   (2, 106): (97.18538984847466, 485.92694924237327, False)
   (2, 107): (51.86520991955976, 259.32604959779883, False)
   (2, 108): (49.49747468305833, 247.48737341529164, False)
   (2, 109): (51.24451190127583, 256.2225595063791, False)
   (2, 110): (36.138621999185304, 180.69310999592653, False)
   (2, 111): (34.9857113690718, 174.928556845359, False)
   (2, 112): (24.08318915758459, 120.41594578792296, False)
   (2, 113): (30.528675044947494, 152.64337522473747, False)
   (2, 114): (49.57822102496216, 247.8911051248108, False)
   (2, 115): (64.8459713474939, 324.2298567374695, False)
   (2, 116): (17.69180601295413, 88.45903006477066, False)
