All relevant information about the map is below:

Total # of nodes: 128
# of robots: 39, robots_origin_location: {124: {1, 3, 4, 6, 8, 10, 11, 16, 18}, 125: {2, 35, 5, 38, 12, 14, 25, 27, 30}, 126: {33, 37, 39, 19, 23, 29}, 127: {32, 34, 7, 9, 15, 17, 22, 24, 28}, 128: {36, 13, 20, 21, 26, 31}}
# of requests: 46, request_pairs: [(1, 47), (2, 48), (3, 49), (4, 50), (5, 51), (6, 52), (7, 53), (8, 54), (9, 55), (10, 56), (11, 57), (12, 58), (13, 59), (14, 60), (15, 61), (16, 62), (17, 63), (18, 64), (19, 65), (20, 66), (21, 67), (22, 68), (23, 69), (24, 70), (25, 71), (26, 72), (27, 73), (28, 74), (29, 75), (30, 76), (31, 77), (32, 78), (33, 79), (34, 80), (35, 81), (36, 82), (37, 83), (38, 84), (39, 85), (40, 86), (41, 87), (42, 88), (43, 89), (44, 90), (45, 91), (46, 92)]
# of depots: 5, depot nodes: [124, 125, 126, 127, 128]
# of service lines: 7
# of num transfers: 31, service lines mapping: {1: [93, 94, 95, 96, 97], 2: [98, 99, 100, 101, 102], 3: [103, 104, 105, 106, 107], 4: [108, 109, 110, 111, 112], 5: [113, 114, 115, 116, 117], 6: [118, 119, 120, 121, 122], 7: [123]}
public transportation factor: 1.0
map_size: 128
outsourcing cost: 5833
robots max travel time: 538
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 9
depot service time: 2
transfer capacity: 4
transfer service time: 2
request nodes time windows: {1: (0, 377), 2: (67, 467), 3: (10, 410), 4: (0, 375), 5: (0, 352), 6: (86, 486), 7: (0, 395), 8: (57, 457), 9: (97, 497), 10: (0, 354), 11: (112, 512), 12: (0, 388), 13: (42, 442), 14: (15, 415), 15: (27, 427), 16: (111, 511), 17: (107, 507), 18: (81, 481), 19: (77, 477), 20: (54, 454), 21: (74, 474), 22: (99, 499), 23: (101, 501), 24: (0, 376), 25: (93, 493), 26: (0, 362), 27: (0, 381), 28: (105, 505), 29: (61, 461), 30: (95, 495), 31: (105, 505), 32: (91, 491), 33: (78, 478), 34: (48, 448), 35: (116, 516), 36: (0, 369), 37: (0, 395), 38: (0, 333), 39: (0, 387), 40: (0, 375), 41: (1, 401), 42: (50, 450), 43: (2, 402), 44: (0, 346), 45: (3, 403), 46: (0, 375), 47: (225, 625), 48: (448, 848), 49: (209, 609), 50: (136, 536), 51: (232, 632), 52: (478, 878), 53: (163, 563), 54: (292, 692), 55: (404, 804), 56: (134, 534), 57: (325, 725), 58: (167, 567), 59: (403, 803), 60: (326, 726), 61: (310, 710), 62: (332, 732), 63: (324, 724), 64: (165, 565), 65: (451, 851), 66: (377, 777), 67: (221, 621), 68: (470, 870), 69: (486, 886), 70: (201, 601), 71: (268, 668), 72: (81, 481), 73: (300, 700), 74: (191, 591), 75: (234, 634), 76: (272, 672), 77: (153, 553), 78: (383, 783), 79: (360, 760), 80: (169, 569), 81: (421, 821), 82: (317, 717), 83: (389, 789), 84: (174, 574), 85: (288, 688), 86: (197, 597), 87: (238, 638), 88: (287, 687), 89: (281, 681), 90: (244, 644), 91: (305, 705), 92: (105, 505)}
transfer nodes departure time: {93: 1017, 94: 1045, 95: 1073, 96: 1101, 97: 1133, 98: 618, 99: 643, 100: 668, 101: 693, 102: 718, 103: 974, 104: 1007, 105: 1041, 106: 1075, 107: 1114, 108: 745, 109: 761, 110: 776, 111: 791, 112: 843, 113: 722, 114: 758, 115: 794, 116: 829, 117: 868, 118: 2, 119: 22, 120: 42, 121: 62, 122: 91, 123: 650}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 47): (20.024984394500787, 100.12492197250394, False)
   (1, 93): (90.0, 450.0, False)
   (1, 94): (65.19202405202648, 325.9601202601324, False)
   (1, 95): (41.23105625617661, 206.15528128088303, False)
   (1, 96): (21.213203435596427, 106.06601717798213, False)
   (1, 97): (25.019992006393608, 125.09996003196804, False)
   (1, 98): (72.11102550927978, 360.5551275463989, False)
   (1, 99): (50.00999900019995, 250.04999500099973, False)
   (1, 100): (28.635642126552707, 143.17821063276352, False)
   (1, 101): (12.529964086141668, 62.64982043070834, False)
   (1, 102): (23.345235059857504, 116.72617529928752, False)
   (1, 103): (59.20304046246274, 296.0152023123137, False)
   (1, 104): (33.24154027718932, 166.20770138594662, False)
   (1, 105): (25.495097567963924, 127.47548783981962, False)
   (1, 106): (47.042533945356304, 235.2126697267815, False)
   (1, 107): (80.4114419718985, 402.0572098594925, False)
   (1, 108): (94.17536832951598, 470.8768416475799, False)
   (1, 109): (85.21150157109074, 426.05750785545365, False)
   (1, 110): (77.89736837660179, 389.48684188300894, False)
   (1, 111): (71.8679344353238, 359.33967217661905, False)
   (1, 112): (67.06713054842886, 335.3356527421443, False)
   (1, 113): (105.26157893552613, 526.3078946776307, False)
   (1, 114): (74.43117626371358, 372.15588131856794, False)
   (1, 115): (47.07440918375928, 235.3720459187964, False)
   (1, 116): (34.132096331752024, 170.66048165876012, False)
   (1, 117): (50.00999900019995, 250.04999500099973, False)
   (1, 121): (46.95742752749558, 234.7871376374779, False)
   (1, 122): (61.07372593840988, 305.3686296920494, False)
   (1, 123): (82.38931969618392, 411.9465984809196, False)
   (1, 124): (21.93171219946131, 109.65856099730655, False)
   (1, 125): (29.427877939124322, 147.13938969562162, False)
   (1, 126): (103.60019305001319, 518.000965250066, False)
   (1, 127): (21.633307652783937, 108.16653826391969, False)
   (1, 128): (66.73080248281148, 333.65401241405743, False)
   (2, 48): (79.20227269466452, 396.0113634733226, False)
   (2, 93): (125.89678312014172, 629.4839156007085, False)
   (2, 94): (101.9803902718557, 509.9019513592785, False)
   (2, 95): (79.05694150420949, 395.28470752104744, False)
   (2, 96): (58.309518948453004, 291.547594742265, False)
   (2, 97): (41.23105625617661, 206.15528128088303, False)
   (2, 98): (109.1146186356347, 545.5730931781735, False)
   (2, 99): (87.5728268357257, 437.86413417862855, False)
   (2, 100): (66.70832032063167, 333.54160160315837, False)
   (2, 101): (47.4236228055175, 237.11811402758752, False)
   (2, 102): (33.421549934136806, 167.10774967068403, False)
   (2, 103): (28.792360097775937, 143.96180048887967, False)
   (2, 104): (5.0, 25.0, False)
   (2, 105): (34.40930106817051, 172.04650534085255, False)
   (2, 106): (66.03786792439622, 330.1893396219811, False)
   (2, 107): (102.2154587134451, 511.0772935672255, False)
   (2, 108): (128.96898852049665, 644.8449426024832, False)
   (2, 109): (121.31364309095659, 606.568215454783, False)
   (2, 110): (115.03912377969506, 575.1956188984753, False)
   (2, 111): (109.73149046650191, 548.6574523325096, False)
   (2, 112): (100.9752444909147, 504.8762224545735, False)
   (2, 113): (137.44089638822936, 687.2044819411468, False)
   (2, 114): (104.66135867644753, 523.3067933822376, False)
   (2, 115): (72.34638899074369, 361.7319449537184, False)
   (2, 116): (42.485291572496, 212.42645786248002, False)
   (2, 117): (22.47220505424423, 112.36102527122115, False)
   (2, 123): (95.50916186418976, 477.5458093209488, False)
   (2, 124): (59.77457653551382, 298.8728826775691, False)
   (2, 125): (67.468511173732, 337.34255586866, False)
   (2, 126): (135.14806694880988, 675.7403347440494, False)
   (2, 127): (36.796738985948195, 183.98369492974098, False)
