All relevant information about the map is below:

Total # of nodes: 115
# of robots: 45, robots_origin_location: {101: {27}, 102: {41, 42, 5}, 103: {18, 19, 10, 11}, 104: {1, 20, 30, 31}, 105: {37}, 106: {8, 25, 32, 35}, 107: {2, 3, 45}, 108: {24}, 109: {38, 36, 6, 22}, 110: {17, 4, 12, 44}, 111: {39, 29, 14, 15}, 112: {9, 34, 43, 21}, 113: {26, 23}, 114: {16, 40}, 115: {33, 28, 13, 7}}
# of requests: 47, request_pairs: [(1, 48), (2, 49), (3, 50), (4, 51), (5, 52), (6, 53), (7, 54), (8, 55), (9, 56), (10, 57), (11, 58), (12, 59), (13, 60), (14, 61), (15, 62), (16, 63), (17, 64), (18, 65), (19, 66), (20, 67), (21, 68), (22, 69), (23, 70), (24, 71), (25, 72), (26, 73), (27, 74), (28, 75), (29, 76), (30, 77), (31, 78), (32, 79), (33, 80), (34, 81), (35, 82), (36, 83), (37, 84), (38, 85), (39, 86), (40, 87), (41, 88), (42, 89), (43, 90), (44, 91), (45, 92), (46, 93), (47, 94)]
# of depots: 15, depot nodes: [101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115]
# of service lines: 2
# of num transfers: 6, service lines mapping: {1: [95, 96, 97], 2: [98, 99, 100]}
public transportation factor: 0.4
map_size: 115
outsourcing cost: 5000
robots max travel time: 439
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 7
transfer service time: 2
request nodes time windows: {1: (0, 318), 2: (8, 408), 3: (33, 433), 4: (27, 427), 5: (0, 337), 6: (0, 346), 7: (35, 435), 8: (0, 317), 9: (38, 438), 10: (0, 385), 11: (0, 327), 12: (0, 317), 13: (0, 360), 14: (0, 375), 15: (75, 475), 16: (26, 426), 17: (0, 355), 18: (9, 409), 19: (0, 392), 20: (0, 374), 21: (22, 422), 22: (0, 335), 23: (0, 374), 24: (71, 471), 25: (0, 338), 26: (0, 375), 27: (69, 469), 28: (46, 446), 29: (0, 346), 30: (10, 410), 31: (0, 397), 32: (0, 392), 33: (70, 470), 34: (4, 404), 35: (0, 328), 36: (62, 462), 37: (0, 387), 38: (42, 442), 39: (0, 392), 40: (0, 382), 41: (43, 443), 42: (0, 315), 43: (36, 436), 44: (0, 390), 45: (0, 332), 46: (0, 373), 47: (0, 349), 48: (166, 566), 49: (163, 563), 50: (319, 719), 51: (324, 724), 52: (231, 631), 53: (135, 535), 54: (244, 644), 55: (74, 474), 56: (349, 749), 57: (225, 625), 58: (310, 710), 59: (0, 392), 60: (210, 610), 61: (319, 719), 62: (180, 580), 63: (116, 516), 64: (329, 729), 65: (179, 579), 66: (156, 556), 67: (312, 712), 68: (389, 789), 69: (246, 646), 70: (195, 595), 71: (402, 802), 72: (303, 703), 73: (93, 493), 74: (393, 793), 75: (384, 784), 76: (336, 736), 77: (237, 637), 78: (364, 764), 79: (133, 533), 80: (217, 617), 81: (159, 559), 82: (47, 447), 83: (349, 749), 84: (165, 565), 85: (176, 576), 86: (158, 558), 87: (333, 733), 88: (294, 694), 89: (303, 703), 90: (224, 624), 91: (128, 528), 92: (54, 454), 93: (46, 446), 94: (305, 705)}
transfer nodes departure time: {95: 395, 96: 418, 97: 442, 98: 820, 99: 843, 100: 866}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 48): (94.64142856064674, 473.20714280323375, False)
   (1, 95): (41.10960958218893, 205.54804791094466, False)
   (1, 96): (34.438350715445125, 172.19175357722563, False)
   (1, 97): (78.63841300535, 393.19206502675, False)
   (1, 98): (58.83026432033091, 294.15132160165456, False)
   (1, 99): (53.85164807134504, 269.2582403567252, False)
   (1, 100): (88.81441324469807, 444.07206622349037, False)
   (1, 101): (32.31098884280702, 161.55494421403512, False)
   (1, 102): (65.92419889539804, 329.6209944769902, False)
   (1, 103): (66.70832032063167, 333.54160160315837, False)
   (1, 104): (61.465437442517235, 307.3271872125862, False)
   (1, 105): (76.57675887630658, 382.88379438153294, False)
   (1, 106): (26.1725046566048, 130.86252328302402, False)
   (1, 107): (39.21734310225516, 196.08671551127577, False)
   (1, 108): (67.94115100585212, 339.7057550292606, False)
   (1, 109): (23.345235059857504, 116.72617529928752, False)
   (1, 110): (62.177166226839255, 310.8858311341963, False)
   (1, 111): (45.27692569068709, 226.38462845343543, False)
   (1, 112): (75.02666192761077, 375.1333096380539, False)
   (1, 113): (80.52949770115296, 402.64748850576484, False)
   (1, 114): (80.8084154033477, 404.04207701673846, False)
   (1, 115): (69.77822009767804, 348.89110048839024, False)
   (2, 49): (82.41965784932621, 412.09828924663105, False)
   (2, 95): (88.05679985100527, 440.28399925502634, False)
   (2, 96): (62.369864518050704, 311.8493225902535, False)
   (2, 97): (72.24956747275377, 361.24783736376884, False)
   (2, 98): (95.56673061269805, 477.83365306349026, False)
   (2, 99): (47.41307836451879, 237.06539182259394, False)
   (2, 100): (22.360679774997898, 111.80339887498948, False)
   (2, 101): (65.29931086925804, 326.49655434629017, False)
   (2, 102): (83.05419917138447, 415.27099585692235, False)
   (2, 103): (45.0111097397076, 225.055548698538, False)
   (2, 104): (41.78516483155236, 208.92582415776178, False)
   (2, 105): (22.360679774997898, 111.80339887498948, False)
   (2, 106): (121.16517651536682, 605.8258825768341, False)
   (2, 107): (60.21627686929839, 301.081384346492, False)
   (2, 108): (28.635642126552707, 143.17821063276352, False)
   (2, 109): (71.84010022264724, 359.2005011132362, False)
   (2, 110): (43.56604182158393, 217.83020910791964, False)
   (2, 111): (78.85429601486528, 394.2714800743264, False)
   (2, 112): (60.07495318350236, 300.3747659175118, False)
   (2, 113): (28.0178514522438, 140.089257261219, False)
   (2, 114): (90.60905032059435, 453.04525160297175, False)
   (2, 115): (42.01190307520001, 210.05951537600004, False)
   (3, 50): (33.60059523282288, 168.00297616411441, False)
   (3, 95): (25.298221281347036, 126.49110640673518, False)
   (3, 96): (25.612496949731394, 128.06248474865697, False)
   (3, 97): (78.54934754662193, 392.7467377331096, False)
   (3, 98): (73.24616030891995, 366.2308015445998, False)
   (3, 99): (40.52159917870962, 202.6079958935481, False)
   (3, 100): (57.982756057296896, 289.9137802864845, False)
   (3, 101): (26.870057685088806, 134.35028842544403, False)
   (3, 102): (40.496913462633174, 202.48456731316588, False)
   (3, 103): (34.0, 170.0, False)
   (3, 104): (46.69047011971501, 233.45235059857504, False)
   (3, 105): (47.43416490252569, 237.17082451262843, False)
   (3, 106): (57.4543296888929, 287.2716484444645, False)
   (3, 107): (31.622776601683793, 158.11388300841895, False)
   (3, 108): (39.824615503479755, 199.12307751739877, False)
   (3, 109): (14.866068747318506, 74.33034373659252, False)
