All relevant information about the map is below:

Total # of nodes: 115
# of robots: 47, robots_origin_location: {109: {3, 6, 11, 12, 14, 17, 29, 30}, 110: {25, 21, 5}, 111: {35, 4, 39, 44, 47, 16, 19, 26}, 112: {2, 37, 38, 42, 43, 45, 23, 27}, 113: {1, 34, 36, 8, 9, 40, 15, 31}, 114: {7, 10, 18, 20, 22}, 115: {32, 33, 41, 13, 46, 24, 28}}
# of requests: 49, request_pairs: [(1, 50), (2, 51), (3, 52), (4, 53), (5, 54), (6, 55), (7, 56), (8, 57), (9, 58), (10, 59), (11, 60), (12, 61), (13, 62), (14, 63), (15, 64), (16, 65), (17, 66), (18, 67), (19, 68), (20, 69), (21, 70), (22, 71), (23, 72), (24, 73), (25, 74), (26, 75), (27, 76), (28, 77), (29, 78), (30, 79), (31, 80), (32, 81), (33, 82), (34, 83), (35, 84), (36, 85), (37, 86), (38, 87), (39, 88), (40, 89), (41, 90), (42, 91), (43, 92), (44, 93), (45, 94), (46, 95), (47, 96), (48, 97), (49, 98)]
# of depots: 7, depot nodes: [109, 110, 111, 112, 113, 114, 115]
# of service lines: 3
# of num transfers: 10, service lines mapping: {1: [99, 100, 101, 102], 2: [103, 104, 105, 106], 3: [107, 108]}
public transportation factor: 0.8
map_size: 115
outsourcing cost: 8750
robots max travel time: 472
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 8
depot service time: 2
transfer capacity: 6
transfer service time: 2
request nodes time windows: {1: (42, 442), 2: (84, 484), 3: (0, 384), 4: (0, 359), 5: (79, 479), 6: (0, 330), 7: (60, 460), 8: (0, 368), 9: (0, 390), 10: (0, 317), 11: (43, 443), 12: (0, 384), 13: (33, 433), 14: (38, 438), 15: (73, 473), 16: (0, 332), 17: (0, 328), 18: (0, 352), 19: (51, 451), 20: (0, 316), 21: (0, 386), 22: (0, 396), 23: (0, 365), 24: (0, 339), 25: (0, 342), 26: (0, 382), 27: (85, 485), 28: (0, 376), 29: (25, 425), 30: (0, 330), 31: (64, 464), 32: (2, 402), 33: (0, 335), 34: (0, 332), 35: (0, 340), 36: (33, 433), 37: (76, 476), 38: (0, 366), 39: (19, 419), 40: (0, 358), 41: (0, 332), 42: (0, 357), 43: (0, 358), 44: (0, 368), 45: (0, 325), 46: (0, 330), 47: (0, 382), 48: (0, 374), 49: (0, 335), 50: (99, 499), 51: (226, 626), 52: (147, 547), 53: (80, 480), 54: (237, 637), 55: (267, 667), 56: (263, 663), 57: (85, 485), 58: (320, 720), 59: (296, 696), 60: (274, 674), 61: (202, 602), 62: (423, 823), 63: (356, 756), 64: (377, 777), 65: (281, 681), 66: (0, 370), 67: (170, 570), 68: (182, 582), 69: (264, 664), 70: (123, 523), 71: (176, 576), 72: (47, 447), 73: (298, 698), 74: (118, 518), 75: (121, 521), 76: (355, 755), 77: (99, 499), 78: (91, 491), 79: (51, 451), 80: (393, 793), 81: (81, 481), 82: (74, 474), 83: (300, 700), 84: (143, 543), 85: (425, 825), 86: (469, 869), 87: (63, 463), 88: (123, 523), 89: (210, 610), 90: (288, 688), 91: (221, 621), 92: (172, 572), 93: (266, 666), 94: (187, 587), 95: (279, 679), 96: (80, 480), 97: (304, 704), 98: (184, 584)}
transfer nodes departure time: {99: 529, 100: 559, 101: 589, 102: 619, 103: 405, 104: 439, 105: 473, 106: 508, 107: 593, 108: 674}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 50): (12.36931687685298, 61.8465843842649, False)
   (1, 99): (7.0, 35.0, False)
   (1, 100): (39.6232255123179, 198.1161275615895, False)
   (1, 101): (73.59347797189639, 367.96738985948195, False)
   (1, 102): (108.4665847162157, 542.3329235810785, False)
   (1, 103): (105.41821474489122, 527.0910737244561, False)
   (1, 104): (69.40461079784254, 347.0230539892127, False)
   (1, 105): (40.311288741492746, 201.55644370746373, False)
   (1, 106): (40.0, 200.0, False)
   (1, 107): (17.08800749063506, 85.44003745317531, False)
   (1, 108): (95.60334722173695, 478.01673610868477, False)
   (1, 109): (23.345235059857504, 116.72617529928752, False)
   (1, 110): (103.1746092796091, 515.8730463980455, False)
   (1, 111): (91.54780172128658, 457.7390086064329, False)
   (1, 112): (61.84658438426491, 309.23292192132453, False)
   (1, 113): (18.867962264113206, 94.33981132056603, False)
   (1, 114): (56.293871780150276, 281.4693589007514, False)
   (1, 115): (74.43117626371358, 372.15588131856794, False)
   (2, 51): (86.83317338436964, 434.1658669218482, False)
   (2, 99): (55.90169943749474, 279.5084971874737, False)
   (2, 100): (37.12142238654117, 185.60711193270583, False)
   (2, 101): (45.60701700396552, 228.0350850198276, False)
   (2, 102): (72.56031973468694, 362.8015986734347, False)
   (2, 103): (63.788713735268246, 318.9435686763412, False)
   (2, 104): (50.566787519082126, 252.83393759541065, False)
   (2, 105): (64.41273166075166, 322.0636583037583, False)
   (2, 106): (95.03683496413377, 475.1841748206689, False)
   (2, 107): (48.703182647543684, 243.51591323771842, False)
   (2, 108): (89.55445270895244, 447.7722635447622, False)
   (2, 109): (41.43669871020132, 207.1834935510066, False)
   (2, 110): (76.16429609731846, 380.8214804865923, False)
   (2, 111): (80.05623023850174, 400.2811511925087, False)
   (2, 112): (91.80958555619343, 459.04792778096714, False)
   (2, 113): (52.3450093132096, 261.72504656604804, False)
   (2, 114): (7.280109889280518, 36.40054944640259, False)
   (2, 115): (12.165525060596439, 60.82762530298219, False)
   (3, 52): (63.150613615387776, 315.75306807693886, False)
   (3, 99): (40.11234224026316, 200.5617112013158, False)
   (3, 100): (68.87670143089025, 344.38350715445125, False)
   (3, 101): (100.68763578513501, 503.43817892567506, False)
   (3, 102): (134.31678971744373, 671.5839485872186, False)
   (3, 103): (133.13526955694348, 665.6763477847174, False)
   (3, 104): (94.64142856064674, 473.20714280323375, False)
   (3, 105): (57.38466694161429, 286.9233347080715, False)
   (3, 106): (27.018512172212592, 135.09256086106296, False)
   (3, 107): (49.09175083453431, 245.45875417267155, False)
   (3, 108): (111.83022847155415, 559.1511423577707, False)
   (3, 109): (56.00892785976178, 280.04463929880893, False)
   (3, 110): (126.57408897558773, 632.8704448779387, False)
   (3, 111): (110.60289327137876, 553.0144663568938, False)
   (3, 112): (65.52098900352466, 327.6049450176233, False)
   (3, 113): (47.01063709417264, 235.05318547086318, False)
   (3, 114): (89.26925562588724, 446.3462781294362, False)
   (3, 115): (107.56393447619885, 537.8196723809942, False)
   (4, 53): (35.17101079013795, 175.85505395068975, False)
   (4, 99): (103.47946656221224, 517.3973328110612, False)
   (4, 100): (68.6804193347711, 343.4020966738555, False)
   (4, 101): (34.655446902326915, 173.27723451163456, False)
   (4, 102): (5.656854249492381, 28.284271247461902, False)
   (4, 103): (6.324555320336759, 31.622776601683796, False)
   (4, 104): (40.496913462633174, 202.48456731316588, False)
   (4, 105): (79.64923100695951, 398.24615503479754, False)
   (4, 106): (119.85407794480753, 599.2703897240376, False)
   (4, 107): (102.6498904042279, 513.2494520211395, False)
   (4, 108): (50.96076922496363, 254.80384612481814, False)
   (4, 109): (97.09788875150684, 485.4894437575342, False)
   (4, 110): (19.697715603592208, 98.48857801796103, False)
   (4, 111): (41.593268686170845, 207.96634343085424, False)
   (4, 112): (91.78235124467012, 458.9117562233506, False)
   (4, 113): (89.8276126811795, 449.1380634058975, False)
   (4, 114): (68.96375859826666, 344.81879299133334, False)
   (4, 115): (70.00714249274856, 350.0357124637428, False)
   (5, 54): (28.071337695236398, 140.356688476182, False)
   (5, 99): (43.93176527297759, 219.65882636488797, False)
   (5, 100): (20.615528128088304, 103.07764064044152, False)
   (5, 101): (35.73513677041127, 178.67568385205635, False)
   (5, 102): (67.42403132415029, 337.12015662075146, False)
   (5, 103): (67.54257916307313, 337.71289581536564, False)
   (5, 104): (28.178005607210743, 140.8900280360537, False)
   (5, 105): (11.40175425099138, 57.0087712549569, False)
   (5, 106): (51.62363799656123, 258.11818998280614, False)
   (5, 107): (49.0, 245.0, False)
   (5, 108): (50.00999900019995, 250.04999500099973, False)
   (5, 109): (47.51841748206689, 237.59208741033444, False)
   (5, 110): (59.413803110051795, 297.069015550259, False)
   (5, 111): (45.69463863518345, 228.47319317591726, False)
   (5, 112): (35.35533905932738, 176.7766952966369, False)
   (5, 113): (27.65863337187866, 138.2931668593933, False)
   (5, 114): (49.8196748283246, 249.098374141623, False)
   (5, 115): (67.7421582177598, 338.71079108879894, False)
   (6, 55): (33.24154027718932, 166.20770138594662, False)
   (6, 99): (11.704699910719626, 58.52349955359813, False)
   (6, 100): (24.08318915758459, 120.41594578792296, False)
   (6, 101): (58.05170109479997, 290.25850547399983, False)
   (6, 102): (92.9569792968769, 464.7848964843845, False)
   (6, 103): (89.87213138676528, 449.36065693382636, False)
   (6, 104): (54.08326913195984, 270.41634565979916, False)
   (6, 105): (29.614185789921695, 148.0709289496085, False)
   (6, 106): (44.9221548904324, 224.61077445216202, False)
   (6, 107): (17.72004514666935, 88.60022573334675, False)
   (6, 108): (82.37718130647589, 411.88590653237947, False)
   (6, 109): (19.209372712298546, 96.04686356149273, False)
   (6, 110): (87.98295289429652, 439.9147644714826, False)
   (6, 111): (77.4919350642375, 387.4596753211875, False)
   (6, 112): (55.47071299343465, 277.35356496717327, False)
   (6, 113): (5.0990195135927845, 25.495097567963924, False)
   (6, 114): (44.01136216933077, 220.05681084665386, False)
   (6, 115): (63.071388124885914, 315.35694062442957, False)
   (7, 56): (59.54829972383762, 297.7414986191881, False)
   (7, 99): (56.92099788303083, 284.60498941515414, False)
   (7, 100): (33.24154027718932, 166.20770138594662, False)
   (7, 101): (37.64306044943742, 188.2153022471871, False)
   (7, 102): (64.77653896280658, 323.8826948140329, False)
   (7, 103): (56.32051136131489, 281.60255680657446, False)
   (7, 104): (42.941821107167776, 214.7091055358389, False)
   (7, 105): (60.166435825965294, 300.8321791298265, False)
   (7, 106): (93.1933474020544, 465.966737010272, False)
   (7, 107): (51.0, 255.0, False)
   (7, 108): (81.85963596303125, 409.29817981515623, False)
   (7, 109): (43.9089968002003, 219.5449840010015, False)
   (7, 110): (68.11754546370561, 340.58772731852804, False)
   (7, 111): (72.2357252334328, 361.178626167164, False)
