All relevant information about the map is below:

Total # of nodes: 146
# of robots: 60, robots_origin_location: {118: {8, 36, 44}, 119: {7}, 120: {34, 15}, 121: {52}, 122: {57, 35}, 123: {18, 21, 31}, 124: {51, 3, 20}, 125: {56}, 126: set(), 127: {59, 4, 6}, 128: {33, 28}, 129: {32, 26}, 130: {17, 50, 54}, 131: {60, 53}, 132: {10, 27, 39}, 133: {13}, 134: {1, 42, 5}, 135: {43}, 136: {16, 24, 11}, 137: {48, 25}, 138: set(), 139: {19, 14}, 140: {40, 41, 46}, 141: {12, 22, 55}, 142: {9, 30}, 143: {49, 45, 37}, 144: {2, 58}, 145: {29, 38, 23}, 146: {47}}
# of requests: 57, request_pairs: [(1, 58), (2, 59), (3, 60), (4, 61), (5, 62), (6, 63), (7, 64), (8, 65), (9, 66), (10, 67), (11, 68), (12, 69), (13, 70), (14, 71), (15, 72), (16, 73), (17, 74), (18, 75), (19, 76), (20, 77), (21, 78), (22, 79), (23, 80), (24, 81), (25, 82), (26, 83), (27, 84), (28, 85), (29, 86), (30, 87), (31, 88), (32, 89), (33, 90), (34, 91), (35, 92), (36, 93), (37, 94), (38, 95), (39, 96), (40, 97), (41, 98), (42, 99), (43, 100), (44, 101), (45, 102), (46, 103), (47, 104), (48, 105), (49, 106), (50, 107), (51, 108), (52, 109), (53, 110), (54, 111), (55, 112), (56, 113), (57, 114)]
# of depots: 29, depot nodes: [118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146]
# of service lines: 1
# of num transfers: 3, service lines mapping: {1: [115, 116, 117]}
public transportation factor: 0.2
map_size: 146
outsourcing cost: 417
robots max travel time: 109
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 1
transfer service time: 2
request nodes time windows: {1: (152, 552), 2: (116, 516), 3: (112, 512), 4: (32, 432), 5: (79, 479), 6: (0, 354), 7: (121, 521), 8: (0, 371), 9: (124, 524), 10: (0, 382), 11: (56, 456), 12: (142, 542), 13: (32, 432), 14: (96, 496), 15: (102, 502), 16: (40, 440), 17: (0, 368), 18: (0, 392), 19: (0, 351), 20: (0, 393), 21: (110, 510), 22: (144, 544), 23: (28, 428), 24: (0, 374), 25: (58, 458), 26: (63, 463), 27: (0, 376), 28: (50, 450), 29: (133, 533), 30: (100, 500), 31: (130, 530), 32: (55, 455), 33: (0, 352), 34: (50, 450), 35: (0, 392), 36: (0, 397), 37: (0, 385), 38: (72, 472), 39: (35, 435), 40: (0, 373), 41: (2, 402), 42: (37, 437), 43: (159, 559), 44: (8, 408), 45: (156, 556), 46: (0, 351), 47: (136, 536), 48: (0, 399), 49: (125, 525), 50: (75, 475), 51: (51, 451), 52: (0, 349), 53: (147, 547), 54: (0, 392), 55: (121, 521), 56: (0, 369), 57: (0, 373), 58: (425, 825), 59: (303, 703), 60: (463, 863), 61: (296, 696), 62: (409, 809), 63: (114, 514), 64: (445, 845), 65: (223, 623), 66: (504, 904), 67: (315, 715), 68: (280, 680), 69: (190, 590), 70: (393, 793), 71: (240, 640), 72: (255, 655), 73: (207, 607), 74: (136, 536), 75: (133, 533), 76: (186, 586), 77: (273, 673), 78: (508, 908), 79: (489, 889), 80: (296, 696), 81: (239, 639), 82: (291, 691), 83: (404, 804), 84: (331, 731), 85: (244, 644), 86: (257, 657), 87: (373, 773), 88: (219, 619), 89: (341, 741), 90: (290, 690), 91: (413, 813), 92: (124, 524), 93: (71, 471), 94: (78, 478), 95: (380, 780), 96: (273, 673), 97: (337, 737), 98: (238, 638), 99: (270, 670), 100: (471, 871), 101: (273, 673), 102: (428, 828), 103: (262, 662), 104: (359, 759), 105: (107, 507), 106: (210, 610), 107: (307, 707), 108: (265, 665), 109: (191, 591), 110: (367, 767), 111: (187, 587), 112: (182, 582), 113: (159, 559), 114: (266, 666)}
transfer nodes departure time: {115: 81, 116: 94, 117: 107}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 58): (58.9406481131655, 294.7032405658275, False)
   (1, 118): (26.076809620810597, 130.384048104053, False)
   (1, 119): (11.40175425099138, 57.0087712549569, False)
   (1, 120): (69.31089380465383, 346.5544690232691, False)
   (1, 121): (61.204574992397426, 306.0228749619871, False)
   (1, 122): (56.859475903318, 284.29737951659, False)
   (1, 123): (58.855755878248644, 294.27877939124323, False)
   (1, 124): (61.032778078668514, 305.16389039334257, False)
   (1, 125): (67.08203932499369, 335.4101966249684, False)
   (1, 127): (85.0411665018772, 425.205832509386, False)
   (1, 128): (35.4682957019364, 177.341478509682, False)
   (1, 129): (15.297058540778355, 76.48529270389177, False)
   (1, 130): (40.496913462633174, 202.48456731316588, False)
   (1, 131): (82.13403679352427, 410.67018396762137, False)
   (1, 132): (34.713109915419565, 173.56554957709784, False)
   (1, 133): (72.83543093852057, 364.17715469260287, False)
   (1, 134): (27.586228448267445, 137.93114224133723, False)
   (1, 135): (102.82509421342633, 514.1254710671317, False)
   (1, 136): (50.44799302251776, 252.23996511258878, False)
   (1, 137): (21.095023109728988, 105.47511554864494, False)
   (1, 138): (60.728905802755904, 303.6445290137795, False)
   (1, 140): (103.57605900979242, 517.8802950489621, False)
   (1, 141): (84.87638069569178, 424.38190347845887, False)
   (1, 142): (87.46427842267951, 437.32139211339756, False)
   (1, 143): (61.40032573203501, 307.001628660175, False)
   (1, 144): (43.965895873961216, 219.82947936980608, False)
   (1, 145): (90.75791976461338, 453.78959882306685, False)
   (1, 146): (48.16637831516918, 240.83189157584593, False)
   (2, 59): (88.32326986700618, 441.61634933503086, False)
   (2, 118): (28.861739379323623, 144.30869689661813, False)
   (2, 119): (24.758836806279895, 123.79418403139948, False)
   (2, 120): (88.86506625215557, 444.32533126077783, False)
   (2, 121): (71.8679344353238, 359.33967217661905, False)
   (2, 122): (63.655321851358195, 318.27660925679095, False)
   (2, 123): (79.1012010022604, 395.50600501130197, False)
   (2, 124): (69.6419413859206, 348.20970692960304, False)
   (2, 125): (79.20227269466452, 396.0113634733226, False)
   (2, 127): (98.6154146165801, 493.0770730829005, False)
   (2, 128): (22.47220505424423, 112.36102527122115, False)
   (2, 129): (36.124783736376884, 180.62391868188442, False)
   (2, 130): (59.53990258641679, 297.69951293208396, False)
   (2, 131): (95.524865872714, 477.62432936357004, False)
   (2, 132): (13.038404810405298, 65.1920240520265, False)
   (2, 133): (85.44003745317531, 427.20018726587654, False)
   (2, 134): (26.076809620810597, 130.384048104053, False)
   (2, 136): (43.93176527297759, 219.65882636488797, False)
   (2, 137): (17.26267650163207, 86.31338250816034, False)
   (2, 138): (64.07027391856539, 320.3513695928269, False)
   (2, 141): (100.22474744293447, 501.12373721467236, False)
   (2, 142): (87.82368700982668, 439.11843504913344, False)
   (2, 143): (75.29276193632427, 376.46380968162134, False)
   (2, 144): (48.662100242385755, 243.31050121192877, False)
   (2, 146): (68.5054742338158, 342.527371169079, False)
   (3, 118): (64.40496875241847, 322.02484376209236, False)
   (3, 119): (49.9799959983992, 249.899979991996, False)
   (3, 120): (92.47702417357513, 462.3851208678757, False)
   (3, 121): (97.41663102366043, 487.08315511830216, False)
   (3, 122): (18.35755975068582, 91.7877987534291, False)
   (3, 123): (51.10772935672255, 255.53864678361276, False)
   (3, 124): (98.3107318658548, 491.553659329274, False)
   (3, 125): (102.0196059588548, 510.098029794274, False)
   (3, 127): (53.85164807134504, 269.2582403567252, False)
   (3, 128): (67.89698078707183, 339.4849039353591, False)
   (3, 129): (33.015148038438355, 165.07574019219177, False)
   (3, 130): (32.55764119219941, 162.78820596099706, False)
   (3, 131): (50.695167422546305, 253.47583711273154, False)
   (3, 132): (56.08029957123981, 280.40149785619906, False)
   (3, 133): (40.311288741492746, 201.55644370746373, False)
   (3, 134): (65.0, 325.0, False)
   (3, 136): (29.068883707497267, 145.34441853748635, False)
   (3, 137): (56.859475903318, 284.29737951659, False)
