All relevant information about the map is below:

Total # of nodes: 165
# of robots: 64, robots_origin_location: {149: {56, 41, 26, 7}, 150: {48, 49, 50, 60}, 151: {25, 19, 4, 12}, 152: {24, 59, 44, 5}, 153: {8, 20, 46, 15}, 154: {42, 53, 22, 31}, 155: {27, 43, 58, 3}, 156: {18, 28, 21, 30}, 157: {51, 52, 62, 23}, 158: {33, 35, 6, 39}, 159: {40, 2, 63, 47}, 160: {1, 34, 11, 29}, 161: {38, 36, 45, 14}, 162: {54}, 163: {64, 57, 10, 55}, 164: {16, 9, 13, 17}, 165: {32, 61, 37}}
# of requests: 58, request_pairs: [(1, 59), (2, 60), (3, 61), (4, 62), (5, 63), (6, 64), (7, 65), (8, 66), (9, 67), (10, 68), (11, 69), (12, 70), (13, 71), (14, 72), (15, 73), (16, 74), (17, 75), (18, 76), (19, 77), (20, 78), (21, 79), (22, 80), (23, 81), (24, 82), (25, 83), (26, 84), (27, 85), (28, 86), (29, 87), (30, 88), (31, 89), (32, 90), (33, 91), (34, 92), (35, 93), (36, 94), (37, 95), (38, 96), (39, 97), (40, 98), (41, 99), (42, 100), (43, 101), (44, 102), (45, 103), (46, 104), (47, 105), (48, 106), (49, 107), (50, 108), (51, 109), (52, 110), (53, 111), (54, 112), (55, 113), (56, 114), (57, 115), (58, 116)]
# of depots: 17, depot nodes: [149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165]
# of service lines: 11
# of num transfers: 32, service lines mapping: {1: [117, 118, 119], 2: [120, 121, 122], 3: [123, 124, 125], 4: [126, 127, 128], 5: [129, 130, 131], 6: [132, 133, 134], 7: [135, 136, 137], 8: [138, 139, 140], 9: [141, 142, 143], 10: [144, 145, 146], 11: [147, 148]}
public transportation factor: 0.4
map_size: 165
outsourcing cost: 9583
robots max travel time: 373
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 4
transfer service time: 2
request nodes time windows: {1: (43, 443), 2: (179, 579), 3: (186, 586), 4: (93, 493), 5: (128, 528), 6: (177, 577), 7: (22, 422), 8: (110, 510), 9: (0, 386), 10: (145, 545), 11: (123, 523), 12: (37, 437), 13: (159, 559), 14: (191, 591), 15: (156, 556), 16: (37, 437), 17: (0, 400), 18: (0, 383), 19: (3, 403), 20: (112, 512), 21: (54, 454), 22: (148, 548), 23: (135, 535), 24: (0, 372), 25: (120, 520), 26: (148, 548), 27: (0, 379), 28: (207, 607), 29: (81, 481), 30: (125, 525), 31: (157, 557), 32: (0, 388), 33: (26, 426), 34: (4, 404), 35: (164, 564), 36: (211, 611), 37: (0, 372), 38: (46, 446), 39: (48, 448), 40: (162, 562), 41: (15, 415), 42: (173, 573), 43: (31, 431), 44: (72, 472), 45: (27, 427), 46: (159, 559), 47: (0, 381), 48: (42, 442), 49: (119, 519), 50: (0, 368), 51: (196, 596), 52: (51, 451), 53: (104, 504), 54: (56, 456), 55: (89, 489), 56: (166, 566), 57: (181, 581), 58: (0, 367), 59: (358, 758), 60: (435, 835), 61: (325, 725), 62: (185, 585), 63: (294, 694), 64: (556, 956), 65: (291, 691), 66: (250, 650), 67: (258, 658), 68: (480, 880), 69: (261, 661), 70: (423, 823), 71: (494, 894), 72: (517, 917), 73: (541, 941), 74: (313, 713), 75: (334, 734), 76: (342, 742), 77: (94, 494), 78: (414, 814), 79: (429, 829), 80: (542, 942), 81: (358, 758), 82: (122, 522), 83: (279, 679), 84: (514, 914), 85: (228, 628), 86: (427, 827), 87: (301, 701), 88: (332, 732), 89: (291, 691), 90: (205, 605), 91: (98, 498), 92: (243, 643), 93: (420, 820), 94: (544, 944), 95: (278, 678), 96: (195, 595), 97: (244, 644), 98: (324, 724), 99: (291, 691), 100: (460, 860), 101: (184, 584), 102: (397, 797), 103: (252, 652), 104: (328, 728), 105: (339, 739), 106: (250, 650), 107: (293, 693), 108: (112, 512), 109: (512, 912), 110: (449, 849), 111: (505, 905), 112: (323, 723), 113: (311, 711), 114: (277, 677), 115: (435, 835), 116: (122, 522)}
transfer nodes departure time: {117: 239, 118: 269, 119: 299, 120: 1242, 121: 1275, 122: 1308, 123: 717, 124: 748, 125: 779, 126: 621, 127: 650, 128: 679, 129: 937, 130: 968, 131: 999, 132: 282, 133: 318, 134: 355, 135: 1196, 136: 1220, 137: 1245, 138: 719, 139: 750, 140: 782, 141: 246, 142: 273, 143: 300, 144: 215, 145: 253, 146: 292, 147: 719, 148: 782}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 59): (57.38466694161429, 286.9233347080715, False)
   (1, 117): (92.77930803794561, 463.89654018972806, False)
   (1, 118): (29.410882339705484, 147.05441169852742, False)
   (1, 119): (50.08991914547278, 250.44959572736389, False)
   (1, 120): (116.82465493208187, 584.1232746604094, False)
   (1, 121): (82.76472678623425, 413.82363393117123, False)
   (1, 122): (106.23088063270491, 531.1544031635245, False)
   (1, 123): (92.9623579735368, 464.81178986768396, False)
   (1, 124): (23.08679276123039, 115.43396380615195, False)
   (1, 125): (48.373546489791295, 241.86773244895647, False)
   (1, 126): (91.09335870413386, 455.4667935206693, False)
   (1, 127): (43.382023926967726, 216.91011963483862, False)
   (1, 128): (64.77653896280658, 323.8826948140329, False)
   (1, 129): (85.38149682454625, 426.90748412273126, False)
   (1, 130): (62.93647591023825, 314.6823795511913, False)
   (1, 131): (101.9803902718557, 509.9019513592785, False)
   (1, 132): (123.1665539016173, 615.8327695080866, False)
   (1, 133): (39.698866482558415, 198.49433241279206, False)
   (1, 134): (48.373546489791295, 241.86773244895647, False)
   (1, 135): (80.75270893288967, 403.7635446644484, False)
   (1, 136): (43.139309220245984, 215.69654610122993, False)
   (1, 137): (56.08029957123981, 280.40149785619906, False)
   (1, 138): (90.80198235721508, 454.0099117860754, False)
   (1, 139): (22.561028345356956, 112.80514172678478, False)
   (1, 140): (54.70831746635972, 273.5415873317986, False)
   (1, 141): (90.82400563727631, 454.12002818638155, False)
   (1, 142): (44.28317965096906, 221.4158982548453, False)
   (1, 143): (55.97320787662612, 279.8660393831306, False)
   (1, 144): (128.81770064707723, 644.0885032353862, False)
   (1, 145): (40.607881008493905, 203.03940504246953, False)
   (1, 146): (50.44799302251776, 252.23996511258878, False)
   (1, 147): (94.33981132056604, 471.6990566028302, False)
   (1, 148): (58.249463516842795, 291.247317584214, False)
   (1, 149): (40.311288741492746, 201.55644370746373, False)
   (1, 150): (52.773099207835045, 263.86549603917524, False)
   (1, 151): (118.44407963254221, 592.220398162711, False)
   (1, 152): (72.71863585079137, 363.59317925395686, False)
   (1, 153): (73.23933369440222, 366.1966684720111, False)
   (1, 154): (48.25971404805462, 241.29857024027308, False)
   (1, 155): (49.16299421312742, 245.8149710656371, False)
   (1, 156): (88.23264701911646, 441.1632350955823, False)
   (1, 157): (36.40054944640259, 182.00274723201295, False)
   (1, 158): (17.4928556845359, 87.4642784226795, False)
   (1, 159): (47.07440918375928, 235.3720459187964, False)
   (1, 160): (84.1486779456457, 420.7433897282285, False)
   (1, 161): (37.73592452822641, 188.67962264113206, False)
   (1, 162): (33.24154027718932, 166.20770138594662, False)
   (1, 163): (43.289721643826724, 216.44860821913363, False)
   (1, 164): (86.68333173107735, 433.41665865538675, False)
   (1, 165): (47.50789408087881, 237.53947040439408, False)
   (2, 60): (77.10382610480494, 385.5191305240247, False)
   (2, 118): (48.104053883222775, 240.52026941611388, False)
   (2, 119): (44.04543109109048, 220.2271554554524, False)
   (2, 120): (93.02150289046077, 465.1075144523038, False)
   (2, 121): (97.73944955850733, 488.69724779253664, False)
   (2, 122): (147.18695594379278, 735.9347797189639, False)
   (2, 123): (50.80354318352215, 254.01771591761076, False)
   (2, 124): (33.28663395418648, 166.43316977093238, False)
   (2, 125): (98.12746812182611, 490.63734060913055, False)
   (2, 126): (40.311288741492746, 201.55644370746373, False)
   (2, 127): (31.953090617340916, 159.76545308670458, False)
   (2, 128): (96.04686356149273, 480.23431780746364, False)
   (2, 129): (49.040799340956916, 245.20399670478457, False)
   (2, 130): (77.47257579298626, 387.3628789649313, False)
   (2, 131): (139.44532978913278, 697.2266489456639, False)
   (2, 133): (42.05948168962618, 210.2974084481309, False)
   (2, 134): (80.23091673413684, 401.1545836706842, False)
   (2, 135): (30.0, 150.0, False)
   (2, 136): (28.284271247461902, 141.4213562373095, False)
   (2, 137): (81.98780397107853, 409.93901985539264, False)
   (2, 138): (120.9297316626478, 604.648658313239, False)
   (2, 139): (55.80322571321482, 279.0161285660741, False)
   (2, 140): (42.190046219457976, 210.95023109728987, False)
   (2, 142): (31.622776601683793, 158.11388300841895, False)
   (2, 143): (33.61547262794322, 168.0773631397161, False)
   (2, 145): (40.24922359499622, 201.24611797498108, False)
   (2, 146): (86.64871608973787, 433.2435804486894, False)
   (2, 147): (129.8345100502944, 649.172550251472, False)
   (2, 148): (40.718546143004666, 203.59273071502332, False)
   (2, 149): (29.966648127543394, 149.83324063771698, False)
   (2, 150): (75.16648189186454, 375.83240945932266, False)
