All relevant information about the map is below:

Total # of nodes: 167
# of robots: 54, robots_origin_location: {151: {2, 38, 42, 44, 45}, 152: {9, 43}, 153: {17, 10}, 154: {50, 28, 36}, 155: {26, 3, 52}, 156: {16}, 157: {7, 8, 11, 29, 30}, 158: {48, 25, 20, 47}, 159: {53, 39}, 160: {34, 46}, 161: {24, 4, 21}, 162: set(), 163: {32, 33, 5, 40, 13}, 164: {12, 37, 54}, 165: {41, 14, 18, 51, 31}, 166: {1, 27, 6, 49}, 167: {35, 15, 19, 22, 23}}
# of requests: 59, request_pairs: [(1, 60), (2, 61), (3, 62), (4, 63), (5, 64), (6, 65), (7, 66), (8, 67), (9, 68), (10, 69), (11, 70), (12, 71), (13, 72), (14, 73), (15, 74), (16, 75), (17, 76), (18, 77), (19, 78), (20, 79), (21, 80), (22, 81), (23, 82), (24, 83), (25, 84), (26, 85), (27, 86), (28, 87), (29, 88), (30, 89), (31, 90), (32, 91), (33, 92), (34, 93), (35, 94), (36, 95), (37, 96), (38, 97), (39, 98), (40, 99), (41, 100), (42, 101), (43, 102), (44, 103), (45, 104), (46, 105), (47, 106), (48, 107), (49, 108), (50, 109), (51, 110), (52, 111), (53, 112), (54, 113), (55, 114), (56, 115), (57, 116), (58, 117), (59, 118)]
# of depots: 17, depot nodes: [151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167]
# of service lines: 4
# of num transfers: 32, service lines mapping: {1: [119, 120, 121, 122, 123, 124, 125, 126], 2: [127, 128, 129, 130, 131, 132, 133, 134], 3: [135, 136, 137, 138, 139, 140, 141, 142], 4: [143, 144, 145, 146, 147, 148, 149, 150]}
public transportation factor: 0.6
map_size: 167
outsourcing cost: 5000
robots max travel time: 703
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 5
depot service time: 2
transfer capacity: 7
transfer service time: 2
request nodes time windows: {1: (196, 596), 2: (16, 416), 3: (157, 557), 4: (24, 424), 5: (0, 395), 6: (213, 613), 7: (31, 431), 8: (36, 436), 9: (190, 590), 10: (162, 562), 11: (118, 518), 12: (0, 371), 13: (149, 549), 14: (128, 528), 15: (0, 390), 16: (0, 395), 17: (27, 427), 18: (189, 589), 19: (112, 512), 20: (79, 479), 21: (189, 589), 22: (183, 583), 23: (143, 543), 24: (49, 449), 25: (0, 400), 26: (127, 527), 27: (89, 489), 28: (201, 601), 29: (23, 423), 30: (105, 505), 31: (38, 438), 32: (152, 552), 33: (196, 596), 34: (0, 372), 35: (28, 428), 36: (0, 382), 37: (127, 527), 38: (0, 386), 39: (164, 564), 40: (115, 515), 41: (0, 385), 42: (209, 609), 43: (112, 512), 44: (173, 573), 45: (48, 448), 46: (182, 582), 47: (0, 387), 48: (14, 414), 49: (86, 486), 50: (70, 470), 51: (109, 509), 52: (67, 467), 53: (75, 475), 54: (213, 613), 55: (0, 390), 56: (157, 557), 57: (91, 491), 58: (108, 508), 59: (143, 543), 60: (569, 969), 61: (66, 466), 62: (448, 848), 63: (285, 685), 64: (94, 494), 65: (596, 996), 66: (348, 748), 67: (384, 784), 68: (501, 901), 69: (418, 818), 70: (386, 786), 71: (322, 722), 72: (348, 748), 73: (406, 806), 74: (146, 546), 75: (294, 694), 76: (341, 741), 77: (539, 939), 78: (414, 814), 79: (401, 801), 80: (488, 888), 81: (498, 898), 82: (226, 626), 83: (166, 566), 84: (164, 564), 85: (487, 887), 86: (405, 805), 87: (428, 828), 88: (406, 806), 89: (310, 710), 90: (179, 579), 91: (526, 926), 92: (564, 964), 93: (77, 477), 94: (217, 617), 95: (300, 700), 96: (468, 868), 97: (369, 769), 98: (474, 874), 99: (400, 800), 100: (179, 579), 101: (570, 970), 102: (423, 823), 103: (419, 819), 104: (231, 631), 105: (581, 981), 106: (108, 508), 107: (314, 714), 108: (370, 770), 109: (325, 725), 110: (508, 908), 111: (353, 753), 112: (452, 852), 113: (431, 831), 114: (109, 509), 115: (541, 941), 116: (261, 661), 117: (190, 590), 118: (212, 612)}
transfer nodes departure time: {119: 551, 120: 563, 121: 575, 122: 587, 123: 599, 124: 611, 125: 623, 126: 638, 127: 1315, 128: 1327, 129: 1339, 130: 1351, 131: 1363, 132: 1375, 133: 1387, 134: 1412, 135: 1329, 136: 1342, 137: 1355, 138: 1368, 139: 1381, 140: 1394, 141: 1407, 142: 1424, 143: 75, 144: 89, 145: 102, 146: 116, 147: 129, 148: 143, 149: 156, 150: 170}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 60): (129.18978287774928, 645.9489143887464, False)
   (1, 119): (95.524865872714, 477.62432936357004, False)
   (1, 120): (81.34494452638098, 406.7247226319049, False)
   (1, 121): (66.84309986827361, 334.21549934136806, False)
   (1, 122): (53.0, 265.0, False)
   (1, 123): (40.496913462633174, 202.48456731316588, False)
   (1, 124): (31.0, 155.0, False)
   (1, 125): (27.784887978899608, 138.92443989449805, False)
   (1, 126): (34.92849839314596, 174.6424919657298, False)
   (1, 127): (94.57801012920498, 472.8900506460249, False)
   (1, 128): (78.92401408950256, 394.62007044751283, False)
   (1, 129): (64.40496875241847, 322.02484376209236, False)
   (1, 130): (50.24937810560445, 251.24689052802225, False)
   (1, 131): (36.124783736376884, 180.62391868188442, False)
   (1, 132): (25.059928172283335, 125.29964086141668, False)
   (1, 133): (20.223748416156685, 101.11874208078342, False)
   (1, 134): (43.657759905886145, 218.28879952943072, False)
   (1, 135): (80.77747210701756, 403.8873605350878, False)
   (1, 136): (66.70832032063167, 333.54160160315837, False)
   (1, 137): (55.0, 275.0, False)
   (1, 138): (47.43416490252569, 237.17082451262843, False)
   (1, 139): (46.09772228646444, 230.4886114323222, False)
   (1, 140): (51.478150704935004, 257.390753524675, False)
   (1, 141): (61.84658438426491, 309.23292192132453, False)
   (1, 142): (81.02468759581859, 405.12343797909296, False)
   (1, 151): (147.13938969562162, 735.6969484781081, False)
   (1, 152): (67.446274915669, 337.23137457834497, False)
   (1, 153): (84.11896337925236, 420.5948168962618, False)
   (1, 154): (79.30952023559341, 396.54760117796707, False)
   (1, 155): (85.05292469985967, 425.26462349929835, False)
   (1, 156): (62.96824596572466, 314.84122982862334, False)
   (1, 157): (134.03357788255897, 670.1678894127949, False)
   (1, 158): (99.72462083156798, 498.62310415783986, False)
   (1, 159): (57.30619512757761, 286.53097563788805, False)
   (1, 160): (63.56886030125127, 317.84430150625633, False)
   (1, 161): (68.18357573492314, 340.9178786746157, False)
   (1, 162): (48.75448697299562, 243.7724348649781, False)
   (1, 163): (85.70880934886448, 428.5440467443224, False)
   (1, 164): (110.90987332063814, 554.5493666031907, False)
   (1, 165): (98.79271228182775, 493.9635614091387, False)
   (1, 166): (61.554853586049575, 307.7742679302479, False)
   (1, 167): (25.0, 125.0, False)
   (2, 61): (46.010868281309364, 230.05434140654683, False)
   (2, 119): (81.68843247363729, 408.4421623681865, False)
   (2, 120): (67.20863039818622, 336.04315199093105, False)
   (2, 121): (52.40229002629561, 262.01145013147806, False)
   (2, 122): (38.27531841800928, 191.3765920900464, False)
   (2, 123): (25.96150997149434, 129.8075498574717, False)
   (2, 124): (19.313207915827967, 96.56603957913984, False)
   (2, 125): (23.706539182259394, 118.53269591129697, False)
   (2, 126): (39.01281840626232, 195.0640920313116, False)
   (2, 127): (109.20164833920778, 546.0082416960389, False)
   (2, 128): (93.62157870918435, 468.10789354592174, False)
   (2, 129): (79.1580697086532, 395.790348543266, False)
   (2, 130): (65.0, 325.0, False)
   (2, 131): (50.60632371551998, 253.0316185775999, False)
   (2, 132): (38.28837943815329, 191.44189719076647, False)
   (2, 133): (28.792360097775937, 143.96180048887967, False)
   (2, 134): (35.608987629529715, 178.04493814764857, False)
   (2, 135): (95.46203433826454, 477.3101716913227, False)
   (2, 136): (81.04319835741924, 405.2159917870962, False)
   (2, 137): (68.3593446428504, 341.796723214252, False)
   (2, 138): (58.54912467321779, 292.7456233660889, False)
   (2, 139): (53.225933528685054, 266.12966764342525, False)
   (2, 140): (53.74011537017761, 268.70057685088807, False)
   (2, 141): (59.941638282582836, 299.7081914129142, False)
   (2, 142): (75.50496672405067, 377.5248336202534, False)
   (2, 144): (62.39390995922599, 311.9695497961299, False)
   (2, 145): (47.07440918375928, 235.3720459187964, False)
   (2, 146): (33.13608305156178, 165.68041525780893, False)
   (2, 147): (26.40075756488817, 132.00378782444085, False)
   (2, 148): (30.083217912982647, 150.41608956491325, False)
   (2, 149): (42.190046219457976, 210.95023109728987, False)
   (2, 150): (58.52349955359813, 292.61749776799064, False)
   (2, 151): (147.56693396557372, 737.8346698278687, False)
   (2, 152): (81.9084855189009, 409.5424275945045, False)
   (2, 153): (94.92101980067429, 474.60509900337144, False)
   (2, 154): (84.02380615040002, 420.11903075200007, False)
   (2, 155): (78.63841300535, 393.19206502675, False)
   (2, 156): (49.20365840057018, 246.0182920028509, False)
   (2, 157): (136.69308687713507, 683.4654343856754, False)
   (2, 158): (85.58621384311844, 427.93106921559223, False)
   (2, 159): (66.40783086353596, 332.03915431767985, False)
   (2, 160): (53.600373133029585, 268.00186566514793, False)
   (2, 161): (63.60031446463138, 318.0015723231569, False)
   (2, 162): (58.69412236331676, 293.4706118165838, False)
   (2, 163): (78.02563681252464, 390.1281840626232, False)
   (2, 164): (99.16148445843275, 495.8074222921638, False)
   (2, 165): (98.11218069128827, 490.56090345644134, False)
   (2, 166): (66.85057965343307, 334.2528982671654, False)
   (2, 167): (37.0, 185.0, False)
   (3, 62): (44.0, 220.0, False)
   (3, 119): (137.90213921473443, 689.5106960736722, False)
   (3, 120): (123.98790263570072, 619.9395131785036, False)
   (3, 121): (109.63576058932597, 548.1788029466298, False)
   (3, 122): (95.69221493935649, 478.4610746967825, False)
   (3, 123): (82.365041127896, 411.82520563948003, False)
