All relevant information about the map is below:

Total # of nodes: 25
# of robots: 8, robots_origin_location: {24: {1, 2, 5, 7}, 25: {8, 3, 4, 6}}
# of requests: 5, request_pairs: [(1, 6), (2, 7), (3, 8), (4, 9), (5, 10)]
# of depots: 2, depot nodes: [24, 25]
# of service lines: 4
# of num transfers: 13, service lines mapping: {1: [11, 12, 13, 14], 2: [15, 16, 17, 18], 3: [19, 20, 21, 22], 4: [23]}
public transportation factor: 1.0
map_size: 25
outsourcing cost: 417
robots max travel time: 901
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 5
depot service time: 2
transfer capacity: 7
transfer service time: 2
request nodes time windows: {1: (0, 249), 2: (0, 250), 3: (0, 228), 4: (0, 246), 5: (0, 225), 6: (9, 250), 7: (0, 250), 8: (0, 250), 9: (0, 250), 10: (0, 250)}
transfer nodes departure time: {11: 111, 12: 119, 13: 127, 14: 136, 15: 144, 16: 155, 17: 166, 18: 178, 19: 163, 20: 167, 21: 171, 22: 192, 23: 35}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 6): (21.095023109728988, 105.47511554864494, False)
   (1, 11): (24.596747752497688, 122.98373876248844, False)
   (1, 12): (21.840329667841555, 109.20164833920778, False)
   (1, 13): (19.026297590440446, 95.13148795220224, False)
   (1, 14): (16.76305461424021, 83.81527307120106, False)
   (1, 15): (6.708203932499369, 33.54101966249685, False)
   (1, 16): (9.0, 45.0, False)
   (1, 17): (16.15549442140351, 80.77747210701756, False)
   (1, 18): (25.553864678361276, 127.76932339180638, False)
   (1, 19): (23.08679276123039, 115.43396380615195, False)
   (1, 20): (24.08318915758459, 120.41594578792296, False)
   (1, 21): (24.08318915758459, 120.41594578792296, False)
   (1, 22): (6.708203932499369, 33.54101966249685, False)
   (1, 23): (11.045361017187261, 55.226805085936306, False)
   (1, 24): (7.211102550927978, 36.05551275463989, False)
   (1, 25): (8.06225774829855, 40.311288741492746, False)
   (2, 7): (15.0, 75.0, False)
   (2, 11): (13.601470508735444, 68.00735254367721, False)
   (2, 12): (8.54400374531753, 42.720018726587654, False)
   (2, 13): (3.1622776601683795, 15.811388300841898, False)
   (2, 14): (3.605551275463989, 18.027756377319946, False)
   (2, 15): (15.524174696260024, 77.62087348130012, False)
   (2, 16): (9.219544457292887, 46.09772228646443, False)
   (2, 17): (8.54400374531753, 42.720018726587654, False)
   (2, 18): (15.524174696260024, 77.62087348130012, False)
   (2, 19): (5.0, 25.0, False)
   (2, 20): (6.0, 30.0, False)
   (2, 21): (6.0, 30.0, False)
   (2, 22): (12.041594578792296, 60.20797289396148, False)
   (2, 23): (23.021728866442675, 115.10864433221337, False)
   (2, 24): (16.1245154965971, 80.62257748298549, False)
   (2, 25): (10.44030650891055, 52.201532544552755, False)
   (3, 8): (21.540659228538015, 107.70329614269008, False)
   (3, 11): (10.198039027185569, 50.99019513592785, False)
   (3, 12): (11.40175425099138, 57.0087712549569, False)
   (3, 13): (13.892443989449804, 69.46221994724903, False)
   (3, 14): (18.439088914585774, 92.19544457292886, False)
   (3, 15): (21.02379604162864, 105.1189802081432, False)
   (3, 16): (13.341664064126334, 66.70832032063167, False)
   (3, 17): (7.615773105863909, 38.07886552931954, False)
   (3, 18): (10.0, 50.0, False)
   (3, 19): (18.601075237738275, 93.00537618869137, False)
