All relevant information about the map is below:

Total # of nodes: 173
# of robots: 64, robots_origin_location: {152: set(), 153: set(), 154: set(), 155: {24, 64, 43, 12}, 156: {16, 1, 26, 11}, 157: {41, 36, 22, 47}, 158: {59, 42, 3, 28}, 159: {33, 27, 20, 23}, 160: {32, 17, 25, 39}, 161: {51, 34, 35}, 162: {56, 49, 58}, 163: {40, 10, 29}, 164: {30, 13, 14, 15}, 165: {9, 4, 45, 55}, 166: {53, 44, 37, 62}, 167: {61, 6, 63}, 168: {57}, 169: {50, 60, 5}, 170: {8, 21, 46, 7}, 171: {52, 31}, 172: {48, 18, 19, 38}, 173: {2, 54}}
# of requests: 61, request_pairs: [(1, 62), (2, 63), (3, 64), (4, 65), (5, 66), (6, 67), (7, 68), (8, 69), (9, 70), (10, 71), (11, 72), (12, 73), (13, 74), (14, 75), (15, 76), (16, 77), (17, 78), (18, 79), (19, 80), (20, 81), (21, 82), (22, 83), (23, 84), (24, 85), (25, 86), (26, 87), (27, 88), (28, 89), (29, 90), (30, 91), (31, 92), (32, 93), (33, 94), (34, 95), (35, 96), (36, 97), (37, 98), (38, 99), (39, 100), (40, 101), (41, 102), (42, 103), (43, 104), (44, 105), (45, 106), (46, 107), (47, 108), (48, 109), (49, 110), (50, 111), (51, 112), (52, 113), (53, 114), (54, 115), (55, 116), (56, 117), (57, 118), (58, 119), (59, 120), (60, 121), (61, 122)]
# of depots: 22, depot nodes: [152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173]
# of service lines: 9
# of num transfers: 29, service lines mapping: {1: [123, 124, 125, 126], 2: [127, 128, 129, 130], 3: [131, 132, 133, 134], 4: [135, 136, 137, 138], 5: [139, 140, 141, 142], 6: [143, 144, 145, 146], 7: [147, 148, 149, 150], 8: [151], 9: []}
public transportation factor: 0.4
map_size: 173
outsourcing cost: 5833
robots max travel time: 901
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 1
transfer service time: 2
request nodes time windows: {1: (0, 383), 2: (160, 560), 3: (84, 484), 4: (134, 534), 5: (151, 551), 6: (0, 382), 7: (226, 626), 8: (187, 587), 9: (213, 613), 10: (2, 402), 11: (0, 394), 12: (0, 381), 13: (16, 416), 14: (111, 511), 15: (220, 620), 16: (50, 450), 17: (80, 480), 18: (0, 395), 19: (102, 502), 20: (207, 607), 21: (148, 548), 22: (134, 534), 23: (56, 456), 24: (0, 400), 25: (0, 388), 26: (4, 404), 27: (0, 394), 28: (109, 509), 29: (58, 458), 30: (99, 499), 31: (20, 420), 32: (132, 532), 33: (159, 559), 34: (84, 484), 35: (42, 442), 36: (64, 464), 37: (195, 595), 38: (34, 434), 39: (0, 398), 40: (9, 409), 41: (194, 594), 42: (230, 630), 43: (8, 408), 44: (141, 541), 45: (38, 438), 46: (78, 478), 47: (130, 530), 48: (118, 518), 49: (111, 511), 50: (219, 619), 51: (101, 501), 52: (232, 632), 53: (201, 601), 54: (216, 616), 55: (80, 480), 56: (143, 543), 57: (56, 456), 58: (135, 535), 59: (75, 475), 60: (6, 406), 61: (153, 553), 62: (322, 722), 63: (275, 675), 64: (221, 621), 65: (438, 838), 66: (371, 771), 67: (349, 749), 68: (559, 959), 69: (432, 832), 70: (289, 689), 71: (277, 677), 72: (223, 623), 73: (101, 501), 74: (374, 774), 75: (318, 718), 76: (592, 992), 77: (264, 664), 78: (220, 620), 79: (270, 670), 80: (334, 734), 81: (600, 1000), 82: (463, 863), 83: (314, 714), 84: (453, 853), 85: (389, 789), 86: (119, 519), 87: (382, 782), 88: (316, 716), 89: (504, 904), 90: (296, 696), 91: (382, 782), 92: (412, 812), 93: (356, 756), 94: (428, 828), 95: (181, 581), 96: (271, 671), 97: (280, 680), 98: (526, 926), 99: (296, 696), 100: (214, 614), 101: (338, 738), 102: (560, 960), 103: (352, 752), 104: (266, 666), 105: (468, 868), 106: (384, 784), 107: (373, 773), 108: (469, 869), 109: (394, 794), 110: (301, 701), 111: (487, 887), 112: (271, 671), 113: (505, 905), 114: (501, 901), 115: (573, 973), 116: (380, 780), 117: (542, 942), 118: (303, 703), 119: (256, 656), 120: (468, 868), 121: (200, 600), 122: (505, 905)}
transfer nodes departure time: {123: 357, 124: 378, 125: 399, 126: 420, 127: 125, 128: 143, 129: 161, 130: 180, 131: 1257, 132: 1281, 133: 1305, 134: 1330, 135: 760, 136: 784, 137: 808, 138: 833, 139: 219, 140: 239, 141: 259, 142: 279, 143: 56, 144: 81, 145: 106, 146: 131, 147: 713, 148: 743, 149: 773, 150: 804, 151: 914}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 62): (144.1700384962146, 720.850192481073, False)
   (1, 123): (150.23315213360866, 751.1657606680433, False)
   (1, 124): (114.6298390472568, 573.149195236284, False)
   (1, 125): (89.0, 445.0, False)
   (1, 126): (82.21921916437786, 411.0960958218893, False)
   (1, 128): (120.20815280171308, 601.0407640085655, False)
   (1, 129): (90.9065454189081, 454.53272709454046, False)
   (1, 130): (72.03471385380801, 360.17356926904006, False)
   (1, 131): (13.416407864998739, 67.0820393249937, False)
   (1, 132): (41.036569057366385, 205.18284528683193, False)
   (1, 133): (95.46203433826454, 477.3101716913227, False)
   (1, 134): (150.6286825275983, 753.1434126379916, False)
   (1, 135): (143.95138068111746, 719.7569034055873, False)
   (1, 136): (120.65239326262865, 603.2619663131433, False)
   (1, 137): (119.70797801316336, 598.5398900658167, False)
   (1, 138): (142.41137595009747, 712.0568797504873, False)
   (1, 139): (149.7230777134908, 748.6153885674539, False)
   (1, 140): (106.92988356862641, 534.649417843132, False)
   (1, 141): (66.49060083951716, 332.45300419758576, False)
   (1, 142): (36.6742416417845, 183.3712082089225, False)
   (1, 145): (89.19641248391103, 445.9820624195552, False)
   (1, 146): (64.19501538281614, 320.97507691408066, False)
   (1, 147): (32.449961479175904, 162.24980739587951, False)
   (1, 148): (36.235341863986875, 181.1767093199344, False)
   (1, 149): (104.80935072788114, 524.0467536394057, False)
   (1, 150): (176.207264322445, 881.036321612225, False)
   (1, 151): (77.87810988975015, 389.39054944875073, False)
   (1, 152): (126.03570922560003, 630.1785461280001, False)
   (1, 153): (60.108235708594876, 300.54117854297436, False)
   (1, 154): (152.80052355931247, 764.0026177965624, False)
   (1, 155): (176.0113632695344, 880.056816347672, False)
   (1, 156): (121.43310915891102, 607.1655457945551, False)
   (1, 157): (67.72001181334805, 338.60005906674024, False)
   (1, 158): (122.38055401083949, 611.9027700541974, False)
   (1, 159): (106.4048871058092, 532.024435529046, False)
   (1, 160): (121.6552506059644, 608.276253029822, False)
   (1, 161): (137.2953021774598, 686.476510887299, False)
   (1, 162): (70.0, 350.0, False)
   (1, 163): (157.8131806916013, 789.0659034580065, False)
   (1, 164): (149.25146565444507, 746.2573282722253, False)
   (1, 165): (41.048751503547585, 205.24375751773792, False)
   (1, 166): (173.0028901492689, 865.0144507463444, False)
   (1, 167): (150.6154042586614, 753.0770212933071, False)
   (1, 168): (24.839484696748443, 124.19742348374221, False)
   (1, 169): (42.04759208325728, 210.2379604162864, False)
   (1, 170): (122.41323457861898, 612.066172893095, False)
   (1, 171): (121.10326172320876, 605.5163086160438, False)
   (1, 172): (150.65191668213185, 753.2595834106593, False)
   (1, 173): (133.76471881628578, 668.8235940814288, False)
   (2, 63): (56.089214649520635, 280.4460732476032, False)
   (2, 123): (80.77747210701756, 403.8873605350878, False)
   (2, 124): (38.58756276314948, 192.9378138157474, False)
   (2, 125): (21.633307652783937, 108.16653826391969, False)
   (2, 126): (59.20304046246274, 296.0152023123137, False)
   (2, 131): (121.59358535712317, 607.9679267856159, False)
   (2, 132): (71.78439941937245, 358.92199709686224, False)
   (2, 133): (35.35533905932738, 176.7766952966369, False)
   (2, 134): (57.42821606144492, 287.1410803072246, False)
   (2, 135): (113.4063490286148, 567.031745143074, False)
   (2, 136): (59.36328831862332, 296.81644159311656, False)
   (2, 137): (11.180339887498949, 55.90169943749474, False)
   (2, 138): (53.009433122794285, 265.0471656139714, False)
   (2, 140): (70.178344238091, 350.891721190455, False)
   (2, 141): (85.15867542417507, 425.79337712087533, False)
   (2, 142): (115.41230437002807, 577.0615218501404, False)
   (2, 147): (139.7855500400524, 698.927750200262, False)
   (2, 148): (78.44743462982075, 392.23717314910374, False)
   (2, 149): (46.69047011971501, 233.45235059857504, False)
   (2, 150): (89.45389874119518, 447.2694937059759, False)
   (2, 151): (40.496913462633174, 202.48456731316588, False)
   (2, 152): (125.80143083447024, 629.0071541723512, False)
   (2, 153): (56.568542494923804, 282.842712474619, False)
   (2, 154): (47.50789408087881, 237.53947040439408, False)
   (2, 155): (91.19758768739445, 455.98793843697223, False)
   (2, 156): (87.04596486914255, 435.22982434571276, False)
   (2, 157): (80.23091673413684, 401.1545836706842, False)
   (2, 158): (40.496913462633174, 202.48456731316588, False)
   (2, 159): (24.758836806279895, 123.79418403139948, False)
   (2, 160): (38.01315561749642, 190.0657780874821, False)
   (2, 161): (123.76186811776881, 618.8093405888441, False)
   (2, 162): (58.180752831155424, 290.90376415577714, False)
   (2, 163): (65.62011886609167, 328.10059433045836, False)
   (2, 164): (40.311288741492746, 201.55644370746373, False)
   (2, 165): (69.85699678629192, 349.2849839314596, False)
   (2, 166): (81.39410298049853, 406.97051490249265, False)
