All relevant information about the map is below:

Total # of nodes: 183
# of robots: 66, robots_origin_location: {158: {48, 58, 13}, 159: {43}, 160: {32, 27}, 161: {49, 28, 52}, 162: {34, 44}, 163: {50, 66, 15}, 164: {16, 42, 61}, 165: {29, 54, 55}, 166: {53, 35, 45}, 167: {4, 22, 47}, 168: {14}, 169: {64, 63}, 170: {57, 3, 20}, 171: {1, 33, 7}, 172: {18, 11, 6}, 173: {41}, 174: {19, 2, 10}, 175: {59, 21}, 176: {40, 37}, 177: {26, 36, 60}, 178: {9, 12, 23}, 179: {5, 38, 31}, 180: {8, 30, 39}, 181: {56, 17, 51}, 182: {24, 62}, 183: {65, 25, 46}}
# of requests: 64, request_pairs: [(1, 65), (2, 66), (3, 67), (4, 68), (5, 69), (6, 70), (7, 71), (8, 72), (9, 73), (10, 74), (11, 75), (12, 76), (13, 77), (14, 78), (15, 79), (16, 80), (17, 81), (18, 82), (19, 83), (20, 84), (21, 85), (22, 86), (23, 87), (24, 88), (25, 89), (26, 90), (27, 91), (28, 92), (29, 93), (30, 94), (31, 95), (32, 96), (33, 97), (34, 98), (35, 99), (36, 100), (37, 101), (38, 102), (39, 103), (40, 104), (41, 105), (42, 106), (43, 107), (44, 108), (45, 109), (46, 110), (47, 111), (48, 112), (49, 113), (50, 114), (51, 115), (52, 116), (53, 117), (54, 118), (55, 119), (56, 120), (57, 121), (58, 122), (59, 123), (60, 124), (61, 125), (62, 126), (63, 127), (64, 128)]
# of depots: 26, depot nodes: [158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183]
# of service lines: 7
# of num transfers: 29, service lines mapping: {1: [129, 130, 131, 132, 133], 2: [134, 135, 136, 137, 138], 3: [139, 140, 141, 142, 143], 4: [144, 145, 146, 147, 148], 5: [149, 150, 151, 152, 153], 6: [154, 155, 156, 157], 7: []}
public transportation factor: 0.2
map_size: 183
outsourcing cost: 8333
robots max travel time: 274
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 0
transfer service time: 2
request nodes time windows: {1: (138, 538), 2: (49, 449), 3: (174, 574), 4: (43, 443), 5: (210, 610), 6: (184, 584), 7: (123, 523), 8: (14, 414), 9: (175, 575), 10: (224, 624), 11: (227, 627), 12: (210, 610), 13: (233, 633), 14: (106, 506), 15: (198, 598), 16: (159, 559), 17: (170, 570), 18: (138, 538), 19: (110, 510), 20: (92, 492), 21: (146, 546), 22: (61, 461), 23: (201, 601), 24: (216, 616), 25: (254, 654), 26: (229, 629), 27: (181, 581), 28: (7, 407), 29: (166, 566), 30: (127, 527), 31: (201, 601), 32: (253, 653), 33: (202, 602), 34: (27, 427), 35: (15, 415), 36: (108, 508), 37: (0, 394), 38: (224, 624), 39: (139, 539), 40: (254, 654), 41: (22, 422), 42: (212, 612), 43: (133, 533), 44: (100, 500), 45: (74, 474), 46: (68, 468), 47: (102, 502), 48: (121, 521), 49: (167, 567), 50: (50, 450), 51: (208, 608), 52: (40, 440), 53: (108, 508), 54: (190, 590), 55: (120, 520), 56: (153, 553), 57: (15, 415), 58: (180, 580), 59: (252, 652), 60: (79, 479), 61: (17, 417), 62: (164, 564), 63: (123, 523), 64: (241, 641), 65: (465, 865), 66: (149, 549), 67: (357, 757), 68: (73, 473), 69: (467, 867), 70: (585, 985), 71: (374, 774), 72: (355, 755), 73: (255, 655), 74: (422, 822), 75: (305, 705), 76: (505, 905), 77: (590, 990), 78: (374, 774), 79: (349, 749), 80: (306, 706), 81: (437, 837), 82: (330, 730), 83: (305, 705), 84: (166, 566), 85: (226, 626), 86: (270, 670), 87: (552, 952), 88: (415, 815), 89: (599, 999), 90: (495, 895), 91: (459, 859), 92: (241, 641), 93: (470, 870), 94: (369, 769), 95: (558, 958), 96: (640, 1040), 97: (342, 742), 98: (362, 762), 99: (214, 614), 100: (472, 872), 101: (349, 749), 102: (563, 963), 103: (251, 651), 104: (414, 814), 105: (270, 670), 106: (599, 999), 107: (443, 843), 108: (429, 829), 109: (382, 782), 110: (406, 806), 111: (449, 849), 112: (509, 909), 113: (507, 907), 114: (217, 617), 115: (326, 726), 116: (217, 617), 117: (273, 673), 118: (314, 714), 119: (388, 788), 120: (279, 679), 121: (311, 711), 122: (456, 856), 123: (573, 973), 124: (249, 649), 125: (335, 735), 126: (457, 857), 127: (295, 695), 128: (635, 1035)}
transfer nodes departure time: {129: 84, 130: 94, 131: 104, 132: 114, 133: 124, 134: 227, 135: 236, 136: 245, 137: 254, 138: 263, 139: 1375, 140: 1384, 141: 1393, 142: 1402, 143: 1412, 144: 1247, 145: 1255, 146: 1263, 147: 1271, 148: 1280, 149: 1456, 150: 1465, 151: 1474, 152: 1483, 153: 1493, 154: 292, 155: 307, 156: 322, 157: 337}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 65): (45.044422518220834, 225.22211259110418, False)
   (1, 134): (35.6931365951495, 178.46568297574748, False)
   (1, 135): (7.810249675906654, 39.05124837953327, False)
   (1, 136): (25.495097567963924, 127.47548783981962, False)
   (1, 137): (55.08175741568164, 275.40878707840824, False)
   (1, 138): (87.00574693662483, 435.0287346831242, False)
   (1, 139): (175.6160584912439, 878.0802924562195, False)
   (1, 140): (154.31461369552787, 771.5730684776394, False)
   (1, 141): (137.0109484676316, 685.054742338158, False)
   (1, 142): (126.73200069437868, 633.6600034718934, False)
   (1, 143): (125.23977004130916, 626.1988502065458, False)
   (1, 144): (173.3666634621547, 866.8333173107735, False)
   (1, 145): (158.25612152457168, 791.2806076228584, False)
   (1, 146): (145.8800877433243, 729.4004387166216, False)
   (1, 147): (138.2208377922808, 691.104188961404, False)
   (1, 148): (136.19104228986575, 680.9552114493288, False)
   (1, 149): (179.51323071016242, 897.566153550812, False)
   (1, 150): (145.90750494748377, 729.5375247374188, False)
   (1, 151): (111.40017953306898, 557.0008976653448, False)
   (1, 152): (76.92203845452875, 384.61019227264376, False)
   (1, 153): (37.21558813185679, 186.07794065928397, False)
   (1, 155): (135.67977004697494, 678.3988502348747, False)
   (1, 156): (130.83195328359201, 654.1597664179601, False)
   (1, 157): (152.85614151874958, 764.2807075937479, False)
   (1, 158): (202.71408436514716, 1013.5704218257358, False)
   (1, 159): (158.93709447451215, 794.6854723725608, False)
   (1, 160): (148.16544806398016, 740.8272403199009, False)
   (1, 161): (117.32433677630571, 586.6216838815286, False)
   (1, 162): (91.0, 455.0, False)
   (1, 163): (108.85311203635843, 544.2655601817921, False)
   (1, 164): (141.4390328021229, 707.1951640106146, False)
   (1, 165): (156.41611170208776, 782.0805585104388, False)
   (1, 166): (54.67174773134658, 273.3587386567329, False)
   (1, 167): (138.2244551445221, 691.1222757226105, False)
   (1, 168): (88.32326986700618, 441.61634933503086, False)
   (1, 169): (109.48059188732951, 547.4029594366475, False)
   (1, 170): (109.03669107231748, 545.1834553615874, False)
   (1, 171): (113.1591799192624, 565.795899596312, False)
   (1, 172): (154.3502510525979, 771.7512552629896, False)
   (1, 173): (114.0175425099138, 570.087712549569, False)
   (1, 174): (120.26637102698326, 601.3318551349163, False)
   (1, 175): (127.88275880665071, 639.4137940332536, False)
   (1, 176): (123.08127396155761, 615.4063698077881, False)
   (1, 177): (134.17153200288055, 670.8576600144028, False)
   (1, 178): (145.41664278891878, 727.0832139445939, False)
   (1, 179): (85.07055894961546, 425.3527947480773, False)
   (1, 180): (207.80038498520642, 1039.0019249260322, False)
   (1, 181): (202.72641663088706, 1013.6320831544353, False)
   (1, 182): (70.43436661176133, 352.17183305880667, False)
   (1, 183): (145.41664278891878, 727.0832139445939, False)
   (2, 66): (58.83026432033091, 294.15132160165456, False)
   (2, 134): (134.73306943731373, 673.6653471865686, False)
   (2, 135): (105.77334257741882, 528.8667128870941, False)
   (2, 136): (77.62087348130012, 388.1043674065006, False)
   (2, 137): (52.20153254455275, 261.0076627227637, False)
   (2, 138): (34.48187929913333, 172.40939649566667, False)
   (2, 139): (148.38463532320318, 741.9231766160159, False)
   (2, 140): (115.76700738984316, 578.8350369492158, False)
   (2, 141): (82.71033792700887, 413.55168963504434, False)
   (2, 142): (51.088159097779204, 255.44079548889601, False)
   (2, 143): (25.612496949731394, 128.06248474865697, False)
   (2, 144): (188.83061192507955, 944.1530596253978, False)
   (2, 145): (163.1318485152424, 815.659242576212, False)
   (2, 146): (137.41178988718545, 687.0589494359273, False)
   (2, 147): (112.8716084761797, 564.3580423808985, False)
   (2, 148): (88.86506625215557, 444.32533126077783, False)
   (2, 149): (132.19682295728592, 660.9841147864296, False)
   (2, 150): (105.6882207249228, 528.441103624614, False)
   (2, 151): (83.60023923410746, 418.0011961705373, False)
   (2, 152): (72.069410986909, 360.34705493454504, False)
   (2, 153): (78.02563681252464, 390.1281840626232, False)
   (2, 154): (165.41463055002117, 827.0731527501059, False)
   (2, 155): (107.42439201596628, 537.1219600798314, False)
   (2, 156): (57.07889277132134, 285.3944638566067, False)
   (2, 157): (50.15974481593781, 250.79872407968907, False)
   (2, 158): (127.57742747053649, 637.8871373526824, False)
   (2, 159): (65.5133574166368, 327.56678708318395, False)
   (2, 160): (154.31137352768266, 771.5568676384133, False)
   (2, 161): (70.21395872616783, 351.0697936308392, False)
   (2, 162): (34.52535300326414, 172.6267650163207, False)
   (2, 163): (85.27602242131137, 426.38011210655685, False)
   (2, 164): (41.10960958218893, 205.54804791094466, False)
   (2, 165): (169.01183390520322, 845.0591695260161, False)
   (2, 166): (132.24220203853233, 661.2110101926617, False)
   (2, 167): (75.95393340703298, 379.7696670351649, False)
   (2, 168): (23.706539182259394, 118.53269591129697, False)
   (2, 169): (146.37281168304446, 731.8640584152223, False)
   (2, 170): (110.45361017187261, 552.268050859363, False)
   (2, 171): (18.439088914585774, 92.19544457292886, False)
   (2, 172): (99.46356116689167, 497.31780583445834, False)
   (2, 173): (90.60353193998566, 453.0176596999283, False)
   (2, 174): (34.713109915419565, 173.56554957709784, False)
   (2, 175): (74.94664769020693, 374.73323845103465, False)
   (2, 176): (21.02379604162864, 105.1189802081432, False)
   (2, 177): (118.46096403457132, 592.3048201728566, False)
   (2, 178): (53.225933528685054, 266.12966764342525, False)
   (2, 179): (85.14693182963201, 425.73465914816006, False)
   (2, 180): (134.937022347464, 674.68511173732, False)
   (2, 181): (124.32618388738553, 621.6309194369276, False)
   (2, 182): (57.0087712549569, 285.0438562747845, False)
   (2, 183): (53.225933528685054, 266.12966764342525, False)
   (3, 67): (70.83078426785913, 354.15392133929566, False)
   (3, 137): (73.24616030891995, 366.2308015445998, False)
   (3, 138): (50.80354318352215, 254.01771591761076, False)
   (3, 139): (150.23315213360866, 751.1657606680433, False)
   (3, 140): (116.9700816448377, 584.8504082241885, False)
   (3, 141): (82.85529554590944, 414.2764777295472, False)
   (3, 142): (48.76474136094644, 243.82370680473218, False)
   (3, 143): (12.649110640673518, 63.24555320336759, False)
   (3, 144): (197.9520143873257, 989.7600719366285, False)
   (3, 145): (171.26587517658035, 856.3293758829018, False)
   (3, 146): (144.25671561490648, 721.2835780745324, False)
   (3, 147): (117.79643458101778, 588.9821729050889, False)
   (3, 148): (90.4267659490264, 452.133829745132, False)
   (3, 149): (129.6919426949878, 648.459713474939, False)
   (3, 150): (107.37783756436893, 536.8891878218446, False)
   (3, 151): (91.54780172128658, 457.7390086064329, False)
   (3, 152): (87.28115489611719, 436.40577448058593, False)
   (3, 153): (98.50888284819801, 492.5444142409901, False)
   (3, 155): (112.16059914247963, 560.8029957123981, False)
   (3, 156): (54.12947441089743, 270.64737205448716, False)
   (3, 157): (28.635642126552707, 143.17821063276352, False)
   (3, 158): (116.43023662262307, 582.1511831131154, False)
   (3, 159): (50.0, 250.0, False)
   (3, 160): (163.1318485152424, 815.659242576212, False)
   (3, 161): (75.0066663703967, 375.0333318519835, False)
   (3, 162): (49.39635614091387, 246.98178070456936, False)
   (3, 163): (94.02127418834527, 470.10637094172637, False)
   (3, 164): (23.706539182259394, 118.53269591129697, False)
   (3, 165): (178.36199146679206, 891.8099573339603, False)
   (3, 166): (152.0, 760.0, False)
   (3, 167): (74.24957912338628, 371.24789561693143, False)
   (3, 168): (41.10960958218893, 205.54804791094466, False)
   (3, 169): (160.85086260259843, 804.2543130129922, False)
   (3, 170): (121.49074038789952, 607.4537019394976, False)
   (3, 171): (20.8806130178211, 104.40306508910551, False)
   (3, 172): (97.30878685915265, 486.5439342957632, False)
   (3, 173): (98.59513172565875, 492.97565862829373, False)
   (3, 174): (34.132096331752024, 170.66048165876012, False)
   (3, 175): (76.84399781375251, 384.2199890687625, False)
   (3, 176): (7.0710678118654755, 35.35533905932738, False)
   (3, 177): (125.15989773086265, 625.7994886543132, False)
   (3, 178): (41.773197148410844, 208.86598574205422, False)
   (3, 179): (99.00505037623081, 495.0252518811541, False)
   (3, 180): (124.25779653607253, 621.2889826803627, False)
   (3, 181): (112.14722466472365, 560.7361233236182, False)
   (3, 182): (74.14849964766651, 370.7424982383326, False)
   (3, 183): (41.773197148410844, 208.86598574205422, False)
   (4, 68): (17.72004514666935, 88.60022573334675, False)
   (4, 131): (54.67174773134658, 273.3587386567329, False)
   (4, 134): (131.3202193114221, 656.6010965571105, False)
   (4, 135): (127.1927670899568, 635.963835449784, False)
   (4, 136): (130.04999038831184, 650.2499519415592, False)
   (4, 137): (140.38874598770374, 701.9437299385187, False)
   (4, 138): (157.0, 785.0, False)
   (4, 139): (53.74011537017761, 268.70057685088807, False)
   (4, 140): (56.88585061331157, 284.42925306655786, False)
   (4, 141): (76.40026177965623, 382.0013088982812, False)
   (4, 142): (103.76897416858277, 518.8448708429139, False)
   (4, 143): (136.24243098242192, 681.2121549121096, False)
   (4, 144): (51.62363799656123, 258.11818998280614, False)
   (4, 145): (27.313000567495326, 136.56500283747664, False)
   (4, 146): (18.439088914585774, 92.19544457292886, False)
   (4, 147): (39.01281840626232, 195.0640920313116, False)
   (4, 148): (67.68308503607086, 338.4154251803543, False)
   (4, 149): (77.47257579298626, 387.3628789649313, False)
   (4, 150): (58.0, 290.0, False)
   (4, 151): (55.21775076911409, 276.08875384557047, False)
   (4, 152): (71.55417527999327, 357.77087639996637, False)
   (4, 153): (102.42070103255493, 512.1035051627747, False)
   (4, 154): (32.55764119219941, 162.78820596099706, False)
   (4, 155): (43.289721643826724, 216.44860821913363, False)
   (4, 156): (101.13357503816425, 505.6678751908213, False)
   (4, 157): (161.62301816263673, 808.1150908131837, False)
   (4, 158): (127.47548783981962, 637.3774391990981, False)
   (4, 159): (135.9779393872403, 679.8896969362015, False)
   (4, 160): (17.4928556845359, 87.4642784226795, False)
   (4, 161): (73.43023900274328, 367.1511950137164, False)
   (4, 162): (160.0312469488381, 800.1562347441904, False)
   (4, 163): (52.630789467763066, 263.1539473388153, False)
   (4, 164): (170.0, 850.0, False)
   (4, 165): (31.827660925679098, 159.13830462839547, False)
   (4, 166): (98.2344135219425, 491.1720676097125, False)
   (4, 167): (86.40023148117139, 432.00115740585693, False)
   (4, 168): (114.97825881443848, 574.8912940721924, False)
   (4, 169): (43.278170016764804, 216.39085008382403, False)
   (4, 170): (28.178005607210743, 140.8900280360537, False)
   (4, 171): (155.56991997169632, 777.8495998584816, False)
   (4, 172): (78.00640999302557, 390.03204996512784, False)
   (4, 173): (48.25971404805462, 241.29857024027308, False)
   (4, 174): (171.89822570346675, 859.4911285173338, False)
   (4, 175): (76.32168761236873, 381.6084380618437, False)
   (4, 176): (151.85519418182574, 759.2759709091287, False)
   (4, 177): (27.073972741361768, 135.36986370680884, False)
   (4, 178): (187.97074240423694, 939.8537120211847, False)
   (4, 179): (57.271284253105414, 286.35642126552705, False)
   (4, 180): (127.34991166074674, 636.7495583037337, False)
   (4, 181): (132.51792331605563, 662.5896165802782, False)
   (4, 182): (88.58893836140041, 442.9446918070021, False)
   (4, 183): (187.97074240423694, 939.8537120211847, False)
   (5, 69): (84.48076704197234, 422.4038352098617, False)
   (5, 139): (29.546573405388315, 147.73286702694156, False)
   (5, 140): (18.35755975068582, 91.7877987534291, False)
   (5, 141): (45.89117562233506, 229.4558781116753, False)
   (5, 142): (78.77182237323191, 393.85911186615954, False)
   (5, 143): (114.63420083029322, 573.1710041514661, False)
   (5, 144): (101.59724405711013, 507.98622028555064, False)
   (5, 145): (76.00657866263946, 380.0328933131973, False)
   (5, 146): (52.88667128870941, 264.43335644354704, False)
   (5, 147): (37.48332962798263, 187.41664813991315, False)
   (5, 148): (41.012193308819754, 205.06096654409876, False)
   (5, 149): (7.810249675906654, 39.05124837953327, False)
   (5, 150): (26.92582403567252, 134.6291201783626, False)
   (5, 151): (61.35144660071187, 306.75723300355935, False)
   (5, 152): (95.85927185202274, 479.2963592601137, False)
   (5, 153): (135.76818478568535, 678.8409239284267, False)
   (5, 154): (71.25307010929424, 356.2653505464712, False)
   (5, 155): (38.01315561749642, 190.0657780874821, False)
   (5, 156): (73.16419889536138, 365.8209944768069, False)
   (5, 158): (60.00833275470999, 300.04166377354994, False)
