All relevant information about the map is below:

Total # of nodes: 193
# of robots: 64, robots_origin_location: {163: {49}, 164: {2, 51}, 165: {27, 25, 19}, 166: {32, 53}, 167: {56, 4, 23}, 168: {9}, 169: {43, 15, 7}, 170: set(), 171: {8, 28, 22}, 172: {40, 13, 47}, 173: {64, 37}, 174: set(), 175: {24, 21, 63}, 176: set(), 177: {41, 6}, 178: {62, 35, 46}, 179: {48, 26, 42}, 180: {3, 12, 5}, 181: {33, 61, 14}, 182: {50, 45, 31}, 183: {30}, 184: {58, 44}, 185: {16, 11, 29}, 186: set(), 187: {34, 54}, 188: {36}, 189: {18, 20, 52}, 190: {57, 59, 55}, 191: {10, 60}, 192: {1}, 193: {17, 38, 39}}
# of requests: 65, request_pairs: [(1, 66), (2, 67), (3, 68), (4, 69), (5, 70), (6, 71), (7, 72), (8, 73), (9, 74), (10, 75), (11, 76), (12, 77), (13, 78), (14, 79), (15, 80), (16, 81), (17, 82), (18, 83), (19, 84), (20, 85), (21, 86), (22, 87), (23, 88), (24, 89), (25, 90), (26, 91), (27, 92), (28, 93), (29, 94), (30, 95), (31, 96), (32, 97), (33, 98), (34, 99), (35, 100), (36, 101), (37, 102), (38, 103), (39, 104), (40, 105), (41, 106), (42, 107), (43, 108), (44, 109), (45, 110), (46, 111), (47, 112), (48, 113), (49, 114), (50, 115), (51, 116), (52, 117), (53, 118), (54, 119), (55, 120), (56, 121), (57, 122), (58, 123), (59, 124), (60, 125), (61, 126), (62, 127), (63, 128), (64, 129), (65, 130)]
# of depots: 31, depot nodes: [163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193]
# of service lines: 9
# of num transfers: 32, service lines mapping: {1: [131, 132, 133, 134], 2: [135, 136, 137, 138], 3: [139, 140, 141, 142], 4: [143, 144, 145, 146], 5: [147, 148, 149, 150], 6: [151, 152, 153, 154], 7: [155, 156, 157, 158], 8: [159, 160, 161, 162], 9: []}
public transportation factor: 0.8
map_size: 193
outsourcing cost: 4167
robots max travel time: 571
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 8
transfer service time: 2
request nodes time windows: {1: (240, 640), 2: (15, 415), 3: (23, 423), 4: (263, 663), 5: (40, 440), 6: (216, 616), 7: (165, 565), 8: (93, 493), 9: (139, 539), 10: (208, 608), 11: (124, 524), 12: (252, 652), 13: (84, 484), 14: (15, 415), 15: (166, 566), 16: (174, 574), 17: (231, 631), 18: (143, 543), 19: (46, 446), 20: (271, 671), 21: (62, 462), 22: (156, 556), 23: (79, 479), 24: (179, 579), 25: (147, 547), 26: (119, 519), 27: (32, 432), 28: (184, 584), 29: (225, 625), 30: (78, 478), 31: (262, 662), 32: (149, 549), 33: (240, 640), 34: (0, 398), 35: (279, 679), 36: (260, 660), 37: (167, 567), 38: (5, 405), 39: (235, 635), 40: (98, 498), 41: (185, 585), 42: (31, 431), 43: (200, 600), 44: (227, 627), 45: (109, 509), 46: (252, 652), 47: (71, 471), 48: (262, 662), 49: (229, 629), 50: (260, 660), 51: (73, 473), 52: (154, 554), 53: (97, 497), 54: (5, 405), 55: (64, 464), 56: (159, 559), 57: (20, 420), 58: (2, 402), 59: (87, 487), 60: (269, 669), 61: (14, 414), 62: (150, 550), 63: (151, 551), 64: (79, 479), 65: (161, 561), 66: (355, 755), 67: (300, 700), 68: (368, 768), 69: (635, 1035), 70: (436, 836), 71: (341, 741), 72: (523, 923), 73: (472, 872), 74: (308, 708), 75: (425, 825), 76: (486, 886), 77: (651, 1051), 78: (465, 865), 79: (282, 682), 80: (283, 683), 81: (233, 633), 82: (533, 933), 83: (358, 758), 84: (198, 598), 85: (442, 842), 86: (282, 682), 87: (314, 714), 88: (222, 622), 89: (331, 731), 90: (453, 853), 91: (404, 804), 92: (180, 580), 93: (457, 857), 94: (425, 825), 95: (389, 789), 96: (466, 866), 97: (451, 851), 98: (469, 869), 99: (272, 672), 100: (559, 959), 101: (552, 952), 102: (453, 853), 103: (350, 750), 104: (335, 735), 105: (292, 692), 106: (333, 733), 107: (323, 723), 108: (599, 999), 109: (486, 886), 110: (377, 777), 111: (405, 805), 112: (365, 765), 113: (418, 818), 114: (364, 764), 115: (486, 886), 116: (311, 711), 117: (456, 856), 118: (287, 687), 119: (159, 559), 120: (345, 745), 121: (468, 868), 122: (175, 575), 123: (376, 776), 124: (304, 704), 125: (501, 901), 126: (241, 641), 127: (342, 742), 128: (466, 866), 129: (321, 721), 130: (532, 932)}
transfer nodes departure time: {131: 463, 132: 504, 133: 545, 134: 586, 135: 462, 136: 500, 137: 538, 138: 581, 139: 406, 140: 446, 141: 487, 142: 528, 143: 106, 144: 154, 145: 202, 146: 255, 147: 1351, 148: 1408, 149: 1465, 150: 1522, 151: 508, 152: 555, 153: 602, 154: 651, 155: 770, 156: 803, 157: 836, 158: 878, 159: 1352, 160: 1391, 161: 1430, 162: 1471}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 66): (81.49846624323675, 407.49233121618374, False)
   (1, 131): (49.33558553417604, 246.6779276708802, False)
   (1, 132): (4.0, 20.0, False)
   (1, 133): (47.51841748206689, 237.59208741033444, False)
   (1, 134): (95.524865872714, 477.62432936357004, False)
   (1, 135): (127.75758294520134, 638.7879147260066, False)
   (1, 136): (112.04017136723775, 560.2008568361887, False)
   (1, 137): (113.21660655575224, 566.0830327787612, False)
   (1, 138): (134.3800580443393, 671.9002902216965, False)
   (1, 139): (66.03786792439622, 330.1893396219811, False)
   (1, 140): (31.400636936215164, 157.00318468107582, False)
   (1, 141): (46.389654018972806, 231.94827009486403, False)
   (1, 142): (89.05054744357274, 445.2527372178637, False)
   (1, 147): (118.07201192492656, 590.3600596246328, False)
   (1, 148): (67.06713054842886, 335.3356527421443, False)
   (1, 149): (67.08203932499369, 335.4101966249684, False)
   (1, 150): (117.2092146548214, 586.046073274107, False)
   (1, 151): (31.25699921617557, 156.28499608087785, False)
   (1, 152): (44.721359549995796, 223.60679774997897, False)
   (1, 153): (96.25487000666512, 481.27435003332556, False)
   (1, 154): (152.86922515666782, 764.3461257833392, False)
   (1, 155): (31.016124838541646, 155.08062419270823, False)
   (1, 156): (9.848857801796104, 49.244289008980516, False)
   (1, 157): (47.095647357266465, 235.47823678633233, False)
   (1, 158): (96.74709297958259, 483.73546489791295, False)
   (1, 159): (121.31364309095659, 606.568215454783, False)
   (1, 160): (77.07788269017254, 385.3894134508627, False)
   (1, 161): (36.013886210738214, 180.06943105369106, False)
   (1, 162): (30.0, 150.0, False)
   (1, 163): (125.89678312014172, 629.4839156007085, False)
   (1, 164): (42.01190307520001, 210.05951537600004, False)
   (1, 165): (52.23983154643591, 261.1991577321795, False)
   (1, 166): (75.69015788066504, 378.4507894033252, False)
   (1, 167): (116.52038448271615, 582.6019224135807, False)
   (1, 168): (41.6293165929973, 208.1465829649865, False)
   (1, 169): (38.27531841800928, 191.3765920900464, False)
   (1, 170): (13.601470508735444, 68.00735254367721, False)
   (1, 171): (160.4306703844374, 802.1533519221871, False)
   (1, 172): (107.00467279516349, 535.0233639758175, False)
   (1, 173): (80.2807573457052, 401.403786728526, False)
   (1, 174): (156.92354826475216, 784.6177413237608, False)
   (1, 175): (3.1622776601683795, 15.811388300841898, False)
   (1, 176): (133.8992158304148, 669.4960791520739, False)
   (1, 177): (187.09623192357455, 935.4811596178728, False)
   (1, 178): (42.44997055358225, 212.24985276791125, False)
   (1, 179): (136.69308687713507, 683.4654343856754, False)
   (1, 180): (94.19129471453293, 470.95647357266466, False)
   (1, 181): (56.88585061331157, 284.42925306655786, False)
   (1, 182): (106.85036265731624, 534.2518132865812, False)
   (1, 183): (111.8257573191436, 559.128786595718, False)
   (1, 184): (15.033296378372908, 75.16648189186454, False)
   (1, 185): (80.52328855678958, 402.6164427839479, False)
   (1, 186): (83.6301381082203, 418.1506905411015, False)
   (1, 187): (38.27531841800928, 191.3765920900464, False)
   (1, 188): (77.07788269017254, 385.3894134508627, False)
   (1, 189): (46.57252408878007, 232.86262044390037, False)
   (1, 190): (54.45181356024793, 272.25906780123967, False)
   (1, 191): (124.31009613060397, 621.5504806530198, False)
   (1, 192): (165.4841382127, 827.4206910635, False)
   (1, 193): (98.65596788841515, 493.27983944207574, False)
   (2, 67): (148.49242404917499, 742.462120245875, False)
   (2, 131): (113.63538181394033, 568.1769090697017, False)
   (2, 132): (128.84486796143648, 644.2243398071823, False)
   (2, 133): (157.95252451290546, 789.7626225645273, False)
   (2, 134): (194.07730418572905, 970.3865209286453, False)
   (2, 135): (229.99347816840373, 1149.9673908420186, False)
   (2, 136): (192.96113598338914, 964.8056799169457, False)
   (2, 137): (160.01562423713506, 800.0781211856753, False)
   (2, 138): (131.70041761513136, 658.5020880756567, False)
   (2, 139): (186.6815470259447, 933.4077351297235, False)
   (2, 140): (139.5886814895821, 697.9434074479104, False)
   (2, 141): (91.67878707749138, 458.3939353874569, False)
   (2, 142): (44.01136216933077, 220.05681084665386, False)
   (2, 144): (112.00892821556681, 560.0446410778341, False)
   (2, 145): (67.89698078707183, 339.4849039353591, False)
   (2, 146): (57.723478758647246, 288.61739379323626, False)
   (2, 147): (29.832867780352597, 149.164338901763, False)
   (2, 148): (71.8679344353238, 359.33967217661905, False)
   (2, 149): (136.48809471891678, 682.4404735945839, False)
   (2, 150): (203.2953516438583, 1016.4767582192916, False)
   (2, 151): (163.71316379570703, 818.5658189785352, False)
   (2, 152): (143.6697602141801, 718.3488010709004, False)
   (2, 153): (143.95138068111746, 719.7569034055873, False)
   (2, 154): (164.92422502470643, 824.6211251235321, False)
   (2, 155): (158.8238017426859, 794.1190087134295, False)
   (2, 156): (122.97154142320898, 614.8577071160448, False)
   (2, 157): (89.47066558375433, 447.35332791877164, False)
   (2, 158): (56.859475903318, 284.29737951659, False)
   (2, 159): (32.55764119219941, 162.78820596099706, False)
   (2, 160): (57.21887800367987, 286.09439001839934, False)
   (2, 161): (98.08159868191383, 490.40799340956914, False)
   (2, 162): (143.55835050598765, 717.7917525299382, False)
