All relevant information about the map is below:

Total # of nodes: 167
# of robots: 69, robots_origin_location: {146: {37}, 147: {56, 35, 31}, 148: {53, 45, 29, 47}, 149: {51}, 150: {38, 42, 60, 14}, 151: {40, 34, 58}, 152: {41, 18, 26, 59}, 153: {27, 5, 54}, 154: {7, 12, 13, 49, 50}, 155: {67, 3, 23, 15}, 156: {17, 20, 39}, 157: {24, 10, 21, 55}, 158: {44, 46, 48, 62, 63}, 159: {57, 43, 69}, 160: {64, 2, 30}, 161: {8, 1, 33}, 162: {6, 22}, 163: {36}, 164: {16, 66, 52, 61}, 165: {65, 25}, 166: {32, 19, 4, 68}, 167: {9, 11, 28}}
# of requests: 65, request_pairs: [(1, 66), (2, 67), (3, 68), (4, 69), (5, 70), (6, 71), (7, 72), (8, 73), (9, 74), (10, 75), (11, 76), (12, 77), (13, 78), (14, 79), (15, 80), (16, 81), (17, 82), (18, 83), (19, 84), (20, 85), (21, 86), (22, 87), (23, 88), (24, 89), (25, 90), (26, 91), (27, 92), (28, 93), (29, 94), (30, 95), (31, 96), (32, 97), (33, 98), (34, 99), (35, 100), (36, 101), (37, 102), (38, 103), (39, 104), (40, 105), (41, 106), (42, 107), (43, 108), (44, 109), (45, 110), (46, 111), (47, 112), (48, 113), (49, 114), (50, 115), (51, 116), (52, 117), (53, 118), (54, 119), (55, 120), (56, 121), (57, 122), (58, 123), (59, 124), (60, 125), (61, 126), (62, 127), (63, 128), (64, 129), (65, 130)]
# of depots: 22, depot nodes: [146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167]
# of service lines: 2
# of num transfers: 15, service lines mapping: {1: [131, 132, 133, 134, 135, 136, 137, 138], 2: [139, 140, 141, 142, 143, 144, 145]}
public transportation factor: 0.4
map_size: 167
outsourcing cost: 2500
robots max travel time: 934
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 5
depot service time: 2
transfer capacity: 10
transfer service time: 2
request nodes time windows: {1: (174, 574), 2: (0, 380), 3: (113, 513), 4: (194, 594), 5: (51, 451), 6: (124, 524), 7: (198, 598), 8: (150, 550), 9: (186, 586), 10: (87, 487), 11: (0, 398), 12: (211, 611), 13: (0, 372), 14: (23, 423), 15: (95, 495), 16: (116, 516), 17: (184, 584), 18: (46, 446), 19: (4, 404), 20: (13, 413), 21: (192, 592), 22: (42, 442), 23: (122, 522), 24: (0, 376), 25: (10, 410), 26: (11, 411), 27: (26, 426), 28: (96, 496), 29: (96, 496), 30: (112, 512), 31: (28, 428), 32: (0, 387), 33: (68, 468), 34: (0, 393), 35: (0, 388), 36: (33, 433), 37: (213, 613), 38: (174, 574), 39: (87, 487), 40: (206, 606), 41: (118, 518), 42: (8, 408), 43: (0, 379), 44: (201, 601), 45: (97, 497), 46: (169, 569), 47: (10, 410), 48: (134, 534), 49: (33, 433), 50: (96, 496), 51: (188, 588), 52: (21, 421), 53: (0, 368), 54: (135, 535), 55: (160, 560), 56: (8, 408), 57: (0, 395), 58: (192, 592), 59: (7, 407), 60: (23, 423), 61: (11, 411), 62: (153, 553), 63: (91, 491), 64: (166, 566), 65: (95, 495), 66: (551, 951), 67: (271, 671), 68: (438, 838), 69: (435, 835), 70: (271, 671), 71: (360, 760), 72: (508, 908), 73: (423, 823), 74: (313, 713), 75: (476, 876), 76: (340, 740), 77: (341, 741), 78: (249, 649), 79: (396, 796), 80: (231, 631), 81: (400, 800), 82: (331, 731), 83: (276, 676), 84: (178, 578), 85: (214, 614), 86: (525, 925), 87: (381, 781), 88: (285, 685), 89: (129, 529), 90: (188, 588), 91: (352, 752), 92: (234, 634), 93: (335, 735), 94: (331, 731), 95: (394, 794), 96: (307, 707), 97: (254, 654), 98: (335, 735), 99: (220, 620), 100: (262, 662), 101: (366, 766), 102: (527, 927), 103: (449, 849), 104: (234, 634), 105: (527, 927), 106: (319, 719), 107: (157, 557), 108: (248, 648), 109: (452, 852), 110: (449, 849), 111: (505, 905), 112: (316, 716), 113: (449, 849), 114: (432, 832), 115: (372, 772), 116: (426, 826), 117: (271, 671), 118: (189, 589), 119: (321, 721), 120: (322, 722), 121: (193, 593), 122: (70, 470), 123: (541, 941), 124: (88, 488), 125: (335, 735), 126: (275, 675), 127: (385, 785), 128: (439, 839), 129: (334, 734), 130: (446, 846)}
transfer nodes departure time: {131: 581, 132: 584, 133: 587, 134: 590, 135: 593, 136: 596, 137: 599, 138: 659, 139: 14, 140: 26, 141: 38, 142: 50, 143: 62, 144: 74, 145: 86}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 66): (117.34564329364768, 586.7282164682384, False)
   (1, 131): (83.60023923410746, 418.0011961705373, False)
   (1, 132): (84.20213774008353, 421.01068870041763, False)
   (1, 133): (84.20213774008353, 421.01068870041763, False)
   (1, 134): (84.20213774008353, 421.01068870041763, False)
   (1, 135): (84.20213774008353, 421.01068870041763, False)
   (1, 136): (84.20213774008353, 421.01068870041763, False)
   (1, 137): (84.20213774008353, 421.01068870041763, False)
   (1, 138): (115.0, 575.0, False)
   (1, 146): (38.07886552931954, 190.39432764659773, False)
   (1, 147): (61.5223536610881, 307.6117683054405, False)
   (1, 148): (107.91200118615167, 539.5600059307584, False)
   (1, 149): (55.02726596879042, 275.13632984395207, False)
   (1, 150): (157.78466338652817, 788.9233169326408, False)
   (1, 151): (16.401219466856727, 82.00609733428364, False)
   (1, 152): (82.13403679352427, 410.67018396762137, False)
   (1, 153): (23.40939982143925, 117.04699910719626, False)
   (1, 154): (135.07405376311175, 675.3702688155588, False)
   (1, 155): (135.95955280891445, 679.7977640445722, False)
   (1, 156): (37.21558813185679, 186.07794065928397, False)
   (1, 157): (138.92443989449805, 694.6221994724903, False)
   (1, 158): (61.032778078668514, 305.16389039334257, False)
   (1, 159): (133.71985641631537, 668.5992820815768, False)
   (1, 160): (86.97700845625813, 434.8850422812907, False)
   (1, 161): (138.97481786280562, 694.8740893140281, False)
   (1, 162): (75.1065909225016, 375.532954612508, False)
   (1, 163): (117.15374513859982, 585.768725692999, False)
   (1, 164): (120.88010589009261, 604.4005294504631, False)
   (1, 165): (76.21679604916491, 381.0839802458246, False)
   (1, 166): (143.56183336806478, 717.8091668403239, False)
   (1, 167): (123.36936410632909, 616.8468205316454, False)
   (2, 67): (84.20213774008353, 421.01068870041763, False)
   (2, 131): (23.769728648009426, 118.84864324004712, False)
   (2, 132): (24.698178070456937, 123.49089035228468, False)
   (2, 133): (24.698178070456937, 123.49089035228468, False)
   (2, 134): (24.698178070456937, 123.49089035228468, False)
   (2, 135): (24.698178070456937, 123.49089035228468, False)
   (2, 136): (24.698178070456937, 123.49089035228468, False)
   (2, 137): (24.698178070456937, 123.49089035228468, False)
   (2, 138): (120.20399327809372, 601.0199663904687, False)
   (2, 141): (22.20360331117452, 111.01801655587259, False)
   (2, 142): (7.211102550927978, 36.05551275463989, False)
   (2, 143): (26.019223662515376, 130.0961183125769, False)
   (2, 144): (48.662100242385755, 243.31050121192877, False)
   (2, 145): (72.56721022610694, 362.83605113053466, False)
   (2, 146): (67.60177512462228, 338.0088756231114, False)
   (2, 147): (25.0, 125.0, False)
   (2, 148): (33.54101966249684, 167.7050983124842, False)
   (2, 149): (26.0, 130.0, False)
   (2, 150): (123.54756169184401, 617.7378084592201, False)
   (2, 151): (77.69813382572325, 388.4906691286162, False)
   (2, 152): (30.886890422961002, 154.43445211480503, False)
   (2, 153): (84.2140130857092, 421.070065428546, False)
   (2, 154): (108.50345616615168, 542.5172808307584, False)
   (2, 155): (77.23341245859851, 386.16706229299257, False)
   (2, 156): (64.38167441127949, 321.90837205639747, False)
   (2, 157): (58.137767414994535, 290.6888370749727, False)
   (2, 158): (84.69356528095862, 423.46782640479313, False)
   (2, 159): (97.49358953285082, 487.4679476642541, False)
   (2, 160): (37.16180835212409, 185.80904176062046, False)
   (2, 161): (110.86027241532469, 554.3013620766235, False)
   (2, 162): (130.41855696180662, 652.0927848090331, False)
   (2, 163): (66.85057965343307, 334.2528982671654, False)
   (2, 164): (73.78346698278686, 368.9173349139343, False)
   (2, 165): (92.65527507918802, 463.2763753959401, False)
   (2, 166): (85.14693182963201, 425.73465914816006, False)
   (2, 167): (80.62257748298549, 403.11288741492746, False)
   (3, 68): (65.03076195155643, 325.15380975778214, False)
   (3, 131): (36.40054944640259, 182.00274723201295, False)
   (3, 132): (36.138621999185304, 180.69310999592653, False)
   (3, 133): (36.138621999185304, 180.69310999592653, False)
   (3, 134): (36.138621999185304, 180.69310999592653, False)
   (3, 135): (36.138621999185304, 180.69310999592653, False)
   (3, 136): (36.138621999185304, 180.69310999592653, False)
   (3, 137): (36.138621999185304, 180.69310999592653, False)
   (3, 138): (156.43848631331102, 782.1924315665551, False)
   (3, 146): (32.526911934581186, 162.63455967290594, False)
   (3, 147): (59.53990258641679, 297.69951293208396, False)
   (3, 148): (59.033888572581766, 295.16944286290885, False)
   (3, 149): (46.51881339845203, 232.59406699226017, False)
   (3, 150): (174.40183485273312, 872.0091742636656, False)
   (3, 151): (76.24303246854758, 381.2151623427379, False)
   (3, 152): (29.427877939124322, 147.13938969562162, False)
