All relevant information about the map is below:

Total # of nodes: 191
# of robots: 72, robots_origin_location: {158: set(), 159: {67, 60, 23}, 160: {51, 30, 55}, 161: {65, 1, 63}, 162: {32}, 163: set(), 164: {64, 66}, 165: {40, 49, 6}, 166: {12}, 167: {42, 4, 70}, 168: {62, 38}, 169: {34, 36, 5}, 170: {24, 11, 20}, 171: set(), 172: {50}, 173: {16, 53, 21}, 174: {27, 45, 22}, 175: {39, 37, 31}, 176: {41, 29, 71}, 177: {2, 47}, 178: {25, 3}, 179: {8, 26, 28}, 180: {72, 33, 54}, 181: {57, 58, 44}, 182: {10, 14, 15}, 183: {68}, 184: {18, 52, 46}, 185: {9}, 186: {43, 19, 61}, 187: {69, 13, 7}, 188: {56}, 189: {59}, 190: {35}, 191: {48, 17}}
# of requests: 67, request_pairs: [(1, 68), (2, 69), (3, 70), (4, 71), (5, 72), (6, 73), (7, 74), (8, 75), (9, 76), (10, 77), (11, 78), (12, 79), (13, 80), (14, 81), (15, 82), (16, 83), (17, 84), (18, 85), (19, 86), (20, 87), (21, 88), (22, 89), (23, 90), (24, 91), (25, 92), (26, 93), (27, 94), (28, 95), (29, 96), (30, 97), (31, 98), (32, 99), (33, 100), (34, 101), (35, 102), (36, 103), (37, 104), (38, 105), (39, 106), (40, 107), (41, 108), (42, 109), (43, 110), (44, 111), (45, 112), (46, 113), (47, 114), (48, 115), (49, 116), (50, 117), (51, 118), (52, 119), (53, 120), (54, 121), (55, 122), (56, 123), (57, 124), (58, 125), (59, 126), (60, 127), (61, 128), (62, 129), (63, 130), (64, 131), (65, 132), (66, 133), (67, 134)]
# of depots: 34, depot nodes: [158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191]
# of service lines: 5
# of num transfers: 23, service lines mapping: {1: [135, 136, 137, 138, 139], 2: [140, 141, 142, 143, 144], 3: [145, 146, 147, 148, 149], 4: [150, 151, 152, 153, 154], 5: [155, 156, 157]}
public transportation factor: 1.0
map_size: 191
outsourcing cost: 6667
robots max travel time: 934
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 3
transfer service time: 2
request nodes time windows: {1: (12, 412), 2: (84, 484), 3: (69, 469), 4: (169, 569), 5: (58, 458), 6: (93, 493), 7: (176, 576), 8: (208, 608), 9: (171, 571), 10: (181, 581), 11: (255, 655), 12: (20, 420), 13: (137, 537), 14: (95, 495), 15: (41, 441), 16: (269, 669), 17: (154, 554), 18: (176, 576), 19: (271, 671), 20: (155, 555), 21: (246, 646), 22: (206, 606), 23: (17, 417), 24: (174, 574), 25: (257, 657), 26: (266, 666), 27: (110, 510), 28: (40, 440), 29: (198, 598), 30: (98, 498), 31: (221, 621), 32: (257, 657), 33: (68, 468), 34: (185, 585), 35: (253, 653), 36: (6, 406), 37: (79, 479), 38: (147, 547), 39: (217, 617), 40: (68, 468), 41: (31, 431), 42: (93, 493), 43: (115, 515), 44: (135, 535), 45: (197, 597), 46: (257, 657), 47: (248, 648), 48: (97, 497), 49: (269, 669), 50: (2, 402), 51: (118, 518), 52: (14, 414), 53: (253, 653), 54: (114, 514), 55: (137, 537), 56: (180, 580), 57: (233, 633), 58: (206, 606), 59: (267, 667), 60: (247, 647), 61: (274, 674), 62: (235, 635), 63: (177, 577), 64: (167, 567), 65: (52, 452), 66: (49, 449), 67: (222, 622), 68: (409, 809), 69: (277, 677), 70: (305, 705), 71: (446, 846), 72: (175, 575), 73: (120, 520), 74: (443, 843), 75: (304, 704), 76: (291, 691), 77: (549, 949), 78: (541, 941), 79: (395, 795), 80: (480, 880), 81: (355, 755), 82: (189, 589), 83: (446, 846), 84: (370, 770), 85: (516, 916), 86: (458, 858), 87: (303, 703), 88: (389, 789), 89: (542, 942), 90: (176, 576), 91: (441, 841), 92: (634, 1034), 93: (356, 756), 94: (242, 642), 95: (138, 538), 96: (529, 929), 97: (471, 871), 98: (618, 1018), 99: (435, 835), 100: (337, 737), 101: (562, 962), 102: (487, 887), 103: (327, 727), 104: (284, 684), 105: (526, 926), 106: (558, 958), 107: (327, 727), 108: (242, 642), 109: (358, 758), 110: (188, 588), 111: (532, 932), 112: (293, 693), 113: (405, 805), 114: (563, 963), 115: (284, 684), 116: (656, 1056), 117: (397, 797), 118: (303, 703), 119: (135, 535), 120: (396, 796), 121: (350, 750), 122: (308, 708), 123: (336, 736), 124: (462, 862), 125: (470, 870), 126: (664, 1064), 127: (361, 761), 128: (567, 967), 129: (542, 942), 130: (552, 952), 131: (506, 906), 132: (203, 603), 133: (166, 566), 134: (353, 753)}
transfer nodes departure time: {135: 602, 136: 645, 137: 689, 138: 733, 139: 778, 140: 714, 141: 762, 142: 810, 143: 858, 144: 908, 145: 198, 146: 245, 147: 292, 148: 339, 149: 389, 150: 501, 151: 543, 152: 586, 153: 629, 154: 678, 155: 1297, 156: 1382, 157: 1469}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 68): (80.049984384758, 400.24992192379, False)
   (1, 135): (112.32987136109433, 561.6493568054717, False)
   (1, 136): (91.92388155425118, 459.6194077712559, False)
   (1, 137): (86.88498144098322, 434.4249072049161, False)
   (1, 138): (100.20977996183805, 501.0488998091903, False)
   (1, 139): (127.00393694685216, 635.0196847342609, False)
   (1, 140): (89.26925562588724, 446.3462781294362, False)
   (1, 141): (71.7007670809734, 358.503835404867, False)
   (1, 142): (80.0812087820857, 400.4060439104285, False)
   (1, 143): (108.55873986004075, 542.7936993002037, False)
   (1, 144): (148.00675660252813, 740.0337830126407, False)
   (1, 145): (6.4031242374328485, 32.01562118716424, False)
   (1, 146): (49.64876634922564, 248.2438317461282, False)
   (1, 147): (93.96275858019496, 469.8137929009748, False)
   (1, 148): (138.32208789632983, 691.6104394816491, False)
   (1, 149): (185.85209172887994, 929.2604586443997, False)
   (1, 150): (121.26417442921878, 606.320872146094, False)
   (1, 151): (86.16263691415206, 430.8131845707603, False)
   (1, 152): (57.0087712549569, 285.0438562747845, False)
   (1, 153): (48.08326112068523, 240.41630560342614, False)
   (1, 154): (72.44308110509934, 362.2154055254967, False)
   (1, 155): (55.78530272392541, 278.92651361962703, False)
   (1, 156): (119.20151005754919, 596.007550287746, False)
   (1, 157): (199.4818287463798, 997.4091437318989, False)
   (1, 158): (188.86238376129853, 944.3119188064927, False)
   (1, 159): (124.8118584109699, 624.0592920548495, False)
   (1, 160): (172.40939649566667, 862.0469824783333, False)
   (1, 161): (118.1905241548577, 590.9526207742884, False)
   (1, 162): (188.67167248953936, 943.3583624476968, False)
   (1, 163): (176.0454486773231, 880.2272433866154, False)
   (1, 164): (47.265209192385896, 236.32604596192948, False)
   (1, 165): (106.51291001564083, 532.5645500782041, False)
   (1, 166): (118.96217886370441, 594.8108943185221, False)
   (1, 167): (177.55280904564702, 887.7640452282351, False)
   (1, 168): (29.154759474226502, 145.7737973711325, False)
   (1, 169): (149.34523762075577, 746.7261881037789, False)
   (1, 170): (89.1403387922662, 445.70169396133105, False)
   (1, 171): (148.47558721890948, 742.3779360945474, False)
   (1, 172): (99.62429422585637, 498.1214711292819, False)
   (1, 173): (82.29823813423954, 411.4911906711977, False)
   (1, 174): (113.54734695271397, 567.7367347635699, False)
   (1, 175): (144.55448799674122, 722.7724399837061, False)
   (1, 176): (67.05221845696084, 335.26109228480425, False)
   (1, 177): (185.52627846210896, 927.6313923105448, False)
   (1, 178): (62.42595614005443, 312.12978070027214, False)
   (1, 179): (194.61243536834948, 973.0621768417474, False)
   (1, 180): (192.60321908005588, 963.0160954002794, False)
   (1, 181): (106.3202708800161, 531.6013544000805, False)
   (1, 182): (166.01204775557707, 830.0602387778854, False)
   (1, 183): (111.83022847155415, 559.1511423577707, False)
   (1, 184): (161.29786111415117, 806.4893055707558, False)
   (1, 185): (80.89499366462674, 404.4749683231337, False)
   (1, 186): (97.94896630388705, 489.74483151943525, False)
   (1, 187): (159.8780785473731, 799.3903927368655, False)
   (1, 188): (144.81022063376605, 724.0511031688302, False)
   (1, 189): (129.71121771072848, 648.5560885536424, False)
   (1, 190): (130.17296186228538, 650.8648093114268, False)
   (1, 191): (82.68010643437755, 413.40053217188773, False)
   (2, 69): (72.00694410957877, 360.0347205478938, False)
   (2, 135): (61.5223536610881, 307.6117683054405, False)
   (2, 136): (24.186773244895647, 120.93386622447824, False)
   (2, 137): (25.612496949731394, 128.06248474865697, False)
   (2, 138): (64.19501538281614, 320.97507691408066, False)
   (2, 139): (105.75916035975324, 528.7958017987662, False)
   (2, 140): (124.48293055676348, 622.4146527838174, False)
   (2, 141): (79.20858539325141, 396.042926966257, False)
   (2, 142): (33.94112549695428, 169.70562748477138, False)
   (2, 143): (11.40175425099138, 57.0087712549569, False)
   (2, 144): (58.728187440104094, 293.64093720052045, False)
   (2, 145): (97.25224933131366, 486.26124665656835, False)
   (2, 146): (56.92099788303083, 284.60498941515414, False)
   (2, 147): (31.016124838541646, 155.08062419270823, False)
   (2, 148): (51.22499389946279, 256.12496949731394, False)
   (2, 149): (93.74433316206373, 468.72166581031865, False)
   (2, 150): (62.03224967708329, 310.16124838541646, False)
   (2, 151): (36.61966684720111, 183.09833423600554, False)
   (2, 152): (44.10215414239989, 220.51077071199944, False)
   (2, 153): (76.05918747922567, 380.29593739612835, False)
   (2, 154): (118.84864324004712, 594.2432162002356, False)
   (2, 155): (103.46496991735899, 517.3248495867949, False)
   (2, 156): (74.24284477308234, 371.21422386541167, False)
   (2, 157): (120.88010589009261, 604.4005294504631, False)
   (2, 158): (93.03762679690406, 465.18813398452033, False)
   (2, 159): (124.61540835707277, 623.0770417853638, False)
   (2, 160): (83.48652585896721, 417.43262929483603, False)
   (2, 161): (65.00769185258002, 325.0384592629001, False)
   (2, 162): (123.00406497347964, 615.0203248673982, False)
   (2, 163): (75.23961722390672, 376.1980861195336, False)
   (2, 164): (54.08326913195984, 270.41634565979916, False)
   (2, 165): (46.17358552246078, 230.8679276123039, False)
   (2, 166): (117.78370006074695, 588.9185003037347, False)
