All relevant information about the map is below:

Total # of nodes: 168
# of robots: 64, robots_origin_location: {152: {1, 40, 57, 59, 61}, 153: {56, 13, 62}, 154: {41, 11, 46, 20, 27}, 155: {4, 36, 15, 17, 31}, 156: {34, 39, 8, 16, 25}, 157: {9, 51, 52, 58, 30}, 158: {2, 6, 7, 12, 23}, 159: {64, 14, 18, 26, 63}, 160: {33, 45}, 161: {38, 19, 21, 24, 28}, 162: {42}, 163: {49, 37}, 164: {48, 60, 53}, 165: {10, 35, 50}, 166: {5, 43, 44, 47, 54}, 167: {32, 3, 55}, 168: {29, 22}}
# of requests: 69, request_pairs: [(1, 70), (2, 71), (3, 72), (4, 73), (5, 74), (6, 75), (7, 76), (8, 77), (9, 78), (10, 79), (11, 80), (12, 81), (13, 82), (14, 83), (15, 84), (16, 85), (17, 86), (18, 87), (19, 88), (20, 89), (21, 90), (22, 91), (23, 92), (24, 93), (25, 94), (26, 95), (27, 96), (28, 97), (29, 98), (30, 99), (31, 100), (32, 101), (33, 102), (34, 103), (35, 104), (36, 105), (37, 106), (38, 107), (39, 108), (40, 109), (41, 110), (42, 111), (43, 112), (44, 113), (45, 114), (46, 115), (47, 116), (48, 117), (49, 118), (50, 119), (51, 120), (52, 121), (53, 122), (54, 123), (55, 124), (56, 125), (57, 126), (58, 127), (59, 128), (60, 129), (61, 130), (62, 131), (63, 132), (64, 133), (65, 134), (66, 135), (67, 136), (68, 137), (69, 138)]
# of depots: 17, depot nodes: [152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168]
# of service lines: 2
# of num transfers: 13, service lines mapping: {1: [139, 140, 141, 142, 143, 144, 145], 2: [146, 147, 148, 149, 150, 151]}
public transportation factor: 0.2
map_size: 168
outsourcing cost: 3750
robots max travel time: 109
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 5
depot service time: 2
transfer capacity: 5
transfer service time: 2
request nodes time windows: {1: (177, 577), 2: (36, 436), 3: (0, 370), 4: (6, 406), 5: (102, 502), 6: (0, 378), 7: (204, 604), 8: (75, 475), 9: (192, 592), 10: (49, 449), 11: (218, 618), 12: (197, 597), 13: (85, 485), 14: (203, 603), 15: (41, 441), 16: (114, 514), 17: (198, 598), 18: (128, 528), 19: (134, 534), 20: (108, 508), 21: (27, 427), 22: (73, 473), 23: (195, 595), 24: (138, 538), 25: (43, 443), 26: (91, 491), 27: (46, 446), 28: (177, 577), 29: (108, 508), 30: (12, 412), 31: (216, 616), 32: (195, 595), 33: (0, 389), 34: (189, 589), 35: (141, 541), 36: (132, 532), 37: (0, 374), 38: (0, 398), 39: (37, 437), 40: (216, 616), 41: (0, 398), 42: (193, 593), 43: (197, 597), 44: (104, 504), 45: (188, 588), 46: (211, 611), 47: (166, 566), 48: (40, 440), 49: (167, 567), 50: (202, 602), 51: (47, 447), 52: (196, 596), 53: (45, 445), 54: (95, 495), 55: (180, 580), 56: (187, 587), 57: (138, 538), 58: (207, 607), 59: (170, 570), 60: (187, 587), 61: (115, 515), 62: (111, 511), 63: (37, 437), 64: (97, 497), 65: (178, 578), 66: (41, 441), 67: (160, 560), 68: (215, 615), 69: (166, 566), 70: (527, 927), 71: (261, 661), 72: (278, 678), 73: (285, 685), 74: (258, 658), 75: (276, 676), 76: (509, 909), 77: (208, 608), 78: (374, 774), 79: (230, 630), 80: (551, 951), 81: (270, 670), 82: (158, 558), 83: (410, 810), 84: (144, 544), 85: (394, 794), 86: (436, 836), 87: (283, 683), 88: (524, 924), 89: (430, 830), 90: (237, 637), 91: (411, 811), 92: (378, 778), 93: (420, 820), 94: (173, 573), 95: (268, 668), 96: (238, 638), 97: (247, 647), 98: (431, 831), 99: (243, 643), 100: (427, 827), 101: (372, 772), 102: (347, 747), 103: (449, 849), 104: (532, 932), 105: (261, 661), 106: (281, 681), 107: (87, 487), 108: (335, 735), 109: (442, 842), 110: (259, 659), 111: (335, 735), 112: (573, 973), 113: (315, 715), 114: (511, 911), 115: (439, 839), 116: (243, 643), 117: (441, 841), 118: (393, 793), 119: (353, 753), 120: (184, 584), 121: (309, 709), 122: (198, 598), 123: (274, 674), 124: (334, 734), 125: (406, 806), 126: (504, 904), 127: (328, 728), 128: (553, 953), 129: (536, 936), 130: (296, 696), 131: (350, 750), 132: (327, 727), 133: (386, 786), 134: (336, 736), 135: (189, 589), 136: (461, 861), 137: (477, 877), 138: (447, 847)}
transfer nodes departure time: {139: 710, 140: 717, 141: 724, 142: 732, 143: 739, 144: 746, 145: 755, 146: 924, 147: 932, 148: 940, 149: 948, 150: 956, 151: 964}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 70): (53.85164807134504, 269.2582403567252, False)
   (1, 139): (81.39410298049853, 406.97051490249265, False)
   (1, 140): (60.166435825965294, 300.8321791298265, False)
   (1, 141): (42.43819034784589, 212.19095173922943, False)
   (1, 142): (33.83784863137726, 169.1892431568863, False)
   (1, 143): (41.7612260356422, 208.80613017821102, False)
   (1, 144): (59.405386961116584, 297.0269348055829, False)
   (1, 145): (87.11486669908874, 435.5743334954437, False)
   (1, 146): (95.77055915050303, 478.85279575251514, False)
   (1, 147): (75.28612089887484, 376.4306044943742, False)
   (1, 148): (58.83026432033091, 294.15132160165456, False)
   (1, 149): (52.15361924162119, 260.768096208106, False)
   (1, 150): (58.69412236331676, 293.4706118165838, False)
   (1, 151): (75.07329751649384, 375.3664875824692, False)
   (1, 152): (40.607881008493905, 203.03940504246953, False)
   (1, 153): (93.94147114027967, 469.70735570139834, False)
   (1, 154): (93.55746896961247, 467.7873448480624, False)
   (1, 155): (81.32035415564789, 406.6017707782395, False)
   (1, 156): (80.60397012554654, 403.0198506277327, False)
   (1, 157): (62.03224967708329, 310.16124838541646, False)
   (1, 158): (45.09988913511872, 225.49944567559362, False)
   (1, 159): (64.62197768561404, 323.10988842807024, False)
   (1, 161): (80.52328855678958, 402.6164427839479, False)
   (1, 162): (69.00724599634447, 345.03622998172233, False)
   (1, 163): (50.59644256269407, 252.98221281347037, False)
   (1, 164): (30.0, 150.0, False)
   (1, 165): (6.324555320336759, 31.622776601683796, False)
   (1, 166): (27.85677655436824, 139.2838827718412, False)
   (1, 167): (42.05948168962618, 210.2974084481309, False)
   (1, 168): (75.18643494673756, 375.9321747336878, False)
   (2, 71): (72.17340230306452, 360.8670115153226, False)
   (2, 148): (96.88137075826292, 484.4068537913146, False)
   (2, 149): (70.09279563550022, 350.46397817750113, False)
   (2, 150): (43.657759905886145, 218.28879952943072, False)
   (2, 151): (19.1049731745428, 95.524865872714, False)
   (2, 152): (53.75872022286245, 268.79360111431225, False)
   (2, 155): (41.97618372363071, 209.88091861815354, False)
   (2, 157): (62.39390995922599, 311.9695497961299, False)
   (2, 161): (84.48076704197234, 422.4038352098617, False)
   (2, 162): (63.0, 315.0, False)
   (2, 163): (55.362442142665635, 276.81221071332817, False)
   (2, 164): (76.92203845452875, 384.61019227264376, False)
   (2, 165): (88.3911760301898, 441.955880150949, False)
   (2, 167): (85.44003745317531, 427.20018726587654, False)
   (3, 139): (37.12142238654117, 185.60711193270583, False)
   (3, 140): (38.948684188300895, 194.74342094150447, False)
   (3, 141): (53.31041174104736, 266.5520587052368, False)
   (3, 142): (74.14849964766651, 370.7424982383326, False)
   (3, 143): (96.13012014972206, 480.6506007486103, False)
   (3, 146): (91.0, 455.0, False)
   (3, 147): (96.56603957913983, 482.83019789569914, False)
   (3, 148): (108.78419002777932, 543.9209501388966, False)
   (3, 153): (5.0990195135927845, 25.495097567963924, False)
   (3, 154): (62.51399843235114, 312.5699921617557, False)
   (3, 156): (61.204574992397426, 306.0228749619871, False)
   (3, 158): (87.0, 435.0, False)
   (3, 159): (73.05477397131553, 365.2738698565776, False)
   (3, 165): (99.98499887483122, 499.9249943741561, False)
   (3, 166): (95.90099061010788, 479.5049530505394, False)
   (3, 168): (29.154759474226502, 145.7737973711325, False)
   (4, 140): (95.46203433826454, 477.3101716913227, False)
   (4, 141): (71.17583859709698, 355.8791929854849, False)
   (4, 142): (46.06517122512408, 230.32585612562042, False)
   (4, 143): (22.20360331117452, 111.01801655587259, False)
   (4, 144): (7.0710678118654755, 35.35533905932738, False)
   (4, 145): (35.35533905932738, 176.7766952966369, False)
   (4, 150): (107.22872749408155, 536.1436374704077, False)
   (4, 152): (85.14693182963201, 425.73465914816006, False)
   (4, 158): (28.160255680657446, 140.80127840328723, False)
   (4, 163): (71.30918594402827, 356.5459297201414, False)
   (4, 164): (53.0, 265.0, False)
   (4, 165): (65.30696746902278, 326.5348373451139, False)
   (4, 166): (33.60059523282288, 168.00297616411441, False)
   (4, 167): (41.23105625617661, 206.15528128088303, False)
   (4, 168): (108.78419002777932, 543.9209501388966, False)
   (5, 74): (66.70832032063167, 333.54160160315837, False)
   (5, 139): (14.0, 70.0, False)
   (5, 140): (31.827660925679098, 159.13830462839547, False)
   (5, 141): (54.91812087098393, 274.5906043549196, False)
   (5, 142): (79.64923100695951, 398.24615503479754, False)
   (5, 143): (103.75451797391764, 518.7725898695883, False)
   (5, 146): (40.11234224026316, 200.5617112013158, False)
   (5, 147): (47.885279575251516, 239.42639787625757, False)
   (5, 148): (66.60330322138685, 333.01651610693426, False)
   (5, 149): (89.69392398596462, 448.46961992982307, False)
   (5, 153): (46.17358552246078, 230.8679276123039, False)
   (5, 154): (15.556349186104045, 77.78174593052023, False)
   (5, 156): (10.198039027185569, 50.99019513592785, False)
   (5, 157): (100.12492197250393, 500.6246098625196, False)
   (5, 158): (98.2700361249552, 491.350180624776, False)
   (5, 159): (27.65863337187866, 138.2931668593933, False)
   (5, 160): (69.26037828369117, 346.30189141845585, False)
   (5, 161): (94.36630754670864, 471.8315377335432, False)
   (5, 162): (103.40696301506973, 517.0348150753487, False)
   (5, 165): (83.0, 415.0, False)
   (5, 166): (96.46242791885346, 482.3121395942673, False)
   (5, 168): (25.298221281347036, 126.49110640673518, False)
   (6, 139): (93.23089616645332, 466.1544808322666, False)
   (6, 140): (89.5377015563835, 447.68850778191745, False)
   (6, 141): (92.34717104492157, 461.7358552246078, False)
   (6, 142): (101.27191120937731, 506.35955604688655, False)
   (6, 146): (61.09828148156051, 305.49140740780257, False)
   (6, 147): (36.89173349139343, 184.45866745696716, False)
   (6, 148): (18.439088914585774, 92.19544457292886, False)
   (6, 149): (28.0178514522438, 140.089257261219, False)
   (6, 150): (51.92301994298868, 259.6150997149434, False)
   (6, 151): (77.92945527847606, 389.64727639238026, False)
   (6, 152): (63.245553203367585, 316.2277660168379, False)
   (6, 154): (82.61961026293939, 413.09805131469693, False)
   (6, 155): (50.99019513592785, 254.95097567963924, False)
   (6, 156): (73.53910524340094, 367.6955262170047, False)
   (6, 157): (29.614185789921695, 148.0709289496085, False)
   (6, 159): (55.0, 275.0, False)
   (6, 160): (60.40695324215582, 302.03476621077914, False)
   (6, 161): (12.206555615733702, 61.032778078668514, False)
   (6, 162): (28.0178514522438, 140.089257261219, False)
   (6, 163): (91.2633551870629, 456.31677593531447, False)
   (6, 164): (88.72992730753249, 443.64963653766245, False)
   (6, 165): (68.4470598345904, 342.235299172952, False)
   (6, 166): (101.01980003939822, 505.0990001969911, False)
   (6, 167): (105.11898020814318, 525.594901040716, False)
   (6, 168): (97.52948272189288, 487.64741360946437, False)
   (7, 76): (68.79680225126747, 343.98401125633734, False)
   (7, 139): (54.405882034941776, 272.02941017470886, False)
   (7, 140): (37.64306044943742, 188.2153022471871, False)
   (7, 141): (32.55764119219941, 162.78820596099706, False)
   (7, 142): (43.86342439892262, 219.3171219946131, False)
   (7, 143): (63.12685640834652, 315.6342820417326, False)
   (7, 144): (85.0411665018772, 425.205832509386, False)
   (7, 146): (66.85057965343307, 334.2528982671654, False)
   (7, 147): (49.4064773081425, 247.03238654071248, False)
   (7, 148): (42.04759208325728, 210.2379604162864, False)
   (7, 149): (50.60632371551998, 253.0316185775999, False)
   (7, 150): (69.42621983083913, 347.1310991541957, False)
   (7, 151): (92.43916918709297, 462.19584593546483, False)
   (7, 152): (59.09314681077663, 295.4657340538831, False)
   (7, 153): (73.7563556583431, 368.78177829171545, False)
   (7, 154): (63.63961030678928, 318.1980515339464, False)
   (7, 155): (87.20091742636656, 436.0045871318328, False)
   (7, 156): (50.635955604688654, 253.17977802344328, False)
   (7, 157): (62.26556030423239, 311.3278015211619, False)
   (7, 158): (61.91122676865643, 309.5561338432821, False)
   (7, 159): (34.88552708502482, 174.4276354251241, False)
   (7, 160): (88.61715409558128, 443.0857704779064, False)
   (7, 161): (70.57619995437555, 352.8809997718778, False)
   (7, 162): (67.97793759742936, 339.8896879871468, False)
   (7, 163): (77.41446893184762, 387.0723446592381, False)
   (7, 164): (59.53990258641679, 297.69951293208396, False)
   (7, 165): (31.064449134018133, 155.32224567009067, False)
   (7, 166): (51.73973328110612, 258.6986664055306, False)
