All relevant information about the map is below:

Total # of nodes: 194
# of robots: 66, robots_origin_location: {169: {48, 4}, 170: {16, 50, 51}, 171: {8, 17, 10, 44}, 172: {33, 18, 19, 22}, 173: {56, 11, 53}, 174: {15, 30, 6, 14}, 175: {24, 42, 27, 61}, 176: {35, 52, 21}, 177: {64, 65}, 178: set(), 179: {25}, 180: {60}, 181: {9, 2, 26, 63}, 182: {59, 5, 46}, 183: {32}, 184: {12, 62, 39}, 185: {41, 20}, 186: {57, 31}, 187: {1, 3, 38}, 188: {13, 23}, 189: {49, 43}, 190: {45, 47}, 191: {40, 58, 37, 55}, 192: {34, 54, 7}, 193: {66}, 194: {28, 29, 36}}
# of requests: 71, request_pairs: [(1, 72), (2, 73), (3, 74), (4, 75), (5, 76), (6, 77), (7, 78), (8, 79), (9, 80), (10, 81), (11, 82), (12, 83), (13, 84), (14, 85), (15, 86), (16, 87), (17, 88), (18, 89), (19, 90), (20, 91), (21, 92), (22, 93), (23, 94), (24, 95), (25, 96), (26, 97), (27, 98), (28, 99), (29, 100), (30, 101), (31, 102), (32, 103), (33, 104), (34, 105), (35, 106), (36, 107), (37, 108), (38, 109), (39, 110), (40, 111), (41, 112), (42, 113), (43, 114), (44, 115), (45, 116), (46, 117), (47, 118), (48, 119), (49, 120), (50, 121), (51, 122), (52, 123), (53, 124), (54, 125), (55, 126), (56, 127), (57, 128), (58, 129), (59, 130), (60, 131), (61, 132), (62, 133), (63, 134), (64, 135), (65, 136), (66, 137), (67, 138), (68, 139), (69, 140), (70, 141), (71, 142)]
# of depots: 26, depot nodes: [169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194]
# of service lines: 9
# of num transfers: 26, service lines mapping: {1: [143, 144, 145], 2: [146, 147, 148], 3: [149, 150, 151], 4: [152, 153, 154], 5: [155, 156, 157], 6: [158, 159, 160], 7: [161, 162, 163], 8: [164, 165, 166], 9: [167, 168]}
public transportation factor: 0.2
map_size: 194
outsourcing cost: 834
robots max travel time: 538
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 2
transfer service time: 2
request nodes time windows: {1: (3, 403), 2: (12, 412), 3: (244, 644), 4: (185, 585), 5: (0, 396), 6: (152, 552), 7: (193, 593), 8: (20, 420), 9: (228, 628), 10: (16, 416), 11: (210, 610), 12: (76, 476), 13: (104, 504), 14: (61, 461), 15: (116, 516), 16: (263, 663), 17: (248, 648), 18: (125, 525), 19: (282, 682), 20: (260, 660), 21: (268, 668), 22: (143, 543), 23: (133, 533), 24: (49, 449), 25: (216, 616), 26: (260, 660), 27: (53, 453), 28: (250, 650), 29: (192, 592), 30: (31, 431), 31: (119, 519), 32: (142, 542), 33: (170, 570), 34: (281, 681), 35: (123, 523), 36: (46, 446), 37: (102, 502), 38: (44, 444), 39: (248, 648), 40: (119, 519), 41: (165, 565), 42: (104, 504), 43: (213, 613), 44: (125, 525), 45: (3, 403), 46: (113, 513), 47: (47, 447), 48: (167, 567), 49: (215, 615), 50: (279, 679), 51: (22, 422), 52: (186, 586), 53: (9, 409), 54: (30, 430), 55: (46, 446), 56: (214, 614), 57: (11, 411), 58: (0, 397), 59: (253, 653), 60: (16, 416), 61: (212, 612), 62: (154, 554), 63: (65, 465), 64: (162, 562), 65: (252, 652), 66: (0, 399), 67: (106, 506), 68: (155, 555), 69: (103, 503), 70: (59, 459), 71: (152, 552), 72: (172, 572), 73: (53, 453), 74: (506, 906), 75: (369, 769), 76: (306, 706), 77: (341, 741), 78: (253, 653), 79: (407, 807), 80: (364, 764), 81: (258, 658), 82: (375, 775), 83: (385, 785), 84: (368, 768), 85: (458, 858), 86: (490, 890), 87: (504, 904), 88: (537, 937), 89: (293, 693), 90: (627, 1027), 91: (471, 871), 92: (425, 825), 93: (419, 819), 94: (213, 613), 95: (247, 647), 96: (600, 1000), 97: (528, 928), 98: (307, 707), 99: (643, 1043), 100: (449, 849), 101: (324, 724), 102: (265, 665), 103: (367, 767), 104: (440, 840), 105: (616, 1016), 106: (231, 631), 107: (435, 835), 108: (132, 532), 109: (172, 572), 110: (648, 1048), 111: (177, 577), 112: (306, 706), 113: (475, 875), 114: (530, 930), 115: (455, 855), 116: (218, 618), 117: (344, 744), 118: (281, 681), 119: (467, 867), 120: (608, 1008), 121: (534, 934), 122: (390, 790), 123: (543, 943), 124: (396, 796), 125: (266, 666), 126: (384, 784), 127: (594, 994), 128: (342, 742), 129: (269, 669), 130: (546, 946), 131: (394, 794), 132: (460, 860), 133: (245, 645), 134: (346, 746), 135: (403, 803), 136: (390, 790), 137: (126, 526), 138: (391, 791), 139: (439, 839), 140: (336, 736), 141: (323, 723), 142: (547, 947)}
transfer nodes departure time: {143: 1020, 144: 1039, 145: 1058, 146: 1548, 147: 1567, 148: 1587, 149: 589, 150: 607, 151: 626, 152: 975, 153: 990, 154: 1005, 155: 1385, 156: 1403, 157: 1421, 158: 226, 159: 241, 160: 257, 161: 814, 162: 827, 163: 843, 164: 1041, 165: 1057, 166: 1073, 167: 968, 168: 1003}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 72): (126.24579200908045, 631.2289600454022, False)
   (1, 143): (108.04165863221463, 540.2082931610731, False)
   (1, 144): (98.35141076771599, 491.75705383857996, False)
   (1, 145): (143.37712509323097, 716.8856254661548, False)
   (1, 146): (210.2974084481309, 1051.4870422406545, False)
   (1, 147): (174.1866814656046, 870.933407328023, False)
   (1, 148): (172.4905794529081, 862.4528972645405, False)
   (1, 149): (237.12443990445186, 1185.6221995222593, False)
   (1, 150): (162.92943257741985, 814.6471628870993, False)
   (1, 151): (96.6902270139025, 483.4511350695125, False)
   (1, 152): (112.04017136723775, 560.2008568361887, False)
   (1, 153): (108.16653826391968, 540.8326913195983, False)
   (1, 154): (135.69450983735487, 678.4725491867744, False)
   (1, 155): (56.32051136131489, 281.60255680657446, False)
   (1, 156): (121.46192819151193, 607.3096409575596, False)
   (1, 157): (195.50959055759898, 977.547952787995, False)
   (1, 158): (212.19095173922943, 1060.954758696147, False)
   (1, 159): (155.56991997169632, 777.8495998584816, False)
   (1, 160): (107.83784122468327, 539.1892061234164, False)
   (1, 161): (57.55866572463264, 287.7933286231632, False)
   (1, 162): (111.64676439557037, 558.2338219778519, False)
   (1, 163): (178.80995498014084, 894.0497749007043, False)
   (1, 164): (185.32673849177834, 926.6336924588917, False)
   (1, 165): (161.13658802394943, 805.6829401197472, False)
   (1, 166): (162.18816233005415, 810.9408116502708, False)
   (1, 167): (190.43634106966033, 952.1817053483016, False)
   (1, 168): (68.65857557508748, 343.2928778754374, False)
   (1, 169): (26.68332812825267, 133.41664064126334, False)
   (1, 170): (165.85837331892532, 829.2918665946265, False)
   (1, 171): (102.95630140987001, 514.78150704935, False)
   (1, 172): (214.0140182324513, 1070.0700911622564, False)
   (1, 173): (241.14933132812124, 1205.7466566406063, False)
   (1, 174): (126.14673994994877, 630.7336997497439, False)
   (1, 175): (88.23831367382311, 441.19156836911554, False)
   (1, 176): (161.91355718407277, 809.5677859203638, False)
   (1, 177): (194.51735141112732, 972.5867570556366, False)
   (1, 178): (197.3068675946177, 986.5343379730884, False)
   (1, 179): (151.02979838429235, 755.1489919214617, False)
   (1, 180): (53.03772242470448, 265.1886121235224, False)
   (1, 181): (217.70622407271685, 1088.5311203635843, False)
   (1, 182): (24.515301344262525, 122.57650672131263, False)
   (1, 183): (165.6804152578089, 828.4020762890445, False)
   (1, 184): (18.439088914585774, 92.19544457292886, False)
   (1, 185): (176.0113632695344, 880.056816347672, False)
   (1, 186): (212.3252222417299, 1061.6261112086495, False)
   (1, 187): (181.738823590338, 908.69411795169, False)
   (1, 188): (110.86027241532469, 554.3013620766235, False)
   (1, 189): (128.22246293064254, 641.1123146532127, False)
   (1, 190): (70.71067811865476, 353.5533905932738, False)
   (1, 191): (160.01562423713506, 800.0781211856753, False)
   (1, 192): (143.61058456812992, 718.0529228406497, False)
   (1, 193): (129.6919426949878, 648.459713474939, False)
   (1, 194): (151.11915828246265, 755.5957914123132, False)
   (2, 73): (18.027756377319946, 90.13878188659973, False)
   (2, 143): (139.26952286842948, 696.3476143421474, False)
   (2, 144): (73.824115301167, 369.120576505835, False)
   (2, 145): (66.24198064671678, 331.20990323358393, False)
   (2, 146): (182.0109886792553, 910.0549433962765, False)
   (2, 147): (119.03780911962384, 595.1890455981193, False)
   (2, 148): (91.00549433962765, 455.02747169813824, False)
   (2, 149): (200.26232796010336, 1001.3116398005168, False)
   (2, 150): (145.01379244747721, 725.0689622373861, False)
   (2, 151): (120.10828447696687, 600.5414223848344, False)
   (2, 152): (142.56226709757388, 712.8113354878694, False)
   (2, 153): (98.71676655968832, 493.5838327984416, False)
   (2, 154): (80.95677859203639, 404.7838929601819, False)
   (2, 155): (108.4665847162157, 542.3329235810785, False)
   (2, 156): (123.36936410632909, 616.8468205316454, False)
   (2, 157): (174.82848738120455, 874.1424369060228, False)
   (2, 158): (184.74306482247175, 923.7153241123588, False)
   (2, 159): (119.85407794480753, 599.2703897240376, False)
   (2, 160): (53.16013544000805, 265.80067720004024, False)
   (2, 161): (97.94896630388705, 489.74483151943525, False)
   (2, 162): (136.8575902169843, 684.2879510849216, False)
   (2, 163): (195.47889911701466, 977.3944955850733, False)
   (2, 164): (204.12006270820123, 1020.6003135410061, False)
   (2, 165): (153.9415473483361, 769.7077367416805, False)
   (2, 166): (120.16655108639841, 600.832755431992, False)
   (2, 167): (185.87361297397757, 929.3680648698878, False)
   (2, 168): (26.40075756488817, 132.00378782444085, False)
   (2, 169): (58.249463516842795, 291.247317584214, False)
   (2, 170): (137.46272221951665, 687.3136110975832, False)
   (2, 171): (56.43580423808985, 282.17902119044925, False)
   (2, 172): (176.78518037437414, 883.9259018718707, False)
   (2, 173): (198.15650380444242, 990.7825190222121, False)
   (2, 174): (140.2355161861645, 701.1775809308224, False)
   (2, 175): (80.05623023850174, 400.2811511925087, False)
   (2, 176): (163.36768346279504, 816.8384173139752, False)
   (2, 177): (151.53877391611692, 757.6938695805846, False)
   (2, 178): (163.04907236779974, 815.2453618389986, False)
   (2, 179): (105.34229919647663, 526.7114959823832, False)
   (2, 180): (100.20977996183805, 501.0488998091903, False)
   (2, 181): (183.8069639594757, 919.0348197973785, False)
