All relevant information about the map is below:

Total # of nodes: 169
# of robots: 67, robots_origin_location: {151: {58, 35, 36}, 152: {55}, 153: {54, 27, 30}, 154: {48, 34, 14, 47}, 155: {41, 67}, 156: {17, 28, 13, 38}, 157: {24, 25, 66, 57}, 158: {2, 29, 12, 20}, 159: {65, 5, 46, 23}, 160: {8, 64, 61}, 161: {33, 53, 6, 49}, 162: {1, 31, 60, 15}, 163: {32, 43, 3, 62}, 164: {19, 9, 11, 7}, 165: {16, 18, 56, 63}, 166: {50, 45, 4, 21}, 167: {40, 44, 52}, 168: {59, 26, 51, 39}, 169: {10, 42, 37, 22}}
# of requests: 71, request_pairs: [(1, 72), (2, 73), (3, 74), (4, 75), (5, 76), (6, 77), (7, 78), (8, 79), (9, 80), (10, 81), (11, 82), (12, 83), (13, 84), (14, 85), (15, 86), (16, 87), (17, 88), (18, 89), (19, 90), (20, 91), (21, 92), (22, 93), (23, 94), (24, 95), (25, 96), (26, 97), (27, 98), (28, 99), (29, 100), (30, 101), (31, 102), (32, 103), (33, 104), (34, 105), (35, 106), (36, 107), (37, 108), (38, 109), (39, 110), (40, 111), (41, 112), (42, 113), (43, 114), (44, 115), (45, 116), (46, 117), (47, 118), (48, 119), (49, 120), (50, 121), (51, 122), (52, 123), (53, 124), (54, 125), (55, 126), (56, 127), (57, 128), (58, 129), (59, 130), (60, 131), (61, 132), (62, 133), (63, 134), (64, 135), (65, 136), (66, 137), (67, 138), (68, 139), (69, 140), (70, 141), (71, 142)]
# of depots: 19, depot nodes: [151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169]
# of service lines: 1
# of num transfers: 8, service lines mapping: {1: [143, 144, 145, 146, 147, 148, 149, 150]}
public transportation factor: 0.8
map_size: 169
outsourcing cost: 4583
robots max travel time: 1000
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 3
transfer service time: 2
request nodes time windows: {1: (0, 376), 2: (42, 442), 3: (196, 596), 4: (75, 475), 5: (106, 506), 6: (69, 469), 7: (131, 531), 8: (172, 572), 9: (94, 494), 10: (6, 406), 11: (9, 409), 12: (0, 385), 13: (50, 450), 14: (13, 413), 15: (63, 463), 16: (159, 559), 17: (79, 479), 18: (0, 369), 19: (4, 404), 20: (108, 508), 21: (12, 412), 22: (103, 503), 23: (0, 387), 24: (87, 487), 25: (114, 514), 26: (122, 522), 27: (0, 373), 28: (51, 451), 29: (98, 498), 30: (99, 499), 31: (175, 575), 32: (0, 394), 33: (148, 548), 34: (24, 424), 35: (3, 403), 36: (150, 550), 37: (143, 543), 38: (200, 600), 39: (0, 392), 40: (138, 538), 41: (0, 389), 42: (13, 413), 43: (70, 470), 44: (149, 549), 45: (129, 529), 46: (219, 619), 47: (40, 440), 48: (102, 502), 49: (23, 423), 50: (194, 594), 51: (75, 475), 52: (32, 432), 53: (53, 453), 54: (17, 417), 55: (3, 403), 56: (28, 428), 57: (154, 554), 58: (77, 477), 59: (121, 521), 60: (0, 382), 61: (34, 434), 62: (106, 506), 63: (4, 404), 64: (77, 477), 65: (149, 549), 66: (179, 579), 67: (139, 539), 68: (199, 599), 69: (102, 502), 70: (182, 582), 71: (159, 559), 72: (251, 651), 73: (186, 586), 74: (375, 775), 75: (327, 727), 76: (187, 587), 77: (366, 766), 78: (301, 701), 79: (330, 730), 80: (446, 846), 81: (331, 731), 82: (258, 658), 83: (309, 709), 84: (373, 773), 85: (355, 755), 86: (229, 629), 87: (194, 594), 88: (459, 859), 89: (301, 701), 90: (212, 612), 91: (290, 690), 92: (179, 579), 93: (385, 785), 94: (311, 711), 95: (359, 759), 96: (438, 838), 97: (446, 846), 98: (145, 545), 99: (444, 844), 100: (260, 660), 101: (466, 866), 102: (270, 670), 103: (361, 761), 104: (389, 789), 105: (70, 470), 106: (202, 602), 107: (490, 890), 108: (330, 730), 109: (369, 769), 110: (118, 518), 111: (486, 886), 112: (308, 708), 113: (160, 560), 114: (173, 573), 115: (410, 810), 116: (373, 773), 117: (564, 964), 118: (120, 520), 119: (384, 784), 120: (362, 762), 121: (579, 979), 122: (401, 801), 123: (166, 566), 124: (197, 597), 125: (401, 801), 126: (341, 741), 127: (239, 639), 128: (408, 808), 129: (452, 852), 130: (265, 665), 131: (212, 612), 132: (338, 738), 133: (487, 887), 134: (320, 720), 135: (216, 616), 136: (406, 806), 137: (536, 936), 138: (457, 857), 139: (329, 729), 140: (285, 685), 141: (347, 747), 142: (342, 742)}
transfer nodes departure time: {143: 1243, 144: 1265, 145: 1287, 146: 1309, 147: 1331, 148: 1353, 149: 1375, 150: 1403}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 72): (80.06247560499239, 400.31237802496196, False)
   (1, 143): (155.0, 775.0, False)
   (1, 144): (130.60245020672468, 653.0122510336234, False)
   (1, 145): (105.60303025955268, 528.0151512977634, False)
   (1, 146): (80.60397012554654, 403.0198506277327, False)
   (1, 147): (55.60575509783138, 278.0287754891569, False)
   (1, 148): (30.610455730027933, 153.05227865013967, False)
   (1, 149): (5.656854249492381, 28.284271247461902, False)
   (1, 150): (25.80697580112788, 129.0348790056394, False)
   (1, 151): (80.15609770940699, 400.78048854703496, False)
   (1, 152): (132.7742444904131, 663.8712224520656, False)
   (1, 153): (13.601470508735444, 68.00735254367721, False)
   (1, 154): (128.08200498118384, 640.4100249059193, False)
   (1, 155): (35.34119409414458, 176.70597047072292, False)
   (1, 156): (121.03718436910205, 605.1859218455103, False)
   (1, 157): (108.90362712049586, 544.5181356024793, False)
   (1, 158): (58.240879114244144, 291.20439557122074, False)
   (1, 159): (64.1404708432983, 320.7023542164915, False)
   (1, 160): (73.06161783043132, 365.3080891521566, False)
   (1, 161): (101.39033484509261, 506.9516742254631, False)
   (1, 162): (123.98790263570072, 619.9395131785036, False)
   (1, 163): (80.39900496896712, 401.9950248448356, False)
   (1, 164): (50.93132631298737, 254.65663156493687, False)
   (1, 165): (90.02777349240623, 450.13886746203116, False)
   (1, 166): (32.2490309931942, 161.24515496597098, False)
   (1, 167): (110.65260954898443, 553.2630477449221, False)
   (1, 168): (23.853720883753127, 119.26860441876563, False)
   (1, 169): (82.3286098510111, 411.6430492550555, False)
   (2, 73): (61.220911460055866, 306.10455730027934, False)
   (2, 143): (153.16004700965587, 765.8002350482793, False)
   (2, 144): (139.20488497175666, 696.0244248587833, False)
   (2, 145): (128.96898852049665, 644.8449426024832, False)
   (2, 146): (123.03657992645927, 615.1828996322963, False)
   (2, 147): (122.03687967167957, 610.1843983583979, False)
   (2, 148): (126.08727136392476, 630.4363568196238, False)
   (2, 149): (134.73306943731373, 673.6653471865686, False)
   (2, 150): (151.0132444522665, 755.0662222613324, False)
   (2, 151): (62.609903369994115, 313.0495168499706, False)
   (2, 152): (50.35871324805669, 251.79356624028344, False)
   (2, 153): (132.3782459469833, 661.8912297349165, False)
   (2, 154): (217.90364843205356, 1089.5182421602678, False)
   (2, 155): (110.72488428533127, 553.6244214266563, False)
   (2, 156): (217.91970998512272, 1089.5985499256135, False)
   (2, 157): (29.410882339705484, 147.05441169852742, False)
   (2, 158): (143.6697602141801, 718.3488010709004, False)
   (2, 159): (81.61494961096282, 408.0747480548141, False)
   (2, 160): (164.02743672934722, 820.137183646736, False)
   (2, 161): (74.06078584514209, 370.3039292257105, False)
   (2, 162): (127.9531164137865, 639.7655820689325, False)
   (2, 163): (64.00781202322104, 320.0390601161052, False)
   (2, 164): (99.72462083156798, 498.62310415783986, False)
   (2, 165): (63.7808748764079, 318.9043743820395, False)
   (2, 166): (169.07099100673656, 845.3549550336828, False)
   (2, 167): (181.8378398463862, 909.1891992319311, False)
   (2, 168): (156.32018423735306, 781.6009211867653, False)
   (2, 169): (105.38026380684383, 526.9013190342191, False)
   (3, 74): (28.792360097775937, 143.96180048887967, False)
   (3, 143): (117.38824472663352, 586.9412236331676, False)
   (3, 144): (96.08329719571451, 480.41648597857255, False)
   (3, 145): (76.79192665899195, 383.95963329495976, False)
   (3, 146): (61.741396161732524, 308.7069808086626, False)
   (3, 147): (54.56189146281496, 272.8094573140748, False)
   (3, 148): (58.240879114244144, 291.20439557122074, False)
   (3, 149): (71.11258679024411, 355.56293395122054, False)
   (3, 150): (94.5568612000208, 472.78430600010404, False)
   (3, 151): (5.830951894845301, 29.154759474226502, False)
   (3, 152): (58.18934610390462, 290.9467305195231, False)
   (3, 153): (74.04052944165107, 370.20264720825537, False)
   (3, 154): (153.3883959105121, 766.9419795525605, False)
   (3, 155): (43.56604182158393, 217.83020910791964, False)
   (3, 156): (152.04275714416653, 760.2137857208327, False)
   (3, 157): (39.66106403010388, 198.3053201505194, False)
   (3, 158): (76.05918747922567, 380.29593739612835, False)
   (3, 159): (45.617978911828175, 228.08989455914087, False)
   (3, 160): (97.0, 485.0, False)
   (3, 161): (35.510561809129406, 177.55280904564702, False)
   (3, 162): (85.28774824088158, 426.4387412044079, False)
   (3, 163): (5.0, 25.0, False)
   (3, 164): (57.38466694161429, 286.9233347080715, False)
   (3, 165): (17.029386365926403, 85.14693182963201, False)
   (3, 166): (107.67079455451233, 538.3539727725616, False)
   (3, 167): (119.8874472161285, 599.4372360806425, False)
   (3, 168): (97.29337079164233, 486.4668539582117, False)
   (3, 169): (46.57252408878007, 232.86262044390037, False)
   (4, 75): (115.37764081484765, 576.8882040742383, False)
