All relevant information about the map is below:

Total # of nodes: 195
# of robots: 66, robots_origin_location: {163: {50, 59}, 164: {1, 33}, 165: {65, 66}, 166: {40, 63}, 167: {56, 7}, 168: {9, 42}, 169: {60, 61}, 170: {51, 28}, 171: {35, 23}, 172: {26, 47}, 173: {49, 10}, 174: {17, 36}, 175: {2, 11}, 176: {8, 44}, 177: {25, 45}, 178: {18, 30}, 179: {37, 54}, 180: {52, 55}, 181: {4, 53}, 182: {22, 15}, 183: {48, 43}, 184: {5, 46}, 185: {21, 39}, 186: {19, 31}, 187: {3, 29}, 188: {57, 58}, 189: {41, 6}, 190: {32, 27}, 191: {24, 38}, 192: {16, 34}, 193: {64, 62}, 194: {20, 14}, 195: {12, 13}}
# of requests: 72, request_pairs: [(1, 73), (2, 74), (3, 75), (4, 76), (5, 77), (6, 78), (7, 79), (8, 80), (9, 81), (10, 82), (11, 83), (12, 84), (13, 85), (14, 86), (15, 87), (16, 88), (17, 89), (18, 90), (19, 91), (20, 92), (21, 93), (22, 94), (23, 95), (24, 96), (25, 97), (26, 98), (27, 99), (28, 100), (29, 101), (30, 102), (31, 103), (32, 104), (33, 105), (34, 106), (35, 107), (36, 108), (37, 109), (38, 110), (39, 111), (40, 112), (41, 113), (42, 114), (43, 115), (44, 116), (45, 117), (46, 118), (47, 119), (48, 120), (49, 121), (50, 122), (51, 123), (52, 124), (53, 125), (54, 126), (55, 127), (56, 128), (57, 129), (58, 130), (59, 131), (60, 132), (61, 133), (62, 134), (63, 135), (64, 136), (65, 137), (66, 138), (67, 139), (68, 140), (69, 141), (70, 142), (71, 143), (72, 144)]
# of depots: 33, depot nodes: [163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195]
# of service lines: 7
# of num transfers: 18, service lines mapping: {1: [145, 146, 147], 2: [148, 149, 150], 3: [151, 152, 153], 4: [154, 155, 156], 5: [157, 158, 159], 6: [160, 161, 162], 7: []}
public transportation factor: 0.2
map_size: 195
outsourcing cost: 7916
robots max travel time: 439
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 2
depot service time: 2
transfer capacity: 7
transfer service time: 2
request nodes time windows: {1: (267, 667), 2: (281, 681), 3: (229, 629), 4: (260, 660), 5: (129, 529), 6: (127, 527), 7: (191, 591), 8: (25, 425), 9: (28, 428), 10: (117, 517), 11: (202, 602), 12: (23, 423), 13: (191, 591), 14: (273, 673), 15: (80, 480), 16: (57, 457), 17: (259, 659), 18: (78, 478), 19: (57, 457), 20: (74, 474), 21: (63, 463), 22: (105, 505), 23: (56, 456), 24: (112, 512), 25: (23, 423), 26: (248, 648), 27: (145, 545), 28: (252, 652), 29: (177, 577), 30: (187, 587), 31: (166, 566), 32: (280, 680), 33: (151, 551), 34: (50, 450), 35: (264, 664), 36: (188, 588), 37: (1, 401), 38: (254, 654), 39: (52, 452), 40: (240, 640), 41: (28, 428), 42: (91, 491), 43: (142, 542), 44: (65, 465), 45: (215, 615), 46: (93, 493), 47: (12, 412), 48: (253, 653), 49: (277, 677), 50: (191, 591), 51: (200, 600), 52: (86, 486), 53: (5, 405), 54: (125, 525), 55: (210, 610), 56: (223, 623), 57: (245, 645), 58: (180, 580), 59: (115, 515), 60: (139, 539), 61: (174, 574), 62: (81, 481), 63: (70, 470), 64: (211, 611), 65: (245, 645), 66: (285, 685), 67: (175, 575), 68: (40, 440), 69: (242, 642), 70: (82, 482), 71: (159, 559), 72: (271, 671), 73: (578, 978), 74: (635, 1035), 75: (606, 1006), 76: (575, 975), 77: (411, 811), 78: (369, 769), 79: (524, 924), 80: (171, 571), 81: (278, 678), 82: (481, 881), 83: (376, 776), 84: (122, 522), 85: (410, 810), 86: (380, 780), 87: (326, 726), 88: (333, 733), 89: (497, 897), 90: (251, 651), 91: (135, 535), 92: (272, 672), 93: (220, 620), 94: (421, 821), 95: (232, 632), 96: (506, 906), 97: (423, 823), 98: (633, 1033), 99: (473, 873), 100: (648, 1048), 101: (405, 805), 102: (576, 976), 103: (485, 885), 104: (662, 1062), 105: (217, 617), 106: (200, 600), 107: (354, 754), 108: (400, 800), 109: (268, 668), 110: (627, 1027), 111: (404, 804), 112: (386, 786), 113: (169, 569), 114: (443, 843), 115: (496, 896), 116: (215, 615), 117: (503, 903), 118: (294, 694), 119: (236, 636), 120: (461, 861), 121: (532, 932), 122: (573, 973), 123: (475, 875), 124: (448, 848), 125: (404, 804), 126: (426, 826), 127: (438, 838), 128: (411, 811), 129: (521, 921), 130: (546, 946), 131: (444, 844), 132: (461, 861), 133: (323, 723), 134: (416, 816), 135: (393, 793), 136: (432, 832), 137: (410, 810), 138: (416, 816), 139: (392, 792), 140: (205, 605), 141: (299, 699), 142: (439, 839), 143: (533, 933), 144: (571, 971)}
transfer nodes departure time: {145: 1466, 146: 1482, 147: 1499, 148: 460, 149: 479, 150: 498, 151: 145, 152: 167, 153: 189, 154: 25, 155: 47, 156: 69, 157: 1120, 158: 1139, 159: 1159, 160: 958, 161: 980, 162: 1002}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 73): (208.85641000457707, 1044.2820500228854, False)
   (1, 145): (196.468827043885, 982.344135219425, False)
   (1, 146): (130.23056476879765, 651.1528238439882, False)
   (1, 147): (63.51377803280167, 317.56889016400834, False)
   (1, 148): (160.01562423713506, 800.0781211856753, False)
   (1, 149): (109.20164833920778, 546.0082416960389, False)
   (1, 150): (106.02358228243375, 530.1179114121687, False)
   (1, 157): (173.7728402253931, 868.8642011269656, False)
   (1, 158): (90.80198235721508, 454.0099117860754, False)
   (1, 159): (22.80350850198276, 114.0175425099138, False)
   (1, 160): (154.02921800749363, 770.1460900374682, False)
   (1, 161): (69.85699678629192, 349.2849839314596, False)
   (1, 162): (64.88451279003334, 324.4225639501667, False)
   (1, 163): (100.84641788382967, 504.23208941914834, False)
   (1, 164): (146.37281168304446, 731.8640584152223, False)
   (1, 165): (218.16049138191818, 1090.802456909591, False)
   (1, 166): (130.080744155313, 650.403720776565, False)
   (1, 167): (149.64624953536256, 748.2312476768128, False)
   (1, 168): (103.16006979447037, 515.8003489723519, False)
   (1, 169): (64.35060217278468, 321.75301086392335, False)
   (1, 170): (76.16429609731846, 380.8214804865923, False)
   (1, 171): (167.2423391369542, 836.211695684771, False)
   (1, 172): (29.274562336608895, 146.37281168304446, False)
   (1, 173): (170.65169205138284, 853.2584602569142, False)
   (1, 174): (116.67476162392619, 583.3738081196309, False)
   (1, 175): (138.4088147481944, 692.044073740972, False)
   (1, 176): (157.15279189374905, 785.7639594687453, False)
   (1, 177): (157.62296786953354, 788.1148393476677, False)
   (1, 178): (86.02325267042627, 430.11626335213134, False)
   (1, 179): (186.02419197512995, 930.1209598756498, False)
   (1, 180): (145.34441853748632, 726.7220926874315, False)
   (1, 181): (154.74172029546526, 773.7086014773263, False)
   (1, 182): (117.88977903109328, 589.4488951554664, False)
   (1, 183): (101.40019723846694, 507.0009861923347, False)
   (1, 184): (128.81770064707723, 644.0885032353862, False)
   (1, 185): (147.29901561110313, 736.4950780555157, False)
   (1, 186): (181.1767093199344, 905.883546599672, False)
   (1, 187): (177.00282483621552, 885.0141241810776, False)
   (1, 188): (69.85699678629192, 349.2849839314596, False)
   (1, 189): (109.65856099730654, 548.2928049865327, False)
   (1, 190): (177.72169254201918, 888.6084627100959, False)
   (1, 191): (64.07807737440318, 320.3903868720159, False)
   (1, 192): (151.75308893067054, 758.7654446533527, False)
   (1, 193): (50.47771785649585, 252.38858928247924, False)
   (1, 194): (150.98675438593943, 754.9337719296972, False)
   (1, 195): (72.3671196055225, 361.8355980276125, False)
   (2, 74): (58.0, 290.0, False)
   (2, 145): (90.52071586106685, 452.6035793053342, False)
   (2, 146): (65.7419196555744, 328.70959827787203, False)
   (2, 147): (99.29753269845128, 496.4876634922564, False)
   (2, 149): (113.52973178863765, 567.6486589431883, False)
   (2, 150): (55.54277630799526, 277.7138815399763, False)
   (2, 157): (103.81233067415451, 519.0616533707725, False)
   (2, 158): (93.1933474020544, 465.966737010272, False)
   (2, 159): (144.75496537252184, 723.7748268626092, False)
   (2, 160): (173.4041521994211, 867.0207609971055, False)
   (2, 161): (119.03780911962384, 595.1890455981193, False)
   (2, 162): (128.76334882255898, 643.8167441127949, False)
   (2, 163): (111.08555261599052, 555.4277630799526, False)
   (2, 164): (149.04026301640775, 745.2013150820387, False)
   (2, 165): (79.62411694957753, 398.1205847478876, False)
   (2, 166): (125.23977004130916, 626.1988502065458, False)
   (2, 167): (134.84806264830058, 674.2403132415029, False)
   (2, 168): (61.220911460055866, 306.10455730027934, False)
   (2, 169): (98.35141076771599, 491.75705383857996, False)
   (2, 170): (142.28492541376264, 711.4246270688132, False)
   (2, 171): (78.587530817554, 392.93765408777, False)
   (2, 172): (172.23530416264836, 861.1765208132418, False)
   (2, 173): (32.984845004941285, 164.92422502470643, False)
   (2, 174): (66.94027188471824, 334.7013594235912, False)
   (2, 175): (69.8927750200262, 349.463875100131, False)
   (2, 176): (86.46964785403026, 432.3482392701513, False)
   (2, 177): (92.65527507918802, 463.2763753959401, False)
   (2, 178): (97.04638066409278, 485.2319033204639, False)
   (2, 179): (86.53900854527974, 432.6950427263987, False)
   (2, 180): (175.30829986055994, 876.5414993027997, False)
   (2, 181): (145.4269576110289, 727.1347880551446, False)
   (2, 182): (85.44003745317531, 427.20018726587654, False)
   (2, 183): (87.13208364316786, 435.6604182158393, False)
   (2, 184): (55.71355310873648, 278.5677655436824, False)
   (2, 185): (31.064449134018133, 155.32224567009067, False)
   (2, 186): (22.20360331117452, 111.01801655587259, False)
   (2, 187): (84.11896337925236, 420.5948168962618, False)
   (2, 188): (126.15070352558483, 630.7535176279241, False)
   (2, 189): (66.85057965343307, 334.2528982671654, False)
   (2, 190): (70.77428911688199, 353.8714455844099, False)
   (2, 191): (97.50897394599124, 487.5448697299562, False)
   (2, 192): (44.10215414239989, 220.51077071199944, False)
   (2, 193): (121.59769734661919, 607.9884867330959, False)
   (2, 194): (67.17886572427373, 335.8943286213687, False)
   (2, 195): (111.07204868912791, 555.3602434456395, False)
   (3, 75): (184.45866745696716, 922.2933372848358, False)
   (3, 145): (153.88307249337075, 769.4153624668537, False)
