All relevant information about the map is below:

Total # of nodes: 169
# of robots: 67, robots_origin_location: {152: {15}, 153: {65, 35, 11, 50, 27}, 154: {29, 58, 13, 23}, 155: {43, 60, 30}, 156: {32, 41, 42, 19, 25}, 157: {66, 67}, 158: {6, 40, 18, 62, 31}, 159: {48, 49, 54, 39}, 160: {34, 9, 10, 12, 21}, 161: {24, 33, 52}, 162: {8, 22}, 163: {56, 3, 38, 63}, 164: {64, 36, 37, 45, 61}, 165: {26, 20, 46}, 166: {16, 2}, 167: {1, 14, 51, 53, 57}, 168: {4, 47, 44, 7}, 169: {5, 17, 55, 59, 28}}
# of requests: 72, request_pairs: [(1, 73), (2, 74), (3, 75), (4, 76), (5, 77), (6, 78), (7, 79), (8, 80), (9, 81), (10, 82), (11, 83), (12, 84), (13, 85), (14, 86), (15, 87), (16, 88), (17, 89), (18, 90), (19, 91), (20, 92), (21, 93), (22, 94), (23, 95), (24, 96), (25, 97), (26, 98), (27, 99), (28, 100), (29, 101), (30, 102), (31, 103), (32, 104), (33, 105), (34, 106), (35, 107), (36, 108), (37, 109), (38, 110), (39, 111), (40, 112), (41, 113), (42, 114), (43, 115), (44, 116), (45, 117), (46, 118), (47, 119), (48, 120), (49, 121), (50, 122), (51, 123), (52, 124), (53, 125), (54, 126), (55, 127), (56, 128), (57, 129), (58, 130), (59, 131), (60, 132), (61, 133), (62, 134), (63, 135), (64, 136), (65, 137), (66, 138), (67, 139), (68, 140), (69, 141), (70, 142), (71, 143), (72, 144)]
# of depots: 18, depot nodes: [152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169]
# of service lines: 3
# of num transfers: 7, service lines mapping: {1: [145, 146, 147], 2: [148, 149, 150], 3: [151]}
public transportation factor: 0.0
map_size: 169
outsourcing cost: 1667
robots max travel time: 802
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 5
depot service time: 2
transfer capacity: 0
transfer service time: 2
request nodes time windows: {1: (59, 459), 2: (47, 447), 3: (150, 550), 4: (79, 479), 5: (131, 531), 6: (143, 543), 7: (122, 522), 8: (91, 491), 9: (200, 600), 10: (166, 566), 11: (153, 553), 12: (79, 479), 13: (158, 558), 14: (30, 430), 15: (201, 601), 16: (0, 375), 17: (222, 622), 18: (0, 393), 19: (190, 590), 20: (147, 547), 21: (147, 547), 22: (72, 472), 23: (0, 400), 24: (153, 553), 25: (202, 602), 26: (43, 443), 27: (106, 506), 28: (219, 619), 29: (142, 542), 30: (148, 548), 31: (53, 453), 32: (145, 545), 33: (52, 452), 34: (52, 452), 35: (95, 495), 36: (9, 409), 37: (0, 377), 38: (100, 500), 39: (120, 520), 40: (0, 378), 41: (178, 578), 42: (199, 599), 43: (139, 539), 44: (11, 411), 45: (190, 590), 46: (118, 518), 47: (83, 483), 48: (161, 561), 49: (183, 583), 50: (0, 399), 51: (0, 388), 52: (41, 441), 53: (93, 493), 54: (69, 469), 55: (69, 469), 56: (93, 493), 57: (29, 429), 58: (116, 516), 59: (213, 613), 60: (0, 369), 61: (146, 546), 62: (139, 539), 63: (141, 541), 64: (44, 444), 65: (0, 380), 66: (0, 380), 67: (108, 508), 68: (183, 583), 69: (92, 492), 70: (144, 544), 71: (178, 578), 72: (200, 600), 73: (402, 802), 74: (366, 766), 75: (420, 820), 76: (178, 578), 77: (261, 661), 78: (267, 667), 79: (445, 845), 80: (273, 673), 81: (544, 944), 82: (516, 916), 83: (551, 951), 84: (302, 702), 85: (318, 718), 86: (408, 808), 87: (328, 728), 88: (268, 668), 89: (539, 939), 90: (148, 548), 91: (487, 887), 92: (357, 757), 93: (483, 883), 94: (317, 717), 95: (166, 566), 96: (548, 948), 97: (539, 939), 98: (148, 548), 99: (162, 562), 100: (526, 926), 101: (382, 782), 102: (403, 803), 103: (391, 791), 104: (473, 873), 105: (224, 624), 106: (262, 662), 107: (429, 829), 108: (197, 597), 109: (328, 728), 110: (329, 729), 111: (350, 750), 112: (277, 677), 113: (514, 914), 114: (364, 764), 115: (336, 736), 116: (322, 722), 117: (472, 872), 118: (441, 841), 119: (481, 881), 120: (340, 740), 121: (385, 785), 122: (349, 749), 123: (262, 662), 124: (253, 653), 125: (247, 647), 126: (309, 709), 127: (424, 824), 128: (436, 836), 129: (373, 773), 130: (516, 916), 131: (558, 958), 132: (186, 586), 133: (521, 921), 134: (389, 789), 135: (369, 769), 136: (76, 476), 137: (161, 561), 138: (293, 693), 139: (441, 841), 140: (418, 818), 141: (362, 762), 142: (327, 727), 143: (468, 868), 144: (469, 869)}
transfer nodes departure time: {145: 497, 146: 499, 147: 501, 148: 301, 149: 303, 150: 305, 151: 480}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 73): (38.8329756778952, 194.164878389476, False)
   (1, 145): (171.72361514946044, 858.6180757473022, False)
   (1, 146): (115.96551211459379, 579.827560572969, False)
   (1, 147): (73.49829930005184, 367.4914965002592, False)
   (1, 148): (154.0194792875239, 770.0973964376194, False)
   (1, 149): (137.48090776540573, 687.4045388270287, False)
   (1, 150): (152.43359209832983, 762.1679604916492, False)
   (1, 151): (137.00364958642524, 685.0182479321262, False)
   (1, 152): (124.35433245367851, 621.7716622683926, False)
   (1, 153): (92.44457799135652, 462.22288995678264, False)
   (1, 154): (84.8999411071645, 424.4997055358225, False)
   (1, 155): (79.90619500389191, 399.53097501945956, False)
   (1, 156): (104.06248123122954, 520.3124061561477, False)
   (1, 157): (55.758407437802596, 278.792037189013, False)
   (1, 158): (164.50227961946302, 822.5113980973151, False)
   (1, 159): (8.06225774829855, 40.311288741492746, False)
   (1, 160): (135.07035203922436, 675.3517601961219, False)
   (1, 161): (118.51160280748886, 592.5580140374443, False)
   (1, 162): (153.32644912082193, 766.6322456041097, False)
   (1, 163): (78.10889834071403, 390.5444917035702, False)
   (1, 164): (50.53711507397311, 252.68557536986555, False)
   (1, 165): (102.18121158021175, 510.9060579010588, False)
   (1, 166): (97.71898484941399, 488.5949242470699, False)
   (1, 167): (152.7939789389621, 763.9698946948106, False)
   (1, 168): (53.25410782277739, 266.27053911388697, False)
   (1, 169): (122.00409829181969, 610.0204914590985, False)
   (2, 74): (147.46185947559457, 737.3092973779728, False)
   (2, 145): (80.0812087820857, 400.4060439104285, False)
   (2, 146): (34.92849839314596, 174.6424919657298, False)
   (2, 147): (65.19202405202648, 325.9601202601324, False)
   (2, 148): (173.11845655504212, 865.5922827752106, False)
   (2, 149): (110.60289327137876, 553.0144663568938, False)
   (2, 150): (55.71355310873648, 278.5677655436824, False)
   (2, 151): (134.1118935814419, 670.5594679072095, False)
   (2, 152): (10.770329614269007, 53.85164807134504, False)
   (2, 153): (140.57738082636197, 702.8869041318098, False)
   (2, 154): (52.952809179494906, 264.76404589747455, False)
   (2, 155): (58.249463516842795, 291.247317584214, False)
   (2, 156): (37.05401462729781, 185.27007313648906, False)
   (2, 157): (77.02596964660685, 385.1298482330343, False)
   (2, 158): (69.92138442565336, 349.6069221282668, False)
   (2, 159): (136.1800279042415, 680.9001395212076, False)
   (2, 160): (73.53910524340094, 367.6955262170047, False)
   (2, 161): (17.0, 85.0, False)
   (2, 162): (134.31678971744373, 671.5839485872186, False)
   (2, 163): (58.728187440104094, 293.64093720052045, False)
   (2, 164): (138.91724155050014, 694.5862077525007, False)
   (2, 165): (138.74076545846214, 693.7038272923107, False)
   (2, 166): (43.41658669218482, 217.0829334609241, False)
   (2, 167): (37.12142238654117, 185.60711193270583, False)
   (2, 168): (162.50538452617502, 812.5269226308751, False)
   (2, 169): (153.37861650177967, 766.8930825088984, False)
   (3, 75): (115.95257651298655, 579.7628825649327, False)
   (3, 145): (55.54277630799526, 277.7138815399763, False)
   (3, 146): (24.698178070456937, 123.49089035228468, False)
   (3, 147): (79.62411694957753, 398.1205847478876, False)
   (3, 149): (90.4267659490264, 452.133829745132, False)
   (3, 150): (31.016124838541646, 155.08062419270823, False)
   (3, 151): (115.55085460523432, 577.7542730261716, False)
   (3, 152): (33.37663853655727, 166.88319268278636, False)
   (3, 153): (130.01538370516005, 650.0769185258002, False)
   (3, 154): (54.20332093147061, 271.016604657353, False)
   (3, 155): (59.405386961116584, 297.0269348055829, False)
   (3, 156): (35.0, 175.0, False)
   (3, 157): (84.17244204607586, 420.8622102303793, False)
   (3, 158): (45.35416188179427, 226.77080940897133, False)
   (3, 159): (143.58621103713267, 717.9310551856634, False)
   (3, 160): (51.86520991955976, 259.32604959779883, False)
   (3, 161): (38.01315561749642, 190.0657780874821, False)
   (3, 162): (113.44161493913951, 567.2080746956975, False)
   (3, 163): (72.91776189653656, 364.5888094826828, False)
   (3, 164): (136.01470508735443, 680.0735254367721, False)
   (3, 165): (126.3210196285638, 631.605098142819, False)
   (3, 166): (62.16912416947821, 310.84562084739105, False)
   (3, 167): (15.231546211727817, 76.15773105863909, False)
   (3, 168): (161.00310556011024, 805.0155278005512, False)
   (3, 169): (138.6542462386205, 693.2712311931025, False)
   (4, 76): (17.26267650163207, 86.31338250816034, False)
   (4, 145): (195.41238445912276, 977.0619222956138, False)
   (4, 146): (146.16771189288008, 730.8385594644004, False)
   (4, 147): (111.6288493177279, 558.1442465886395, False)
   (4, 148): (149.0, 745.0, False)
   (4, 149): (149.83324063771698, 749.1662031885849, False)
   (4, 150): (179.13402803487674, 895.6701401743837, False)
   (4, 151): (142.1724305201258, 710.862152600629, False)
   (4, 152): (159.89058759038946, 799.4529379519473, False)
