All relevant information about the map is below:

Total # of nodes: 197
# of robots: 70, robots_origin_location: {173: {20, 61, 47}, 174: {9, 6, 25}, 175: {57, 58, 67}, 176: {34, 50}, 177: {24, 18, 12}, 178: {36, 70}, 179: {43, 4, 38}, 180: {5, 46, 55}, 181: {35, 11, 30}, 182: {8, 32, 28}, 183: {17, 10, 59}, 184: {49, 27, 29}, 185: {44, 21, 22}, 186: {64, 31, 7}, 187: {40, 56, 63}, 188: {19, 37, 39}, 189: {48, 1, 14}, 190: set(), 191: {51, 60, 62}, 192: {65, 66, 23}, 193: {33, 26, 3}, 194: {42, 52, 15}, 195: {69, 68, 13}, 196: {53, 45, 54}, 197: {16, 41, 2}}
# of requests: 73, request_pairs: [(1, 74), (2, 75), (3, 76), (4, 77), (5, 78), (6, 79), (7, 80), (8, 81), (9, 82), (10, 83), (11, 84), (12, 85), (13, 86), (14, 87), (15, 88), (16, 89), (17, 90), (18, 91), (19, 92), (20, 93), (21, 94), (22, 95), (23, 96), (24, 97), (25, 98), (26, 99), (27, 100), (28, 101), (29, 102), (30, 103), (31, 104), (32, 105), (33, 106), (34, 107), (35, 108), (36, 109), (37, 110), (38, 111), (39, 112), (40, 113), (41, 114), (42, 115), (43, 116), (44, 117), (45, 118), (46, 119), (47, 120), (48, 121), (49, 122), (50, 123), (51, 124), (52, 125), (53, 126), (54, 127), (55, 128), (56, 129), (57, 130), (58, 131), (59, 132), (60, 133), (61, 134), (62, 135), (63, 136), (64, 137), (65, 138), (66, 139), (67, 140), (68, 141), (69, 142), (70, 143), (71, 144), (72, 145), (73, 146)]
# of depots: 25, depot nodes: [173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197]
# of service lines: 8
# of num transfers: 26, service lines mapping: {1: [147, 148, 149, 150], 2: [151, 152, 153, 154], 3: [155, 156, 157, 158], 4: [159, 160, 161, 162], 5: [163, 164, 165, 166], 6: [167, 168, 169, 170], 7: [171, 172], 8: []}
public transportation factor: 0.4
map_size: 197
outsourcing cost: 2500
robots max travel time: 76
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 7
transfer service time: 2
request nodes time windows: {1: (154, 554), 2: (231, 631), 3: (60, 460), 4: (185, 585), 5: (270, 670), 6: (252, 652), 7: (275, 675), 8: (204, 604), 9: (107, 507), 10: (4, 404), 11: (113, 513), 12: (54, 454), 13: (14, 414), 14: (146, 546), 15: (19, 419), 16: (290, 690), 17: (117, 517), 18: (63, 463), 19: (5, 405), 20: (188, 588), 21: (2, 402), 22: (125, 525), 23: (105, 505), 24: (212, 612), 25: (57, 457), 26: (208, 608), 27: (19, 419), 28: (283, 683), 29: (34, 434), 30: (285, 685), 31: (157, 557), 32: (154, 554), 33: (71, 471), 34: (204, 604), 35: (107, 507), 36: (252, 652), 37: (108, 508), 38: (231, 631), 39: (267, 667), 40: (211, 611), 41: (5, 405), 42: (32, 432), 43: (47, 447), 44: (290, 690), 45: (181, 581), 46: (32, 432), 47: (64, 464), 48: (224, 624), 49: (239, 639), 50: (132, 532), 51: (69, 469), 52: (146, 546), 53: (22, 422), 54: (184, 584), 55: (151, 551), 56: (263, 663), 57: (121, 521), 58: (68, 468), 59: (158, 558), 60: (129, 529), 61: (124, 524), 62: (10, 410), 63: (288, 688), 64: (0, 398), 65: (19, 419), 66: (158, 558), 67: (245, 645), 68: (55, 455), 69: (73, 473), 70: (226, 626), 71: (29, 429), 72: (220, 620), 73: (36, 436), 74: (448, 848), 75: (353, 753), 76: (273, 673), 77: (355, 755), 78: (393, 793), 79: (472, 872), 80: (568, 968), 81: (552, 952), 82: (429, 829), 83: (254, 654), 84: (483, 883), 85: (171, 571), 86: (361, 761), 87: (297, 697), 88: (407, 807), 89: (362, 762), 90: (390, 790), 91: (448, 848), 92: (278, 678), 93: (407, 807), 94: (288, 688), 95: (245, 645), 96: (324, 724), 97: (387, 787), 98: (143, 543), 99: (366, 766), 100: (216, 616), 101: (318, 718), 102: (180, 580), 103: (362, 762), 104: (371, 771), 105: (388, 788), 106: (310, 710), 107: (511, 911), 108: (288, 688), 109: (424, 824), 110: (282, 682), 111: (497, 897), 112: (608, 1008), 113: (589, 989), 114: (154, 554), 115: (302, 702), 116: (354, 754), 117: (438, 838), 118: (487, 887), 119: (380, 780), 120: (449, 849), 121: (607, 1007), 122: (524, 924), 123: (250, 650), 124: (237, 637), 125: (379, 779), 126: (149, 549), 127: (451, 851), 128: (370, 770), 129: (539, 939), 130: (345, 745), 131: (369, 769), 132: (476, 876), 133: (375, 775), 134: (457, 857), 135: (244, 644), 136: (549, 949), 137: (194, 594), 138: (366, 766), 139: (492, 892), 140: (602, 1002), 141: (283, 683), 142: (277, 677), 143: (535, 935), 144: (128, 528), 145: (378, 778), 146: (100, 500)}
transfer nodes departure time: {147: 892, 148: 917, 149: 942, 150: 968, 151: 110, 152: 132, 153: 154, 154: 176, 155: 101, 156: 122, 157: 143, 158: 167, 159: 879, 160: 900, 161: 921, 162: 943, 163: 569, 164: 588, 165: 607, 166: 628, 167: 728, 168: 753, 169: 778, 170: 804, 171: 903, 172: 978}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 147): (25.632011235952593, 128.16005617976296, False)
   (1, 148): (73.35529974037323, 366.7764987018661, False)
   (1, 159): (46.04345773288535, 230.21728866442675, False)
   (1, 160): (71.58910531638176, 357.9455265819088, False)
   (1, 183): (8.54400374531753, 42.720018726587654, False)
   (1, 184): (58.077534382926416, 290.38767191463205, False)
   (1, 187): (44.40720662234904, 222.03603311174518, False)
   (2, 75): (60.92618484691127, 304.63092423455635, False)
   (2, 149): (71.5122367151245, 357.5611835756225, False)
   (2, 150): (64.4980619863884, 322.49030993194197, False)
   (2, 161): (72.91776189653656, 364.5888094826828, False)
   (2, 162): (39.6232255123179, 198.1161275615895, False)
   (2, 164): (70.03570517957252, 350.1785258978626, False)
   (2, 165): (36.05551275463989, 180.27756377319946, False)
   (2, 166): (38.3275357934736, 191.637678967368, False)
   (2, 169): (40.24922359499622, 201.24611797498108, False)
   (2, 170): (29.732137494637012, 148.66068747318505, False)
   (2, 188): (49.72926703662542, 248.64633518312712, False)
   (2, 189): (51.31276644267, 256.56383221335, False)
   (2, 190): (66.76076692189807, 333.8038346094903, False)
   (2, 192): (46.486557196677836, 232.43278598338918, False)
   (2, 194): (39.84971769034255, 199.24858845171275, False)
   (2, 195): (64.19501538281614, 320.97507691408066, False)
   (2, 196): (46.010868281309364, 230.05434140654683, False)
   (2, 197): (57.55866572463264, 287.7933286231632, False)
   (3, 76): (69.28924880528002, 346.4462440264001, False)
   (3, 161): (71.17583859709698, 355.8791929854849, False)
   (3, 162): (57.87054518492115, 289.35272592460575, False)
   (3, 165): (62.20128616033595, 311.00643080167976, False)
   (3, 166): (63.953107821277925, 319.7655391063896, False)
   (3, 168): (75.15317691222374, 375.7658845611187, False)
   (3, 169): (35.73513677041127, 178.67568385205635, False)
   (3, 170): (59.20304046246274, 296.0152023123137, False)
   (3, 182): (65.5133574166368, 327.56678708318395, False)
   (3, 188): (65.11528238439882, 325.5764119219941, False)
   (3, 189): (69.05070600652827, 345.2535300326414, False)
   (3, 190): (65.11528238439882, 325.5764119219941, False)
   (3, 192): (48.82622246293481, 244.13111231467406, False)
   (3, 194): (13.601470508735444, 68.00735254367721, False)
   (3, 196): (17.4928556845359, 87.4642784226795, False)
   (4, 77): (35.0, 175.0, False)
   (4, 148): (60.29925372672534, 301.4962686336267, False)
   (4, 159): (74.51845409024533, 372.5922704512266, False)
   (4, 160): (41.7612260356422, 208.80613017821102, False)
   (4, 161): (45.27692569068709, 226.38462845343543, False)
   (4, 167): (63.12685640834652, 315.6342820417326, False)
   (4, 168): (6.324555320336759, 31.622776601683796, False)
   (4, 169): (51.0, 255.0, False)
   (4, 177): (60.40695324215582, 302.03476621077914, False)
   (4, 178): (25.298221281347036, 126.49110640673518, False)
   (4, 179): (53.46026561849464, 267.30132809247317, False)
   (4, 180): (68.60029154456998, 343.0014577228499, False)
   (4, 181): (46.09772228646444, 230.4886114323222, False)
   (4, 182): (20.09975124224178, 100.4987562112089, False)
   (4, 184): (71.69379331573968, 358.4689665786984, False)
   (4, 191): (64.77653896280658, 323.8826948140329, False)
   (4, 193): (57.706152185014034, 288.5307609250702, False)
   (4, 194): (57.4543296888929, 287.2716484444645, False)
   (4, 196): (72.18032973047436, 360.90164865237176, False)
   (5, 189): (68.01470429252781, 340.07352146263906, False)
   (5, 190): (28.460498941515414, 142.30249470757707, False)
   (5, 192): (37.013511046643494, 185.06755523321746, False)
   (5, 194): (67.97793759742936, 339.8896879871468, False)
   (5, 196): (49.39635614091387, 246.98178070456936, False)
   (6, 172): (16.0312195418814, 80.15609770940699, False)
   (6, 173): (10.770329614269007, 53.85164807134504, False)
   (6, 180): (32.449961479175904, 162.24980739587951, False)
   (6, 181): (71.5122367151245, 357.5611835756225, False)
   (6, 182): (67.68308503607086, 338.4154251803543, False)
   (6, 191): (23.08679276123039, 115.43396380615195, False)
   (7, 80): (45.5411901469428, 227.705950734714, False)
   (7, 167): (36.6742416417845, 183.3712082089225, False)
   (7, 168): (53.907327887774215, 269.5366394388711, False)
   (7, 172): (66.48308055437865, 332.41540277189324, False)
   (7, 173): (66.40030120413611, 332.00150602068055, False)
   (7, 177): (19.72308292331602, 98.6154146165801, False)
   (7, 178): (37.013511046643494, 185.06755523321746, False)
   (7, 179): (30.59411708155671, 152.97058540778355, False)
   (7, 180): (25.059928172283335, 125.29964086141668, False)
   (7, 181): (18.681541692269406, 93.40770846134703, False)
   (7, 182): (48.104053883222775, 240.52026941611388, False)
   (7, 184): (74.52516353554684, 372.6258176777342, False)
   (7, 191): (45.803929962395145, 229.01964981197574, False)
   (7, 193): (29.732137494637012, 148.66068747318505, False)
   (8, 147): (40.19950248448356, 200.9975124224178, False)
   (8, 148): (67.08203932499369, 335.4101966249684, False)
   (8, 159): (18.24828759089466, 91.2414379544733, False)
   (8, 160): (43.174066289845804, 215.870331449229, False)
   (8, 167): (35.17101079013795, 175.85505395068975, False)
   (8, 168): (57.688820407423826, 288.44410203711914, False)
   (8, 177): (50.08991914547278, 250.44959572736389, False)
   (8, 178): (48.41487374764082, 242.0743687382041, False)
   (8, 179): (37.013511046643494, 185.06755523321746, False)
   (8, 181): (50.44799302251776, 252.23996511258878, False)
   (8, 182): (72.13875518748573, 360.69377593742865, False)
   (8, 183): (56.568542494923804, 282.842712474619, False)
   (8, 184): (10.0, 50.0, False)
   (8, 187): (22.825424421026653, 114.12712210513327, False)
   (8, 193): (39.11521443121589, 195.57607215607945, False)
   (9, 154): (64.53681120105021, 322.6840560052511, False)
   (9, 161): (59.033888572581766, 295.16944286290885, False)
   (9, 162): (60.0, 300.0, False)
   (9, 165): (69.81403870282824, 349.07019351414124, False)
   (9, 168): (55.90169943749474, 279.5084971874737, False)
   (9, 169): (27.892651361962706, 139.46325680981352, False)
   (9, 170): (71.17583859709698, 355.8791929854849, False)
   (9, 172): (73.40980860893181, 367.0490430446591, False)
   (9, 178): (70.60453243241541, 353.02266216207704, False)
   (9, 182): (46.52956049652737, 232.64780248263685, False)
   (9, 188): (64.41273166075166, 322.0636583037583, False)
   (9, 191): (65.45991139621256, 327.2995569810628, False)
   (9, 192): (67.7421582177598, 338.71079108879894, False)
   (9, 194): (5.830951894845301, 29.154759474226502, False)
   (9, 196): (23.769728648009426, 118.84864324004712, False)
   (10, 148): (68.06614430096654, 340.3307215048327, False)
   (10, 149): (18.439088914585774, 92.19544457292886, False)
   (10, 150): (51.478150704935004, 257.390753524675, False)
   (10, 161): (52.009614495783374, 260.0480724789169, False)
   (10, 162): (42.42640687119285, 212.13203435596427, False)
   (10, 163): (32.526911934581186, 162.63455967290594, False)
   (10, 164): (12.041594578792296, 60.20797289396148, False)
   (10, 165): (53.23532661682466, 266.1766330841233, False)
   (10, 169): (67.06713054842886, 335.3356527421443, False)
   (10, 170): (70.32780389006896, 351.6390194503448, False)
   (10, 171): (59.36328831862332, 296.81644159311656, False)
   (10, 174): (18.439088914585774, 92.19544457292886, False)
   (10, 175): (50.039984012787215, 250.19992006393608, False)
   (10, 176): (23.345235059857504, 116.72617529928752, False)
   (10, 185): (26.476404589747453, 132.38202294873727, False)
   (10, 186): (53.075418038862395, 265.37709019431196, False)
   (10, 188): (33.0, 165.0, False)
   (10, 195): (24.758836806279895, 123.79418403139948, False)
   (10, 197): (31.89043743820395, 159.45218719101976, False)
   (11, 149): (30.805843601498726, 154.02921800749363, False)
   (11, 150): (43.18564576337837, 215.92822881689185, False)
   (11, 161): (64.89992295835181, 324.49961479175903, False)
   (11, 162): (46.52956049652737, 232.64780248263685, False)
   (11, 163): (40.70626487409524, 203.5313243704762, False)
   (11, 164): (20.0, 100.0, False)
   (11, 165): (52.392747589718944, 261.9637379485947, False)
   (11, 170): (68.62215385719105, 343.11076928595526, False)
   (11, 171): (68.94200461257273, 344.7100230628637, False)
   (11, 174): (10.04987562112089, 50.24937810560445, False)
   (11, 175): (37.05401462729781, 185.27007313648906, False)
   (11, 176): (36.0, 180.0, False)
   (11, 185): (13.038404810405298, 65.1920240520265, False)
   (11, 186): (60.21627686929839, 301.081384346492, False)
   (11, 188): (39.21734310225516, 196.08671551127577, False)
   (11, 195): (21.587033144922902, 107.9351657246145, False)
   (11, 197): (29.120439557122072, 145.60219778561037, False)
   (12, 147): (62.5859409132754, 312.929704566377, False)
   (12, 152): (48.104053883222775, 240.52026941611388, False)
   (12, 153): (31.064449134018133, 155.32224567009067, False)
   (12, 154): (67.26812023536856, 336.34060117684277, False)
   (12, 156): (27.202941017470888, 136.01470508735443, False)
   (12, 157): (25.0, 125.0, False)
   (12, 158): (75.58438992278762, 377.9219496139381, False)
   (12, 159): (39.6232255123179, 198.1161275615895, False)
   (12, 160): (60.53924347066124, 302.6962173533062, False)
   (12, 167): (13.038404810405298, 65.1920240520265, False)
   (12, 168): (59.033888572581766, 295.16944286290885, False)
   (12, 177): (29.832867780352597, 149.164338901763, False)
   (12, 178): (43.46262762420146, 217.31313812100728, False)
   (12, 179): (19.4164878389476, 97.082439194738, False)
   (12, 180): (73.92563831310488, 369.6281915655244, False)
   (12, 181): (35.608987629529715, 178.04493814764857, False)
   (12, 182): (68.4470598345904, 342.235299172952, False)
