All relevant information about the map is below:

Total # of nodes: 188
# of robots: 77, robots_origin_location: {175: {14, 18, 19, 50, 21, 22, 23}, 176: {12, 45, 39}, 177: {35, 72, 76, 77, 55, 57, 30}, 178: {68, 6, 7}, 179: {1, 4, 71, 20, 54, 24, 62}, 180: {43, 44, 13, 17, 52, 59, 31}, 181: {32, 33, 65, 48, 56, 60}, 182: {64, 66, 36, 75, 29}, 183: {51, 69}, 184: {9, 74, 3, 70}, 185: {34, 38, 42, 47, 49, 53, 27}, 186: {5, 73, 10, 11, 61}, 187: {2, 67, 37, 46, 15, 16, 26}, 188: {8, 40, 41, 25, 58, 28, 63}}
# of requests: 73, request_pairs: [(1, 74), (2, 75), (3, 76), (4, 77), (5, 78), (6, 79), (7, 80), (8, 81), (9, 82), (10, 83), (11, 84), (12, 85), (13, 86), (14, 87), (15, 88), (16, 89), (17, 90), (18, 91), (19, 92), (20, 93), (21, 94), (22, 95), (23, 96), (24, 97), (25, 98), (26, 99), (27, 100), (28, 101), (29, 102), (30, 103), (31, 104), (32, 105), (33, 106), (34, 107), (35, 108), (36, 109), (37, 110), (38, 111), (39, 112), (40, 113), (41, 114), (42, 115), (43, 116), (44, 117), (45, 118), (46, 119), (47, 120), (48, 121), (49, 122), (50, 123), (51, 124), (52, 125), (53, 126), (54, 127), (55, 128), (56, 129), (57, 130), (58, 131), (59, 132), (60, 133), (61, 134), (62, 135), (63, 136), (64, 137), (65, 138), (66, 139), (67, 140), (68, 141), (69, 142), (70, 143), (71, 144), (72, 145), (73, 146)]
# of depots: 14, depot nodes: [175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188]
# of service lines: 9
# of num transfers: 28, service lines mapping: {1: [147, 148, 149, 150], 2: [151, 152, 153, 154], 3: [155, 156, 157, 158], 4: [159, 160, 161, 162], 5: [163, 164, 165, 166], 6: [167, 168, 169, 170], 7: [171, 172, 173, 174], 8: [], 9: []}
public transportation factor: 0.6
map_size: 188
outsourcing cost: 3334
robots max travel time: 142
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 7
depot service time: 2
transfer capacity: 5
transfer service time: 2
request nodes time windows: {1: (148, 548), 2: (1, 401), 3: (211, 611), 4: (33, 433), 5: (173, 573), 6: (258, 658), 7: (229, 629), 8: (124, 524), 9: (106, 506), 10: (0, 394), 11: (86, 486), 12: (70, 470), 13: (14, 414), 14: (110, 510), 15: (95, 495), 16: (120, 520), 17: (233, 633), 18: (218, 618), 19: (195, 595), 20: (125, 525), 21: (70, 470), 22: (35, 435), 23: (62, 462), 24: (112, 512), 25: (24, 424), 26: (203, 603), 27: (4, 404), 28: (17, 417), 29: (150, 550), 30: (0, 389), 31: (71, 471), 32: (255, 655), 33: (190, 590), 34: (198, 598), 35: (242, 642), 36: (173, 573), 37: (121, 521), 38: (29, 429), 39: (1, 401), 40: (138, 538), 41: (48, 448), 42: (12, 412), 43: (70, 470), 44: (186, 586), 45: (258, 658), 46: (57, 457), 47: (260, 660), 48: (48, 448), 49: (77, 477), 50: (204, 604), 51: (13, 413), 52: (188, 588), 53: (66, 466), 54: (0, 397), 55: (134, 534), 56: (200, 600), 57: (78, 478), 58: (59, 459), 59: (159, 559), 60: (59, 459), 61: (226, 626), 62: (21, 421), 63: (174, 574), 64: (69, 469), 65: (264, 664), 66: (220, 620), 67: (23, 423), 68: (210, 610), 69: (61, 461), 70: (112, 512), 71: (216, 616), 72: (132, 532), 73: (17, 417), 74: (308, 708), 75: (79, 479), 76: (429, 829), 77: (412, 812), 78: (415, 815), 79: (499, 899), 80: (462, 862), 81: (518, 918), 82: (344, 744), 83: (258, 658), 84: (350, 750), 85: (335, 735), 86: (343, 743), 87: (449, 849), 88: (285, 685), 89: (329, 729), 90: (361, 761), 91: (297, 697), 92: (592, 992), 93: (401, 801), 94: (144, 544), 95: (202, 602), 96: (427, 827), 97: (493, 893), 98: (165, 565), 99: (551, 951), 100: (384, 784), 101: (417, 817), 102: (455, 855), 103: (100, 500), 104: (220, 620), 105: (369, 769), 106: (381, 781), 107: (429, 829), 108: (457, 857), 109: (317, 717), 110: (439, 839), 111: (149, 549), 112: (340, 740), 113: (299, 699), 114: (392, 792), 115: (230, 630), 116: (157, 557), 117: (419, 819), 118: (641, 1041), 119: (191, 591), 120: (435, 835), 121: (388, 788), 122: (394, 794), 123: (314, 714), 124: (189, 589), 125: (539, 939), 126: (212, 612), 127: (146, 546), 128: (407, 807), 129: (398, 798), 130: (303, 703), 131: (219, 619), 132: (338, 738), 133: (166, 566), 134: (420, 820), 135: (201, 601), 136: (493, 893), 137: (367, 767), 138: (595, 995), 139: (615, 1015), 140: (285, 685), 141: (494, 894), 142: (412, 812), 143: (346, 746), 144: (338, 738), 145: (493, 893), 146: (176, 576)}
transfer nodes departure time: {147: 405, 148: 440, 149: 475, 150: 511, 151: 1388, 152: 1420, 153: 1452, 154: 1485, 155: 722, 156: 752, 157: 782, 158: 815, 159: 1501, 160: 1531, 161: 1561, 162: 1592, 163: 820, 164: 852, 165: 885, 166: 918, 167: 1423, 168: 1451, 169: 1479, 170: 1508, 171: 892, 172: 927, 173: 962, 174: 999}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 74): (135.0148140020198, 675.0740700100989, False)
   (1, 147): (133.41664064126334, 667.0832032063167, False)
   (1, 148): (79.30952023559341, 396.54760117796707, False)
   (1, 149): (25.632011235952593, 128.16005617976296, False)
   (1, 150): (30.4138126514911, 152.0690632574555, False)
   (1, 151): (125.89678312014172, 629.4839156007085, False)
   (1, 152): (83.72574275573791, 418.62871377868953, False)
   (1, 153): (55.90169943749474, 279.5084971874737, False)
   (1, 154): (66.03029607687671, 330.15148038438355, False)
   (1, 155): (47.43416490252569, 237.17082451262843, False)
   (1, 156): (50.00999900019995, 250.04999500099973, False)
   (1, 157): (83.72574275573791, 418.62871377868953, False)
   (1, 158): (130.38404810405297, 651.9202405202648, False)
   (1, 159): (60.440052945046304, 302.20026472523153, False)
   (1, 160): (43.04648650006177, 215.23243250030885, False)
   (1, 161): (65.11528238439882, 325.5764119219941, False)
   (1, 162): (105.30906893520614, 526.5453446760307, False)
   (1, 163): (46.238512086787566, 231.19256043393784, False)
   (1, 164): (19.697715603592208, 98.48857801796103, False)
   (1, 165): (59.941638282582836, 299.7081914129142, False)
   (1, 166): (109.40292500660117, 547.0146250330058, False)
   (1, 168): (112.0044641967453, 560.0223209837266, False)
   (1, 169): (73.05477397131553, 365.2738698565776, False)
   (1, 170): (41.0, 205.0, False)
   (1, 171): (60.108235708594876, 300.54117854297436, False)
   (1, 172): (70.06425622241343, 350.32128111206714, False)
   (1, 173): (109.5673308974897, 547.8366544874485, False)
   (1, 175): (98.12746812182611, 490.63734060913055, False)
   (1, 176): (48.507731342539614, 242.53865671269807, False)
   (1, 177): (56.22277118748239, 281.1138559374119, False)
   (1, 178): (70.21395872616783, 351.0697936308392, False)
   (1, 179): (26.570660511172846, 132.85330255586422, False)
   (1, 180): (93.64827814754524, 468.2413907377262, False)
   (1, 181): (136.12494260788506, 680.6247130394253, False)
   (1, 182): (104.1393297462587, 520.6966487312935, False)
   (1, 183): (138.74076545846214, 693.7038272923107, False)
   (1, 184): (42.04759208325728, 210.2379604162864, False)
   (1, 185): (116.51609330903607, 582.5804665451803, False)
   (1, 186): (102.06860437960343, 510.3430218980171, False)
   (1, 187): (128.03515142334936, 640.1757571167468, False)
   (1, 188): (46.75467891024384, 233.7733945512192, False)
   (2, 75): (46.69047011971501, 233.45235059857504, False)
   (2, 147): (132.09844813622905, 660.4922406811453, False)
   (2, 148): (78.23042886243178, 391.1521443121589, False)
   (2, 149): (26.248809496813376, 131.24404748406687, False)
   (2, 150): (34.132096331752024, 170.66048165876012, False)
   (2, 151): (118.06777714516353, 590.3388857258177, False)
   (2, 152): (79.12016177940993, 395.60080889704966, False)
   (2, 153): (59.64059020499378, 298.2029510249689, False)
   (2, 154): (77.52418977325722, 387.6209488662861, False)
   (2, 155): (34.40930106817051, 172.04650534085255, False)
   (2, 156): (44.64302857109943, 223.21514285549713, False)
   (2, 157): (84.02380615040002, 420.11903075200007, False)
   (2, 158): (133.00375934536586, 665.0187967268294, False)
   (2, 159): (47.50789408087881, 237.53947040439408, False)
   (2, 160): (37.107950630558946, 185.53975315279473, False)
   (2, 161): (68.60029154456998, 343.0014577228499, False)
   (2, 162): (111.89280584559492, 559.4640292279746, False)
   (2, 163): (40.0, 200.0, False)
   (2, 164): (11.40175425099138, 57.0087712549569, False)
   (2, 165): (60.30754513325841, 301.53772566629203, False)
   (2, 166): (111.07204868912791, 555.3602434456395, False)
   (2, 168): (112.2007130102122, 561.003565051061, False)
   (2, 169): (71.19691004531025, 355.9845502265512, False)
   (2, 170): (33.06055050963308, 165.30275254816542, False)
   (2, 171): (47.4236228055175, 237.11811402758752, False)
   (2, 172): (64.53681120105021, 322.6840560052511, False)
   (2, 173): (109.0, 545.0, False)
   (2, 175): (92.39588735436226, 461.97943677181127, False)
   (2, 176): (58.69412236331676, 293.4706118165838, False)
   (2, 177): (49.36598018878993, 246.82990094394967, False)
   (2, 178): (59.464274989274024, 297.3213749463701, False)
   (2, 179): (39.395431207184416, 196.97715603592206, False)
   (2, 180): (104.0768946500615, 520.3844732503076, False)
   (2, 182): (113.86395390991831, 569.3197695495916, False)
   (2, 183): (129.71121771072848, 648.5560885536424, False)
   (2, 184): (53.23532661682466, 266.1766330841233, False)
   (2, 185): (121.2023102090055, 606.0115510450275, False)
   (2, 186): (104.80458005259122, 524.0229002629561, False)
   (2, 187): (131.13733259449805, 655.6866629724902, False)
   (2, 188): (51.884487084291386, 259.42243542145695, False)
   (3, 76): (52.392747589718944, 261.9637379485947, False)
   (3, 147): (97.25224933131366, 486.26124665656835, False)
   (3, 148): (85.0881895447306, 425.440947723653, False)
   (3, 149): (104.80935072788114, 524.0467536394057, False)
   (3, 151): (29.732137494637012, 148.66068747318505, False)
   (3, 152): (62.76941930590086, 313.8470965295043, False)
   (3, 153): (109.71326264403953, 548.5663132201977, False)
   (3, 155): (88.09086218218096, 440.4543109109048, False)
   (3, 156): (78.49203781276162, 392.4601890638081, False)
   (3, 157): (93.91485505499116, 469.5742752749558, False)
   (3, 158): (130.11533345459327, 650.5766672729663, False)
   (3, 159): (77.10382610480494, 385.5191305240247, False)
   (3, 160): (82.85529554590944, 414.2764777295472, False)
