All relevant information about the map is below:

Total # of nodes: 174
# of robots: 71, robots_origin_location: {165: {64, 3, 36, 38, 8, 44, 14, 19, 51}, 166: {32, 2, 15, 18, 21, 26, 61, 62, 31}, 167: {33, 35, 70, 71, 9, 54, 57, 60}, 168: {13, 7}, 169: {34, 68, 6, 16, 52, 53, 24}, 170: {65, 66, 37, 69, 41, 10, 46, 25, 27}, 171: {4, 40, 43, 47, 48, 55, 29}, 172: {11, 12, 50, 20, 56, 59}, 173: {1, 5, 42, 45, 17, 23, 58, 30, 63}, 174: {67, 39, 49, 22, 28}}
# of requests: 74, request_pairs: [(1, 75), (2, 76), (3, 77), (4, 78), (5, 79), (6, 80), (7, 81), (8, 82), (9, 83), (10, 84), (11, 85), (12, 86), (13, 87), (14, 88), (15, 89), (16, 90), (17, 91), (18, 92), (19, 93), (20, 94), (21, 95), (22, 96), (23, 97), (24, 98), (25, 99), (26, 100), (27, 101), (28, 102), (29, 103), (30, 104), (31, 105), (32, 106), (33, 107), (34, 108), (35, 109), (36, 110), (37, 111), (38, 112), (39, 113), (40, 114), (41, 115), (42, 116), (43, 117), (44, 118), (45, 119), (46, 120), (47, 121), (48, 122), (49, 123), (50, 124), (51, 125), (52, 126), (53, 127), (54, 128), (55, 129), (56, 130), (57, 131), (58, 132), (59, 133), (60, 134), (61, 135), (62, 136), (63, 137), (64, 138), (65, 139), (66, 140), (67, 141), (68, 142), (69, 143), (70, 144), (71, 145), (72, 146), (73, 147), (74, 148)]
# of depots: 10, depot nodes: [165, 166, 167, 168, 169, 170, 171, 172, 173, 174]
# of service lines: 2
# of num transfers: 16, service lines mapping: {1: [149, 150, 151, 152, 153, 154, 155, 156], 2: [157, 158, 159, 160, 161, 162, 163, 164]}
public transportation factor: 0.8
map_size: 174
outsourcing cost: 7500
robots max travel time: 10
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 9
depot service time: 2
transfer capacity: 10
transfer service time: 2
request nodes time windows: {1: (163, 563), 2: (196, 596), 3: (179, 579), 4: (232, 632), 5: (48, 448), 6: (44, 444), 7: (1, 401), 8: (213, 613), 9: (161, 561), 10: (188, 588), 11: (0, 397), 12: (175, 575), 13: (60, 460), 14: (234, 634), 15: (0, 398), 16: (189, 589), 17: (214, 614), 18: (158, 558), 19: (55, 455), 20: (102, 502), 21: (100, 500), 22: (197, 597), 23: (38, 438), 24: (89, 489), 25: (222, 622), 26: (29, 429), 27: (33, 433), 28: (0, 392), 29: (19, 419), 30: (160, 560), 31: (106, 506), 32: (51, 451), 33: (131, 531), 34: (220, 620), 35: (202, 602), 36: (135, 535), 37: (34, 434), 38: (87, 487), 39: (105, 505), 40: (97, 497), 41: (193, 593), 42: (138, 538), 43: (184, 584), 44: (102, 502), 45: (55, 455), 46: (121, 521), 47: (116, 516), 48: (96, 496), 49: (1, 401), 50: (131, 531), 51: (0, 382), 52: (209, 609), 53: (85, 485), 54: (23, 423), 55: (47, 447), 56: (0, 381), 57: (111, 511), 58: (169, 569), 59: (203, 603), 60: (163, 563), 61: (119, 519), 62: (204, 604), 63: (93, 493), 64: (127, 527), 65: (216, 616), 66: (43, 443), 67: (82, 482), 68: (233, 633), 69: (148, 548), 70: (72, 472), 71: (12, 412), 72: (234, 634), 73: (229, 629), 74: (204, 604), 75: (406, 806), 76: (468, 868), 77: (433, 833), 78: (404, 804), 79: (282, 682), 80: (243, 643), 81: (364, 764), 82: (594, 994), 83: (423, 823), 84: (453, 853), 85: (306, 706), 86: (267, 667), 87: (260, 660), 88: (510, 910), 89: (291, 691), 90: (524, 924), 91: (429, 829), 92: (431, 831), 93: (172, 572), 94: (262, 662), 95: (297, 697), 96: (520, 920), 97: (404, 804), 98: (232, 632), 99: (463, 863), 100: (164, 564), 101: (365, 765), 102: (250, 650), 103: (168, 568), 104: (547, 947), 105: (366, 766), 106: (291, 691), 107: (346, 746), 108: (442, 842), 109: (569, 969), 110: (265, 665), 111: (344, 744), 112: (296, 696), 113: (344, 744), 114: (270, 670), 115: (561, 961), 116: (419, 819), 117: (532, 932), 118: (241, 641), 119: (296, 696), 120: (470, 870), 121: (231, 631), 122: (165, 565), 123: (355, 755), 124: (497, 897), 125: (190, 590), 126: (535, 935), 127: (404, 804), 128: (323, 723), 129: (357, 757), 130: (304, 704), 131: (449, 849), 132: (238, 638), 133: (414, 814), 134: (329, 729), 135: (443, 843), 136: (601, 1001), 137: (424, 824), 138: (480, 880), 139: (363, 763), 140: (226, 626), 141: (402, 802), 142: (429, 829), 143: (529, 929), 144: (175, 575), 145: (207, 607), 146: (452, 852), 147: (486, 886), 148: (387, 787)}
transfer nodes departure time: {149: 229, 150: 244, 151: 259, 152: 274, 153: 289, 154: 304, 155: 319, 156: 334, 157: 693, 158: 709, 159: 725, 160: 741, 161: 757, 162: 773, 163: 789, 164: 805}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (12, 168): (5.385164807134504, 26.92582403567252, False)
   (14, 171): (5.830951894845301, 29.154759474226502, False)
   (16, 156): (8.602325267042627, 43.01162633521314, False)
   (17, 151): (5.830951894845301, 29.154759474226502, False)
   (20, 171): (3.0, 15.0, False)
   (22, 167): (6.082762530298219, 30.413812651491096, False)
   (41, 171): (9.848857801796104, 49.244289008980516, False)
   (49, 152): (10.0, 50.0, False)
   (60, 163): (6.708203932499369, 33.54101966249685, False)
   (61, 170): (9.219544457292887, 46.09772228646443, False)
   (62, 162): (7.211102550927978, 36.05551275463989, False)
   (62, 174): (5.385164807134504, 26.92582403567252, False)
   (63, 166): (6.324555320336759, 31.622776601683796, False)
   (67, 153): (7.0, 35.0, False)
   (67, 154): (9.219544457292887, 46.09772228646443, False)
   (69, 155): (6.082762530298219, 30.413812651491096, False)
   (77, 171): (8.94427190999916, 44.721359549995796, False)
   (81, 158): (3.605551275463989, 18.027756377319946, False)
   (82, 172): (9.219544457292887, 46.09772228646443, False)
   (83, 162): (9.0, 45.0, False)
   (84, 158): (10.0, 50.0, False)
   (87, 170): (5.0, 25.0, False)
   (89, 168): (2.23606797749979, 11.180339887498949, False)
   (91, 167): (8.54400374531753, 42.720018726587654, False)
   (93, 153): (2.8284271247461903, 14.142135623730951, False)
   (96, 161): (8.602325267042627, 43.01162633521314, False)
   (96, 162): (8.06225774829855, 40.311288741492746, False)
   (96, 174): (3.1622776601683795, 15.811388300841898, False)
   (102, 153): (9.055385138137417, 45.27692569068709, False)
   (102, 154): (7.615773105863909, 38.07886552931954, False)
   (106, 167): (2.8284271247461903, 14.142135623730951, False)
   (108, 165): (9.0, 45.0, False)
   (118, 151): (8.602325267042627, 43.01162633521314, False)
   (119, 173): (2.0, 10.0, False)
   (131, 172): (7.211102550927978, 36.05551275463989, False)
   (138, 166): (4.47213595499958, 22.360679774997898, False)
   (140, 171): (4.123105625617661, 20.615528128088304, False)
   (146, 171): (9.219544457292887, 46.09772228646443, False)
   (149, 150): (12.106196760337246, 59.32036412565251, True)
   (149, 151): (26.60559937294046, 121.27715695876121, True)
   (149, 152): (41.10514476954283, 181.9446948938056, True)
   (149, 153): (54.811198745880915, 237.55319404293434, True)
   (149, 154): (69.31073040428001, 295.680432900116, True)
   (149, 155): (83.81028953908566, 352.5178463567484, True)
   (149, 156): (98.30986416402632, 408.06537515452106, True)
   (150, 81): (9.055385138137417, 45.27692569068709, False)
   (150, 151): (12.899612397277679, 63.20810074666063, True)
   (150, 152): (27.39922479455536, 125.12624025359348, True)
   (150, 153): (41.10514476954283, 181.9446948938056, True)
   (150, 154): (55.604724189783774, 241.32243990147293, True)
   (150, 155): (70.10431696517905, 299.4102897363416, True)
   (150, 156): (84.60391634897005, 356.20821102271077, True)
   (151, 17): (5.830951894845301, 29.154759474226502, False)
   (151, 118): (8.602325267042627, 43.01162633521314, False)
   (151, 152): (12.899612397277679, 63.20810074666063, True)
   (151, 153): (26.60559937294046, 121.27715695876121, True)
   (151, 154): (41.10514476954283, 181.9446948938056, True)
   (151, 155): (55.604724189783774, 241.32243990147293, True)
   (151, 156): (70.10431696517905, 299.4102897363416, True)
   (152, 49): (10.0, 50.0, False)
   (152, 134): (5.385164807134504, 26.92582403567252, False)
   (152, 153): (12.106196760337246, 59.32036412565251, True)
   (152, 154): (26.60559937294046, 121.27715695876121, True)
   (152, 155): (41.10514476954283, 181.9446948938056, True)
   (152, 156): (55.604724189783774, 241.32243990147293, True)
   (153, 67): (7.0, 35.0, False)
   (153, 93): (2.8284271247461903, 14.142135623730951, False)
   (153, 102): (9.055385138137417, 45.27692569068709, False)
   (153, 154): (12.899612397277679, 63.20810074666063, True)
   (153, 155): (27.39922479455536, 125.12624025359348, True)
   (153, 156): (41.89883719183304, 185.75441852079857, True)
   (154, 67): (9.219544457292887, 46.09772228646443, False)
   (154, 102): (7.615773105863909, 38.07886552931954, False)
   (154, 116): (7.211102550927978, 36.05551275463989, False)
   (154, 155): (12.899612397277679, 63.20810074666063, True)
   (154, 156): (27.39922479455536, 125.12624025359348, True)
   (155, 69): (6.082762530298219, 30.413812651491096, False)
   (155, 156): (12.899612397277679, 63.20810074666063, True)
   (156, 16): (8.602325267042627, 43.01162633521314, False)
   (157, 158): (13.763720427268204, 67.4422300936142, True)
   (157, 159): (28.67027890510181, 131.2908526897438, True)
   (157, 160): (43.582174285196686, 193.83443656894406, True)
   (157, 161): (58.495437422559476, 255.0533277571575, True)
   (157, 162): (73.40925309239016, 314.9434895342337, True)
   (157, 163): (88.76434857039337, 375.55422085232914, True)
   (157, 164): (104.34513180105878, 435.8276062848704, True)
   (158, 81): (3.605551275463989, 18.027756377319946, False)
   (158, 84): (10.0, 50.0, False)
   (158, 159): (13.314653581674591, 65.24180255020549, True)
   (158, 160): (28.229307163349183, 129.15213974224352, True)
   (158, 161): (43.143960745023776, 191.7310115761141, True)
