All relevant information about the map is below:

Total # of nodes: 196
# of robots: 81, robots_origin_location: {175: {56, 65, 44, 7}, 176: {41, 11, 61, 46}, 177: {78, 53, 70}, 178: {42, 58, 66, 60}, 179: {67, 29, 71, 15}, 180: {73, 25, 10, 63}, 181: {80, 5, 30}, 182: {32, 18, 69}, 183: {24, 40, 38, 23}, 184: {36, 21, 22, 31}, 185: {8, 57, 45, 47}, 186: {72, 4, 54, 79}, 187: {16, 2, 34, 52}, 188: {17, 74, 51, 59}, 189: {9, 43, 28, 14}, 190: {33}, 191: {48, 81, 50}, 192: {20, 3, 12, 13}, 193: {26, 19, 76, 39}, 194: {1, 68, 37, 6}, 195: {35, 27, 55, 49}, 196: {64, 75, 77, 62}}
# of requests: 75, request_pairs: [(1, 76), (2, 77), (3, 78), (4, 79), (5, 80), (6, 81), (7, 82), (8, 83), (9, 84), (10, 85), (11, 86), (12, 87), (13, 88), (14, 89), (15, 90), (16, 91), (17, 92), (18, 93), (19, 94), (20, 95), (21, 96), (22, 97), (23, 98), (24, 99), (25, 100), (26, 101), (27, 102), (28, 103), (29, 104), (30, 105), (31, 106), (32, 107), (33, 108), (34, 109), (35, 110), (36, 111), (37, 112), (38, 113), (39, 114), (40, 115), (41, 116), (42, 117), (43, 118), (44, 119), (45, 120), (46, 121), (47, 122), (48, 123), (49, 124), (50, 125), (51, 126), (52, 127), (53, 128), (54, 129), (55, 130), (56, 131), (57, 132), (58, 133), (59, 134), (60, 135), (61, 136), (62, 137), (63, 138), (64, 139), (65, 140), (66, 141), (67, 142), (68, 143), (69, 144), (70, 145), (71, 146), (72, 147), (73, 148), (74, 149), (75, 150)]
# of depots: 22, depot nodes: [175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196]
# of service lines: 8
# of num transfers: 24, service lines mapping: {1: [151, 152, 153], 2: [154, 155, 156], 3: [157, 158, 159], 4: [160, 161, 162], 5: [163, 164, 165], 6: [166, 167, 168], 7: [169, 170, 171], 8: [172, 173, 174]}
public transportation factor: 0.0
map_size: 196
outsourcing cost: 7083
robots max travel time: 670
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 6
transfer service time: 2
request nodes time windows: {1: (286, 686), 2: (49, 449), 3: (28, 428), 4: (147, 547), 5: (159, 559), 6: (249, 649), 7: (275, 675), 8: (198, 598), 9: (40, 440), 10: (33, 433), 11: (0, 400), 12: (219, 619), 13: (236, 636), 14: (155, 555), 15: (20, 420), 16: (160, 560), 17: (166, 566), 18: (249, 649), 19: (30, 430), 20: (2, 402), 21: (74, 474), 22: (16, 416), 23: (225, 625), 24: (154, 554), 25: (224, 624), 26: (14, 414), 27: (108, 508), 28: (94, 494), 29: (212, 612), 30: (275, 675), 31: (30, 430), 32: (197, 597), 33: (157, 557), 34: (13, 413), 35: (41, 441), 36: (19, 419), 37: (286, 686), 38: (203, 603), 39: (136, 536), 40: (170, 570), 41: (147, 547), 42: (86, 486), 43: (78, 478), 44: (220, 620), 45: (265, 665), 46: (169, 569), 47: (267, 667), 48: (151, 551), 49: (250, 650), 50: (230, 630), 51: (193, 593), 52: (56, 456), 53: (279, 679), 54: (38, 438), 55: (130, 530), 56: (95, 495), 57: (105, 505), 58: (20, 420), 59: (241, 641), 60: (123, 523), 61: (86, 486), 62: (115, 515), 63: (78, 478), 64: (185, 585), 65: (62, 462), 66: (51, 451), 67: (181, 581), 68: (196, 596), 69: (116, 516), 70: (192, 592), 71: (81, 481), 72: (89, 489), 73: (86, 486), 74: (188, 588), 75: (266, 666), 76: (621, 1021), 77: (443, 843), 78: (365, 765), 79: (321, 721), 80: (420, 820), 81: (500, 900), 82: (584, 984), 83: (450, 850), 84: (125, 525), 85: (258, 658), 86: (305, 705), 87: (617, 1017), 88: (531, 931), 89: (438, 838), 90: (231, 631), 91: (242, 642), 92: (476, 876), 93: (610, 1010), 94: (265, 665), 95: (145, 545), 96: (401, 801), 97: (236, 636), 98: (527, 927), 99: (526, 926), 100: (510, 910), 101: (304, 704), 102: (418, 818), 103: (341, 741), 104: (512, 912), 105: (528, 928), 106: (277, 677), 107: (384, 784), 108: (347, 747), 109: (272, 672), 110: (227, 627), 111: (305, 705), 112: (452, 852), 113: (469, 869), 114: (400, 800), 115: (226, 626), 116: (432, 832), 117: (222, 622), 118: (402, 802), 119: (447, 847), 120: (653, 1053), 121: (380, 780), 122: (502, 902), 123: (535, 935), 124: (526, 926), 125: (608, 1008), 126: (521, 921), 127: (398, 798), 128: (570, 970), 129: (195, 595), 130: (324, 724), 131: (493, 893), 132: (459, 859), 133: (166, 566), 134: (327, 727), 135: (290, 690), 136: (270, 670), 137: (322, 722), 138: (181, 581), 139: (459, 859), 140: (374, 774), 141: (186, 586), 142: (399, 799), 143: (353, 753), 144: (294, 694), 145: (589, 989), 146: (427, 827), 147: (436, 836), 148: (354, 754), 149: (404, 804), 150: (518, 918)}
transfer nodes departure time: {151: 518, 152: 520, 153: 522, 154: 489, 155: 491, 156: 493, 157: 162, 158: 164, 159: 166, 160: 1345, 161: 1347, 162: 1349, 163: 755, 164: 757, 165: 759, 166: 117, 167: 119, 168: 121, 169: 776, 170: 778, 171: 780, 172: 1160, 173: 1162, 174: 1164}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 76): (122.96747537458837, 614.8373768729418, False)
   (1, 151): (177.79201331893398, 888.9600665946699, False)
   (1, 152): (100.00499987500625, 500.02499937503126, False)
   (1, 153): (46.61544808322666, 233.0772404161333, False)
   (1, 154): (189.84203960134857, 949.2101980067429, False)
   (1, 155): (133.86933928274988, 669.3466964137494, False)
   (1, 156): (114.93476410555685, 574.6738205277843, False)
   (1, 160): (67.26812023536856, 336.34060117684277, False)
   (1, 161): (93.91485505499116, 469.5742752749558, False)
   (1, 162): (155.92947123619703, 779.6473561809852, False)
   (1, 163): (188.904737897174, 944.5236894858699, False)
   (1, 164): (120.93386622447825, 604.6693311223912, False)
   (1, 165): (82.97590011563598, 414.8795005781799, False)
   (1, 169): (183.30848316430968, 916.5424158215484, False)
   (1, 170): (123.82245353731285, 619.1122676865642, False)
   (1, 171): (105.3612832116238, 526.806416058119, False)
   (1, 172): (179.02513789968157, 895.1256894984078, False)
   (1, 173): (96.17692030835673, 480.88460154178364, False)
   (1, 174): (36.013886210738214, 180.06943105369106, False)
   (1, 175): (124.08464852672147, 620.4232426336073, False)
   (1, 176): (65.19202405202648, 325.9601202601324, False)
   (1, 177): (73.92563831310488, 369.6281915655244, False)
   (1, 178): (56.302753041036986, 281.51376520518494, False)
   (1, 179): (199.49185447030163, 997.4592723515082, False)
   (1, 180): (176.17321022221284, 880.8660511110643, False)
   (1, 181): (72.56031973468694, 362.8015986734347, False)
   (1, 182): (141.85203558638133, 709.2601779319067, False)
   (1, 183): (42.0, 210.0, False)
   (1, 184): (86.83893136145792, 434.1946568072896, False)
   (1, 185): (107.37783756436893, 536.8891878218446, False)
   (1, 186): (158.80806024884254, 794.0403012442127, False)
   (1, 187): (180.31361568112376, 901.5680784056188, False)
   (1, 188): (153.18289721767243, 765.9144860883622, False)
   (1, 189): (125.41929676090518, 627.0964838045259, False)
   (1, 190): (185.84133017173548, 929.2066508586774, False)
   (1, 191): (176.08236708995025, 880.4118354497513, False)
   (1, 192): (88.0056816347672, 440.028408173836, False)
   (1, 193): (85.86617494683223, 429.33087473416117, False)
   (1, 194): (134.8517704741024, 674.258852370512, False)
   (1, 195): (63.12685640834652, 315.6342820417326, False)
   (1, 196): (122.03687967167957, 610.1843983583979, False)
   (2, 77): (125.73384588089239, 628.6692294044619, False)
   (2, 151): (105.64563407921787, 528.2281703960894, False)
   (2, 152): (120.06664815842908, 600.3332407921454, False)
   (2, 153): (176.6635219845908, 883.317609922954, False)
   (2, 154): (92.20086767487604, 461.00433837438015, False)
   (2, 155): (32.2490309931942, 161.24515496597098, False)
   (2, 156): (83.38465086573187, 416.92325432865937, False)
   (2, 158): (109.45775440780794, 547.2887720390397, False)
   (2, 160): (207.9663434308542, 1039.831717154271, False)
   (2, 161): (164.2224101637776, 821.112050818888, False)
   (2, 162): (147.12239802287073, 735.6119901143536, False)
   (2, 163): (174.4706279005151, 872.3531395025755, False)
   (2, 164): (107.20074626605917, 536.0037313302959, False)
   (2, 165): (76.57675887630658, 382.88379438153294, False)
   (2, 169): (119.97082978791136, 599.8541489395568, False)
   (2, 170): (57.0350769263968, 285.175384631984, False)
   (2, 171): (76.6550715869472, 383.275357934736, False)
   (2, 172): (186.45374761586316, 932.2687380793159, False)
   (2, 173): (167.08381130438698, 835.4190565219349, False)
   (2, 174): (188.875620449014, 944.3781022450701, False)
   (2, 175): (41.23105625617661, 206.15528128088303, False)
   (2, 176): (210.70595625183452, 1053.5297812591725, False)
   (2, 177): (162.9846618550347, 814.9233092751734, False)
   (2, 178): (103.9471019317037, 519.7355096585185, False)
   (2, 179): (66.70832032063167, 333.54160160315837, False)
   (2, 180): (87.68124086713189, 438.4062043356595, False)
   (2, 181): (196.16319736382766, 980.8159868191383, False)
   (2, 182): (66.85057965343307, 334.2528982671654, False)
   (2, 183): (130.60245020672468, 653.0122510336234, False)
   (2, 184): (174.1551032843999, 870.7755164219996, False)
   (2, 185): (55.758407437802596, 278.792037189013, False)
   (2, 186): (173.761330565808, 868.8066528290401, False)
   (2, 187): (47.53945729601885, 237.69728648009425, False)
   (2, 188): (53.53503525729669, 267.67517628648346, False)
   (2, 189): (34.828149534535996, 174.14074767268, False)
   (2, 190): (55.71355310873648, 278.5677655436824, False)
   (2, 191): (163.7192719260625, 818.5963596303125, False)
   (2, 192): (76.48529270389177, 382.4264635194589, False)
   (2, 193): (101.20276676059801, 506.01383380299006, False)
   (2, 194): (175.1456536714514, 875.7282683572571, False)
   (2, 195): (131.55227098001768, 657.7613549000885, False)
   (2, 196): (107.00467279516349, 535.0233639758175, False)
   (3, 78): (183.8069639594757, 919.0348197973785, False)
   (3, 151): (185.52088831180168, 927.6044415590084, False)
   (3, 152): (103.58088626768937, 517.9044313384468, False)
   (3, 153): (29.546573405388315, 147.73286702694156, False)
   (3, 154): (200.3696583817021, 1001.8482919085104, False)
   (3, 155): (152.3975065412817, 761.9875327064085, False)
   (3, 156): (140.57738082636197, 702.8869041318098, False)
   (3, 158): (101.39033484509261, 506.9516742254631, False)
   (3, 159): (40.85339643163099, 204.26698215815495, False)
   (3, 160): (42.05948168962618, 210.2974084481309, False)
   (3, 161): (85.5102333057278, 427.551166528639, False)
   (3, 162): (155.2610704587599, 776.3053522937994, False)
   (3, 163): (186.1316738225926, 930.658369112963, False)
   (3, 164): (126.81088281373961, 634.0544140686981, False)
