All relevant information about the map is below:

Total # of nodes: 223
# of robots: 73, robots_origin_location: {189: {15}, 190: {38, 71}, 191: {45, 30}, 192: {48, 70, 58, 46}, 193: {50, 37, 7}, 194: {65, 1, 21, 33}, 195: {73}, 196: {53, 22}, 197: {26, 54, 23}, 198: {34, 67, 47, 39}, 199: {56, 66}, 200: {72, 2, 35, 55}, 201: {8, 41, 42, 6}, 202: set(), 203: {32, 25, 19}, 204: {59, 36}, 205: {14}, 206: {27, 3, 29}, 207: {69, 5}, 208: {9, 12, 17, 44}, 209: {60, 61}, 210: {24, 43, 11, 28}, 211: set(), 212: set(), 213: {57}, 214: {16, 4}, 215: set(), 216: {49, 18}, 217: set(), 218: {52, 13, 68}, 219: set(), 220: {64, 10}, 221: {63, 31}, 222: set(), 223: {40, 51, 20, 62}}
# of requests: 78, request_pairs: [(1, 79), (2, 80), (3, 81), (4, 82), (5, 83), (6, 84), (7, 85), (8, 86), (9, 87), (10, 88), (11, 89), (12, 90), (13, 91), (14, 92), (15, 93), (16, 94), (17, 95), (18, 96), (19, 97), (20, 98), (21, 99), (22, 100), (23, 101), (24, 102), (25, 103), (26, 104), (27, 105), (28, 106), (29, 107), (30, 108), (31, 109), (32, 110), (33, 111), (34, 112), (35, 113), (36, 114), (37, 115), (38, 116), (39, 117), (40, 118), (41, 119), (42, 120), (43, 121), (44, 122), (45, 123), (46, 124), (47, 125), (48, 126), (49, 127), (50, 128), (51, 129), (52, 130), (53, 131), (54, 132), (55, 133), (56, 134), (57, 135), (58, 136), (59, 137), (60, 138), (61, 139), (62, 140), (63, 141), (64, 142), (65, 143), (66, 144), (67, 145), (68, 146), (69, 147), (70, 148), (71, 149), (72, 150), (73, 151), (74, 152), (75, 153), (76, 154), (77, 155), (78, 156)]
# of depots: 35, depot nodes: [189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223]
# of service lines: 6
# of num transfers: 32, service lines mapping: {1: [157, 158, 159, 160, 161, 162], 2: [163, 164, 165, 166, 167, 168], 3: [169, 170, 171, 172, 173, 174], 4: [175, 176, 177, 178, 179, 180], 5: [181, 182, 183, 184, 185, 186], 6: [187, 188]}
public transportation factor: 1.0
map_size: 223
outsourcing cost: 3750
robots max travel time: 142
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 0
transfer service time: 2
request nodes time windows: {1: (316, 716), 2: (119, 519), 3: (98, 498), 4: (66, 466), 5: (127, 527), 6: (249, 649), 7: (265, 665), 8: (233, 633), 9: (232, 632), 10: (314, 714), 11: (34, 434), 12: (108, 508), 13: (136, 536), 14: (62, 462), 15: (108, 508), 16: (309, 709), 17: (145, 545), 18: (308, 708), 19: (230, 630), 20: (268, 668), 21: (243, 643), 22: (271, 671), 23: (311, 711), 24: (297, 697), 25: (138, 538), 26: (346, 746), 27: (185, 585), 28: (201, 601), 29: (218, 618), 30: (102, 502), 31: (88, 488), 32: (67, 467), 33: (149, 549), 34: (254, 654), 35: (126, 526), 36: (73, 473), 37: (156, 556), 38: (100, 500), 39: (88, 488), 40: (112, 512), 41: (120, 520), 42: (83, 483), 43: (71, 471), 44: (43, 443), 45: (73, 473), 46: (354, 754), 47: (168, 568), 48: (90, 490), 49: (158, 558), 50: (310, 710), 51: (288, 688), 52: (327, 727), 53: (96, 496), 54: (329, 729), 55: (237, 637), 56: (351, 751), 57: (67, 467), 58: (232, 632), 59: (308, 708), 60: (354, 754), 61: (300, 700), 62: (310, 710), 63: (162, 562), 64: (323, 723), 65: (131, 531), 66: (300, 700), 67: (154, 554), 68: (283, 683), 69: (239, 639), 70: (300, 700), 71: (341, 741), 72: (296, 696), 73: (40, 440), 74: (251, 651), 75: (193, 593), 76: (87, 487), 77: (201, 601), 78: (140, 540), 79: (686, 1086), 80: (310, 710), 81: (480, 880), 82: (169, 569), 83: (215, 615), 84: (413, 813), 85: (515, 915), 86: (502, 902), 87: (591, 991), 88: (545, 945), 89: (399, 799), 90: (322, 722), 91: (508, 908), 92: (399, 799), 93: (371, 771), 94: (666, 1066), 95: (372, 772), 96: (666, 1066), 97: (320, 720), 98: (602, 1002), 99: (578, 978), 100: (641, 1041), 101: (622, 1022), 102: (632, 1032), 103: (533, 933), 104: (703, 1103), 105: (478, 878), 106: (565, 965), 107: (465, 865), 108: (434, 834), 109: (377, 777), 110: (455, 855), 111: (345, 745), 112: (568, 968), 113: (508, 908), 114: (336, 736), 115: (422, 822), 116: (245, 645), 117: (377, 777), 118: (505, 905), 119: (506, 906), 120: (355, 755), 121: (311, 711), 122: (281, 681), 123: (394, 794), 124: (741, 1141), 125: (496, 896), 126: (242, 642), 127: (358, 758), 128: (419, 819), 129: (602, 1002), 130: (666, 1066), 131: (415, 815), 132: (552, 952), 133: (279, 679), 134: (551, 951), 135: (249, 649), 136: (395, 795), 137: (580, 980), 138: (546, 946), 139: (690, 1090), 140: (605, 1005), 141: (452, 852), 142: (455, 855), 143: (378, 778), 144: (494, 894), 145: (507, 907), 146: (511, 911), 147: (528, 928), 148: (700, 1100), 149: (726, 1126), 150: (538, 938), 151: (153, 553), 152: (643, 1043), 153: (498, 898), 154: (327, 727), 155: (519, 919), 156: (429, 829)}
transfer nodes departure time: {157: 252, 158: 285, 159: 318, 160: 352, 161: 385, 162: 433, 163: 320, 164: 361, 165: 402, 166: 443, 167: 484, 168: 526, 169: 1361, 170: 1395, 171: 1429, 172: 1463, 173: 1497, 174: 1534, 175: 1790, 176: 1826, 177: 1862, 178: 1898, 179: 1934, 180: 1974, 181: 125, 182: 163, 183: 202, 184: 240, 185: 279, 186: 322, 187: 1283, 188: 1502}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 79): (104.80935072788114, 524.0467536394057, False)
   (1, 161): (66.06814663663572, 330.3407331831786, False)
   (1, 162): (41.048751503547585, 205.24375751773792, False)
   (1, 165): (73.24616030891995, 366.2308015445998, False)
   (1, 166): (37.53664875824692, 187.6832437912346, False)
   (1, 167): (20.808652046684813, 104.04326023342406, False)
   (1, 168): (50.24937810560445, 251.24689052802225, False)
   (1, 169): (125.59060474414477, 627.9530237207239, False)
   (1, 170): (94.33981132056604, 471.6990566028302, False)
   (1, 171): (63.15853069855251, 315.79265349276255, False)
   (1, 172): (32.2490309931942, 161.24515496597098, False)
   (1, 173): (7.280109889280518, 36.40054944640259, False)
   (1, 174): (35.05709628591621, 175.28548142958104, False)
   (1, 175): (138.2316895650198, 691.158447825099, False)
   (1, 176): (119.5198728245642, 597.599364122821, False)
   (1, 177): (107.54068997360952, 537.7034498680475, False)
   (1, 178): (106.30145812734649, 531.5072906367325, False)
   (1, 179): (114.43775600735974, 572.1887800367987, False)
   (1, 180): (133.19534526401438, 665.9767263200719, False)
   (1, 187): (138.51353724455961, 692.5676862227981, False)
   (1, 188): (86.03487664894976, 430.1743832447488, False)
   (1, 189): (83.21658488546619, 416.08292442733097, False)
   (1, 192): (80.77747210701756, 403.8873605350878, False)
   (1, 193): (36.05551275463989, 180.27756377319946, False)
   (1, 194): (38.63935817272331, 193.19679086361657, False)
   (1, 195): (60.00833275470999, 300.04166377354994, False)
   (1, 196): (93.40770846134703, 467.03854230673517, False)
   (1, 197): (70.60453243241541, 353.02266216207704, False)
   (1, 198): (39.05124837953327, 195.25624189766634, False)
   (1, 199): (99.46356116689167, 497.31780583445834, False)
   (1, 200): (47.16990566028302, 235.8495283014151, False)
   (1, 201): (24.08318915758459, 120.41594578792296, False)
   (1, 202): (112.57886124845996, 562.8943062422998, False)
   (1, 204): (96.46242791885346, 482.3121395942673, False)
   (1, 205): (75.58438992278762, 377.9219496139381, False)
   (1, 206): (106.00471687618433, 530.0235843809216, False)
   (1, 207): (128.42507543311004, 642.1253771655502, False)
   (1, 208): (133.19534526401438, 665.9767263200719, False)
   (1, 209): (66.94027188471824, 334.7013594235912, False)
   (1, 213): (90.47651629014017, 452.38258145070085, False)
   (1, 215): (78.587530817554, 392.93765408777, False)
   (1, 218): (50.28916384272063, 251.44581921360316, False)
   (1, 219): (108.2266141020775, 541.1330705103875, False)
   (1, 220): (127.06297651164952, 635.3148825582476, False)
   (1, 222): (107.83784122468327, 539.1892061234164, False)
   (2, 80): (72.09022125087424, 360.4511062543712, False)
   (2, 157): (98.04590761474952, 490.2295380737476, False)
   (2, 158): (96.79876032264049, 483.99380161320244, False)
   (2, 159): (105.0, 525.0, False)
   (2, 160): (121.51131634543344, 607.5565817271672, False)
   (2, 164): (140.91131963046828, 704.5565981523414, False)
   (2, 165): (134.08206442324789, 670.4103221162394, False)
   (2, 166): (138.13037319865606, 690.6518659932804, False)
   (2, 175): (136.517398158623, 682.586990793115, False)
   (2, 176): (106.66770832824712, 533.3385416412356, False)
   (2, 177): (80.95677859203639, 404.7838929601819, False)
   (2, 178): (62.07253821135398, 310.3626910567699, False)
   (2, 179): (59.53990258641679, 297.69951293208396, False)
   (2, 180): (76.8505042273634, 384.252521136817, False)
   (2, 183): (54.230987451824994, 271.15493725912495, False)
   (2, 184): (65.11528238439882, 325.5764119219941, False)
   (2, 185): (90.91754506144565, 454.58772530722825, False)
   (2, 186): (126.25371281669304, 631.2685640834652, False)
   (2, 190): (82.00609733428362, 410.0304866714181, False)
   (2, 191): (105.47511554864494, 527.3755777432247, False)
   (2, 196): (95.13148795220224, 475.6574397610112, False)
   (2, 200): (133.46160496562297, 667.3080248281149, False)
   (2, 203): (66.2872536767062, 331.436268383531, False)
   (2, 204): (74.67261881037788, 373.36309405188945, False)
   (2, 206): (78.0, 390.0, False)
   (2, 207): (114.58621208504974, 572.9310604252487, False)
   (2, 210): (89.44271909999159, 447.21359549995793, False)
   (2, 211): (112.04017136723775, 560.2008568361887, False)
   (2, 212): (42.43819034784589, 212.19095173922943, False)
   (2, 214): (58.54912467321779, 292.7456233660889, False)
   (2, 216): (76.69419795525604, 383.47098977628025, False)
   (2, 217): (28.178005607210743, 140.8900280360537, False)
   (2, 219): (113.17243480636087, 565.8621740318043, False)
   (2, 223): (83.5224520712844, 417.61226035642204, False)
   (3, 163): (81.0, 405.0, False)
   (3, 164): (79.17701686727027, 395.8850843363513, False)
   (3, 165): (94.64142856064674, 473.20714280323375, False)
   (3, 166): (120.93386622447825, 604.6693311223912, False)
   (3, 169): (29.206163733020468, 146.03081866510234, False)
   (3, 170): (50.0, 250.0, False)
   (3, 171): (78.16009211867653, 390.80046059338264, False)
   (3, 172): (108.07404868885037, 540.3702434442519, False)
   (3, 173): (138.61096637712328, 693.0548318856164, False)
   (3, 175): (93.74433316206373, 468.72166581031865, False)
   (3, 176): (114.49454135459908, 572.4727067729954, False)
   (3, 177): (139.61733416735902, 698.0866708367951, False)
   (3, 185): (128.96898852049665, 644.8449426024832, False)
   (3, 186): (96.56603957913983, 482.83019789569914, False)
   (3, 187): (11.045361017187261, 55.226805085936306, False)
   (3, 191): (133.75350462698165, 668.7675231349083, False)
   (3, 194): (101.65136496870073, 508.25682484350364, False)
   (3, 197): (99.72462083156798, 498.62310415783986, False)
   (3, 198): (102.20078277586722, 511.0039138793361, False)
   (3, 199): (53.03772242470448, 265.1886121235224, False)
   (3, 201): (125.8729518204765, 629.3647591023825, False)
   (3, 202): (62.177166226839255, 310.8858311341963, False)
   (3, 207): (109.78615577567146, 548.9307788783573, False)
   (3, 208): (49.36598018878993, 246.82990094394967, False)
   (3, 209): (79.60527620704548, 398.02638103522736, False)
   (3, 215): (60.0, 300.0, False)
   (3, 220): (25.632011235952593, 128.16005617976296, False)
