All relevant information about the map is below:

Total # of nodes: 222
# of robots: 78, robots_origin_location: {193: {62, 3, 36, 46}, 194: {4}, 195: {68}, 196: set(), 197: {17, 74}, 198: {31}, 199: {33, 22, 78}, 200: set(), 201: {48, 2, 12, 34}, 202: {24, 57, 67}, 203: {40, 72, 13}, 204: {45}, 205: {59, 70}, 206: {8, 58, 69, 55}, 207: {9, 43, 29, 39}, 208: {25, 28, 21, 15}, 209: {41, 42, 75, 5}, 210: {16, 60, 14}, 211: {18, 66, 37, 38}, 212: {76, 30}, 213: {61, 27, 53, 7}, 214: {63}, 215: {49, 44, 77, 52}, 216: {64}, 217: {54, 26, 6, 23}, 218: {1, 51, 71, 47}, 219: {56, 65}, 220: {32, 10, 50}, 221: {73}, 222: {19, 35, 11, 20}}
# of requests: 80, request_pairs: [(1, 81), (2, 82), (3, 83), (4, 84), (5, 85), (6, 86), (7, 87), (8, 88), (9, 89), (10, 90), (11, 91), (12, 92), (13, 93), (14, 94), (15, 95), (16, 96), (17, 97), (18, 98), (19, 99), (20, 100), (21, 101), (22, 102), (23, 103), (24, 104), (25, 105), (26, 106), (27, 107), (28, 108), (29, 109), (30, 110), (31, 111), (32, 112), (33, 113), (34, 114), (35, 115), (36, 116), (37, 117), (38, 118), (39, 119), (40, 120), (41, 121), (42, 122), (43, 123), (44, 124), (45, 125), (46, 126), (47, 127), (48, 128), (49, 129), (50, 130), (51, 131), (52, 132), (53, 133), (54, 134), (55, 135), (56, 136), (57, 137), (58, 138), (59, 139), (60, 140), (61, 141), (62, 142), (63, 143), (64, 144), (65, 145), (66, 146), (67, 147), (68, 148), (69, 149), (70, 150), (71, 151), (72, 152), (73, 153), (74, 154), (75, 155), (76, 156), (77, 157), (78, 158), (79, 159), (80, 160)]
# of depots: 30, depot nodes: [193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222]
# of service lines: 9
# of num transfers: 32, service lines mapping: {1: [161, 162, 163, 164], 2: [165, 166, 167, 168], 3: [169, 170, 171, 172], 4: [173, 174, 175, 176], 5: [177, 178, 179, 180], 6: [181, 182, 183, 184], 7: [185, 186, 187, 188], 8: [189, 190, 191, 192], 9: []}
public transportation factor: 0.4
map_size: 222
outsourcing cost: 7083
robots max travel time: 76
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 7
transfer service time: 2
request nodes time windows: {1: (91, 491), 2: (295, 695), 3: (45, 445), 4: (345, 745), 5: (213, 613), 6: (354, 754), 7: (345, 745), 8: (351, 751), 9: (301, 701), 10: (183, 583), 11: (268, 668), 12: (44, 444), 13: (45, 445), 14: (169, 569), 15: (57, 457), 16: (25, 425), 17: (343, 743), 18: (202, 602), 19: (341, 741), 20: (196, 596), 21: (273, 673), 22: (49, 449), 23: (219, 619), 24: (107, 507), 25: (295, 695), 26: (293, 693), 27: (242, 642), 28: (58, 458), 29: (259, 659), 30: (351, 751), 31: (80, 480), 32: (266, 666), 33: (117, 517), 34: (354, 754), 35: (306, 706), 36: (92, 492), 37: (246, 646), 38: (333, 733), 39: (257, 657), 40: (243, 643), 41: (144, 544), 42: (216, 616), 43: (104, 504), 44: (97, 497), 45: (288, 688), 46: (141, 541), 47: (97, 497), 48: (227, 627), 49: (255, 655), 50: (346, 746), 51: (350, 750), 52: (175, 575), 53: (23, 423), 54: (27, 427), 55: (292, 692), 56: (103, 503), 57: (348, 748), 58: (196, 596), 59: (181, 581), 60: (317, 717), 61: (263, 663), 62: (236, 636), 63: (137, 537), 64: (348, 748), 65: (198, 598), 66: (176, 576), 67: (145, 545), 68: (240, 640), 69: (313, 713), 70: (27, 427), 71: (278, 678), 72: (67, 467), 73: (258, 658), 74: (310, 710), 75: (150, 550), 76: (339, 739), 77: (269, 669), 78: (85, 485), 79: (304, 704), 80: (291, 691), 81: (489, 889), 82: (528, 928), 83: (391, 791), 84: (725, 1125), 85: (568, 968), 86: (666, 1066), 87: (639, 1039), 88: (561, 961), 89: (543, 943), 90: (512, 912), 91: (514, 914), 92: (219, 619), 93: (122, 522), 94: (283, 683), 95: (290, 690), 96: (312, 712), 97: (726, 1126), 98: (392, 792), 99: (605, 1005), 100: (473, 873), 101: (614, 1014), 102: (353, 753), 103: (357, 757), 104: (413, 813), 105: (497, 897), 106: (666, 1066), 107: (446, 846), 108: (343, 743), 109: (428, 828), 110: (692, 1092), 111: (301, 701), 112: (549, 949), 113: (374, 774), 114: (480, 880), 115: (676, 1076), 116: (423, 823), 117: (467, 867), 118: (649, 1049), 119: (512, 912), 120: (424, 824), 121: (468, 868), 122: (339, 739), 123: (374, 774), 124: (233, 633), 125: (457, 857), 126: (478, 878), 127: (364, 764), 128: (496, 896), 129: (471, 871), 130: (647, 1047), 131: (515, 915), 132: (333, 733), 133: (241, 641), 134: (283, 683), 135: (574, 974), 136: (345, 745), 137: (485, 885), 138: (443, 843), 139: (510, 910), 140: (590, 990), 141: (577, 977), 142: (580, 980), 143: (480, 880), 144: (652, 1052), 145: (487, 887), 146: (530, 930), 147: (450, 850), 148: (356, 756), 149: (686, 1086), 150: (203, 603), 151: (652, 1052), 152: (434, 834), 153: (517, 917), 154: (639, 1039), 155: (369, 769), 156: (665, 1065), 157: (405, 805), 158: (359, 759), 159: (549, 949), 160: (535, 935)}
transfer nodes departure time: {161: 1524, 162: 1552, 163: 1580, 164: 1609, 165: 1739, 166: 1762, 167: 1785, 168: 1809, 169: 1321, 170: 1342, 171: 1364, 172: 1386, 173: 1406, 174: 1437, 175: 1468, 176: 1500, 177: 559, 178: 591, 179: 623, 180: 655, 181: 1513, 182: 1536, 183: 1559, 184: 1583, 185: 1609, 186: 1633, 187: 1657, 188: 1682, 189: 44, 190: 68, 191: 92, 192: 117}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 81): (64.62197768561404, 323.10988842807024, False)
   (1, 163): (31.0, 155.0, False)
   (1, 164): (58.077534382926416, 290.38767191463205, False)
   (1, 167): (65.29931086925804, 326.49655434629017, False)
   (1, 168): (22.561028345356956, 112.80514172678478, False)
   (1, 179): (25.495097567963924, 127.47548783981962, False)
   (1, 180): (48.82622246293481, 244.13111231467406, False)
   (1, 187): (63.245553203367585, 316.2277660168379, False)
   (1, 188): (9.433981132056603, 47.169905660283014, False)
   (1, 193): (74.16872656315464, 370.84363281577316, False)
   (1, 197): (68.76772498781678, 343.8386249390839, False)
   (1, 198): (53.150729063673246, 265.75364531836624, False)
   (1, 205): (44.01136216933077, 220.05681084665386, False)
   (1, 206): (63.06346010171025, 315.3173005085512, False)
   (1, 207): (69.42621983083913, 347.1310991541957, False)
   (1, 208): (42.95346318982906, 214.76731594914529, False)
   (1, 209): (73.66138744281159, 368.30693721405794, False)
   (1, 210): (54.78138369920935, 273.9069184960467, False)
   (1, 215): (66.0, 330.0, False)
   (1, 216): (33.54101966249684, 167.7050983124842, False)
   (1, 218): (54.57105459856901, 272.8552729928451, False)
   (1, 219): (24.515301344262525, 122.57650672131263, False)
   (2, 163): (55.362442142665635, 276.81221071332817, False)
   (2, 164): (16.15549442140351, 80.77747210701756, False)
   (2, 168): (74.33034373659252, 371.6517186829626, False)
   (2, 172): (54.12947441089743, 270.64737205448716, False)
   (2, 179): (71.17583859709698, 355.8791929854849, False)
   (2, 180): (57.271284253105414, 286.35642126552705, False)
   (2, 188): (60.40695324215582, 302.03476621077914, False)
   (2, 193): (23.08679276123039, 115.43396380615195, False)
   (2, 197): (64.38167441127949, 321.90837205639747, False)
   (2, 203): (43.56604182158393, 217.83020910791964, False)
   (2, 206): (60.802960454241045, 304.0148022712052, False)
   (2, 207): (64.28063471995279, 321.40317359976393, False)
   (2, 214): (70.51950084905593, 352.59750424527965, False)
   (2, 215): (18.439088914585774, 92.19544457292886, False)
   (2, 216): (50.566787519082126, 252.83393759541065, False)
   (2, 219): (59.20304046246274, 296.0152023123137, False)
   (2, 221): (43.382023926967726, 216.91011963483862, False)
   (3, 163): (24.515301344262525, 122.57650672131263, False)
   (3, 164): (53.9351462406472, 269.675731203236, False)
   (3, 167): (61.85466837676846, 309.2733418838423, False)
   (3, 168): (27.073972741361768, 135.36986370680884, False)
   (3, 179): (26.0, 130.0, False)
   (3, 180): (52.32590180780452, 261.6295090390226, False)
   (3, 187): (58.60034129593445, 293.00170647967224, False)
   (3, 188): (13.152946437965905, 65.76473218982953, False)
   (3, 193): (69.02897942168927, 345.14489710844634, False)
   (3, 197): (71.28113354878694, 356.4056677439347, False)
   (3, 198): (60.67124524847005, 303.35622624235026, False)
   (3, 203): (72.24956747275377, 361.24783736376884, False)
   (3, 205): (49.64876634922564, 248.2438317461282, False)
   (3, 206): (55.10898293381942, 275.5449146690971, False)
   (3, 207): (71.84705978674423, 359.23529893372114, False)
   (3, 208): (50.60632371551998, 253.0316185775999, False)
   (3, 210): (63.15853069855251, 315.79265349276255, False)
   (3, 215): (61.40032573203501, 307.001628660175, False)
   (3, 216): (26.019223662515376, 130.0961183125769, False)
   (3, 218): (58.309518948453004, 291.547594742265, False)
   (3, 219): (31.0, 155.0, False)
   (4, 84): (62.289646009589745, 311.44823004794875, False)
   (4, 162): (56.753854494650845, 283.7692724732542, False)
   (4, 163): (47.41307836451879, 237.06539182259394, False)
   (4, 167): (50.44799302251776, 252.23996511258878, False)
   (4, 168): (20.396078054371138, 101.9803902718557, False)
   (4, 174): (39.56008088970496, 197.80040444852483, False)
   (4, 178): (69.28924880528002, 346.4462440264001, False)
   (4, 179): (24.351591323771842, 121.75795661885921, False)
   (4, 187): (55.54277630799526, 277.7138815399763, False)
   (4, 188): (34.23448553724738, 171.17242768623692, False)
   (4, 195): (55.97320787662612, 279.8660393831306, False)
   (4, 198): (72.71863585079137, 363.59317925395686, False)
   (4, 199): (61.465437442517235, 307.3271872125862, False)
   (4, 201): (68.62215385719105, 343.11076928595526, False)
   (4, 202): (58.077534382926416, 290.38767191463205, False)
   (4, 205): (10.198039027185569, 50.99019513592785, False)
   (4, 208): (27.16615541441225, 135.83077707206124, False)
   (4, 209): (64.38167441127949, 321.90837205639747, False)
   (4, 210): (63.90618123468183, 319.53090617340916, False)
   (4, 216): (53.665631459994955, 268.3281572999748, False)
   (4, 218): (11.704699910719626, 58.52349955359813, False)
   (4, 219): (57.42821606144492, 287.1410803072246, False)
   (5, 163): (57.55866572463264, 287.7933286231632, False)
   (5, 164): (69.8927750200262, 349.463875100131, False)
   (5, 168): (34.0147027033899, 170.0735135169495, False)
   (5, 179): (44.384682042344295, 221.9234102117215, False)
   (5, 180): (38.62641583165593, 193.13207915827968, False)
   (5, 188): (31.0, 155.0, False)
   (5, 197): (59.033888572581766, 295.16944286290885, False)
   (5, 198): (27.294688127912362, 136.4734406395618, False)
   (5, 199): (61.09828148156051, 305.49140740780257, False)
   (5, 205): (43.829214001622255, 219.14607000811128, False)
   (5, 207): (59.93329625508679, 299.66648127543397, False)
   (5, 208): (32.01562118716424, 160.0781059358212, False)
   (5, 209): (50.21951811795888, 251.09759058979438, False)
   (5, 210): (27.730849247724095, 138.6542462386205, False)
   (5, 216): (60.63827174318213, 303.19135871591067, False)
   (5, 218): (59.54829972383762, 297.7414986191881, False)
   (5, 219): (13.152946437965905, 65.76473218982953, False)
   (6, 162): (29.154759474226502, 145.7737973711325, False)
   (6, 163): (35.84689665786984, 179.2344832893492, False)
   (6, 166): (61.29437168288782, 306.4718584144391, False)
   (6, 167): (9.055385138137417, 45.27692569068709, False)
   (6, 168): (44.91102314577124, 224.5551157288562, False)
   (6, 170): (71.386273190299, 356.93136595149497, False)
   (6, 171): (69.02897942168927, 345.14489710844634, False)
   (6, 174): (54.589376255824725, 272.9468812791236, False)
   (6, 175): (41.23105625617661, 206.15528128088303, False)
   (6, 178): (43.01162633521314, 215.05813167606567, False)
   (6, 179): (34.17601498127012, 170.88007490635061, False)
   (6, 186): (64.0, 320.0, False)
   (6, 187): (15.556349186104045, 77.78174593052023, False)
   (6, 188): (49.64876634922564, 248.2438317461282, False)
   (6, 194): (65.62011886609167, 328.10059433045836, False)
   (6, 205): (51.66236541235796, 258.3118270617898, False)
   (6, 206): (48.507731342539614, 242.53865671269807, False)
   (6, 208): (67.47592163134935, 337.37960815674677, False)
   (6, 212): (61.554853586049575, 307.7742679302479, False)
   (6, 216): (40.311288741492746, 201.55644370746373, False)
   (6, 218): (42.190046219457976, 210.95023109728987, False)
   (7, 87): (58.215118311311535, 291.0755915565577, False)
   (7, 161): (70.00714249274856, 350.0357124637428, False)
   (7, 162): (18.384776310850235, 91.92388155425118, False)
   (7, 163): (65.0, 325.0, False)
   (7, 166): (68.15423684555495, 340.7711842277747, False)
   (7, 167): (34.785054261852174, 173.92527130926086, False)
   (7, 168): (58.69412236331676, 293.4706118165838, False)
   (7, 174): (28.844410203711913, 144.22205101855957, False)
