All relevant information about the map is below:

Total # of nodes: 202
# of robots: 81, robots_origin_location: {176: {33, 57, 47}, 177: {56, 52, 39}, 178: {59, 27, 62}, 179: {10, 20, 29}, 180: {48, 19, 37}, 181: {42, 35, 38}, 182: {17, 2, 34}, 183: {1, 21, 54}, 184: {25, 50, 43}, 185: {41, 61, 53}, 186: {31, 46, 7}, 187: {80, 4, 79}, 188: {65, 3, 77}, 189: {40, 67, 13}, 190: {8, 14, 23}, 191: {49, 26, 36}, 192: {58, 51, 55}, 193: {72, 18, 30}, 194: {12, 6, 44}, 195: {81, 73, 70}, 196: {24, 28, 45}, 197: {9, 74, 71}, 198: {32, 5, 15}, 199: {75, 69, 78}, 200: {16, 64, 11}, 201: {66, 60, 76}, 202: {68, 22, 63}}
# of requests: 80, request_pairs: [(1, 81), (2, 82), (3, 83), (4, 84), (5, 85), (6, 86), (7, 87), (8, 88), (9, 89), (10, 90), (11, 91), (12, 92), (13, 93), (14, 94), (15, 95), (16, 96), (17, 97), (18, 98), (19, 99), (20, 100), (21, 101), (22, 102), (23, 103), (24, 104), (25, 105), (26, 106), (27, 107), (28, 108), (29, 109), (30, 110), (31, 111), (32, 112), (33, 113), (34, 114), (35, 115), (36, 116), (37, 117), (38, 118), (39, 119), (40, 120), (41, 121), (42, 122), (43, 123), (44, 124), (45, 125), (46, 126), (47, 127), (48, 128), (49, 129), (50, 130), (51, 131), (52, 132), (53, 133), (54, 134), (55, 135), (56, 136), (57, 137), (58, 138), (59, 139), (60, 140), (61, 141), (62, 142), (63, 143), (64, 144), (65, 145), (66, 146), (67, 147), (68, 148), (69, 149), (70, 150), (71, 151), (72, 152), (73, 153), (74, 154), (75, 155), (76, 156), (77, 157), (78, 158), (79, 159), (80, 160)]
# of depots: 27, depot nodes: [176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202]
# of service lines: 5
# of num transfers: 15, service lines mapping: {1: [161, 162, 163], 2: [164, 165, 166], 3: [167, 168, 169], 4: [170, 171, 172], 5: [173, 174, 175]}
public transportation factor: 0.8
map_size: 202
outsourcing cost: 1250
robots max travel time: 10
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 3
transfer service time: 2
request nodes time windows: {1: (193, 593), 2: (293, 693), 3: (150, 550), 4: (189, 589), 5: (16, 416), 6: (73, 473), 7: (107, 507), 8: (169, 569), 9: (257, 657), 10: (181, 581), 11: (161, 561), 12: (53, 453), 13: (250, 650), 14: (235, 635), 15: (91, 491), 16: (281, 681), 17: (261, 661), 18: (105, 505), 19: (295, 695), 20: (48, 448), 21: (15, 415), 22: (68, 468), 23: (50, 450), 24: (91, 491), 25: (263, 663), 26: (222, 622), 27: (276, 676), 28: (115, 515), 29: (139, 539), 30: (236, 636), 31: (239, 639), 32: (237, 637), 33: (262, 662), 34: (99, 499), 35: (290, 690), 36: (49, 449), 37: (58, 458), 38: (279, 679), 39: (14, 414), 40: (139, 539), 41: (58, 458), 42: (301, 701), 43: (22, 422), 44: (194, 594), 45: (291, 691), 46: (73, 473), 47: (289, 689), 48: (183, 583), 49: (236, 636), 50: (120, 520), 51: (124, 524), 52: (268, 668), 53: (58, 458), 54: (205, 605), 55: (165, 565), 56: (273, 673), 57: (142, 542), 58: (139, 539), 59: (71, 471), 60: (212, 612), 61: (227, 627), 62: (34, 434), 63: (180, 580), 64: (257, 657), 65: (165, 565), 66: (107, 507), 67: (121, 521), 68: (78, 478), 69: (11, 411), 70: (220, 620), 71: (20, 420), 72: (3, 403), 73: (114, 514), 74: (234, 634), 75: (196, 596), 76: (66, 466), 77: (20, 420), 78: (190, 590), 79: (273, 673), 80: (287, 687), 81: (441, 841), 82: (374, 774), 83: (540, 940), 84: (464, 864), 85: (203, 603), 86: (369, 769), 87: (185, 585), 88: (409, 809), 89: (449, 849), 90: (496, 896), 91: (394, 794), 92: (200, 600), 93: (579, 979), 94: (469, 869), 95: (317, 717), 96: (624, 1024), 97: (352, 752), 98: (414, 814), 99: (402, 802), 100: (430, 830), 101: (387, 787), 102: (416, 816), 103: (401, 801), 104: (324, 724), 105: (517, 917), 106: (312, 712), 107: (593, 993), 108: (482, 882), 109: (423, 823), 110: (634, 1034), 111: (455, 855), 112: (483, 883), 113: (437, 837), 114: (360, 760), 115: (484, 884), 116: (416, 816), 117: (353, 753), 118: (380, 780), 119: (234, 634), 120: (400, 800), 121: (426, 826), 122: (625, 1025), 123: (191, 591), 124: (501, 901), 125: (436, 836), 126: (327, 727), 127: (591, 991), 128: (504, 904), 129: (537, 937), 130: (190, 590), 131: (340, 740), 132: (470, 870), 133: (317, 717), 134: (458, 858), 135: (483, 883), 136: (599, 999), 137: (423, 823), 138: (510, 910), 139: (318, 718), 140: (571, 971), 141: (387, 787), 142: (320, 720), 143: (459, 859), 144: (584, 984), 145: (205, 605), 146: (361, 761), 147: (307, 707), 148: (331, 731), 149: (172, 572), 150: (607, 1007), 151: (287, 687), 152: (155, 555), 153: (305, 705), 154: (522, 922), 155: (430, 830), 156: (155, 555), 157: (212, 612), 158: (494, 894), 159: (462, 862), 160: (645, 1045)}
transfer nodes departure time: {161: 1391, 162: 1443, 163: 1495, 164: 25, 165: 107, 166: 189, 167: 1314, 168: 1374, 169: 1436, 170: 240, 171: 293, 172: 347, 173: 1292, 174: 1358, 175: 1424}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (4, 161): (7.615773105863909, 38.07886552931954, False)
   (10, 191): (4.242640687119285, 21.213203435596423, False)
   (11, 177): (6.082762530298219, 30.413812651491096, False)
   (17, 188): (3.1622776601683795, 15.811388300841898, False)
   (17, 189): (2.8284271247461903, 14.142135623730951, False)
   (19, 192): (5.0, 25.0, False)
   (21, 179): (8.54400374531753, 42.720018726587654, False)
   (21, 193): (2, 10, False)
   (30, 183): (9.486832980505138, 47.434164902525694, False)
   (33, 194): (9.848857801796104, 49.244289008980516, False)
   (38, 163): (2.23606797749979, 11.180339887498949, False)
   (40, 185): (2.23606797749979, 11.180339887498949, False)
   (40, 196): (9.055385138137417, 45.27692569068709, False)
   (41, 180): (3.0, 15.0, False)
   (48, 198): (5.0, 25.0, False)
   (51, 171): (4.0, 20.0, False)
   (55, 170): (4.47213595499958, 22.360679774997898, False)
   (55, 190): (10.0, 50.0, False)
   (62, 179): (9.486832980505138, 47.434164902525694, False)
   (68, 169): (8.246211251235321, 41.23105625617661, False)
   (83, 161): (4.47213595499958, 22.360679774997898, False)
   (83, 196): (8.0, 40.0, False)
   (102, 199): (3.605551275463989, 18.027756377319946, False)
   (106, 168): (5.0, 25.0, False)
   (113, 187): (8.602325267042627, 43.01162633521314, False)
   (120, 193): (9.219544457292887, 46.09772228646443, False)
   (127, 161): (2.23606797749979, 11.180339887498949, False)
   (129, 202): (4.123105625617661, 20.615528128088304, False)
   (131, 174): (2.23606797749979, 11.180339887498949, False)
   (131, 194): (6.082762530298219, 30.413812651491096, False)
   (131, 198): (8.06225774829855, 40.311288741492746, False)
   (134, 179): (2.23606797749979, 11.180339887498949, False)
   (134, 193): (8.06225774829855, 40.311288741492746, False)
   (136, 177): (7.0, 35.0, False)
   (137, 191): (8.602325267042627, 43.01162633521314, False)
   (139, 175): (7.615773105863909, 38.07886552931954, False)
   (141, 200): (2.23606797749979, 11.180339887498949, False)
   (143, 182): (7.0710678118654755, 35.35533905932738, False)
   (147, 174): (6.082762530298219, 30.413812651491096, False)
   (147, 198): (6.4031242374328485, 32.01562118716424, False)
   (150, 179): (5.0, 25.0, False)
   (152, 171): (7.615773105863909, 38.07886552931954, False)
   (153, 162): (7.0, 35.0, False)
   (161, 162): (49.21788292887048, 241.16762635146534, True)
   (161, 163): (100.14298554438058, 477.9334798902458, True)
   (161, 185): (9.848857801796104, 49.244289008980516, False)
   (162, 163): (49.328288030297585, 241.7086113484582, True)
   (164, 140): (2, 10, False)
   (164, 165): (79.88792149004755, 391.4508153012329, True)
   (164, 166): (161.3758429800951, 774.9128384534612, True)
   (165, 33): (7.211102550927978, 36.05551275463989, False)
   (165, 166): (79.88792149004755, 391.4508153012329, True)
   (166, 2): (6.4031242374328485, 32.01562118716424, False)
   (166, 107): (5.0, 25.0, False)
   (166, 110): (8.94427190999916, 44.721359549995796, False)
   (166, 138): (5.385164807134504, 26.92582403567252, False)
   (167, 168): (57.49434754825904, 281.72230298646934, True)
   (167, 169): (118.11746650180822, 565.1097125337698, True)
   (168, 169): (59.026773586229496, 289.2311905725245, True)
   (170, 55): (4.47213595499958, 22.360679774997898, False)
   (170, 171): (50.50148512667722, 247.45727712071837, True)
   (170, 172): (103.45479861057112, 493.99577326126996, True)
   (171, 51): (4.0, 20.0, False)
   (171, 84): (4.47213595499958, 22.360679774997898, False)
   (171, 152): (7.615773105863909, 38.07886552931954, False)
   (171, 172): (51.356012306252914, 251.64446030063925, True)
   (173, 174): (63.24555320336759, 309.9032106965012, True)
   (173, 175): (128.34636089450458, 614.7198503383473, True)
   (174, 175): (63.50307079189163, 311.16504688026896, True)
   (174, 194): (5.830951894845301, 29.154759474226502, False)
   (174, 198): (6.324555320336759, 31.622776601683796, False)
   (176, 183): (7.211102550927978, 36.05551275463989, False)
   (177, 11): (6.082762530298219, 30.413812651491096, False)
   (177, 192): (7.0710678118654755, 35.35533905932738, False)
   (179, 21): (8.54400374531753, 42.720018726587654, False)
   (179, 62): (9.486832980505138, 47.434164902525694, False)
   (179, 193): (9.486832980505138, 47.434164902525694, False)
   (180, 41): (3.0, 15.0, False)
   (183, 30): (9.486832980505138, 47.434164902525694, False)
   (183, 176): (7.211102550927978, 36.05551275463989, False)
   (185, 40): (2.23606797749979, 11.180339887498949, False)
   (185, 161): (9.848857801796104, 49.244289008980516, False)
   (185, 196): (8.06225774829855, 40.311288741492746, False)
   (188, 17): (3.1622776601683795, 15.811388300841898, False)
   (188, 189): (2, 10, False)
   (189, 17): (2.8284271247461903, 14.142135623730951, False)
   (189, 188): (2, 10, False)
   (190, 55): (10.0, 50.0, False)
   (191, 10): (4.242640687119285, 21.213203435596423, False)
   (191, 197): (8.06225774829855, 40.311288741492746, False)
   (192, 19): (5.0, 25.0, False)
   (192, 177): (7.0710678118654755, 35.35533905932738, False)
   (193, 21): (2, 10, False)
   (193, 179): (9.486832980505138, 47.434164902525694, False)
   (194, 33): (9.848857801796104, 49.244289008980516, False)
   (194, 174): (5.830951894845301, 29.154759474226502, False)
   (196, 40): (9.055385138137417, 45.27692569068709, False)
   (196, 185): (8.06225774829855, 40.311288741492746, False)
   (197, 191): (8.06225774829855, 40.311288741492746, False)
   (198, 48): (5.0, 25.0, False)
   (198, 174): (6.324555320336759, 31.622776601683796, False)
