All relevant information about the map is below:

Total # of nodes: 221
# of robots: 82, robots_origin_location: {187: {56, 17, 50, 47}, 188: {2, 11, 76}, 189: {78, 38, 55}, 190: set(), 191: {68}, 192: {32, 81}, 193: {35}, 194: {8, 49, 29}, 195: {45, 6}, 196: {59}, 197: {74, 28, 5, 54}, 198: {79, 53, 22, 23}, 199: {24}, 200: {16, 19, 3, 31}, 201: {34, 51, 44, 70}, 202: set(), 203: {10, 62}, 204: {64, 57, 43}, 205: set(), 206: {69, 7}, 207: {48}, 208: {82, 60}, 209: {42, 36, 37}, 210: {40, 1, 27, 61}, 211: {73, 13}, 212: set(), 213: {80, 25, 46}, 214: {9, 41}, 215: {58, 75, 15}, 216: {33, 4, 30, 52}, 217: {67, 21, 14, 71}, 218: {72, 18, 12, 77}, 219: {26}, 220: {65, 66, 20, 63}, 221: {39}}
# of requests: 80, request_pairs: [(1, 81), (2, 82), (3, 83), (4, 84), (5, 85), (6, 86), (7, 87), (8, 88), (9, 89), (10, 90), (11, 91), (12, 92), (13, 93), (14, 94), (15, 95), (16, 96), (17, 97), (18, 98), (19, 99), (20, 100), (21, 101), (22, 102), (23, 103), (24, 104), (25, 105), (26, 106), (27, 107), (28, 108), (29, 109), (30, 110), (31, 111), (32, 112), (33, 113), (34, 114), (35, 115), (36, 116), (37, 117), (38, 118), (39, 119), (40, 120), (41, 121), (42, 122), (43, 123), (44, 124), (45, 125), (46, 126), (47, 127), (48, 128), (49, 129), (50, 130), (51, 131), (52, 132), (53, 133), (54, 134), (55, 135), (56, 136), (57, 137), (58, 138), (59, 139), (60, 140), (61, 141), (62, 142), (63, 143), (64, 144), (65, 145), (66, 146), (67, 147), (68, 148), (69, 149), (70, 150), (71, 151), (72, 152), (73, 153), (74, 154), (75, 155), (76, 156), (77, 157), (78, 158), (79, 159), (80, 160)]
# of depots: 35, depot nodes: [187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221]
# of service lines: 8
# of num transfers: 26, service lines mapping: {1: [161, 162, 163, 164], 2: [165, 166, 167, 168], 3: [169, 170, 171, 172], 4: [173, 174, 175, 176], 5: [177, 178, 179, 180], 6: [181, 182, 183, 184], 7: [185, 186], 8: []}
public transportation factor: 0.4
map_size: 221
outsourcing cost: 417
robots max travel time: 373
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 1
transfer service time: 2
request nodes time windows: {1: (295, 695), 2: (162, 562), 3: (23, 423), 4: (190, 590), 5: (198, 598), 6: (318, 718), 7: (275, 675), 8: (253, 653), 9: (345, 745), 10: (124, 524), 11: (332, 732), 12: (72, 472), 13: (41, 441), 14: (33, 433), 15: (80, 480), 16: (152, 552), 17: (236, 636), 18: (119, 519), 19: (44, 444), 20: (105, 505), 21: (297, 697), 22: (131, 531), 23: (185, 585), 24: (239, 639), 25: (155, 555), 26: (242, 642), 27: (238, 638), 28: (342, 742), 29: (50, 450), 30: (223, 623), 31: (143, 543), 32: (301, 701), 33: (153, 553), 34: (190, 590), 35: (285, 685), 36: (189, 589), 37: (137, 537), 38: (311, 711), 39: (156, 556), 40: (121, 521), 41: (267, 667), 42: (225, 625), 43: (112, 512), 44: (93, 493), 45: (330, 730), 46: (26, 426), 47: (256, 656), 48: (134, 534), 49: (253, 653), 50: (296, 696), 51: (205, 605), 52: (68, 468), 53: (125, 525), 54: (84, 484), 55: (281, 681), 56: (185, 585), 57: (37, 437), 58: (210, 610), 59: (130, 530), 60: (134, 534), 61: (159, 559), 62: (156, 556), 63: (302, 702), 64: (171, 571), 65: (189, 589), 66: (194, 594), 67: (101, 501), 68: (79, 479), 69: (83, 483), 70: (256, 656), 71: (188, 588), 72: (104, 504), 73: (47, 447), 74: (227, 627), 75: (171, 571), 76: (333, 733), 77: (289, 689), 78: (259, 659), 79: (290, 690), 80: (317, 717), 81: (543, 943), 82: (419, 819), 83: (223, 623), 84: (420, 820), 85: (342, 742), 86: (444, 844), 87: (590, 990), 88: (394, 794), 89: (511, 911), 90: (220, 620), 91: (687, 1087), 92: (412, 812), 93: (181, 581), 94: (244, 644), 95: (370, 770), 96: (246, 646), 97: (632, 1032), 98: (410, 810), 99: (262, 662), 100: (244, 644), 101: (528, 928), 102: (385, 785), 103: (563, 963), 104: (498, 898), 105: (478, 878), 106: (327, 727), 107: (368, 768), 108: (392, 792), 109: (438, 838), 110: (611, 1011), 111: (415, 815), 112: (446, 846), 113: (361, 761), 114: (570, 970), 115: (420, 820), 116: (563, 963), 117: (383, 783), 118: (492, 892), 119: (418, 818), 120: (491, 891), 121: (480, 880), 122: (620, 1020), 123: (409, 809), 124: (274, 674), 125: (599, 999), 126: (232, 632), 127: (549, 949), 128: (256, 656), 129: (464, 864), 130: (535, 935), 131: (469, 869), 132: (417, 817), 133: (472, 872), 134: (434, 834), 135: (552, 952), 136: (536, 936), 137: (121, 521), 138: (577, 977), 139: (332, 732), 140: (274, 674), 141: (437, 837), 142: (412, 812), 143: (581, 981), 144: (312, 712), 145: (439, 839), 146: (392, 792), 147: (428, 828), 148: (373, 773), 149: (304, 704), 150: (536, 936), 151: (539, 939), 152: (425, 825), 153: (420, 820), 154: (473, 873), 155: (415, 815), 156: (577, 977), 157: (661, 1061), 158: (500, 900), 159: (380, 780), 160: (604, 1004)}
transfer nodes departure time: {161: 465, 162: 496, 163: 527, 164: 558, 165: 1628, 166: 1650, 167: 1671, 168: 1692, 169: 90, 170: 111, 171: 132, 172: 154, 173: 1567, 174: 1591, 175: 1615, 176: 1639, 177: 1715, 178: 1743, 179: 1771, 180: 1799, 181: 1162, 182: 1187, 183: 1212, 184: 1238, 185: 1713, 186: 1781}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 81): (196.9771560359221, 984.8857801796105, False)
   (1, 162): (126.77539193392383, 633.8769596696192, False)
   (1, 163): (68.60029154456998, 343.0014577228499, False)
   (1, 164): (56.88585061331157, 284.42925306655786, False)
   (1, 165): (212.25691979297164, 1061.284598964858, False)
   (1, 166): (172.13076424625552, 860.6538212312776, False)
   (1, 167): (137.17871555019022, 685.8935777509511, False)
   (1, 168): (111.7899816620434, 558.949908310217, False)
   (1, 173): (92.09777413162601, 460.48887065813005, False)
   (1, 174): (46.17358552246078, 230.8679276123039, False)
   (1, 175): (38.948684188300895, 194.74342094150447, False)
   (1, 176): (82.21921916437786, 411.0960958218893, False)
   (1, 177): (71.00704190430693, 355.0352095215346, False)
   (1, 178): (84.29116205154607, 421.4558102577303, False)
   (1, 179): (131.55227098001768, 657.7613549000885, False)
   (1, 180): (189.6549498431296, 948.274749215648, False)
   (1, 181): (190.53870997778904, 952.6935498889452, False)
   (1, 182): (155.72411502397438, 778.6205751198719, False)
   (1, 183): (136.85028315644803, 684.2514157822402, False)
   (1, 184): (140.86873322352267, 704.3436661176133, False)
   (1, 185): (196.45101170520857, 982.2550585260428, False)
   (1, 186): (36.49657518178932, 182.4828759089466, False)
   (1, 187): (203.29781110479277, 1016.4890555239639, False)
   (1, 188): (198.00252523642217, 990.0126261821108, False)
   (1, 189): (202.03217565526538, 1010.1608782763269, False)
   (1, 190): (128.63125592172378, 643.1562796086189, False)
   (1, 191): (127.04723531033645, 635.2361765516822, False)
   (1, 192): (159.81239000778382, 799.0619500389191, False)
   (1, 193): (57.697486947006624, 288.4874347350331, False)
   (1, 194): (101.96568050084302, 509.8284025042151, False)
   (1, 195): (50.21951811795888, 251.09759058979438, False)
   (1, 196): (62.80127387243033, 314.00636936215164, False)
   (1, 197): (113.54734695271397, 567.7367347635699, False)
   (1, 198): (108.45275469069469, 542.2637734534735, False)
   (1, 199): (114.63420083029322, 573.1710041514661, False)
   (1, 200): (103.07764064044152, 515.3882032022076, False)
   (1, 201): (114.17968295629481, 570.898414781474, False)
   (1, 202): (84.00595217006948, 420.0297608503474, False)
   (1, 203): (86.33075929238663, 431.65379646193315, False)
   (1, 204): (129.0155029444136, 645.077514722068, False)
   (1, 205): (209.69501663129716, 1048.4750831564859, False)
   (1, 206): (77.4919350642375, 387.4596753211875, False)
   (1, 207): (93.30058949438637, 466.50294747193186, False)
   (1, 208): (179.60512242138307, 898.0256121069153, False)
   (1, 209): (128.51459061133875, 642.5729530566937, False)
   (1, 210): (48.27007354458868, 241.35036772294342, False)
   (1, 211): (104.00480758118829, 520.0240379059414, False)
   (1, 212): (35.38361202590826, 176.91806012954132, False)
   (1, 213): (89.94442728707543, 449.72213643537714, False)
   (1, 214): (46.84015371452148, 234.2007685726074, False)
   (1, 215): (29.206163733020468, 146.03081866510234, False)
   (1, 216): (121.06196760337245, 605.3098380168623, False)
   (1, 217): (62.0966987850401, 310.4834939252005, False)
   (1, 218): (5.830951894845301, 29.154759474226502, False)
   (1, 219): (141.088624630053, 705.443123150265, False)
   (1, 220): (108.00462953040486, 540.0231476520242, False)
   (1, 221): (73.00684899377592, 365.0342449688796, False)
   (2, 82): (112.60994627474076, 563.0497313737038, False)
   (2, 161): (101.11874208078342, 505.5937104039171, False)
   (2, 162): (51.15662224971465, 255.78311124857325, False)
   (2, 163): (69.77822009767804, 348.89110048839024, False)
   (2, 164): (132.30646242719968, 661.5323121359984, False)
   (2, 165): (150.63200191194434, 753.1600095597217, False)
   (2, 166): (103.76897416858277, 518.8448708429139, False)
   (2, 167): (59.90826320300064, 299.5413160150032, False)
   (2, 168): (30.0, 150.0, False)
   (2, 173): (53.150729063673246, 265.75364531836624, False)
   (2, 174): (93.1933474020544, 465.966737010272, False)
   (2, 175): (142.86357128393507, 714.3178564196753, False)
   (2, 176): (194.91793144808406, 974.5896572404204, False)
   (2, 177): (121.1486689980538, 605.743344990269, False)
   (2, 178): (59.682493245507096, 298.4124662275355, False)
   (2, 179): (24.186773244895647, 120.93386622447824, False)
   (2, 180): (77.17512552629896, 385.8756276314948, False)
   (2, 181): (74.24284477308234, 371.21422386541167, False)
   (2, 182): (86.53900854527974, 432.6950427263987, False)
   (2, 183): (127.0, 635.0, False)
   (2, 184): (178.27226368675525, 891.3613184337762, False)
   (2, 185): (66.48308055437865, 332.41540277189324, False)
   (2, 186): (111.5212984142491, 557.6064920712455, False)
   (2, 187): (111.07204868912791, 555.3602434456395, False)
   (2, 188): (186.70297265978385, 933.5148632989193, False)
   (2, 189): (135.91173606425605, 679.5586803212802, False)
   (2, 190): (11.0, 55.0, False)
   (2, 191): (13.038404810405298, 65.1920240520265, False)
   (2, 192): (96.00520819205592, 480.0260409602796, False)
   (2, 193): (97.86725703727473, 489.33628518637363, False)
   (2, 194): (198.04039991880444, 990.2019995940223, False)
   (2, 195): (88.63972021616495, 443.19860108082474, False)
   (2, 196): (81.39410298049853, 406.97051490249265, False)
   (2, 197): (191.41577782408638, 957.0788891204319, False)
   (2, 198): (168.24089871371942, 841.2044935685971, False)
   (2, 199): (163.17475294910057, 815.8737647455029, False)
   (2, 200): (155.80115532305913, 779.0057766152956, False)
   (2, 201): (33.61547262794322, 168.0773631397161, False)
   (2, 202): (193.2097306038182, 966.048653019091, False)
   (2, 203): (52.15361924162119, 260.768096208106, False)
   (2, 204): (228.114006584427, 1140.570032922135, False)
   (2, 205): (186.96791168540125, 934.8395584270063, False)
   (2, 206): (103.3537614216338, 516.7688071081691, False)
   (2, 207): (101.84301645179212, 509.2150822589606, False)
   (2, 208): (192.06509313251067, 960.3254656625534, False)
   (2, 209): (200.0024999843752, 1000.0124999218759, False)
   (2, 210): (134.21251804507656, 671.0625902253828, False)
   (2, 211): (143.5687988387449, 717.8439941937245, False)
   (2, 212): (130.9083648969767, 654.5418244848836, False)
