All relevant information about the map is below:

Total # of nodes: 220
# of robots: 85, robots_origin_location: {183: {56, 80, 67}, 184: {61, 30}, 185: {4}, 186: {19, 32, 11}, 187: {3}, 188: {78, 52, 60}, 189: {23}, 190: {75, 84, 38}, 191: {35, 21, 15}, 192: {6}, 193: {24, 57, 62}, 194: {10, 83, 76}, 195: {28, 53, 14}, 196: {43, 55}, 197: {40, 41, 42}, 198: set(), 199: {70, 29, 54}, 200: {45, 37, 71}, 201: {81, 34}, 202: {16}, 203: {17, 77, 33}, 204: {31}, 205: {47}, 206: {26, 27, 39}, 207: {8, 72, 5}, 208: {64, 18}, 209: {9}, 210: {51, 68, 69}, 211: {48, 59}, 212: {58, 44, 7}, 213: {50, 74, 79}, 214: {85, 13, 63}, 215: {1, 2, 22}, 216: {66}, 217: {65}, 218: {25, 12, 46}, 219: {49, 20}, 220: {73, 82, 36}}
# of requests: 80, request_pairs: [(1, 81), (2, 82), (3, 83), (4, 84), (5, 85), (6, 86), (7, 87), (8, 88), (9, 89), (10, 90), (11, 91), (12, 92), (13, 93), (14, 94), (15, 95), (16, 96), (17, 97), (18, 98), (19, 99), (20, 100), (21, 101), (22, 102), (23, 103), (24, 104), (25, 105), (26, 106), (27, 107), (28, 108), (29, 109), (30, 110), (31, 111), (32, 112), (33, 113), (34, 114), (35, 115), (36, 116), (37, 117), (38, 118), (39, 119), (40, 120), (41, 121), (42, 122), (43, 123), (44, 124), (45, 125), (46, 126), (47, 127), (48, 128), (49, 129), (50, 130), (51, 131), (52, 132), (53, 133), (54, 134), (55, 135), (56, 136), (57, 137), (58, 138), (59, 139), (60, 140), (61, 141), (62, 142), (63, 143), (64, 144), (65, 145), (66, 146), (67, 147), (68, 148), (69, 149), (70, 150), (71, 151), (72, 152), (73, 153), (74, 154), (75, 155), (76, 156), (77, 157), (78, 158), (79, 159), (80, 160)]
# of depots: 38, depot nodes: [183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220]
# of service lines: 3
# of num transfers: 22, service lines mapping: {1: [161, 162, 163, 164, 165, 166, 167, 168], 2: [169, 170, 171, 172, 173, 174, 175, 176], 3: [177, 178, 179, 180, 181, 182]}
public transportation factor: 0.8
map_size: 220
outsourcing cost: 9166
robots max travel time: 340
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 0
transfer service time: 2
request nodes time windows: {1: (57, 457), 2: (32, 432), 3: (45, 445), 4: (87, 487), 5: (91, 491), 6: (199, 599), 7: (323, 723), 8: (52, 452), 9: (229, 629), 10: (27, 427), 11: (28, 428), 12: (62, 462), 13: (273, 673), 14: (243, 643), 15: (172, 572), 16: (273, 673), 17: (321, 721), 18: (237, 637), 19: (221, 621), 20: (90, 490), 21: (195, 595), 22: (51, 451), 23: (302, 702), 24: (180, 580), 25: (76, 476), 26: (73, 473), 27: (96, 496), 28: (233, 633), 29: (337, 737), 30: (28, 428), 31: (242, 642), 32: (332, 732), 33: (82, 482), 34: (98, 498), 35: (272, 672), 36: (255, 655), 37: (31, 431), 38: (85, 485), 39: (338, 738), 40: (56, 456), 41: (39, 439), 42: (91, 491), 43: (20, 420), 44: (59, 459), 45: (346, 746), 46: (299, 699), 47: (182, 582), 48: (107, 507), 49: (63, 463), 50: (148, 548), 51: (219, 619), 52: (143, 543), 53: (114, 514), 54: (227, 627), 55: (101, 501), 56: (99, 499), 57: (261, 661), 58: (58, 458), 59: (259, 659), 60: (275, 675), 61: (277, 677), 62: (323, 723), 63: (342, 742), 64: (298, 698), 65: (208, 608), 66: (335, 735), 67: (267, 667), 68: (176, 576), 69: (138, 538), 70: (235, 635), 71: (230, 630), 72: (122, 522), 73: (58, 458), 74: (292, 692), 75: (348, 748), 76: (107, 507), 77: (262, 662), 78: (213, 613), 79: (105, 505), 80: (231, 631), 81: (372, 772), 82: (269, 669), 83: (233, 633), 84: (416, 816), 85: (394, 794), 86: (445, 845), 87: (662, 1062), 88: (236, 636), 89: (573, 973), 90: (305, 705), 91: (179, 579), 92: (428, 828), 93: (631, 1031), 94: (545, 945), 95: (291, 691), 96: (457, 857), 97: (523, 923), 98: (423, 823), 99: (433, 833), 100: (156, 556), 101: (480, 880), 102: (337, 737), 103: (617, 1017), 104: (325, 725), 105: (403, 803), 106: (437, 837), 107: (471, 871), 108: (544, 944), 109: (713, 1113), 110: (269, 669), 111: (509, 909), 112: (695, 1095), 113: (480, 880), 114: (435, 835), 115: (462, 862), 116: (328, 728), 117: (303, 703), 118: (335, 735), 119: (643, 1043), 120: (217, 617), 121: (236, 636), 122: (394, 794), 123: (269, 669), 124: (312, 712), 125: (652, 1052), 126: (615, 1015), 127: (495, 895), 128: (413, 813), 129: (149, 549), 130: (526, 926), 131: (268, 668), 132: (343, 743), 133: (425, 825), 134: (510, 910), 135: (252, 652), 136: (203, 603), 137: (521, 921), 138: (429, 829), 139: (659, 1059), 140: (661, 1061), 141: (376, 776), 142: (635, 1035), 143: (619, 1019), 144: (442, 842), 145: (590, 990), 146: (624, 1024), 147: (473, 873), 148: (378, 778), 149: (475, 875), 150: (442, 842), 151: (375, 775), 152: (357, 757), 153: (219, 619), 154: (481, 881), 155: (747, 1147), 156: (349, 749), 157: (618, 1018), 158: (493, 893), 159: (322, 722), 160: (362, 762)}
transfer nodes departure time: {161: 1688, 162: 1711, 163: 1734, 164: 1757, 165: 1780, 166: 1803, 167: 1826, 168: 1860, 169: 65, 170: 83, 171: 101, 172: 119, 173: 137, 174: 155, 175: 173, 176: 191, 177: 76, 178: 104, 179: 133, 180: 161, 181: 190, 182: 227}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 81): (31.400636936215164, 157.00318468107582, False)
   (1, 161): (191.65855055279948, 958.2927527639974, False)
   (1, 162): (169.9941175452845, 849.9705877264225, False)
   (1, 163): (149.61617559608987, 748.0808779804494, False)
   (1, 164): (131.12589370524802, 655.6294685262401, False)
   (1, 165): (115.43396380615195, 577.1698190307598, False)
   (1, 166): (103.81714694596457, 519.0857347298229, False)
   (1, 167): (97.73944955850733, 488.69724779253664, False)
   (1, 168): (101.21264743103995, 506.0632371551998, False)
   (1, 175): (110.57124400132251, 552.8562200066126, False)
   (1, 176): (116.21101496846157, 581.0550748423078, False)
   (1, 179): (73.55270219373317, 367.76351096866586, False)
   (1, 180): (44.181444068749045, 220.90722034374522, False)
   (1, 181): (22.02271554554524, 110.1135777277262, False)
   (1, 182): (42.20189569201838, 211.0094784600919, False)
   (1, 183): (166.42415690037308, 832.1207845018654, False)
   (1, 184): (137.3062270984095, 686.5311354920475, False)
   (1, 185): (96.17692030835673, 480.88460154178364, False)
   (1, 186): (153.05227865013967, 765.2613932506983, False)
   (1, 187): (30.0, 150.0, False)
   (1, 188): (120.83045973594572, 604.1522986797286, False)
   (1, 189): (31.016124838541646, 155.08062419270823, False)
   (1, 190): (75.8946638440411, 379.47331922020555, False)
   (1, 191): (75.66372975210778, 378.3186487605389, False)
   (1, 192): (64.07027391856539, 320.3513695928269, False)
   (1, 193): (142.57980221616245, 712.8990110808122, False)
   (1, 194): (90.2551937563706, 451.275968781853, False)
   (1, 195): (26.0, 130.0, False)
   (1, 196): (110.3177229641729, 551.5886148208644, False)
   (1, 197): (127.81627439414747, 639.0813719707373, False)
   (1, 198): (111.66467659918243, 558.3233829959122, False)
   (1, 199): (97.29337079164233, 486.4668539582117, False)
   (1, 200): (151.4859729479928, 757.4298647399639, False)
   (1, 201): (59.23681287847955, 296.1840643923977, False)
   (1, 202): (108.30050784737807, 541.5025392368904, False)
   (1, 203): (59.80802621722272, 299.0401310861136, False)
   (1, 204): (156.08010763707205, 780.4005381853602, False)
   (1, 205): (14.866068747318506, 74.33034373659252, False)
   (1, 206): (51.66236541235796, 258.3118270617898, False)
   (1, 207): (65.19202405202648, 325.9601202601324, False)
   (1, 208): (7.615773105863909, 38.07886552931954, False)
   (1, 209): (172.40939649566667, 862.0469824783333, False)
   (1, 210): (110.11357772772621, 550.5678886386311, False)
   (1, 211): (73.00684899377592, 365.0342449688796, False)
   (1, 212): (70.76722405181653, 353.83612025908263, False)
   (1, 213): (57.0350769263968, 285.175384631984, False)
   (1, 214): (132.38202294873727, 661.9101147436863, False)
   (1, 215): (134.23859355639868, 671.1929677819934, False)
   (1, 216): (79.64923100695951, 398.24615503479754, False)
   (1, 217): (109.01834707974616, 545.0917353987309, False)
   (1, 218): (89.00561780022652, 445.02808900113257, False)
   (1, 219): (124.82387592123551, 624.1193796061775, False)
   (1, 220): (147.49237268414933, 737.4618634207467, False)
   (2, 82): (18.027756377319946, 90.13878188659973, False)
   (2, 161): (61.85466837676846, 309.2733418838423, False)
   (2, 162): (38.948684188300895, 194.74342094150447, False)
   (2, 163): (23.021728866442675, 115.10864433221337, False)
   (2, 164): (29.410882339705484, 147.05441169852742, False)
   (2, 165): (50.21951811795888, 251.09759058979438, False)
   (2, 166): (74.16872656315464, 370.84363281577316, False)
   (2, 167): (99.00505037623081, 495.0252518811541, False)
   (2, 168): (137.3644786689776, 686.822393344888, False)
   (2, 173): (93.17188417113823, 465.85942085569116, False)
   (2, 174): (73.97972695272672, 369.8986347636336, False)
   (2, 175): (54.817880294662984, 274.0894014733149, False)
   (2, 176): (35.4400902933387, 177.2004514666935, False)
   (2, 179): (90.09439494219383, 450.47197471096916, False)
   (2, 180): (110.69326989478628, 553.4663494739314, False)
   (2, 181): (136.2130683891968, 681.065341945984, False)
   (2, 182): (173.11268006705922, 865.5634003352961, False)
   (2, 183): (39.21734310225516, 196.08671551127577, False)
   (2, 184): (151.90786681406595, 759.5393340703298, False)
   (2, 185): (159.05030650709227, 795.2515325354614, False)
   (2, 186): (33.13608305156178, 165.68041525780893, False)
   (2, 187): (154.76756766196203, 773.8378383098102, False)
   (2, 188): (137.5245432641025, 687.6227163205125, False)
   (2, 189): (160.41508657230466, 802.0754328615233, False)
   (2, 190): (181.29809706668186, 906.4904853334093, False)
   (2, 191): (206.59622455408038, 1032.981122770402, False)
   (2, 192): (193.7937047481161, 968.9685237405806, False)
   (2, 193): (24.166091947189145, 120.83045973594572, False)
   (2, 194): (72.56031973468694, 362.8015986734347, False)
   (2, 195): (125.03199590504823, 625.1599795252412, False)
   (2, 196): (165.0969412193939, 825.4847060969695, False)
   (2, 197): (134.2013412749664, 671.006706374832, False)
   (2, 198): (28.0, 140.0, False)
   (2, 199): (108.04165863221463, 540.2082931610731, False)
   (2, 200): (25.317977802344327, 126.58988901172164, False)
   (2, 201): (124.1933975700802, 620.966987850401, False)
   (2, 202): (239.0188277102873, 1195.0941385514366, False)
   (2, 203): (122.97154142320898, 614.8577071160448, False)
   (2, 204): (45.69463863518345, 228.47319317591726, False)
   (2, 205): (138.80922159568507, 694.0461079784254, False)
   (2, 206): (110.92339699089638, 554.616984954482, False)
   (2, 207): (146.70037491431302, 733.501874571565, False)
   (2, 208): (124.19742348374221, 620.987117418711, False)
   (2, 209): (43.657759905886145, 218.28879952943072, False)
   (2, 210): (36.22154055254967, 181.10770276274835, False)
   (2, 211): (58.7962583843564, 293.981291921782, False)
   (2, 212): (154.98709623707387, 774.9354811853693, False)
   (2, 213): (100.57832768544127, 502.8916384272063, False)
   (2, 214): (35.805027579936315, 179.02513789968157, False)
   (2, 215): (54.67174773134658, 273.3587386567329, False)
   (2, 216): (137.05838172107534, 685.2919086053766, False)
   (2, 217): (102.39140588936164, 511.9570294468082, False)
