All relevant information about the map is below:

Total # of nodes: 232
# of robots: 86, robots_origin_location: {194: set(), 195: {25, 34, 67}, 196: {2, 22}, 197: {28, 54, 47}, 198: {32, 74, 11}, 199: {1, 10, 19}, 200: {84}, 201: {64, 46}, 202: {8, 13}, 203: {18, 35, 86}, 204: {77, 78}, 205: {4}, 206: {56, 66, 55}, 207: {16, 57, 36}, 208: {75, 59, 76}, 209: {60}, 210: {48, 20, 70}, 211: {41, 39, 15}, 212: {81, 9, 30}, 213: {17, 85, 53}, 214: {61, 62}, 215: {21, 14, 23}, 216: {82, 37}, 217: {80, 43}, 218: {44, 29, 79}, 219: {33}, 220: {72, 51}, 221: {49, 83, 38}, 222: {27, 69, 7}, 223: {40, 42, 58}, 224: {50}, 225: {63}, 226: {12}, 227: {24, 3, 71}, 228: {65, 5, 31}, 229: {26, 52, 45}, 230: set(), 231: {73, 68, 6}, 232: set()}
# of requests: 81, request_pairs: [(1, 82), (2, 83), (3, 84), (4, 85), (5, 86), (6, 87), (7, 88), (8, 89), (9, 90), (10, 91), (11, 92), (12, 93), (13, 94), (14, 95), (15, 96), (16, 97), (17, 98), (18, 99), (19, 100), (20, 101), (21, 102), (22, 103), (23, 104), (24, 105), (25, 106), (26, 107), (27, 108), (28, 109), (29, 110), (30, 111), (31, 112), (32, 113), (33, 114), (34, 115), (35, 116), (36, 117), (37, 118), (38, 119), (39, 120), (40, 121), (41, 122), (42, 123), (43, 124), (44, 125), (45, 126), (46, 127), (47, 128), (48, 129), (49, 130), (50, 131), (51, 132), (52, 133), (53, 134), (54, 135), (55, 136), (56, 137), (57, 138), (58, 139), (59, 140), (60, 141), (61, 142), (62, 143), (63, 144), (64, 145), (65, 146), (66, 147), (67, 148), (68, 149), (69, 150), (70, 151), (71, 152), (72, 153), (73, 154), (74, 155), (75, 156), (76, 157), (77, 158), (78, 159), (79, 160), (80, 161), (81, 162)]
# of depots: 39, depot nodes: [194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232]
# of service lines: 7
# of num transfers: 31, service lines mapping: {1: [163, 164, 165, 166, 167], 2: [168, 169, 170, 171, 172], 3: [173, 174, 175, 176, 177], 4: [178, 179, 180, 181, 182], 5: [183, 184, 185, 186, 187], 6: [188, 189, 190, 191, 192], 7: [193]}
public transportation factor: 0.6
map_size: 232
outsourcing cost: 7083
robots max travel time: 901
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 8
transfer service time: 2
request nodes time windows: {1: (379, 779), 2: (261, 661), 3: (201, 601), 4: (191, 591), 5: (266, 666), 6: (311, 711), 7: (37, 437), 8: (305, 705), 9: (149, 549), 10: (93, 493), 11: (233, 633), 12: (88, 488), 13: (347, 747), 14: (264, 664), 15: (307, 707), 16: (318, 718), 17: (204, 604), 18: (136, 536), 19: (327, 727), 20: (295, 695), 21: (372, 772), 22: (346, 746), 23: (227, 627), 24: (222, 622), 25: (239, 639), 26: (253, 653), 27: (258, 658), 28: (309, 709), 29: (343, 743), 30: (145, 545), 31: (68, 468), 32: (148, 548), 33: (351, 751), 34: (319, 719), 35: (140, 540), 36: (148, 548), 37: (133, 533), 38: (65, 465), 39: (266, 666), 40: (294, 694), 41: (53, 453), 42: (224, 624), 43: (179, 579), 44: (151, 551), 45: (326, 726), 46: (100, 500), 47: (270, 670), 48: (289, 689), 49: (135, 535), 50: (99, 499), 51: (308, 708), 52: (100, 500), 53: (190, 590), 54: (214, 614), 55: (32, 432), 56: (280, 680), 57: (67, 467), 58: (374, 774), 59: (212, 612), 60: (153, 553), 61: (212, 612), 62: (113, 513), 63: (170, 570), 64: (298, 698), 65: (333, 733), 66: (119, 519), 67: (331, 731), 68: (319, 719), 69: (287, 687), 70: (352, 752), 71: (363, 763), 72: (192, 592), 73: (274, 674), 74: (291, 691), 75: (322, 722), 76: (112, 512), 77: (329, 729), 78: (294, 694), 79: (126, 526), 80: (141, 541), 81: (188, 588), 82: (719, 1119), 83: (569, 969), 84: (430, 830), 85: (441, 841), 86: (506, 906), 87: (611, 1011), 88: (246, 646), 89: (553, 953), 90: (544, 944), 91: (294, 694), 92: (427, 827), 93: (351, 751), 94: (534, 934), 95: (649, 1049), 96: (536, 936), 97: (461, 861), 98: (507, 907), 99: (401, 801), 100: (716, 1116), 101: (623, 1023), 102: (631, 1031), 103: (666, 1066), 104: (371, 771), 105: (476, 876), 106: (612, 1012), 107: (454, 854), 108: (358, 758), 109: (586, 986), 110: (645, 1045), 111: (448, 848), 112: (332, 732), 113: (382, 782), 114: (573, 973), 115: (635, 1035), 116: (405, 805), 117: (402, 802), 118: (376, 776), 119: (351, 751), 120: (612, 1012), 121: (518, 918), 122: (360, 760), 123: (488, 888), 124: (561, 961), 125: (509, 909), 126: (492, 892), 127: (261, 661), 128: (561, 961), 129: (545, 945), 130: (343, 743), 131: (343, 743), 132: (709, 1109), 133: (310, 710), 134: (464, 864), 135: (505, 905), 136: (272, 672), 137: (579, 979), 138: (168, 568), 139: (749, 1149), 140: (427, 827), 141: (516, 916), 142: (436, 836), 143: (396, 796), 144: (241, 641), 145: (655, 1055), 146: (586, 986), 147: (459, 859), 148: (629, 1029), 149: (412, 812), 150: (613, 1013), 151: (594, 994), 152: (679, 1079), 153: (451, 851), 154: (440, 840), 155: (642, 1042), 156: (545, 945), 157: (392, 792), 158: (605, 1005), 159: (665, 1065), 160: (329, 729), 161: (394, 794), 162: (318, 718)}
transfer nodes departure time: {163: 1655, 164: 1685, 165: 1715, 166: 1746, 167: 1778, 168: 582, 169: 612, 170: 642, 171: 672, 172: 704, 173: 1110, 174: 1134, 175: 1158, 176: 1183, 177: 1209, 178: 874, 179: 911, 180: 949, 181: 986, 182: 1027, 183: 835, 184: 866, 185: 897, 186: 928, 187: 962, 188: 245, 189: 269, 190: 293, 191: 317, 192: 341, 193: 844}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 82): (146.87409574189726, 734.3704787094863, False)
   (1, 163): (198.40614909825754, 992.0307454912877, False)
   (1, 164): (163.0828010551695, 815.4140052758476, False)
   (1, 165): (134.80726983364065, 674.0363491682033, False)
   (1, 166): (118.1905241548577, 590.9526207742884, False)
   (1, 167): (120.20815280171308, 601.0407640085655, False)
   (1, 168): (190.06577808748213, 950.3288904374107, False)
   (1, 169): (161.00310556011024, 805.0155278005512, False)
   (1, 170): (141.0319112825179, 705.1595564125896, False)
   (1, 171): (134.52880732393342, 672.6440366196671, False)
   (1, 172): (144.5856147754679, 722.9280738773394, False)
   (1, 173): (240.84019598065436, 1204.2009799032717, False)
   (1, 174): (206.11889772653063, 1030.594488632653, False)
   (1, 175): (172.18594600024707, 860.9297300012354, False)
   (1, 176): (139.20488497175666, 696.0244248587833, False)
   (1, 177): (107.93516572461452, 539.6758286230726, False)
   (1, 178): (211.28653530218153, 1056.4326765109076, False)
   (1, 179): (163.8108665504215, 819.0543327521075, False)
   (1, 180): (125.0, 625.0, False)
   (1, 181): (107.35455276791944, 536.7727638395972, False)
   (1, 182): (121.80722474467596, 609.0361237233798, False)
   (1, 183): (218.27734651126764, 1091.3867325563383, False)
   (1, 184): (193.1553778697347, 965.7768893486735, False)
   (1, 185): (177.80044994318772, 889.0022497159385, False)
   (1, 186): (174.80560631741764, 874.0280315870882, False)
   (1, 187): (185.52088831180168, 927.6044415590084, False)
   (1, 193): (19.697715603592208, 98.48857801796103, False)
   (1, 194): (175.30829986055994, 876.5414993027997, False)
   (1, 195): (196.32880583347927, 981.6440291673963, False)
   (1, 196): (92.76313923105448, 463.8156961552724, False)
   (1, 197): (200.58414693090776, 1002.9207346545388, False)
   (1, 198): (140.57738082636197, 702.8869041318098, False)
   (1, 199): (37.33630940518894, 186.68154702594472, False)
   (1, 200): (191.65072397463047, 958.2536198731523, False)
   (1, 201): (199.46177578674065, 997.3088789337032, False)
   (1, 202): (202.82997806044352, 1014.1498903022176, False)
   (1, 203): (201.6953147695801, 1008.4765738479006, False)
   (1, 204): (129.0348790056394, 645.174395028197, False)
   (1, 205): (202.98768435548004, 1014.9384217774002, False)
   (1, 206): (136.01470508735443, 680.0735254367721, False)
   (1, 207): (182.8332573685652, 914.166286842826, False)
   (1, 208): (25.942243542145693, 129.71121771072848, False)
   (1, 209): (135.0148140020198, 675.0740700100989, False)
   (1, 210): (204.38444167793205, 1021.9222083896602, False)
   (1, 211): (93.7709976485267, 468.8549882426335, False)
   (1, 212): (239.14012628582432, 1195.7006314291216, False)
   (1, 213): (116.1077086157504, 580.538543078752, False)
   (1, 214): (185.15128949051368, 925.7564474525684, False)
   (1, 215): (206.72929158684795, 1033.6464579342398, False)
   (1, 216): (151.02979838429235, 755.1489919214617, False)
   (1, 217): (172.70784579746226, 863.5392289873113, False)
   (1, 218): (96.83491106000976, 484.1745553000488, False)
   (1, 219): (63.15853069855251, 315.79265349276255, False)
   (1, 220): (104.58011283222064, 522.9005641611031, False)
   (1, 221): (106.96261028976434, 534.8130514488217, False)
   (1, 222): (210.440015206234, 1052.20007603117, False)
   (1, 223): (227.7827912727386, 1138.913956363693, False)
   (1, 224): (109.01834707974616, 545.0917353987309, False)
   (1, 225): (197.4968354176846, 987.4841770884229, False)
   (1, 226): (195.38935487891862, 976.9467743945931, False)
   (1, 227): (274.3155117743071, 1371.5775588715355, False)
   (1, 228): (191.3243319601561, 956.6216598007804, False)
   (1, 229): (234.4397577204003, 1172.1987886020015, False)
   (1, 230): (133.68619973654722, 668.4309986827361, False)
   (1, 231): (231.68297304722245, 1158.4148652361123, False)
   (1, 232): (206.86710710018642, 1034.335535500932, False)
   (2, 83): (227.1079038695043, 1135.5395193475215, False)
   (2, 163): (195.49424543960367, 977.4712271980184, False)
   (2, 164): (149.18780110987626, 745.9390055493814, False)
   (2, 165): (103.16006979447037, 515.8003489723519, False)
   (2, 166): (57.07889277132134, 285.3944638566067, False)
   (2, 167): (19.4164878389476, 97.082439194738, False)
   (2, 168): (88.54377448471462, 442.7188724235731, False)
   (2, 169): (71.7007670809734, 358.503835404867, False)
   (2, 170): (81.39410298049853, 406.97051490249265, False)
   (2, 171): (111.12605455067681, 555.630272753384, False)
   (2, 172): (152.5319638633162, 762.659819316581, False)
   (2, 173): (166.5322791533221, 832.6613957666104, False)
   (2, 174): (130.0, 650.0, False)
   (2, 175): (93.53608929178085, 467.68044645890427, False)
   (2, 176): (56.36488268416781, 281.82441342083905, False)
   (2, 177): (19.1049731745428, 95.524865872714, False)
   (2, 178): (215.3903433304288, 1076.9517166521441, False)
   (2, 179): (157.16551784663199, 785.8275892331599, False)
   (2, 180): (98.08159868191383, 490.40799340956914, False)
   (2, 181): (40.44749683231337, 202.23748416156684, False)
   (2, 182): (26.90724809414742, 134.53624047073708, False)
   (2, 183): (216.48094604375694, 1082.4047302187846, False)
   (2, 184): (174.26416728633572, 871.3208364316786, False)
   (2, 185): (136.0588108135596, 680.294054067798, False)
   (2, 186): (106.28264204469139, 531.4132102234569, False)
   (2, 187): (92.84934033152847, 464.24670165764235, False)
   (2, 192): (77.83315488916018, 389.16577444580093, False)
   (2, 193): (121.80722474467596, 609.0361237233798, False)
   (2, 194): (84.86459803710851, 424.32299018554255, False)
   (2, 195): (94.86832980505137, 474.34164902525686, False)
   (2, 196): (65.5133574166368, 327.56678708318395, False)
   (2, 197): (197.12178976460214, 985.6089488230107, False)
   (2, 198): (181.8378398463862, 909.1891992319311, False)
   (2, 199): (66.91038783328041, 334.55193916640206, False)
   (2, 200): (115.48592987892508, 577.4296493946254, False)
   (2, 201): (166.01204775557707, 830.0602387778854, False)
   (2, 202): (102.31813133555558, 511.5906566777779, False)
   (2, 203): (174.41330224498358, 872.0665112249179, False)
   (2, 204): (158.52129194527782, 792.6064597263892, False)
   (2, 205): (99.98499887483122, 499.9249943741561, False)
   (2, 206): (106.51291001564083, 532.5645500782041, False)
   (2, 207): (88.86506625215557, 444.32533126077783, False)
   (2, 208): (82.0, 410.0, False)
   (2, 209): (32.2490309931942, 161.24515496597098, False)
