All relevant information about the map is below:

Total # of nodes: 216
# of robots: 79, robots_origin_location: {202: {3, 73, 42, 74, 62}, 203: {6, 39, 41, 57, 27, 31}, 204: {76, 13, 14, 77, 30, 63}, 205: {59, 12, 29, 78}, 206: {32, 67, 68, 43, 44, 24}, 207: {36, 15, 48, 18, 53, 22}, 208: {64, 37, 11, 51, 54, 25}, 209: {8, 46, 50, 20, 52, 28}, 210: {33, 2, 70, 40, 72, 26}, 211: {1, 66, 38, 10, 45}, 212: {65, 4, 16, 23, 55, 60}, 213: {35, 69, 71, 75, 79, 17}, 214: {5, 47, 19, 56, 58, 61}, 215: {34, 21, 7}, 216: {9, 49}}
# of requests: 85, request_pairs: [(1, 86), (2, 87), (3, 88), (4, 89), (5, 90), (6, 91), (7, 92), (8, 93), (9, 94), (10, 95), (11, 96), (12, 97), (13, 98), (14, 99), (15, 100), (16, 101), (17, 102), (18, 103), (19, 104), (20, 105), (21, 106), (22, 107), (23, 108), (24, 109), (25, 110), (26, 111), (27, 112), (28, 113), (29, 114), (30, 115), (31, 116), (32, 117), (33, 118), (34, 119), (35, 120), (36, 121), (37, 122), (38, 123), (39, 124), (40, 125), (41, 126), (42, 127), (43, 128), (44, 129), (45, 130), (46, 131), (47, 132), (48, 133), (49, 134), (50, 135), (51, 136), (52, 137), (53, 138), (54, 139), (55, 140), (56, 141), (57, 142), (58, 143), (59, 144), (60, 145), (61, 146), (62, 147), (63, 148), (64, 149), (65, 150), (66, 151), (67, 152), (68, 153), (69, 154), (70, 155), (71, 156), (72, 157), (73, 158), (74, 159), (75, 160), (76, 161), (77, 162), (78, 163), (79, 164), (80, 165), (81, 166), (82, 167), (83, 168), (84, 169), (85, 170)]
# of depots: 15, depot nodes: [202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216]
# of service lines: 7
# of num transfers: 31, service lines mapping: {1: [171, 172, 173, 174, 175], 2: [176, 177, 178, 179, 180], 3: [181, 182, 183, 184, 185], 4: [186, 187, 188, 189, 190], 5: [191, 192, 193, 194, 195], 6: [196, 197, 198, 199, 200], 7: [201]}
public transportation factor: 0.0
map_size: 216
outsourcing cost: 8333
robots max travel time: 1034
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 6
depot service time: 2
transfer capacity: 3
transfer service time: 2
request nodes time windows: {1: (284, 684), 2: (108, 508), 3: (50, 450), 4: (279, 679), 5: (123, 523), 6: (249, 649), 7: (297, 697), 8: (302, 702), 9: (255, 655), 10: (308, 708), 11: (197, 597), 12: (124, 524), 13: (326, 726), 14: (45, 445), 15: (136, 536), 16: (99, 499), 17: (64, 464), 18: (218, 618), 19: (37, 437), 20: (165, 565), 21: (140, 540), 22: (339, 739), 23: (173, 573), 24: (241, 641), 25: (194, 594), 26: (120, 520), 27: (82, 482), 28: (31, 431), 29: (78, 478), 30: (256, 656), 31: (247, 647), 32: (196, 596), 33: (143, 543), 34: (149, 549), 35: (51, 451), 36: (99, 499), 37: (301, 701), 38: (148, 548), 39: (148, 548), 40: (78, 478), 41: (240, 640), 42: (70, 470), 43: (260, 660), 44: (205, 605), 45: (222, 622), 46: (223, 623), 47: (277, 677), 48: (164, 564), 49: (312, 712), 50: (238, 638), 51: (182, 582), 52: (315, 715), 53: (298, 698), 54: (260, 660), 55: (223, 623), 56: (143, 543), 57: (162, 562), 58: (133, 533), 59: (25, 425), 60: (51, 451), 61: (285, 685), 62: (99, 499), 63: (320, 720), 64: (119, 519), 65: (220, 620), 66: (120, 520), 67: (205, 605), 68: (90, 490), 69: (187, 587), 70: (325, 725), 71: (132, 532), 72: (179, 579), 73: (80, 480), 74: (48, 448), 75: (31, 431), 76: (211, 611), 77: (180, 580), 78: (181, 581), 79: (97, 497), 80: (183, 583), 81: (331, 731), 82: (146, 546), 83: (226, 626), 84: (58, 458), 85: (102, 502), 86: (462, 862), 87: (283, 683), 88: (125, 525), 89: (583, 983), 90: (259, 659), 91: (554, 954), 92: (603, 1003), 93: (458, 858), 94: (600, 1000), 95: (523, 923), 96: (473, 873), 97: (409, 809), 98: (701, 1101), 99: (248, 648), 100: (391, 791), 101: (239, 639), 102: (318, 718), 103: (619, 1019), 104: (154, 554), 105: (325, 725), 106: (335, 735), 107: (602, 1002), 108: (372, 772), 109: (612, 1012), 110: (590, 990), 111: (393, 793), 112: (347, 747), 113: (397, 797), 114: (163, 563), 115: (613, 1013), 116: (558, 958), 117: (496, 896), 118: (418, 818), 119: (405, 805), 120: (359, 759), 121: (336, 736), 122: (417, 817), 123: (283, 683), 124: (397, 797), 125: (435, 835), 126: (616, 1016), 127: (343, 743), 128: (656, 1056), 129: (314, 714), 130: (610, 1010), 131: (431, 831), 132: (543, 943), 133: (398, 798), 134: (557, 957), 135: (312, 712), 136: (407, 807), 137: (704, 1104), 138: (524, 924), 139: (515, 915), 140: (485, 885), 141: (374, 774), 142: (431, 831), 143: (259, 659), 144: (194, 594), 145: (446, 846), 146: (501, 901), 147: (312, 712), 148: (672, 1072), 149: (397, 797), 150: (479, 879), 151: (302, 702), 152: (534, 934), 153: (223, 623), 154: (391, 791), 155: (705, 1105), 156: (526, 926), 157: (383, 783), 158: (152, 552), 159: (406, 806), 160: (161, 561), 161: (397, 797), 162: (361, 761), 163: (470, 870), 164: (270, 670), 165: (457, 857), 166: (694, 1094), 167: (412, 812), 168: (430, 830), 169: (321, 721), 170: (431, 831)}
transfer nodes departure time: {171: 534, 172: 536, 173: 538, 174: 540, 175: 542, 176: 639, 177: 641, 178: 643, 179: 645, 180: 647, 181: 788, 182: 790, 183: 792, 184: 794, 185: 796, 186: 1101, 187: 1103, 188: 1105, 189: 1107, 190: 1109, 191: 362, 192: 364, 193: 366, 194: 368, 195: 370, 196: 698, 197: 700, 198: 702, 199: 704, 200: 706, 201: 1226}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 86): (86.76404785393545, 433.82023926967724, False)
   (1, 171): (125.06398362438324, 625.3199181219162, False)
   (1, 172): (89.27485648266257, 446.37428241331287, False)
   (1, 173): (54.12947441089743, 270.64737205448716, False)
   (1, 174): (22.67156809750927, 113.35784048754634, False)
   (1, 175): (26.870057685088806, 134.35028842544403, False)
   (1, 176): (67.00746227100382, 335.0373113550191, False)
   (1, 177): (72.06247289678588, 360.3123644839294, False)
   (1, 178): (97.49871794028884, 487.4935897014442, False)
   (1, 179): (132.5745073534124, 662.872536767062, False)
   (1, 180): (175.64168070250295, 878.2084035125148, False)
   (1, 181): (51.54609587543949, 257.73047937719747, False)
   (1, 182): (31.76476034853718, 158.8238017426859, False)
   (1, 183): (44.721359549995796, 223.60679774997897, False)
   (1, 184): (75.69015788066504, 378.4507894033252, False)
   (1, 185): (119.54078801814885, 597.7039400907443, False)
   (1, 186): (130.49521064008442, 652.4760532004221, False)
   (1, 187): (96.25487000666512, 481.27435003332556, False)
   (1, 188): (69.29646455628166, 346.4823227814083, False)
   (1, 189): (58.855755878248644, 294.27877939124323, False)
   (1, 190): (76.05918747922567, 380.29593739612835, False)
   (1, 191): (50.566787519082126, 252.83393759541065, False)
   (1, 192): (29.068883707497267, 145.34441853748635, False)
   (1, 193): (56.72741841473134, 283.6370920736567, False)
   (1, 196): (48.25971404805462, 241.29857024027308, False)
   (1, 197): (35.84689665786984, 179.2344832893492, False)
   (1, 198): (64.51356446515724, 322.5678223257862, False)
   (1, 199): (105.152270541344, 525.76135270672, False)
   (1, 200): (148.22280526288793, 741.1140263144397, False)
   (1, 201): (76.69419795525604, 383.47098977628025, False)
   (1, 202): (41.182520563948, 205.91260281974002, False)
   (1, 203): (41.10960958218893, 205.54804791094466, False)
   (1, 204): (88.23831367382311, 441.19156836911554, False)
   (1, 205): (155.68236894394946, 778.4118447197473, False)
   (1, 206): (123.8789731956154, 619.394865978077, False)
   (1, 207): (78.39005038906404, 391.95025194532025, False)
   (1, 208): (81.09870529176159, 405.49352645880793, False)
   (1, 209): (68.87670143089025, 344.38350715445125, False)
   (1, 210): (141.35416513141735, 706.7708256570868, False)
   (1, 211): (167.28717822953436, 836.4358911476718, False)
   (1, 212): (51.66236541235796, 258.3118270617898, False)
   (1, 213): (139.05754204644924, 695.2877102322462, False)
   (1, 214): (38.2099463490856, 191.049731745428, False)
   (1, 215): (183.84776310850236, 919.2388155425118, False)
   (1, 216): (136.85393673548452, 684.2696836774226, False)
   (2, 87): (141.7956275771577, 708.9781378857884, False)
   (2, 171): (174.0, 870.0, False)
   (2, 172): (138.03260484392808, 690.1630242196404, False)
   (2, 173): (102.23991392797629, 511.1995696398815, False)
   (2, 174): (66.91038783328041, 334.55193916640206, False)
   (2, 175): (33.54101966249684, 167.7050983124842, False)
   (2, 176): (111.48542505637228, 557.4271252818614, False)
   (2, 177): (121.2023102090055, 606.0115510450275, False)
   (2, 178): (143.39107364128355, 716.9553682064178, False)
   (2, 179): (173.72679701186, 868.6339850592999, False)
   (2, 180): (212.52999788265186, 1062.6499894132594, False)
   (2, 181): (62.433965115151864, 312.1698255757593, False)
   (2, 182): (28.319604517012593, 141.59802258506295, False)
   (2, 183): (18.35755975068582, 91.7877987534291, False)
   (2, 184): (51.088159097779204, 255.44079548889601, False)
   (2, 185): (96.6902270139025, 483.4511350695125, False)
   (2, 186): (177.9100896520487, 889.5504482602435, False)
   (2, 187): (141.40014144264495, 707.0007072132248, False)
   (2, 188): (107.83784122468327, 539.1892061234164, False)
   (2, 189): (79.98124780221924, 399.9062390110962, False)
   (2, 190): (67.1863081289633, 335.93154064481655, False)
   (2, 191): (57.30619512757761, 286.53097563788805, False)
   (2, 192): (20.8806130178211, 104.40306508910551, False)
   (2, 193): (40.80441152620633, 204.02205763103166, False)
   (2, 194): (84.09518416651456, 420.4759208325728, False)
   (2, 195): (129.0620006043607, 645.3100030218035, False)
   (2, 196): (74.96665925596525, 374.8332962798263, False)
   (2, 197): (83.95236744726142, 419.7618372363071, False)
   (2, 198): (111.30588483993108, 556.5294241996554, False)
   (2, 199): (147.4720312466062, 737.360156233031, False)
   (2, 200): (187.41664813991312, 937.0832406995656, False)
   (2, 201): (55.0, 275.0, False)
   (2, 202): (20.615528128088304, 103.07764064044152, False)
   (2, 203): (71.19691004531025, 355.9845502265512, False)
   (2, 204): (65.27633568147036, 326.3816784073518, False)
   (2, 205): (178.86866690396056, 894.3433345198027, False)
   (2, 206): (107.16809226630845, 535.8404613315422, False)
   (2, 207): (124.65151423067431, 623.2575711533716, False)
   (2, 208): (130.0, 650.0, False)
   (2, 209): (116.09048195265622, 580.4524097632811, False)
   (2, 210): (184.71599822430107, 923.5799911215054, False)
   (2, 211): (155.0290295396317, 775.1451476981584, False)
   (2, 212): (17.029386365926403, 85.14693182963201, False)
   (2, 213): (142.30249470757707, 711.5124735378854, False)
   (2, 214): (82.63776376451628, 413.1888188225814, False)
   (2, 215): (210.1547049199708, 1050.773524599854, False)
   (2, 216): (180.88670487352022, 904.4335243676011, False)
   (3, 88): (45.39823785126467, 226.99118925632334, False)
   (3, 171): (164.00304875214974, 820.0152437607487, False)
   (3, 172): (128.01562404644207, 640.0781202322104, False)
   (3, 173): (92.19544457292888, 460.9772228646444, False)
   (3, 174): (56.88585061331157, 284.42925306655786, False)
   (3, 175): (24.413111231467404, 122.06555615733703, False)
   (3, 176): (102.85912696499032, 514.2956348249517, False)
   (3, 177): (111.28791488746656, 556.4395744373328, False)
   (3, 178): (133.41664064126334, 667.0832032063167, False)
   (3, 179): (164.20109622045769, 821.0054811022884, False)
   (3, 180): (203.57799488156869, 1017.8899744078434, False)
   (3, 181): (58.69412236331676, 293.4706118165838, False)
   (3, 182): (22.825424421026653, 114.12712210513327, False)
   (3, 183): (15.033296378372908, 75.16648189186454, False)
