All relevant information about the map is below:

Total # of nodes: 201
# of robots: 82, robots_origin_location: {179: {16, 34, 59, 36}, 180: {48, 65, 56, 29}, 181: {41, 18, 28, 57}, 182: {42, 38}, 183: {54, 25, 19, 35}, 184: {40, 10, 20, 66}, 185: {9, 53, 39, 31}, 186: {49, 77, 22, 63}, 187: {21, 71}, 188: {32, 33, 52, 30}, 189: {11, 12, 44, 47}, 190: {67, 51, 82, 79}, 191: {8, 24, 13, 5}, 192: {64, 73, 80}, 193: {78, 69, 45, 62}, 194: {58, 68, 76}, 195: {15}, 196: {27, 4, 46, 7}, 197: {17, 2, 3, 6}, 198: {50, 43, 55, 23}, 199: {26, 75, 60, 70}, 200: {1, 61, 37, 14}, 201: {72, 81, 74}}
# of requests: 85, request_pairs: [(1, 86), (2, 87), (3, 88), (4, 89), (5, 90), (6, 91), (7, 92), (8, 93), (9, 94), (10, 95), (11, 96), (12, 97), (13, 98), (14, 99), (15, 100), (16, 101), (17, 102), (18, 103), (19, 104), (20, 105), (21, 106), (22, 107), (23, 108), (24, 109), (25, 110), (26, 111), (27, 112), (28, 113), (29, 114), (30, 115), (31, 116), (32, 117), (33, 118), (34, 119), (35, 120), (36, 121), (37, 122), (38, 123), (39, 124), (40, 125), (41, 126), (42, 127), (43, 128), (44, 129), (45, 130), (46, 131), (47, 132), (48, 133), (49, 134), (50, 135), (51, 136), (52, 137), (53, 138), (54, 139), (55, 140), (56, 141), (57, 142), (58, 143), (59, 144), (60, 145), (61, 146), (62, 147), (63, 148), (64, 149), (65, 150), (66, 151), (67, 152), (68, 153), (69, 154), (70, 155), (71, 156), (72, 157), (73, 158), (74, 159), (75, 160), (76, 161), (77, 162), (78, 163), (79, 164), (80, 165), (81, 166), (82, 167), (83, 168), (84, 169), (85, 170)]
# of depots: 23, depot nodes: [179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201]
# of service lines: 1
# of num transfers: 8, service lines mapping: {1: [171, 172, 173, 174, 175, 176, 177, 178]}
public transportation factor: 0.6
map_size: 201
outsourcing cost: 834
robots max travel time: 175
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 10
transfer service time: 2
request nodes time windows: {1: (231, 631), 2: (130, 530), 3: (264, 664), 4: (145, 545), 5: (188, 588), 6: (227, 627), 7: (289, 689), 8: (181, 581), 9: (18, 418), 10: (124, 524), 11: (92, 492), 12: (277, 677), 13: (20, 420), 14: (114, 514), 15: (222, 622), 16: (256, 656), 17: (13, 413), 18: (160, 560), 19: (90, 490), 20: (202, 602), 21: (15, 415), 22: (269, 669), 23: (302, 702), 24: (187, 587), 25: (264, 664), 26: (39, 439), 27: (147, 547), 28: (78, 478), 29: (251, 651), 30: (292, 692), 31: (214, 614), 32: (278, 678), 33: (10, 410), 34: (12, 412), 35: (206, 606), 36: (285, 685), 37: (298, 698), 38: (172, 572), 39: (143, 543), 40: (138, 538), 41: (271, 671), 42: (21, 421), 43: (276, 676), 44: (208, 608), 45: (87, 487), 46: (209, 609), 47: (57, 457), 48: (218, 618), 49: (126, 526), 50: (72, 472), 51: (238, 638), 52: (143, 543), 53: (252, 652), 54: (167, 567), 55: (253, 653), 56: (36, 436), 57: (52, 452), 58: (244, 644), 59: (31, 431), 60: (120, 520), 61: (51, 451), 62: (23, 423), 63: (153, 553), 64: (272, 672), 65: (232, 632), 66: (230, 630), 67: (117, 517), 68: (30, 430), 69: (174, 574), 70: (85, 485), 71: (208, 608), 72: (150, 550), 73: (220, 620), 74: (37, 437), 75: (107, 507), 76: (284, 684), 77: (256, 656), 78: (168, 568), 79: (66, 466), 80: (89, 489), 81: (292, 692), 82: (59, 459), 83: (191, 591), 84: (60, 460), 85: (219, 619), 86: (622, 1022), 87: (271, 671), 88: (622, 1022), 89: (289, 689), 90: (349, 749), 91: (443, 843), 92: (524, 924), 93: (462, 862), 94: (124, 524), 95: (469, 869), 96: (431, 831), 97: (596, 996), 98: (354, 754), 99: (419, 819), 100: (591, 991), 101: (629, 1029), 102: (283, 683), 103: (254, 654), 104: (295, 695), 105: (450, 850), 106: (187, 587), 107: (443, 843), 108: (551, 951), 109: (382, 782), 110: (493, 893), 111: (239, 639), 112: (355, 755), 113: (271, 671), 114: (469, 869), 115: (670, 1070), 116: (375, 775), 117: (547, 947), 118: (391, 791), 119: (177, 577), 120: (366, 766), 121: (438, 838), 122: (469, 869), 123: (392, 792), 124: (242, 642), 125: (343, 743), 126: (607, 1007), 127: (182, 582), 128: (409, 809), 129: (513, 913), 130: (465, 865), 131: (344, 744), 132: (318, 718), 133: (401, 801), 134: (524, 924), 135: (285, 685), 136: (596, 996), 137: (300, 700), 138: (469, 869), 139: (565, 965), 140: (427, 827), 141: (141, 541), 142: (270, 670), 143: (512, 912), 144: (232, 632), 145: (447, 847), 146: (182, 582), 147: (420, 820), 148: (283, 683), 149: (625, 1025), 150: (474, 874), 151: (475, 875), 152: (346, 746), 153: (245, 645), 154: (566, 966), 155: (414, 814), 156: (492, 892), 157: (486, 886), 158: (504, 904), 159: (245, 645), 160: (308, 708), 161: (664, 1064), 162: (597, 997), 163: (369, 769), 164: (310, 710), 165: (300, 700), 166: (682, 1082), 167: (186, 586), 168: (495, 895), 169: (317, 717), 170: (459, 859)}
transfer nodes departure time: {171: 1105, 172: 1118, 173: 1131, 174: 1144, 175: 1157, 176: 1170, 177: 1183, 178: 1197}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 86): (69.02897942168927, 345.14489710844634, False)
   (1, 171): (148.00337833982033, 740.0168916991016, False)
   (1, 172): (133.76471881628578, 668.8235940814288, False)
   (1, 173): (120.30378215168466, 601.5189107584233, False)
   (1, 174): (106.92053123698928, 534.6026561849463, False)
   (1, 175): (96.0, 480.0, False)
   (1, 176): (86.14522621712709, 430.7261310856354, False)
   (1, 177): (80.05623023850174, 400.2811511925087, False)
   (1, 178): (76.27581530209953, 381.37907651049767, False)
   (1, 179): (122.2620137246234, 611.310068623117, False)
   (1, 180): (66.85057965343307, 334.2528982671654, False)
   (1, 181): (50.695167422546305, 253.47583711273154, False)
   (1, 182): (109.1146186356347, 545.5730931781735, False)
   (1, 183): (60.4648658313239, 302.3243291566195, False)
   (1, 184): (80.77747210701756, 403.8873605350878, False)
   (1, 185): (67.4166151627327, 337.08307581366347, False)
   (1, 186): (48.84669896727925, 244.23349483639626, False)
   (1, 187): (111.00450441310929, 555.0225220655465, False)
   (1, 188): (87.65842800324451, 438.29214001622256, False)
   (1, 189): (124.48293055676348, 622.4146527838174, False)
   (1, 190): (52.20153254455275, 261.0076627227637, False)
   (1, 191): (124.72369462135092, 623.6184731067545, False)
   (1, 192): (140.089257261219, 700.446286306095, False)
   (1, 193): (22.135943621178654, 110.67971810589327, False)
   (1, 194): (109.37092849564732, 546.8546424782367, False)
   (1, 195): (136.82105101189657, 684.1052550594828, False)
   (1, 197): (31.04834939252005, 155.24174696260025, False)
   (1, 198): (34.23448553724738, 171.17242768623692, False)
   (1, 199): (73.81734213584231, 369.08671067921154, False)
   (1, 200): (144.69277798148738, 723.4638899074369, False)
   (1, 201): (59.64059020499378, 298.2029510249689, False)
   (2, 87): (42.579337712087536, 212.89668856043767, False)
   (2, 171): (125.00399993600205, 625.0199996800102, False)
   (2, 172): (115.73245007343446, 578.6622503671723, False)
   (2, 173): (108.41586599755591, 542.0793299877796, False)
   (2, 174): (102.55242561733974, 512.7621280866987, False)
   (2, 175): (100.40418317978589, 502.02091589892945, False)
   (2, 176): (100.44899203078147, 502.24496015390736, False)
   (2, 177): (104.20172743289815, 521.0086371644908, False)
   (2, 178): (110.47624178980746, 552.3812089490373, False)
   (2, 179): (69.92138442565336, 349.6069221282668, False)
   (2, 180): (46.238512086787566, 231.19256043393784, False)
   (2, 181): (10.63014581273465, 53.15072906367325, False)
   (2, 182): (54.45181356024793, 272.25906780123967, False)
   (2, 183): (43.41658669218482, 217.0829334609241, False)
   (2, 184): (112.50777750893491, 562.5388875446745, False)
   (2, 185): (24.08318915758459, 120.41594578792296, False)
   (2, 186): (104.69479452198185, 523.4739726099092, False)
   (2, 187): (113.74093370462545, 568.7046685231272, False)
   (2, 188): (67.68308503607086, 338.4154251803543, False)
   (2, 189): (102.12247548899312, 510.6123774449656, False)
   (2, 190): (27.459060435491963, 137.2953021774598, False)
   (2, 191): (110.02272492535349, 550.1136246267674, False)
   (2, 192): (156.33937443907084, 781.6968721953542, False)
   (2, 193): (76.16429609731846, 380.8214804865923, False)
   (2, 194): (107.35455276791944, 536.7727638395972, False)
   (2, 195): (89.40357934669059, 447.017896733453, False)
   (2, 196): (148.94629904767692, 744.7314952383846, False)
   (2, 197): (32.01562118716424, 160.0781059358212, False)
   (2, 198): (89.35882720806042, 446.7941360403021, False)
   (2, 199): (31.400636936215164, 157.00318468107582, False)
   (2, 200): (105.47511554864494, 527.3755777432247, False)
   (2, 201): (96.38464608017192, 481.9232304008596, False)
   (3, 88): (142.86357128393507, 714.3178564196753, False)
   (3, 171): (104.20172743289815, 521.0086371644908, False)
   (3, 172): (87.23531395025755, 436.17656975128773, False)
   (3, 173): (70.3846574190711, 351.92328709535553, False)
   (3, 174): (53.45091205957107, 267.25456029785533, False)
   (3, 175): (37.48332962798263, 187.41664813991315, False)
   (3, 176): (23.53720459187964, 117.6860229593982, False)
   (3, 177): (17.4928556845359, 87.4642784226795, False)
   (3, 178): (27.65863337187866, 138.2931668593933, False)
   (3, 180): (82.76472678623425, 413.82363393117123, False)
   (3, 181): (109.98636279102969, 549.9318139551484, False)
   (3, 182): (168.94081803992782, 844.704090199639, False)
   (3, 183): (81.49233092751734, 407.4616546375867, False)
   (3, 184): (21.587033144922902, 107.9351657246145, False)
   (3, 185): (108.40664186294121, 542.033209314706, False)
   (3, 186): (109.29318368498559, 546.465918424928, False)
   (3, 187): (41.677331968349414, 208.38665984174708, False)
   (3, 188): (77.92945527847606, 389.64727639238026, False)
   (3, 189): (90.24965373894794, 451.2482686947397, False)
   (3, 190): (136.35981812836215, 681.7990906418107, False)
   (3, 191): (77.07788269017254, 385.3894134508627, False)
   (3, 192): (43.56604182158393, 217.83020910791964, False)
   (3, 193): (84.52810183601665, 422.6405091800832, False)
   (3, 194): (49.76946855251722, 248.8473427625861, False)
   (3, 195): (145.1240848377691, 725.6204241888454, False)
   (3, 196): (169.81460479004744, 849.0730239502373, False)
   (3, 197): (118.71394189394942, 593.5697094697471, False)
   (3, 198): (86.05230967266364, 430.2615483633182, False)
   (3, 199): (107.78682665335315, 538.9341332667657, False)
   (3, 200): (132.51792331605563, 662.5896165802782, False)
   (3, 201): (41.10960958218893, 205.54804791094466, False)
   (4, 89): (118.72657663724664, 593.6328831862331, False)
   (4, 171): (22.02271554554524, 110.1135777277262, False)
   (4, 172): (5.0, 25.0, False)
   (4, 173): (12.529964086141668, 62.64982043070834, False)
   (4, 174): (30.23243291566195, 151.16216457830976, False)
   (4, 175): (47.43416490252569, 237.17082451262843, False)
