All relevant information about the map is below:

Total # of nodes: 202
# of robots: 83, robots_origin_location: {189: {64, 72, 13}, 190: {1, 10, 53, 22, 54, 58, 27}, 191: {4, 7, 15, 20, 21, 24, 56}, 192: {8, 40, 74, 75, 51, 59, 61}, 193: {34, 66, 39, 44, 14, 50}, 194: {32, 49, 80, 78}, 195: {46, 79, 81, 18, 55}, 196: {69, 5, 38, 73, 11, 77, 19}, 197: {2, 67, 36, 47, 57, 26}, 198: {65, 68, 16, 30, 28, 29, 62}, 199: {35, 70, 48, 23, 60}, 200: {71, 41, 82, 83, 52, 31}, 201: {33, 12, 45, 76, 25, 63}, 202: {3, 37, 6, 9, 42, 43, 17}}
# of requests: 86, request_pairs: [(1, 87), (2, 88), (3, 89), (4, 90), (5, 91), (6, 92), (7, 93), (8, 94), (9, 95), (10, 96), (11, 97), (12, 98), (13, 99), (14, 100), (15, 101), (16, 102), (17, 103), (18, 104), (19, 105), (20, 106), (21, 107), (22, 108), (23, 109), (24, 110), (25, 111), (26, 112), (27, 113), (28, 114), (29, 115), (30, 116), (31, 117), (32, 118), (33, 119), (34, 120), (35, 121), (36, 122), (37, 123), (38, 124), (39, 125), (40, 126), (41, 127), (42, 128), (43, 129), (44, 130), (45, 131), (46, 132), (47, 133), (48, 134), (49, 135), (50, 136), (51, 137), (52, 138), (53, 139), (54, 140), (55, 141), (56, 142), (57, 143), (58, 144), (59, 145), (60, 146), (61, 147), (62, 148), (63, 149), (64, 150), (65, 151), (66, 152), (67, 153), (68, 154), (69, 155), (70, 156), (71, 157), (72, 158), (73, 159), (74, 160), (75, 161), (76, 162), (77, 163), (78, 164), (79, 165), (80, 166), (81, 167), (82, 168), (83, 169), (84, 170), (85, 171), (86, 172)]
# of depots: 14, depot nodes: [189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202]
# of service lines: 2
# of num transfers: 16, service lines mapping: {1: [173, 174, 175, 176, 177, 178, 179, 180], 2: [181, 182, 183, 184, 185, 186, 187, 188]}
public transportation factor: 0.4
map_size: 202
outsourcing cost: 2917
robots max travel time: 670
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 7
depot service time: 2
transfer capacity: 6
transfer service time: 2
request nodes time windows: {1: (28, 428), 2: (191, 591), 3: (73, 473), 4: (84, 484), 5: (17, 417), 6: (121, 521), 7: (279, 679), 8: (96, 496), 9: (200, 600), 10: (297, 697), 11: (227, 627), 12: (239, 639), 13: (228, 628), 14: (45, 445), 15: (33, 433), 16: (51, 451), 17: (222, 622), 18: (270, 670), 19: (49, 449), 20: (84, 484), 21: (87, 487), 22: (124, 524), 23: (99, 499), 24: (277, 677), 25: (284, 684), 26: (134, 534), 27: (154, 554), 28: (88, 488), 29: (75, 475), 30: (223, 623), 31: (269, 669), 32: (222, 622), 33: (210, 610), 34: (64, 464), 35: (56, 456), 36: (294, 694), 37: (124, 524), 38: (276, 676), 39: (269, 669), 40: (105, 505), 41: (272, 672), 42: (148, 548), 43: (59, 459), 44: (251, 651), 45: (260, 660), 46: (100, 500), 47: (76, 476), 48: (176, 576), 49: (82, 482), 50: (19, 419), 51: (212, 612), 52: (23, 423), 53: (37, 437), 54: (73, 473), 55: (172, 572), 56: (230, 630), 57: (285, 685), 58: (97, 497), 59: (142, 542), 60: (178, 578), 61: (108, 508), 62: (162, 562), 63: (7, 407), 64: (247, 647), 65: (254, 654), 66: (126, 526), 67: (286, 686), 68: (68, 468), 69: (268, 668), 70: (304, 704), 71: (85, 485), 72: (38, 438), 73: (147, 547), 74: (268, 668), 75: (169, 569), 76: (188, 588), 77: (37, 437), 78: (150, 550), 79: (188, 588), 80: (260, 660), 81: (185, 585), 82: (228, 628), 83: (16, 416), 84: (296, 696), 85: (140, 540), 86: (155, 555), 87: (290, 690), 88: (303, 703), 89: (397, 797), 90: (418, 818), 91: (339, 739), 92: (373, 773), 93: (411, 811), 94: (373, 773), 95: (540, 940), 96: (506, 906), 97: (405, 805), 98: (369, 769), 99: (414, 814), 100: (386, 786), 101: (304, 704), 102: (404, 804), 103: (472, 872), 104: (551, 951), 105: (370, 770), 106: (368, 768), 107: (276, 676), 108: (363, 763), 109: (200, 600), 110: (556, 956), 111: (626, 1026), 112: (494, 894), 113: (280, 680), 114: (370, 770), 115: (394, 794), 116: (507, 907), 117: (523, 923), 118: (574, 974), 119: (561, 961), 120: (285, 685), 121: (243, 643), 122: (619, 1019), 123: (373, 773), 124: (665, 1065), 125: (466, 866), 126: (320, 720), 127: (468, 868), 128: (413, 813), 129: (193, 593), 130: (471, 871), 131: (645, 1045), 132: (477, 877), 133: (268, 668), 134: (402, 802), 135: (319, 719), 136: (283, 683), 137: (418, 818), 138: (196, 596), 139: (325, 725), 140: (206, 606), 141: (476, 876), 142: (630, 1030), 143: (575, 975), 144: (374, 774), 145: (362, 762), 146: (337, 737), 147: (289, 689), 148: (338, 738), 149: (313, 713), 150: (437, 837), 151: (544, 944), 152: (442, 842), 153: (632, 1032), 154: (411, 811), 155: (446, 846), 156: (489, 889), 157: (178, 578), 158: (204, 604), 159: (337, 737), 160: (435, 835), 161: (372, 772), 162: (457, 857), 163: (116, 516), 164: (376, 776), 165: (434, 834), 166: (561, 961), 167: (394, 794), 168: (568, 968), 169: (324, 724), 170: (469, 869), 171: (483, 883), 172: (473, 873)}
transfer nodes departure time: {173: 1490, 174: 1502, 175: 1514, 176: 1526, 177: 1538, 178: 1550, 179: 1562, 180: 1575, 181: 141, 182: 151, 183: 161, 184: 171, 185: 181, 186: 191, 187: 201, 188: 212}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 87): (180.3690660839602, 901.845330419801, False)
   (1, 173): (178.4740877550576, 892.370438775288, False)
   (1, 174): (167.28717822953436, 836.4358911476718, False)
   (1, 175): (158.14550262337528, 790.7275131168764, False)
   (1, 176): (153.47312468311839, 767.3656234155919, False)
   (1, 177): (151.81897114655993, 759.0948557327997, False)
   (1, 178): (154.25303886795876, 771.2651943397939, False)
   (1, 179): (161.15210206509875, 805.7605103254937, False)
   (1, 180): (171.29214809792072, 856.4607404896036, False)
   (1, 189): (132.18925826253812, 660.9462913126906, False)
   (1, 190): (196.08671551127577, 980.4335775563789, False)
   (1, 191): (167.2154299100415, 836.0771495502075, False)
   (1, 192): (165.0969412193939, 825.4847060969695, False)
   (1, 193): (164.77863939236784, 823.8931969618392, False)
   (1, 194): (139.16896205691842, 695.8448102845921, False)
   (1, 195): (110.3675676999362, 551.837838499681, False)
   (1, 196): (154.35349040433132, 771.7674520216566, False)
   (1, 197): (152.190669884852, 760.9533494242601, False)
   (1, 198): (261.6295090390226, 1308.147545195113, False)
   (1, 199): (191.23022773609824, 956.1511386804912, False)
   (1, 200): (210.61813787041228, 1053.0906893520614, False)
   (1, 201): (110.01818031580054, 550.0909015790027, False)
   (1, 202): (166.19265928433782, 830.9632964216892, False)
   (2, 88): (109.85900054160332, 549.2950027080166, False)
   (2, 173): (90.00555538409837, 450.0277769204919, False)
   (2, 174): (71.58910531638176, 357.9455265819088, False)
   (2, 175): (58.309518948453004, 291.547594742265, False)
   (2, 176): (53.25410782277739, 266.27053911388697, False)
   (2, 177): (59.841457201508724, 299.20728600754364, False)
   (2, 178): (74.67261881037788, 373.36309405188945, False)
   (2, 179): (92.97311439335567, 464.86557196677836, False)
   (2, 180): (115.83177456984762, 579.1588728492382, False)
   (2, 189): (80.72174428244226, 403.6087214122113, False)
   (2, 190): (38.47076812334269, 192.35384061671343, False)
   (2, 191): (39.35733730830886, 196.78668654154427, False)
   (2, 192): (73.08214556237385, 365.41072781186926, False)
   (2, 193): (88.28363381737297, 441.41816908686485, False)
   (2, 194): (94.37160589923221, 471.85802949616107, False)
   (2, 195): (101.17806086301516, 505.8903043150758, False)
   (2, 196): (111.01801655587259, 555.090082779363, False)
   (2, 197): (88.54377448471462, 442.7188724235731, False)
   (2, 198): (82.21921916437786, 411.0960958218893, False)
   (2, 199): (167.2154299100415, 836.0771495502075, False)
   (2, 200): (107.56393447619885, 537.8196723809942, False)
   (2, 201): (129.0968628588627, 645.4843142943134, False)
   (2, 202): (77.1621668954417, 385.8108344772085, False)
   (3, 89): (112.92918134831227, 564.6459067415614, False)
   (3, 173): (2, 10, False)
   (3, 174): (24.20743687382041, 121.03718436910205, False)
   (3, 175): (49.20365840057018, 246.0182920028509, False)
   (3, 176): (73.60027173862879, 368.00135869314397, False)
   (3, 177): (98.60020283954795, 493.0010141977397, False)
   (3, 178): (123.60016181219181, 618.0008090609591, False)
   (3, 179): (148.00337833982033, 740.0168916991016, False)
   (3, 180): (174.40183485273312, 872.0091742636656, False)
   (3, 181): (54.3323108288245, 271.6615541441225, False)
   (3, 182): (72.03471385380801, 360.17356926904006, False)
   (3, 189): (61.29437168288782, 306.4718584144391, False)
   (3, 190): (51.35172830587107, 256.7586415293554, False)
   (3, 191): (79.1580697086532, 395.790348543266, False)
   (3, 192): (130.38404810405297, 651.9202405202648, False)
   (3, 193): (15.132745950421556, 75.66372975210778, False)
   (3, 194): (41.19465984809196, 205.9732992404598, False)
   (3, 195): (76.6550715869472, 383.275357934736, False)
   (3, 196): (161.6168308066954, 808.0841540334769, False)
   (3, 197): (28.442925306655784, 142.21462653327893, False)
   (3, 198): (171.10523077919038, 855.5261538959519, False)
   (3, 199): (225.85836269662454, 1129.2918134831227, False)
   (3, 200): (183.17477992343814, 915.8738996171907, False)
   (3, 201): (153.93829932800998, 769.6914966400499, False)
   (3, 202): (135.36986370680884, 676.8493185340442, False)
   (4, 90): (120.33287165193059, 601.664358259653, False)
   (4, 173): (92.19544457292888, 460.9772228646444, False)
   (4, 174): (82.21921916437786, 411.0960958218893, False)
   (4, 175): (78.00640999302557, 390.03204996512784, False)
   (4, 176): (82.20097323024831, 411.0048661512416, False)
   (4, 177): (92.47702417357513, 462.3851208678757, False)
   (4, 178): (107.68936809174804, 538.4468404587402, False)
   (4, 179): (126.09916732476864, 630.4958366238432, False)
   (4, 180): (147.41099009232656, 737.0549504616328, False)
   (4, 189): (53.075418038862395, 265.37709019431196, False)
   (4, 190): (114.73883387938018, 573.6941693969009, False)
   (4, 191): (97.20082304178294, 486.0041152089147, False)
   (4, 192): (119.23925528113634, 596.1962764056817, False)
   (4, 193): (78.5175139698144, 392.587569849072, False)
   (4, 194): (53.150729063673246, 265.75364531836624, False)
   (4, 195): (33.015148038438355, 165.07574019219177, False)
   (4, 196): (129.65338406690356, 648.2669203345177, False)
   (4, 197): (66.09841147864296, 330.4920573932148, False)
   (4, 198): (203.67866849525504, 1018.3933424762752, False)
   (4, 199): (188.04786624686813, 940.2393312343406, False)
   (4, 200): (176.13914953808538, 880.6957476904269, False)
   (4, 201): (97.86214794290998, 489.3107397145499, False)
   (4, 202): (122.64175471673585, 613.2087735836792, False)
   (5, 91): (97.49358953285082, 487.4679476642541, False)
   (5, 173): (194.07730418572905, 970.3865209286453, False)
   (5, 174): (170.29973576021777, 851.4986788010889, False)
   (5, 175): (146.4137971640651, 732.0689858203255, False)
   (5, 176): (123.22743201089601, 616.1371600544801, False)
   (5, 177): (100.44899203078147, 502.24496015390736, False)
   (5, 178): (79.02531240052139, 395.12656200260693, False)
