All relevant information about the map is below:

Total # of nodes: 235
# of robots: 84, robots_origin_location: {200: set(), 201: {70}, 202: {3, 23, 7}, 203: {82, 46, 79}, 204: {28, 61}, 205: {84}, 206: {66, 60, 74}, 207: {12, 77, 68}, 208: {10, 29, 22}, 209: {50, 59, 53}, 210: {81, 42}, 211: {80}, 212: set(), 213: {41, 52, 37}, 214: {64, 51, 13}, 215: {67, 63}, 216: {73, 75, 69}, 217: {40, 48, 19}, 218: {34, 83, 36}, 219: {32, 57, 45}, 220: {16, 35, 62}, 221: {17, 27, 47}, 222: {44}, 223: {8, 38, 55}, 224: {4, 14, 15}, 225: {49, 43, 31}, 226: {72, 18, 78}, 227: {24, 26, 20}, 228: set(), 229: {33, 58, 71}, 230: {9, 54, 39}, 231: {56, 5}, 232: {2, 76}, 233: {30}, 234: {65, 1, 11}, 235: {25, 21, 6}}
# of requests: 86, request_pairs: [(1, 87), (2, 88), (3, 89), (4, 90), (5, 91), (6, 92), (7, 93), (8, 94), (9, 95), (10, 96), (11, 97), (12, 98), (13, 99), (14, 100), (15, 101), (16, 102), (17, 103), (18, 104), (19, 105), (20, 106), (21, 107), (22, 108), (23, 109), (24, 110), (25, 111), (26, 112), (27, 113), (28, 114), (29, 115), (30, 116), (31, 117), (32, 118), (33, 119), (34, 120), (35, 121), (36, 122), (37, 123), (38, 124), (39, 125), (40, 126), (41, 127), (42, 128), (43, 129), (44, 130), (45, 131), (46, 132), (47, 133), (48, 134), (49, 135), (50, 136), (51, 137), (52, 138), (53, 139), (54, 140), (55, 141), (56, 142), (57, 143), (58, 144), (59, 145), (60, 146), (61, 147), (62, 148), (63, 149), (64, 150), (65, 151), (66, 152), (67, 153), (68, 154), (69, 155), (70, 156), (71, 157), (72, 158), (73, 159), (74, 160), (75, 161), (76, 162), (77, 163), (78, 164), (79, 165), (80, 166), (81, 167), (82, 168), (83, 169), (84, 170), (85, 171), (86, 172)]
# of depots: 36, depot nodes: [200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235]
# of service lines: 7
# of num transfers: 27, service lines mapping: {1: [173, 174, 175, 176], 2: [177, 178, 179, 180], 3: [181, 182, 183, 184], 4: [185, 186, 187, 188], 5: [189, 190, 191, 192], 6: [193, 194, 195, 196], 7: [197, 198, 199]}
public transportation factor: 0.6
map_size: 235
outsourcing cost: 5417
robots max travel time: 505
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 10
transfer service time: 2
request nodes time windows: {1: (358, 758), 2: (284, 684), 3: (224, 624), 4: (272, 672), 5: (251, 651), 6: (221, 621), 7: (355, 755), 8: (129, 529), 9: (51, 451), 10: (306, 706), 11: (195, 595), 12: (174, 574), 13: (98, 498), 14: (231, 631), 15: (157, 557), 16: (52, 452), 17: (56, 456), 18: (203, 603), 19: (77, 477), 20: (346, 746), 21: (340, 740), 22: (143, 543), 23: (341, 741), 24: (147, 547), 25: (294, 694), 26: (80, 480), 27: (238, 638), 28: (368, 768), 29: (280, 680), 30: (356, 756), 31: (303, 703), 32: (66, 466), 33: (94, 494), 34: (303, 703), 35: (191, 591), 36: (49, 449), 37: (297, 697), 38: (310, 710), 39: (355, 755), 40: (87, 487), 41: (339, 739), 42: (274, 674), 43: (379, 779), 44: (126, 526), 45: (48, 448), 46: (313, 713), 47: (62, 462), 48: (290, 690), 49: (298, 698), 50: (377, 777), 51: (51, 451), 52: (264, 664), 53: (386, 786), 54: (84, 484), 55: (365, 765), 56: (308, 708), 57: (47, 447), 58: (295, 695), 59: (371, 771), 60: (378, 778), 61: (171, 571), 62: (262, 662), 63: (384, 784), 64: (303, 703), 65: (170, 570), 66: (64, 464), 67: (325, 725), 68: (272, 672), 69: (339, 739), 70: (60, 460), 71: (196, 596), 72: (334, 734), 73: (290, 690), 74: (137, 537), 75: (38, 438), 76: (45, 445), 77: (60, 460), 78: (135, 535), 79: (125, 525), 80: (328, 728), 81: (366, 766), 82: (324, 724), 83: (64, 464), 84: (192, 592), 85: (257, 657), 86: (285, 685), 87: (643, 1043), 88: (556, 956), 89: (510, 910), 90: (602, 1002), 91: (397, 797), 92: (428, 828), 93: (592, 992), 94: (503, 903), 95: (261, 661), 96: (626, 1026), 97: (328, 728), 98: (377, 777), 99: (412, 812), 100: (577, 977), 101: (270, 670), 102: (431, 831), 103: (434, 834), 104: (581, 981), 105: (318, 718), 106: (594, 994), 107: (648, 1048), 108: (388, 788), 109: (674, 1074), 110: (481, 881), 111: (677, 1077), 112: (372, 772), 113: (541, 941), 114: (720, 1120), 115: (655, 1055), 116: (575, 975), 117: (646, 1046), 118: (423, 823), 119: (466, 866), 120: (511, 911), 121: (412, 812), 122: (348, 748), 123: (562, 962), 124: (487, 887), 125: (733, 1133), 126: (488, 888), 127: (638, 1038), 128: (666, 1066), 129: (686, 1086), 130: (413, 813), 131: (177, 577), 132: (658, 1058), 133: (294, 694), 134: (599, 999), 135: (441, 841), 136: (452, 852), 137: (251, 651), 138: (600, 1000), 139: (739, 1139), 140: (210, 610), 141: (562, 962), 142: (517, 917), 143: (416, 816), 144: (531, 931), 145: (478, 878), 146: (609, 1009), 147: (479, 879), 148: (574, 974), 149: (623, 1023), 150: (503, 903), 151: (459, 859), 152: (245, 645), 153: (565, 965), 154: (423, 823), 155: (427, 827), 156: (182, 582), 157: (551, 951), 158: (735, 1135), 159: (518, 918), 160: (501, 901), 161: (386, 786), 162: (397, 797), 163: (91, 491), 164: (523, 923), 165: (389, 789), 166: (579, 979), 167: (632, 1032), 168: (641, 1041), 169: (352, 752), 170: (567, 967), 171: (530, 930), 172: (558, 958)}
transfer nodes departure time: {173: 800, 174: 857, 175: 914, 176: 973, 177: 347, 178: 392, 179: 437, 180: 482, 181: 1419, 182: 1451, 183: 1483, 184: 1516, 185: 1375, 186: 1417, 187: 1459, 188: 1502, 189: 1486, 190: 1529, 191: 1571, 192: 1614, 193: 643, 194: 682, 195: 721, 196: 761, 197: 1290, 198: 1350, 199: 1412}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 87): (125.4312560727987, 627.1562803639936, False)
   (1, 173): (231.38712150852302, 1156.9356075426151, False)
   (1, 174): (154.00324671902212, 770.0162335951106, False)
   (1, 175): (100.12492197250393, 500.6246098625196, False)
   (1, 176): (115.43396380615195, 577.1698190307598, False)
   (1, 179): (59.682493245507096, 298.4124662275355, False)
   (1, 180): (111.22050170719426, 556.1025085359713, False)
   (1, 181): (75.29276193632427, 376.46380968162134, False)
   (1, 182): (67.06713054842886, 335.3356527421443, False)
   (1, 183): (90.02777349240623, 450.13886746203116, False)
   (1, 184): (129.37542270462347, 646.8771135231174, False)
   (1, 185): (252.41434190631878, 1262.071709531594, False)
   (1, 186): (203.39370688396434, 1016.9685344198217, False)
   (1, 187): (166.86821147240718, 834.3410573620359, False)
   (1, 188): (151.16877984557524, 755.8438992278762, False)
   (1, 189): (168.71573726241425, 843.5786863120712, False)
   (1, 190): (174.04022523543227, 870.2011261771613, False)
   (1, 191): (201.6382900145704, 1008.191450072852, False)
   (1, 192): (245.10609947530887, 1225.5304973765444, False)
   (1, 193): (203.53869410998982, 1017.6934705499491, False)
   (1, 194): (200.80836635957178, 1004.0418317978589, False)
   (1, 195): (216.1203368496357, 1080.6016842481786, False)
   (1, 196): (246.05893602956183, 1230.2946801478092, False)
   (1, 197): (208.4922060893404, 1042.4610304467021, False)
   (1, 198): (113.53413583587978, 567.6706791793989, False)
   (1, 199): (24.041630560342615, 120.20815280171307, False)
   (1, 200): (139.30183056945089, 696.5091528472544, False)
   (1, 201): (196.69773765857096, 983.4886882928548, False)
   (1, 202): (156.0833110873805, 780.4165554369025, False)
   (1, 203): (95.56673061269805, 477.83365306349026, False)
   (1, 204): (50.48762224545735, 252.43811122728675, False)
   (1, 205): (136.7186892857008, 683.593446428504, False)
   (1, 206): (81.88406438373708, 409.42032191868543, False)
   (1, 207): (137.90576492663388, 689.5288246331694, False)
   (1, 208): (144.91721774861674, 724.5860887430837, False)
   (1, 209): (189.85520798756087, 949.2760399378044, False)
   (1, 210): (170.1763790894612, 850.881895447306, False)
   (1, 211): (160.22484201895784, 801.1242100947892, False)
   (1, 212): (55.226805085936306, 276.1340254296815, False)
   (1, 213): (173.3666634621547, 866.8333173107735, False)
   (1, 214): (167.0029939851379, 835.0149699256895, False)
   (1, 215): (181.2015452472743, 906.0077262363716, False)
   (1, 216): (84.38009243891595, 421.90046219457975, False)
   (1, 217): (104.89041900955492, 524.4520950477746, False)
   (1, 218): (173.5655495770978, 867.8277478854891, False)
   (1, 219): (221.0701246211256, 1105.3506231056278, False)
   (1, 220): (170.07351351694948, 850.3675675847473, False)
   (1, 221): (106.15083607772479, 530.7541803886239, False)
   (1, 222): (180.76780686836912, 903.8390343418456, False)
   (1, 223): (223.22410264126944, 1116.1205132063471, False)
   (1, 224): (60.876925020897694, 304.38462510448846, False)
   (1, 225): (152.88230767489088, 764.4115383744544, False)
   (1, 226): (242.00206610688264, 1210.0103305344132, False)
   (1, 227): (137.88400922514546, 689.4200461257274, False)
   (1, 228): (151.10923201446033, 755.5461600723016, False)
   (1, 229): (77.52418977325722, 387.6209488662861, False)
   (1, 230): (72.34638899074369, 361.7319449537184, False)
   (1, 231): (123.5556554755791, 617.7782773778955, False)
   (1, 232): (127.23600119463045, 636.1800059731522, False)
   (1, 233): (104.30723848324239, 521.536192416212, False)
   (1, 234): (94.33981132056604, 471.6990566028302, False)
   (1, 235): (218.83783950679097, 1094.189197533955, False)
   (2, 88): (46.238512086787566, 231.19256043393784, False)
   (2, 173): (143.37712509323097, 716.8856254661548, False)
   (2, 174): (94.82615672903758, 474.1307836451879, False)
   (2, 175): (118.12705024675762, 590.635251233788, False)
   (2, 176): (190.70395905696347, 953.5197952848173, False)
   (2, 181): (217.95412361320444, 1089.7706180660223, False)
   (2, 182): (171.64206943520577, 858.2103471760288, False)
   (2, 183): (127.26350615946427, 636.3175307973213, False)
   (2, 184): (87.32124598286491, 436.60622991432456, False)
   (2, 185): (60.8276253029822, 304.138126514911, False)
   (2, 186): (11.40175425099138, 57.0087712549569, False)
   (2, 187): (73.348483283569, 366.742416417845, False)
   (2, 188): (139.84634424968, 699.2317212483999, False)
   (2, 189): (171.45261736118232, 857.2630868059116, False)
   (2, 190): (105.01904589168576, 525.0952294584288, False)
   (2, 191): (40.01249804748511, 200.06249023742555, False)
   (2, 192): (32.526911934581186, 162.63455967290594, False)
   (2, 193): (161.31026005806325, 806.5513002903162, False)
   (2, 194): (101.01980003939822, 505.0990001969911, False)
   (2, 195): (43.32435804486894, 216.6217902243447, False)
   (2, 196): (32.64965543462902, 163.24827717314508, False)
   (2, 197): (45.5411901469428, 227.705950734714, False)
   (2, 198): (111.39569111954016, 556.9784555977008, False)
   (2, 199): (206.7873303662485, 1033.9366518312427, False)
   (2, 200): (100.12991560967181, 500.64957804835905, False)
   (2, 201): (36.6742416417845, 183.3712082089225, False)
   (2, 202): (103.46496991735899, 517.3248495867949, False)
   (2, 203): (148.49242404917499, 742.462120245875, False)
   (2, 204): (193.82982226685345, 969.1491113342672, False)
   (2, 205): (191.48106956041372, 957.4053478020686, False)
   (2, 206): (175.38529014715002, 876.9264507357501, False)
   (2, 207): (113.5649593844862, 567.824796922431, False)
   (2, 208): (74.43117626371358, 372.15588131856794, False)
   (2, 209): (65.62011886609167, 328.10059433045836, False)
   (2, 210): (50.00999900019995, 250.04999500099973, False)
   (2, 211): (146.26346091898688, 731.3173045949344, False)
   (2, 212): (188.0026595556563, 940.0132977782814, False)
   (2, 213): (69.46221994724903, 347.3110997362451, False)
   (2, 214): (87.66413177577246, 438.32065887886233, False)
   (2, 215): (42.720018726587654, 213.60009363293827, False)
   (2, 216): (178.89941307897016, 894.4970653948508, False)
   (2, 217): (207.0869382650678, 1035.434691325339, False)
   (2, 218): (73.38937252763509, 366.94686263817545, False)
   (2, 219): (23.345235059857504, 116.72617529928752, False)
   (2, 220): (56.0357029044876, 280.178514522438, False)
   (2, 221): (196.02295783912658, 980.1147891956329, False)
   (2, 222): (134.16407864998737, 670.8203932499368, False)
   (2, 223): (12.649110640673518, 63.24555320336759, False)
   (2, 224): (161.533278305122, 807.6663915256099, False)
