All relevant information about the map is below:

Total # of nodes: 192
# of robots: 86, robots_origin_location: {181: {5, 38, 8, 78, 15}, 182: {4, 76, 30, 7}, 183: {67, 42, 74, 44, 26}, 184: {32, 34, 39, 71, 9, 72, 17, 49, 29}, 185: {66, 3, 6, 13, 79, 48, 52, 53}, 186: {40, 43, 46, 16, 18, 51, 55, 23, 61}, 187: {68, 37, 77, 45, 80, 83}, 188: {65, 35, 19, 85, 24, 25, 31}, 189: {64, 1, 82, 20, 21, 54, 86, 60}, 190: {33, 70, 73, 10, 81, 27, 63}, 191: {2, 69, 14, 50, 22, 56, 57, 59, 28}, 192: {36, 41, 11, 12, 75, 47, 84, 58, 62}}
# of requests: 86, request_pairs: [(1, 87), (2, 88), (3, 89), (4, 90), (5, 91), (6, 92), (7, 93), (8, 94), (9, 95), (10, 96), (11, 97), (12, 98), (13, 99), (14, 100), (15, 101), (16, 102), (17, 103), (18, 104), (19, 105), (20, 106), (21, 107), (22, 108), (23, 109), (24, 110), (25, 111), (26, 112), (27, 113), (28, 114), (29, 115), (30, 116), (31, 117), (32, 118), (33, 119), (34, 120), (35, 121), (36, 122), (37, 123), (38, 124), (39, 125), (40, 126), (41, 127), (42, 128), (43, 129), (44, 130), (45, 131), (46, 132), (47, 133), (48, 134), (49, 135), (50, 136), (51, 137), (52, 138), (53, 139), (54, 140), (55, 141), (56, 142), (57, 143), (58, 144), (59, 145), (60, 146), (61, 147), (62, 148), (63, 149), (64, 150), (65, 151), (66, 152), (67, 153), (68, 154), (69, 155), (70, 156), (71, 157), (72, 158), (73, 159), (74, 160), (75, 161), (76, 162), (77, 163), (78, 164), (79, 165), (80, 166), (81, 167), (82, 168), (83, 169), (84, 170), (85, 171), (86, 172)]
# of depots: 12, depot nodes: [181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192]
# of service lines: 2
# of num transfers: 8, service lines mapping: {1: [173, 174, 175, 176], 2: [177, 178, 179, 180]}
public transportation factor: 1.0
map_size: 192
outsourcing cost: 9166
robots max travel time: 868
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 9
depot service time: 2
transfer capacity: 4
transfer service time: 2
request nodes time windows: {1: (261, 661), 2: (129, 529), 3: (260, 660), 4: (202, 602), 5: (101, 501), 6: (123, 523), 7: (204, 604), 8: (185, 585), 9: (135, 535), 10: (17, 417), 11: (73, 473), 12: (40, 440), 13: (274, 674), 14: (30, 430), 15: (0, 400), 16: (275, 675), 17: (12, 412), 18: (26, 426), 19: (75, 475), 20: (53, 453), 21: (247, 647), 22: (69, 469), 23: (147, 547), 24: (7, 407), 25: (105, 505), 26: (199, 599), 27: (261, 661), 28: (189, 589), 29: (26, 426), 30: (218, 618), 31: (88, 488), 32: (180, 580), 33: (180, 580), 34: (232, 632), 35: (267, 667), 36: (155, 555), 37: (221, 621), 38: (104, 504), 39: (262, 662), 40: (67, 467), 41: (151, 551), 42: (133, 533), 43: (137, 537), 44: (228, 628), 45: (275, 675), 46: (81, 481), 47: (88, 488), 48: (134, 534), 49: (141, 541), 50: (83, 483), 51: (48, 448), 52: (33, 433), 53: (32, 432), 54: (223, 623), 55: (127, 527), 56: (126, 526), 57: (0, 393), 58: (278, 678), 59: (49, 449), 60: (95, 495), 61: (95, 495), 62: (160, 560), 63: (149, 549), 64: (50, 450), 65: (180, 580), 66: (155, 555), 67: (74, 474), 68: (248, 648), 69: (135, 535), 70: (248, 648), 71: (138, 538), 72: (93, 493), 73: (78, 478), 74: (129, 529), 75: (87, 487), 76: (273, 673), 77: (56, 456), 78: (59, 459), 79: (34, 434), 80: (252, 652), 81: (229, 629), 82: (222, 622), 83: (189, 589), 84: (18, 418), 85: (68, 468), 86: (18, 418), 87: (596, 996), 88: (400, 800), 89: (556, 956), 90: (587, 987), 91: (383, 783), 92: (371, 771), 93: (513, 913), 94: (542, 942), 95: (234, 634), 96: (261, 661), 97: (373, 773), 98: (418, 818), 99: (599, 999), 100: (282, 682), 101: (209, 609), 102: (605, 1005), 103: (244, 644), 104: (353, 753), 105: (119, 519), 106: (428, 828), 107: (297, 697), 108: (360, 760), 109: (543, 943), 110: (372, 772), 111: (474, 874), 112: (581, 981), 113: (520, 920), 114: (440, 840), 115: (163, 563), 116: (459, 859), 117: (245, 645), 118: (577, 977), 119: (480, 880), 120: (425, 825), 121: (416, 816), 122: (444, 844), 123: (546, 946), 124: (468, 868), 125: (507, 907), 126: (434, 834), 127: (463, 863), 128: (397, 797), 129: (339, 739), 130: (300, 700), 131: (410, 810), 132: (210, 610), 133: (304, 704), 134: (467, 867), 135: (491, 891), 136: (254, 654), 137: (309, 709), 138: (333, 733), 139: (119, 519), 140: (429, 829), 141: (469, 869), 142: (457, 857), 143: (166, 566), 144: (678, 1078), 145: (424, 824), 146: (430, 830), 147: (225, 625), 148: (479, 879), 149: (471, 871), 150: (444, 844), 151: (485, 885), 152: (535, 935), 153: (401, 801), 154: (625, 1025), 155: (329, 729), 156: (628, 1028), 157: (404, 804), 158: (398, 798), 159: (391, 791), 160: (375, 775), 161: (239, 639), 162: (410, 810), 163: (303, 703), 164: (227, 627), 165: (228, 628), 166: (617, 1017), 167: (430, 830), 168: (478, 878), 169: (426, 826), 170: (324, 724), 171: (465, 865), 172: (245, 645)}
transfer nodes departure time: {173: 130, 174: 157, 175: 185, 176: 263, 177: 940, 178: 990, 179: 1040, 180: 1091}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 87): (167.93153366774212, 839.6576683387106, False)
   (1, 177): (17.72004514666935, 88.60022573334675, False)
   (1, 178): (58.83026432033091, 294.15132160165456, False)
   (1, 179): (105.55093557141026, 527.7546778570513, False)
   (1, 180): (153.62942426501507, 768.1471213250754, False)
   (1, 181): (155.32224567009067, 776.6112283504533, False)
   (1, 182): (142.21462653327893, 711.0731326663947, False)
   (1, 183): (203.94361965994426, 1019.7180982997213, False)
   (1, 184): (158.22136391777187, 791.1068195888594, False)
   (1, 185): (17.0, 85.0, False)
   (1, 186): (162.0524606416083, 810.2623032080414, False)
   (1, 187): (137.11673858431726, 685.5836929215864, False)
   (1, 188): (113.21660655575224, 566.0830327787612, False)
   (1, 189): (144.30869689661813, 721.5434844830907, False)
   (1, 190): (97.86725703727473, 489.33628518637363, False)
   (1, 191): (41.593268686170845, 207.96634343085424, False)
   (1, 192): (121.63058825805291, 608.1529412902646, False)
   (2, 88): (72.00694410957877, 360.0347205478938, False)
   (2, 177): (157.8005069700348, 789.002534850174, False)
   (2, 178): (110.67971810589327, 553.3985905294663, False)
   (2, 179): (63.245553203367585, 316.2277660168379, False)
   (2, 180): (14.866068747318506, 74.33034373659252, False)
   (2, 181): (170.13524032369074, 850.6762016184537, False)
   (2, 182): (109.55363982999378, 547.768199149969, False)
   (2, 183): (116.86744627996283, 584.3372313998142, False)
   (2, 184): (43.139309220245984, 215.69654610122993, False)
   (2, 185): (152.97058540778355, 764.8529270389178, False)
   (2, 186): (69.52697318307479, 347.63486591537395, False)
   (2, 187): (148.06079832285116, 740.3039916142558, False)
   (2, 188): (84.21995013059554, 421.09975065297766, False)
   (2, 189): (119.54078801814885, 597.7039400907443, False)
   (2, 190): (98.00510190801293, 490.02550954006466, False)
   (2, 191): (128.3627671873741, 641.8138359368704, False)
   (2, 192): (70.60453243241541, 353.02266216207704, False)
   (3, 89): (53.2634959423431, 266.31747971171546, False)
   (3, 177): (118.1185844818672, 590.592922409336, False)
   (3, 178): (72.42237223399962, 362.1118611699981, False)
   (3, 179): (30.4138126514911, 152.0690632574555, False)
   (3, 180): (34.17601498127012, 170.88007490635061, False)
   (3, 181): (128.5496013218244, 642.7480066091221, False)
   (3, 182): (70.2922470831599, 351.4612354157995, False)
   (3, 183): (100.00499987500625, 500.02499937503126, False)
   (3, 184): (28.844410203711913, 144.22205101855957, False)
   (3, 185): (117.44360348695028, 587.2180174347513, False)
   (3, 186): (46.010868281309364, 230.05434140654683, False)
   (3, 187): (105.20931517693668, 526.0465758846834, False)
   (3, 188): (80.09993757800315, 400.49968789001576, False)
   (3, 189): (80.05623023850174, 400.2811511925087, False)
   (3, 190): (86.83317338436964, 434.1658669218482, False)
   (3, 191): (94.76286192385707, 473.8143096192854, False)
   (3, 192): (25.059928172283335, 125.29964086141668, False)
   (4, 90): (25.179356624028344, 125.89678312014172, False)
   (4, 177): (204.84140206510986, 1024.2070103255494, False)
   (4, 178): (158.64740779476983, 793.2370389738492, False)
   (4, 179): (112.6454615153225, 563.2273075766125, False)
   (4, 180): (67.94115100585212, 339.7057550292606, False)
   (4, 181): (182.3869512876401, 911.9347564382006, False)
   (4, 182): (124.03628501370073, 620.1814250685037, False)
   (4, 183): (100.42410069301094, 502.1205034650547, False)
   (4, 184): (63.56099432828282, 317.8049716414141, False)
   (4, 185): (203.0295544988463, 1015.1477724942315, False)
   (4, 186): (77.41446893184762, 387.0723446592381, False)
   (4, 187): (164.7573974060042, 823.786987030021, False)
   (4, 188): (139.2838827718412, 696.4194138592061, False)
   (4, 189): (132.83448347473634, 664.1724173736817, False)
   (4, 190): (153.21879780235844, 766.0939890117922, False)
   (4, 191): (179.25400971805345, 896.2700485902673, False)
   (4, 192): (103.32473082471591, 516.6236541235796, False)
   (5, 91): (95.00526301210897, 475.02631506054485, False)
   (5, 174): (31.89043743820395, 159.45218719101976, False)
   (5, 175): (22.02271554554524, 110.1135777277262, False)
   (5, 176): (80.00624975587844, 400.03124877939223, False)
   (5, 177): (73.37574531137656, 366.87872655688284, False)
   (5, 178): (60.53924347066124, 302.6962173533062, False)
   (5, 179): (79.40403012442127, 397.02015062210637, False)
   (5, 180): (116.92732785794773, 584.6366392897387, False)
   (5, 181): (70.09279563550022, 350.46397817750113, False)
   (5, 182): (54.48853090330111, 272.44265451650557, False)
   (5, 183): (118.1397477566293, 590.6987387831465, False)
   (5, 184): (98.50888284819801, 492.5444142409901, False)
   (5, 185): (87.5728268357257, 437.86413417862855, False)
   (5, 186): (88.95504482602435, 444.7752241301217, False)
   (5, 187): (48.093658625644196, 240.46829312822098, False)
   (5, 188): (127.40486646906389, 637.0243323453194, False)
   (5, 189): (54.378304497290095, 271.89152248645047, False)
   (5, 190): (122.06555615733703, 610.3277807866851, False)
   (5, 191): (81.21576201698781, 406.07881008493905, False)
   (5, 192): (60.03332407921454, 300.1666203960727, False)
   (6, 92): (75.21303078589507, 376.06515392947534, False)
   (6, 177): (153.80507143784303, 769.0253571892151, False)
   (6, 178): (106.88779163215975, 534.4389581607987, False)
   (6, 179): (60.207972893961475, 301.03986446980736, False)
   (6, 180): (17.204650534085253, 86.02325267042627, False)
   (6, 181): (178.44046626256053, 892.2023313128027, False)
   (6, 182): (118.56221995222593, 592.8110997611296, False)
   (6, 183): (130.74020039758238, 653.7010019879119, False)
   (6, 184): (54.91812087098393, 274.5906043549196, False)
   (6, 185): (147.12239802287073, 735.6119901143536, False)
