All relevant information about the map is below:

Total # of nodes: 204
# of robots: 91, robots_origin_location: {180: {2, 77, 46}, 181: {76}, 182: {25, 22}, 183: {81, 3, 68, 71}, 184: {1, 73, 74, 85, 31}, 185: {88, 52, 30}, 186: {34, 38, 45, 15, 24}, 187: {33, 40, 42, 11, 29}, 188: set(), 189: {35, 12, 78, 79}, 190: {36, 5, 44, 48, 20}, 191: {67, 84}, 192: {89}, 193: {58}, 194: {69, 6, 8, 9, 86}, 195: {32, 64, 54, 23, 27}, 196: {66, 10, 18, 55, 62}, 197: {49, 90, 37}, 198: {65, 26, 19, 87}, 199: {4, 39, 43, 53, 21}, 200: {72, 82, 83, 57, 61}, 201: {16, 50, 14}, 202: {70, 75, 17, 91, 60}, 203: {7, 80, 56, 59, 28}, 204: {41, 13, 47, 51, 63}}
# of requests: 86, request_pairs: [(1, 87), (2, 88), (3, 89), (4, 90), (5, 91), (6, 92), (7, 93), (8, 94), (9, 95), (10, 96), (11, 97), (12, 98), (13, 99), (14, 100), (15, 101), (16, 102), (17, 103), (18, 104), (19, 105), (20, 106), (21, 107), (22, 108), (23, 109), (24, 110), (25, 111), (26, 112), (27, 113), (28, 114), (29, 115), (30, 116), (31, 117), (32, 118), (33, 119), (34, 120), (35, 121), (36, 122), (37, 123), (38, 124), (39, 125), (40, 126), (41, 127), (42, 128), (43, 129), (44, 130), (45, 131), (46, 132), (47, 133), (48, 134), (49, 135), (50, 136), (51, 137), (52, 138), (53, 139), (54, 140), (55, 141), (56, 142), (57, 143), (58, 144), (59, 145), (60, 146), (61, 147), (62, 148), (63, 149), (64, 150), (65, 151), (66, 152), (67, 153), (68, 154), (69, 155), (70, 156), (71, 157), (72, 158), (73, 159), (74, 160), (75, 161), (76, 162), (77, 163), (78, 164), (79, 165), (80, 166), (81, 167), (82, 168), (83, 169), (84, 170), (85, 171), (86, 172)]
# of depots: 25, depot nodes: [180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204]
# of service lines: 3
# of num transfers: 7, service lines mapping: {1: [173, 174, 175], 2: [176, 177, 178], 3: [179]}
public transportation factor: 0.6
map_size: 204
outsourcing cost: 6250
robots max travel time: 538
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 5
depot service time: 2
transfer capacity: 10
transfer service time: 2
request nodes time windows: {1: (120, 520), 2: (151, 551), 3: (41, 441), 4: (63, 463), 5: (180, 580), 6: (21, 421), 7: (304, 704), 8: (156, 556), 9: (121, 521), 10: (162, 562), 11: (84, 484), 12: (278, 678), 13: (235, 635), 14: (132, 532), 15: (64, 464), 16: (180, 580), 17: (230, 630), 18: (66, 466), 19: (278, 678), 20: (113, 513), 21: (272, 672), 22: (265, 665), 23: (65, 465), 24: (87, 487), 25: (246, 646), 26: (99, 499), 27: (237, 637), 28: (177, 577), 29: (129, 529), 30: (155, 555), 31: (168, 568), 32: (41, 441), 33: (95, 495), 34: (138, 538), 35: (182, 582), 36: (204, 604), 37: (39, 439), 38: (267, 667), 39: (303, 703), 40: (176, 576), 41: (51, 451), 42: (238, 638), 43: (29, 429), 44: (91, 491), 45: (187, 587), 46: (241, 641), 47: (229, 629), 48: (137, 537), 49: (196, 596), 50: (279, 679), 51: (146, 546), 52: (175, 575), 53: (130, 530), 54: (83, 483), 55: (217, 617), 56: (256, 656), 57: (77, 477), 58: (268, 668), 59: (204, 604), 60: (200, 600), 61: (306, 706), 62: (253, 653), 63: (196, 596), 64: (243, 643), 65: (301, 701), 66: (309, 709), 67: (98, 498), 68: (6, 406), 69: (172, 572), 70: (146, 546), 71: (204, 604), 72: (111, 511), 73: (238, 638), 74: (135, 535), 75: (100, 500), 76: (48, 448), 77: (304, 704), 78: (166, 566), 79: (44, 444), 80: (276, 676), 81: (13, 413), 82: (135, 535), 83: (210, 610), 84: (148, 548), 85: (253, 653), 86: (62, 462), 87: (480, 880), 88: (339, 739), 89: (359, 759), 90: (319, 719), 91: (296, 696), 92: (352, 752), 93: (575, 975), 94: (404, 804), 95: (408, 808), 96: (500, 900), 97: (452, 852), 98: (489, 889), 99: (630, 1030), 100: (332, 732), 101: (213, 613), 102: (423, 823), 103: (615, 1015), 104: (335, 735), 105: (527, 927), 106: (319, 719), 107: (503, 903), 108: (534, 934), 109: (191, 591), 110: (438, 838), 111: (417, 817), 112: (253, 653), 113: (449, 849), 114: (347, 747), 115: (294, 694), 116: (257, 657), 117: (314, 714), 118: (417, 817), 119: (356, 756), 120: (536, 936), 121: (437, 837), 122: (543, 943), 123: (384, 784), 124: (532, 932), 125: (687, 1087), 126: (486, 886), 127: (206, 606), 128: (545, 945), 129: (355, 755), 130: (313, 713), 131: (447, 847), 132: (457, 857), 133: (531, 931), 134: (321, 721), 135: (581, 981), 136: (569, 969), 137: (532, 932), 138: (346, 746), 139: (496, 896), 140: (210, 610), 141: (273, 673), 142: (600, 1000), 143: (361, 761), 144: (666, 1066), 145: (587, 987), 146: (555, 955), 147: (533, 933), 148: (506, 906), 149: (342, 742), 150: (445, 845), 151: (420, 820), 152: (573, 973), 153: (473, 873), 154: (255, 655), 155: (375, 775), 156: (347, 747), 157: (355, 755), 158: (211, 611), 159: (374, 774), 160: (374, 774), 161: (180, 580), 162: (245, 645), 163: (428, 828), 164: (422, 822), 165: (416, 816), 166: (531, 931), 167: (288, 688), 168: (352, 752), 169: (417, 817), 170: (213, 613), 171: (618, 1018), 172: (369, 769)}
transfer nodes departure time: {173: 302, 174: 351, 175: 401, 176: 1507, 177: 1565, 178: 1623, 179: 1632}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 87): (172.29045243425418, 861.4522621712708, False)
   (1, 174): (118.2285921425101, 591.1429607125505, False)
   (1, 175): (46.95742752749558, 234.7871376374779, False)
   (1, 176): (64.03124237432849, 320.1562118716424, False)
   (1, 177): (96.40020746865642, 482.00103734328206, False)
   (1, 178): (178.3704011320264, 891.8520056601319, False)
   (1, 179): (170.0, 850.0, False)
   (1, 180): (146.98639392814562, 734.9319696407281, False)
   (1, 181): (119.0, 595.0, False)
   (1, 182): (88.60022573334675, 443.00112866673373, False)
   (1, 183): (109.5627673984187, 547.8138369920935, False)
   (1, 184): (160.41508657230466, 802.0754328615233, False)
   (1, 185): (75.82216034906945, 379.11080174534726, False)
   (1, 186): (113.28283188550682, 566.4141594275341, False)
   (1, 187): (180.0444389588304, 900.222194794152, False)
   (1, 188): (175.17134468856486, 875.8567234428243, False)
   (1, 189): (41.593268686170845, 207.96634343085424, False)
   (1, 190): (123.03657992645927, 615.1828996322963, False)
   (1, 191): (182.7840255602223, 913.9201278011114, False)
   (1, 192): (117.32433677630571, 586.6216838815286, False)
   (1, 193): (45.221676218380054, 226.10838109190027, False)
   (1, 194): (126.73200069437868, 633.6600034718934, False)
   (1, 195): (116.93160394008115, 584.6580197004057, False)
   (1, 196): (86.83893136145792, 434.1946568072896, False)
   (1, 197): (179.44637081869334, 897.2318540934667, False)
   (1, 198): (91.67878707749138, 458.3939353874569, False)
   (1, 199): (197.25364381932212, 986.2682190966107, False)
   (1, 200): (144.80331487918363, 724.0165743959182, False)
   (1, 201): (71.78439941937245, 358.92199709686224, False)
   (1, 202): (28.844410203711913, 144.22205101855957, False)
   (1, 203): (173.1733235807409, 865.8666179037045, False)
   (1, 204): (32.89376840679705, 164.46884203398525, False)
   (2, 88): (55.226805085936306, 276.1340254296815, False)
   (2, 174): (90.35485598461214, 451.7742799230607, False)
   (2, 175): (13.601470508735444, 68.00735254367721, False)
   (2, 176): (97.41663102366043, 487.08315511830216, False)
   (2, 177): (109.62207806824317, 548.1103903412159, False)
   (2, 178): (178.53291013143766, 892.6645506571883, False)
   (2, 179): (155.08062419270823, 775.4031209635411, False)
   (2, 180): (145.34441853748632, 726.7220926874315, False)
   (2, 181): (126.62148316932637, 633.1074158466319, False)
   (2, 182): (55.31726674375732, 276.5863337187866, False)
   (2, 183): (89.45389874119518, 447.2694937059759, False)
   (2, 184): (128.22246293064254, 641.1123146532127, False)
   (2, 185): (95.46203433826454, 477.3101716913227, False)
   (2, 186): (82.15229759416349, 410.7614879708174, False)
   (2, 187): (169.1685549976709, 845.8427749883544, False)
   (2, 188): (172.40939649566667, 862.0469824783333, False)
   (2, 189): (47.20169488482379, 236.00847442411893, False)
   (2, 190): (113.50770898930169, 567.5385449465084, False)
   (2, 191): (179.38784797192923, 896.9392398596461, False)
   (2, 192): (119.85407794480753, 599.2703897240376, False)
   (2, 193): (29.546573405388315, 147.73286702694156, False)
   (2, 194): (95.67131231461184, 478.3565615730592, False)
   (2, 195): (85.70297544426332, 428.51487722131657, False)
   (2, 196): (99.62429422585637, 498.1214711292819, False)
   (2, 197): (163.04907236779974, 815.2453618389986, False)
   (2, 198): (69.72087205421343, 348.60436027106715, False)
   (2, 199): (168.65645555388622, 843.2822777694311, False)
   (2, 200): (111.83022847155415, 559.1511423577707, False)
   (2, 201): (77.07788269017254, 385.3894134508627, False)
   (2, 202): (62.177166226839255, 310.8858311341963, False)
   (2, 203): (169.54350474140847, 847.7175237070423, False)
   (2, 204): (26.90724809414742, 134.53624047073708, False)
   (3, 89): (30.886890422961002, 154.43445211480503, False)
   (3, 173): (129.84991336154215, 649.2495668077107, False)
   (3, 174): (56.22277118748239, 281.1138559374119, False)
   (3, 175): (39.21734310225516, 196.08671551127577, False)
   (3, 176): (117.29023829799307, 586.4511914899654, False)
   (3, 177): (89.05054744357274, 445.2527372178637, False)
   (3, 178): (139.40229553346674, 697.0114776673337, False)
   (3, 179): (110.04090148667449, 550.2045074333724, False)
   (3, 180): (105.80170130957252, 529.0085065478626, False)
   (3, 181): (97.12878049270464, 485.6439024635232, False)
   (3, 182): (65.0, 325.0, False)
   (3, 183): (45.35416188179427, 226.77080940897133, False)
   (3, 184): (105.84894897919393, 529.2447448959697, False)
   (3, 185): (86.37129152675674, 431.8564576337837, False)
   (3, 186): (97.75479527879949, 488.7739763939975, False)
   (3, 187): (124.53513560437472, 622.6756780218736, False)
   (3, 188): (131.36970731489052, 656.8485365744526, False)
   (3, 189): (39.81205847478876, 199.0602923739438, False)
   (3, 190): (70.00714249274856, 350.0357124637428, False)
   (3, 191): (137.82960494755835, 689.1480247377917, False)
   (3, 192): (85.42833253669417, 427.1416626834708, False)
   (3, 193): (73.348483283569, 366.742416417845, False)
   (3, 194): (70.3846574190711, 351.92328709535553, False)
   (3, 195): (61.98386886924694, 309.9193443462347, False)
   (3, 196): (80.06247560499239, 400.31237802496196, False)
   (3, 197): (118.15244390193544, 590.7622195096772, False)
   (3, 198): (26.832815729997478, 134.1640786499874, False)
   (3, 199): (134.3800580443393, 671.9002902216965, False)
   (3, 200): (95.12623192369179, 475.6311596184589, False)
   (3, 201): (52.952809179494906, 264.76404589747455, False)
   (3, 202): (91.02197536858887, 455.10987684294435, False)
   (3, 203): (128.01562404644207, 640.0781202322104, False)
   (3, 204): (32.449961479175904, 162.24980739587951, False)
   (4, 90): (139.34489585198304, 696.7244792599151, False)
   (4, 173): (195.86219645454813, 979.3109822727406, False)
   (4, 174): (119.28118040998756, 596.4059020499378, False)
   (4, 175): (45.221676218380054, 226.10838109190027, False)
   (4, 176): (67.89698078707183, 339.4849039353591, False)
   (4, 177): (103.40696301506973, 517.0348150753487, False)
   (4, 178): (184.67809832245945, 923.3904916122972, False)
   (4, 179): (174.26990560621763, 871.3495280310882, False)
   (4, 180): (153.05227865013967, 765.2613932506983, False)
   (4, 181): (125.78155667664477, 628.9077833832239, False)
   (4, 182): (85.44003745317531, 427.20018726587654, False)
   (4, 183): (112.57886124845996, 562.8943062422998, False)
   (4, 184): (159.66527487215245, 798.3263743607622, False)
   (4, 185): (82.87943049997388, 414.3971524998694, False)
   (4, 186): (108.77959367454909, 543.8979683727455, False)
   (4, 187): (185.00270268296083, 925.0135134148042, False)
   (4, 188): (181.1767093199344, 905.883546599672, False)
   (4, 189): (47.53945729601885, 237.69728648009425, False)
   (4, 190): (128.01562404644207, 640.0781202322104, False)
   (4, 191): (188.73261509341728, 943.6630754670864, False)
   (4, 192): (123.71337841963576, 618.5668920981788, False)
   (4, 193): (39.05124837953327, 195.25624189766634, False)
   (4, 194): (126.57408897558773, 632.8704448779387, False)
   (4, 195): (116.67476162392619, 583.3738081196309, False)
   (4, 196): (93.81364506296512, 469.0682253148256, False)
   (4, 197): (183.4693434882242, 917.3467174411211, False)
   (4, 198): (94.15412895885129, 470.77064479425644, False)
   (4, 199): (198.2145302443794, 991.072651221897, False)
   (4, 200): (143.45033983926285, 717.2516991963142, False)
   (4, 201): (78.18567643756751, 390.92838218783754, False)
   (4, 202): (31.016124838541646, 155.08062419270823, False)
   (4, 203): (179.07819521091898, 895.3909760545948, False)
   (4, 204): (36.49657518178932, 182.4828759089466, False)
   (5, 91): (48.877397639399746, 244.38698819699874, False)
   (5, 173): (68.76772498781678, 343.8386249390839, False)
   (5, 174): (33.421549934136806, 167.10774967068403, False)
   (5, 175): (98.50888284819801, 492.5444142409901, False)
   (5, 176): (176.69465187152667, 883.4732593576334, False)
   (5, 177): (117.74548823628021, 588.727441181401, False)
   (5, 178): (117.63077828527702, 588.1538914263851, False)
   (5, 179): (55.47071299343465, 277.35356496717327, False)
   (5, 180): (89.28605714219886, 446.43028571099427, False)
   (5, 181): (108.90362712049586, 544.5181356024793, False)
   (5, 182): (99.62429422585637, 498.1214711292819, False)
