All relevant information about the map is below:

Total # of nodes: 241
# of robots: 92, robots_origin_location: {204: {9, 85, 41}, 205: {74}, 206: {80, 60, 92}, 207: {36}, 208: {8, 48, 13}, 209: {34, 4, 62}, 210: {17, 11, 87}, 211: {91, 29, 15}, 212: {56}, 213: {76, 61, 22}, 214: {63}, 215: {82, 46, 23}, 216: {72, 65}, 217: {40, 10, 69}, 218: {64, 21, 47}, 219: {26, 20, 53}, 220: {33, 71, 31}, 221: {27, 5, 39}, 222: {14}, 223: {77, 79}, 224: {83, 67, 55}, 225: {6}, 226: {51, 3, 12}, 227: {2, 28, 7}, 228: {45}, 229: {66, 43, 84}, 230: {88, 35, 78}, 231: {73, 18, 75}, 232: {24, 25, 58}, 233: {57, 44, 38}, 234: {90}, 235: {32, 50, 52}, 236: {37}, 237: {42, 19}, 238: {89, 1, 54}, 239: {49, 30, 70}, 240: {16, 81}, 241: {59, 68, 86}}
# of requests: 87, request_pairs: [(1, 88), (2, 89), (3, 90), (4, 91), (5, 92), (6, 93), (7, 94), (8, 95), (9, 96), (10, 97), (11, 98), (12, 99), (13, 100), (14, 101), (15, 102), (16, 103), (17, 104), (18, 105), (19, 106), (20, 107), (21, 108), (22, 109), (23, 110), (24, 111), (25, 112), (26, 113), (27, 114), (28, 115), (29, 116), (30, 117), (31, 118), (32, 119), (33, 120), (34, 121), (35, 122), (36, 123), (37, 124), (38, 125), (39, 126), (40, 127), (41, 128), (42, 129), (43, 130), (44, 131), (45, 132), (46, 133), (47, 134), (48, 135), (49, 136), (50, 137), (51, 138), (52, 139), (53, 140), (54, 141), (55, 142), (56, 143), (57, 144), (58, 145), (59, 146), (60, 147), (61, 148), (62, 149), (63, 150), (64, 151), (65, 152), (66, 153), (67, 154), (68, 155), (69, 156), (70, 157), (71, 158), (72, 159), (73, 160), (74, 161), (75, 162), (76, 163), (77, 164), (78, 165), (79, 166), (80, 167), (81, 168), (82, 169), (83, 170), (84, 171), (85, 172), (86, 173), (87, 174)]
# of depots: 38, depot nodes: [204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241]
# of service lines: 7
# of num transfers: 29, service lines mapping: {1: [175, 176, 177, 178, 179], 2: [180, 181, 182, 183, 184], 3: [185, 186, 187, 188, 189], 4: [190, 191, 192, 193, 194], 5: [195, 196, 197, 198, 199], 6: [200, 201, 202, 203], 7: []}
public transportation factor: 1.0
map_size: 241
outsourcing cost: 10000
robots max travel time: 175
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 3
transfer service time: 2
request nodes time windows: {1: (286, 686), 2: (188, 588), 3: (189, 589), 4: (44, 444), 5: (155, 555), 6: (255, 655), 7: (318, 718), 8: (332, 732), 9: (105, 505), 10: (397, 797), 11: (389, 789), 12: (306, 706), 13: (50, 450), 14: (120, 520), 15: (284, 684), 16: (164, 564), 17: (165, 565), 18: (162, 562), 19: (161, 561), 20: (310, 710), 21: (279, 679), 22: (335, 735), 23: (290, 690), 24: (355, 755), 25: (138, 538), 26: (331, 731), 27: (115, 515), 28: (372, 772), 29: (265, 665), 30: (333, 733), 31: (179, 579), 32: (205, 605), 33: (299, 699), 34: (236, 636), 35: (351, 751), 36: (171, 571), 37: (123, 523), 38: (360, 760), 39: (325, 725), 40: (342, 742), 41: (363, 763), 42: (379, 779), 43: (306, 706), 44: (158, 558), 45: (88, 488), 46: (193, 593), 47: (104, 504), 48: (208, 608), 49: (91, 491), 50: (193, 593), 51: (234, 634), 52: (321, 721), 53: (87, 487), 54: (46, 446), 55: (370, 770), 56: (138, 538), 57: (235, 635), 58: (260, 660), 59: (195, 595), 60: (78, 478), 61: (57, 457), 62: (46, 446), 63: (282, 682), 64: (322, 722), 65: (205, 605), 66: (168, 568), 67: (220, 620), 68: (264, 664), 69: (189, 589), 70: (207, 607), 71: (182, 582), 72: (355, 755), 73: (86, 486), 74: (133, 533), 75: (74, 474), 76: (86, 486), 77: (252, 652), 78: (260, 660), 79: (161, 561), 80: (44, 444), 81: (344, 744), 82: (166, 566), 83: (233, 633), 84: (238, 638), 85: (41, 441), 86: (65, 465), 87: (402, 802), 88: (653, 1053), 89: (536, 936), 90: (569, 969), 91: (390, 790), 92: (390, 790), 93: (579, 979), 94: (628, 1028), 95: (574, 974), 96: (435, 835), 97: (627, 1027), 98: (775, 1175), 99: (548, 948), 100: (410, 810), 101: (471, 871), 102: (651, 1051), 103: (434, 834), 104: (508, 908), 105: (317, 717), 106: (466, 866), 107: (522, 922), 108: (457, 857), 109: (682, 1082), 110: (447, 847), 111: (743, 1143), 112: (443, 843), 113: (409, 809), 114: (477, 877), 115: (740, 1140), 116: (662, 1062), 117: (571, 971), 118: (535, 935), 119: (543, 943), 120: (539, 939), 121: (304, 704), 122: (699, 1099), 123: (504, 904), 124: (450, 850), 125: (522, 922), 126: (670, 1070), 127: (722, 1122), 128: (410, 810), 129: (780, 1180), 130: (484, 884), 131: (292, 692), 132: (439, 839), 133: (380, 780), 134: (464, 864), 135: (560, 960), 136: (277, 677), 137: (526, 926), 138: (463, 863), 139: (658, 1058), 140: (460, 860), 141: (158, 558), 142: (743, 1143), 143: (460, 860), 144: (541, 941), 145: (556, 956), 146: (486, 886), 147: (330, 730), 148: (233, 633), 149: (419, 819), 150: (331, 731), 151: (546, 946), 152: (595, 995), 153: (532, 932), 154: (363, 763), 155: (517, 917), 156: (433, 833), 157: (580, 980), 158: (469, 869), 159: (680, 1080), 160: (329, 729), 161: (303, 703), 162: (368, 768), 163: (451, 851), 164: (466, 866), 165: (633, 1033), 166: (491, 891), 167: (395, 795), 168: (671, 1071), 169: (359, 759), 170: (464, 864), 171: (573, 973), 172: (318, 718), 173: (352, 752), 174: (776, 1176)}
transfer nodes departure time: {175: 548, 176: 589, 177: 630, 178: 671, 179: 715, 180: 141, 181: 187, 182: 232, 183: 277, 184: 325, 185: 1260, 186: 1327, 187: 1394, 188: 1461, 189: 1534, 190: 590, 191: 642, 192: 694, 193: 746, 194: 801, 195: 49, 196: 99, 197: 150, 198: 201, 199: 257, 200: 518, 201: 596, 202: 674, 203: 752}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 177): (157.8670326572334, 789.335163286167, False)
   (1, 178): (129.40247292845683, 647.0123646422842, False)
   (1, 179): (105.0, 525.0, False)
   (1, 185): (157.01273833673497, 785.0636916836748, False)
   (1, 186): (131.70041761513136, 658.5020880756567, False)
   (1, 187): (135.8712625980932, 679.356312990466, False)
   (1, 188): (167.3349933516597, 836.6749667582985, False)
   (1, 190): (34.0147027033899, 170.0735135169495, False)
   (1, 191): (21.95449840010015, 109.77249200050075, False)
   (1, 192): (68.24221567329127, 341.2110783664564, False)
   (1, 193): (116.9700816448377, 584.8504082241885, False)
   (1, 194): (169.59363195591985, 847.9681597795992, False)
   (1, 201): (135.35139452550905, 676.7569726275452, False)
   (1, 202): (126.84636376341263, 634.2318188170632, False)
   (1, 203): (158.61904047118682, 793.0952023559341, False)
   (1, 204): (111.32834320154055, 556.6417160077027, False)
   (1, 205): (51.31276644267, 256.56383221335, False)
   (1, 217): (166.70932787339765, 833.5466393669883, False)
   (1, 222): (59.77457653551382, 298.8728826775691, False)
   (1, 223): (127.40486646906389, 637.0243323453194, False)
   (1, 226): (125.32358118087753, 626.6179059043876, False)
   (1, 228): (23.600847442411894, 118.00423721205946, False)
   (1, 229): (102.00490184299969, 510.02450921499843, False)
   (1, 232): (75.16648189186454, 375.83240945932266, False)
   (1, 234): (157.54364474646383, 787.7182237323191, False)
   (1, 235): (114.33722053644648, 571.6861026822324, False)
   (1, 236): (102.95630140987001, 514.78150704935, False)
   (1, 237): (124.91997438360288, 624.5998719180144, False)
   (1, 238): (167.14065932620943, 835.7032966310471, False)
   (1, 239): (104.47966309287182, 522.398315464359, False)
   (1, 240): (170.01176429882727, 850.0588214941364, False)
   (1, 241): (163.07666908543356, 815.3833454271678, False)
   (2, 89): (152.82997088267732, 764.1498544133866, False)
   (2, 175): (104.5609869884557, 522.8049349422785, False)
   (2, 176): (77.3692445355388, 386.84622267769396, False)
   (2, 177): (62.68173577685928, 313.40867888429636, False)
   (2, 178): (69.00724599634447, 345.03622998172233, False)
   (2, 179): (95.0789145920377, 475.3945729601885, False)
   (2, 184): (117.39250401963491, 586.9625200981745, False)
   (2, 185): (52.3450093132096, 261.72504656604804, False)
   (2, 186): (73.7563556583431, 368.78177829171545, False)
   (2, 187): (128.70120434556935, 643.5060217278467, False)
   (2, 192): (137.03284277865654, 685.1642138932827, False)
   (2, 193): (94.83142938920619, 474.15714694603093, False)
   (2, 194): (62.93647591023825, 314.6823795511913, False)
   (2, 200): (18.027756377319946, 90.13878188659973, False)
   (2, 201): (90.33825324855468, 451.6912662427734, False)
   (2, 202): (165.21803775617238, 826.0901887808619, False)
   (2, 207): (38.948684188300895, 194.74342094150447, False)
   (2, 208): (162.1141573089778, 810.5707865448891, False)
   (2, 211): (153.1012736720371, 765.5063683601855, False)
   (2, 213): (52.08646657242167, 260.43233286210835, False)
   (2, 216): (108.16653826391968, 540.8326913195983, False)
   (2, 217): (153.44380078712857, 767.2190039356428, False)
   (2, 218): (170.46113926640288, 852.3056963320143, False)
   (2, 219): (65.5133574166368, 327.56678708318395, False)
   (2, 223): (110.90987332063814, 554.5493666031907, False)
   (2, 224): (133.5402561027947, 667.7012805139735, False)
   (2, 225): (16.1245154965971, 80.62257748298549, False)
   (2, 226): (81.54140052758476, 407.7070026379238, False)
   (2, 227): (174.0258601472781, 870.1293007363905, False)
   (2, 229): (114.97825881443848, 574.8912940721924, False)
   (2, 232): (130.09611831257686, 650.4805915628843, False)
   (2, 236): (161.75598906995685, 808.7799453497843, False)
   (2, 237): (74.02702209328699, 370.1351104664349, False)
   (2, 240): (41.048751503547585, 205.24375751773792, False)
   (3, 90): (71.30918594402827, 356.5459297201414, False)
   (3, 176): (154.00324671902212, 770.0162335951106, False)
   (3, 177): (129.86916493148019, 649.345824657401, False)
   (3, 178): (113.6001760562016, 568.000880281008, False)
   (3, 179): (108.55873986004075, 542.7936993002037, False)
   (3, 184): (74.04052944165107, 370.20264720825537, False)
   (3, 185): (156.16977940690063, 780.8488970345031, False)
   (3, 186): (109.07336980216573, 545.3668490108287, False)
   (3, 187): (88.48163651289458, 442.4081825644729, False)
   (3, 188): (110.38568747804219, 551.9284373902109, False)
   (3, 189): (163.01226947687098, 815.0613473843549, False)
   (3, 190): (73.24616030891995, 366.2308015445998, False)
   (3, 191): (37.013511046643494, 185.06755523321746, False)
   (3, 192): (47.16990566028302, 235.8495283014151, False)
   (3, 193): (89.05054744357274, 445.2527372178637, False)
   (3, 194): (139.26234236145822, 696.3117118072911, False)
   (3, 200): (164.34719346554112, 821.7359673277056, False)
   (3, 201): (101.9803902718557, 509.9019513592785, False)
   (3, 202): (71.34423592694787, 356.72117963473937, False)
   (3, 203): (105.26157893552613, 526.3078946776307, False)
   (3, 204): (69.29646455628166, 346.4823227814083, False)
   (3, 205): (61.71709649683789, 308.58548248418947, False)
   (3, 206): (167.19150696132863, 835.9575348066431, False)
   (3, 207): (152.11837495845134, 760.5918747922567, False)
   (3, 208): (157.61345120261785, 788.0672560130893, False)
   (3, 209): (160.63934760823702, 803.1967380411851, False)
   (3, 210): (175.0, 875.0, False)
   (3, 212): (166.54428840401582, 832.721442020079, False)
   (3, 214): (173.92527130926086, 869.6263565463044, False)
   (3, 215): (165.89454481688057, 829.4727240844029, False)
   (3, 217): (113.70136322841516, 568.5068161420758, False)
   (3, 219): (151.34397906755325, 756.7198953377663, False)
   (3, 222): (30.01666203960727, 150.08331019803634, False)
   (3, 223): (87.31551981177229, 436.57759905886144, False)
   (3, 225): (167.4305826305338, 837.1529131526689, False)
   (3, 226): (130.36103712382777, 651.8051856191389, False)
   (3, 227): (144.5060552364502, 722.5302761822511, False)
   (3, 228): (42.579337712087536, 212.89668856043767, False)
   (3, 229): (69.26037828369117, 346.30189141845585, False)
   (3, 230): (165.13025161974412, 825.6512580987205, False)
   (3, 231): (145.49914089093448, 727.4957044546725, False)
   (3, 232): (53.16013544000805, 265.80067720004024, False)
   (3, 233): (118.0889495253472, 590.444747626736, False)
   (3, 234): (105.62196741208714, 528.1098370604357, False)
   (3, 235): (57.0701322935211, 285.3506614676055, False)
   (3, 236): (48.41487374764082, 242.0743687382041, False)
   (3, 237): (108.50345616615168, 542.5172808307584, False)
   (3, 238): (110.92339699089638, 554.616984954482, False)
