All relevant information about the map is below:

Total # of nodes: 220
# of robots: 93, robots_origin_location: {191: {1, 3}, 192: {63}, 193: {81, 10, 70, 87}, 194: {73, 33, 78}, 195: {65, 57, 82}, 196: {17, 42, 5, 39}, 197: {14, 15}, 198: {35, 11, 92}, 199: {86, 43, 22}, 200: {59, 4, 79, 68}, 201: {50, 83, 58, 66}, 202: {25, 34, 67, 37}, 203: {31, 20, 29, 23}, 204: {60, 53, 38, 76}, 205: {41, 74, 93, 47}, 206: {32, 36, 52, 7}, 207: {80, 89, 90, 51}, 208: {26, 6, 55}, 209: {8, 69, 30}, 210: {48, 64, 77, 45}, 211: {16, 49, 85}, 212: {44, 54}, 213: {2, 61, 12, 28}, 214: {62}, 215: {71}, 216: {72, 91, 88}, 217: {40, 56, 75, 46}, 218: {24, 9, 27, 84}, 219: set(), 220: {21, 18, 19, 13}}
# of requests: 87, request_pairs: [(1, 88), (2, 89), (3, 90), (4, 91), (5, 92), (6, 93), (7, 94), (8, 95), (9, 96), (10, 97), (11, 98), (12, 99), (13, 100), (14, 101), (15, 102), (16, 103), (17, 104), (18, 105), (19, 106), (20, 107), (21, 108), (22, 109), (23, 110), (24, 111), (25, 112), (26, 113), (27, 114), (28, 115), (29, 116), (30, 117), (31, 118), (32, 119), (33, 120), (34, 121), (35, 122), (36, 123), (37, 124), (38, 125), (39, 126), (40, 127), (41, 128), (42, 129), (43, 130), (44, 131), (45, 132), (46, 133), (47, 134), (48, 135), (49, 136), (50, 137), (51, 138), (52, 139), (53, 140), (54, 141), (55, 142), (56, 143), (57, 144), (58, 145), (59, 146), (60, 147), (61, 148), (62, 149), (63, 150), (64, 151), (65, 152), (66, 153), (67, 154), (68, 155), (69, 156), (70, 157), (71, 158), (72, 159), (73, 160), (74, 161), (75, 162), (76, 163), (77, 164), (78, 165), (79, 166), (80, 167), (81, 168), (82, 169), (83, 170), (84, 171), (85, 172), (86, 173), (87, 174)]
# of depots: 30, depot nodes: [191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220]
# of service lines: 4
# of num transfers: 16, service lines mapping: {1: [175, 176, 177, 178], 2: [179, 180, 181, 182], 3: [183, 184, 185, 186], 4: [187, 188, 189, 190]}
public transportation factor: 0.4
map_size: 220
outsourcing cost: 1250
robots max travel time: 208
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 7
transfer service time: 2
request nodes time windows: {1: (244, 644), 2: (124, 524), 3: (261, 661), 4: (133, 533), 5: (47, 447), 6: (137, 537), 7: (322, 722), 8: (275, 675), 9: (236, 636), 10: (59, 459), 11: (310, 710), 12: (301, 701), 13: (285, 685), 14: (101, 501), 15: (274, 674), 16: (165, 565), 17: (311, 711), 18: (242, 642), 19: (158, 558), 20: (345, 745), 21: (331, 731), 22: (212, 612), 23: (254, 654), 24: (230, 630), 25: (337, 737), 26: (328, 728), 27: (219, 619), 28: (30, 430), 29: (96, 496), 30: (174, 574), 31: (154, 554), 32: (155, 555), 33: (330, 730), 34: (54, 454), 35: (53, 453), 36: (286, 686), 37: (323, 723), 38: (196, 596), 39: (230, 630), 40: (129, 529), 41: (219, 619), 42: (203, 603), 43: (40, 440), 44: (148, 548), 45: (176, 576), 46: (42, 442), 47: (348, 748), 48: (331, 731), 49: (184, 584), 50: (68, 468), 51: (92, 492), 52: (191, 591), 53: (336, 736), 54: (127, 527), 55: (266, 666), 56: (118, 518), 57: (266, 666), 58: (151, 551), 59: (165, 565), 60: (167, 567), 61: (267, 667), 62: (112, 512), 63: (304, 704), 64: (124, 524), 65: (168, 568), 66: (106, 506), 67: (299, 699), 68: (325, 725), 69: (323, 723), 70: (46, 446), 71: (76, 476), 72: (49, 449), 73: (180, 580), 74: (132, 532), 75: (99, 499), 76: (313, 713), 77: (79, 479), 78: (339, 739), 79: (342, 742), 80: (52, 452), 81: (305, 705), 82: (136, 536), 83: (290, 690), 84: (213, 613), 85: (244, 644), 86: (199, 599), 87: (235, 635), 88: (313, 713), 89: (499, 899), 90: (528, 928), 91: (381, 781), 92: (396, 796), 93: (295, 695), 94: (522, 922), 95: (574, 974), 96: (540, 940), 97: (297, 697), 98: (487, 887), 99: (690, 1090), 100: (638, 1038), 101: (329, 729), 102: (523, 923), 103: (404, 804), 104: (701, 1101), 105: (601, 1001), 106: (537, 937), 107: (671, 1071), 108: (527, 927), 109: (433, 833), 110: (524, 924), 111: (505, 905), 112: (447, 847), 113: (477, 877), 114: (353, 753), 115: (334, 734), 116: (198, 598), 117: (478, 878), 118: (515, 915), 119: (342, 742), 120: (451, 851), 121: (297, 697), 122: (375, 775), 123: (525, 925), 124: (575, 975), 125: (385, 785), 126: (461, 861), 127: (500, 900), 128: (538, 938), 129: (477, 877), 130: (437, 837), 131: (479, 879), 132: (538, 938), 133: (356, 756), 134: (559, 959), 135: (716, 1116), 136: (585, 985), 137: (402, 802), 138: (474, 874), 139: (514, 914), 140: (545, 945), 141: (353, 753), 142: (463, 863), 143: (348, 748), 144: (390, 790), 145: (362, 762), 146: (505, 905), 147: (483, 883), 148: (478, 878), 149: (225, 625), 150: (551, 951), 151: (287, 687), 152: (528, 928), 153: (366, 766), 154: (515, 915), 155: (450, 850), 156: (624, 1024), 157: (237, 637), 158: (385, 785), 159: (342, 742), 160: (519, 919), 161: (436, 836), 162: (272, 672), 163: (656, 1056), 164: (299, 699), 165: (561, 961), 166: (587, 987), 167: (261, 661), 168: (660, 1060), 169: (456, 856), 170: (528, 928), 171: (458, 858), 172: (623, 1023), 173: (458, 858), 174: (406, 806)}
transfer nodes departure time: {175: 43, 176: 64, 177: 85, 178: 106, 179: 1136, 180: 1165, 181: 1194, 182: 1225, 183: 135, 184: 159, 185: 183, 186: 208, 187: 1584, 188: 1611, 189: 1638, 190: 1666}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 88): (59.0592922409336, 295.296461204668, False)
   (1, 179): (76.38062581571324, 381.9031290785662, False)
   (1, 180): (28.861739379323623, 144.30869689661813, False)
   (1, 181): (68.00735254367721, 340.03676271838606, False)
   (1, 182): (135.9154148726332, 679.5770743631659, False)
   (1, 187): (70.8590149522275, 354.29507476113747, False)
   (1, 188): (17.69180601295413, 88.45903006477066, False)
   (1, 189): (56.22277118748239, 281.1138559374119, False)
   (1, 190): (119.57006314291216, 597.8503157145608, False)
   (1, 191): (76.94153624668537, 384.70768123342685, False)
   (1, 192): (126.24183141890805, 631.2091570945403, False)
   (1, 193): (122.38055401083949, 611.9027700541974, False)
   (1, 194): (109.48059188732951, 547.4029594366475, False)
   (1, 195): (120.59850745345068, 602.9925372672534, False)
   (1, 196): (51.03920062069938, 255.1960031034969, False)
   (1, 197): (146.4137971640651, 732.0689858203255, False)
   (1, 198): (140.8900280360537, 704.4501401802686, False)
   (1, 199): (71.19691004531025, 355.9845502265512, False)
   (1, 200): (149.0, 745.0, False)
   (1, 201): (34.713109915419565, 173.56554957709784, False)
   (1, 202): (118.03812943282352, 590.1906471641176, False)
   (1, 203): (86.37129152675674, 431.8564576337837, False)
   (1, 204): (108.37435120913067, 541.8717560456533, False)
   (1, 205): (162.85576440519384, 814.2788220259692, False)
   (1, 206): (97.73944955850733, 488.69724779253664, False)
   (1, 207): (183.09833423600554, 915.4916711800277, False)
   (1, 208): (142.12670403551894, 710.6335201775947, False)
   (1, 209): (45.39823785126467, 226.99118925632334, False)
   (1, 210): (105.72133181151285, 528.6066590575642, False)
   (1, 211): (89.8276126811795, 449.1380634058975, False)
   (1, 212): (161.9783936208777, 809.8919681043885, False)
   (1, 213): (77.69813382572325, 388.4906691286162, False)
   (1, 214): (137.05838172107534, 685.2919086053766, False)
   (1, 215): (45.221676218380054, 226.10838109190027, False)
   (1, 216): (119.95415791042844, 599.7707895521422, False)
   (1, 217): (137.27709204379295, 686.3854602189647, False)
   (1, 218): (118.1905241548577, 590.9526207742884, False)
   (1, 219): (126.40015822774906, 632.0007911387453, False)
   (1, 220): (147.14618581533128, 735.7309290766564, False)
   (2, 89): (202.27703774773843, 1011.3851887386921, False)
   (2, 179): (177.22866585290316, 886.1433292645158, False)
   (2, 180): (165.10905486980417, 825.5452743490208, False)
   (2, 181): (178.96647730790255, 894.8323865395128, False)
   (2, 186): (21.2602916254693, 106.3014581273465, False)
   (2, 187): (111.28791488746656, 556.4395744373328, False)
   (2, 188): (142.67795905464865, 713.3897952732433, False)
   (2, 189): (189.4333655932872, 947.1668279664359, False)
   (2, 191): (134.72935834479432, 673.6467917239715, False)
   (2, 193): (155.7080601638849, 778.5403008194246, False)
   (2, 196): (184.45866745696716, 922.2933372848358, False)
   (2, 197): (109.32977636490436, 546.6488818245218, False)
   (2, 198): (195.49424543960367, 977.4712271980184, False)
   (2, 201): (111.8257573191436, 559.128786595718, False)
   (2, 203): (133.2816566523691, 666.4082832618454, False)
   (2, 204): (42.20189569201838, 211.0094784600919, False)
   (2, 205): (171.00292395160966, 855.0146197580483, False)
   (2, 206): (41.72529209005013, 208.62646045025065, False)
   (2, 207): (169.33103672983285, 846.6551836491642, False)
   (2, 209): (129.1239714383042, 645.6198571915211, False)
   (2, 210): (195.35864454894235, 976.7932227447118, False)
   (2, 212): (198.4363877921587, 992.1819389607936, False)
   (2, 213): (207.2510554858527, 1036.2552774292635, False)
   (2, 214): (141.35416513141735, 706.7708256570868, False)
   (2, 215): (109.65856099730654, 548.2928049865327, False)
   (2, 216): (17.46424919657298, 87.3212459828649, False)
   (2, 217): (30.083217912982647, 150.41608956491325, False)
   (2, 218): (172.40939649566667, 862.0469824783333, False)
   (2, 220): (138.05795884337854, 690.2897942168927, False)
   (3, 90): (109.29318368498559, 546.465918424928, False)
   (3, 179): (184.0244548966251, 920.1222744831255, False)
   (3, 180): (118.33004690272035, 591.6502345136017, False)
   (3, 181): (51.92301994298868, 259.6150997149434, False)
   (3, 182): (21.213203435596427, 106.06601717798213, False)
   (3, 187): (188.01063799689632, 940.0531899844816, False)
   (3, 188): (133.3641631023867, 666.8208155119335, False)
   (3, 189): (88.20430828479978, 441.0215414239989, False)
   (3, 190): (73.348483283569, 366.742416417845, False)
   (3, 191): (195.6041921841145, 978.0209609205725, False)
   (3, 192): (49.09175083453431, 245.45875417267155, False)
   (3, 193): (76.69419795525604, 383.47098977628025, False)
   (3, 194): (45.880278987817846, 229.40139493908924, False)
   (3, 195): (25.079872407968907, 125.39936203984453, False)
   (3, 196): (132.48396129343357, 662.4198064671679, False)
   (3, 197): (145.12063946937388, 725.6031973468694, False)
   (3, 198): (52.46903848937962, 262.3451924468981, False)
   (3, 199): (111.8659912573969, 559.3299562869845, False)
   (3, 200): (67.67569726275453, 338.3784863137726, False)
   (3, 201): (112.96902230257638, 564.8451115128819, False)
   (3, 202): (10.0, 50.0, False)
   (3, 203): (78.74642849044012, 393.7321424522006, False)
   (3, 204): (201.8018830437417, 1009.0094152187085, False)
   (3, 205): (108.37435120913067, 541.8717560456533, False)
   (3, 206): (170.41713528867922, 852.0856764433961, False)
   (3, 207): (137.6154061142865, 688.0770305714325, False)
   (3, 208): (51.07837115648854, 255.3918557824427, False)
   (3, 209): (164.10362579784763, 820.5181289892381, False)
   (3, 210): (15.231546211727817, 76.15773105863909, False)
   (3, 211): (91.83681179135085, 459.18405895675426, False)
   (3, 212): (79.62411694957753, 398.1205847478876, False)
   (3, 213): (74.96665925596525, 374.8332962798263, False)
   (3, 214): (106.4048871058092, 532.024435529046, False)
   (3, 215): (161.00310556011024, 805.0155278005512, False)
   (3, 216): (198.59506539690256, 992.9753269845128, False)
   (3, 217): (193.65949499056327, 968.2974749528164, False)
   (3, 218): (53.14132102234569, 265.70660511172844, False)
   (3, 219): (77.52418977325722, 387.6209488662861, False)
   (3, 220): (120.55289295574785, 602.7644647787392, False)
   (4, 91): (125.80143083447024, 629.0071541723512, False)
