All relevant information about the map is below:

Total # of nodes: 220
# of robots: 85, robots_origin_location: {191: {50, 19}, 192: {9, 11, 5}, 193: {75, 4, 61}, 194: {45, 13, 30}, 195: {74, 77, 14}, 196: {12, 22, 68}, 197: {8, 24, 55}, 198: {1, 52, 54}, 199: {56, 51, 85}, 200: {65, 2, 67}, 201: set(), 202: {80, 33, 46}, 203: {81, 78}, 204: {43, 35, 39}, 205: {48, 76, 62}, 206: {49, 10, 3}, 207: {26, 31, 15}, 208: {72, 38, 47}, 209: {18, 27, 20}, 210: {32, 42, 70}, 211: {64, 25, 58}, 212: {57, 82, 79}, 213: {16, 83, 6}, 214: {59, 69, 63}, 215: {23, 28, 7}, 216: {17, 60, 84}, 217: {66, 44, 21}, 218: {53, 36, 29}, 219: {40, 41, 37}, 220: {73, 34, 71}}
# of requests: 88, request_pairs: [(1, 89), (2, 90), (3, 91), (4, 92), (5, 93), (6, 94), (7, 95), (8, 96), (9, 97), (10, 98), (11, 99), (12, 100), (13, 101), (14, 102), (15, 103), (16, 104), (17, 105), (18, 106), (19, 107), (20, 108), (21, 109), (22, 110), (23, 111), (24, 112), (25, 113), (26, 114), (27, 115), (28, 116), (29, 117), (30, 118), (31, 119), (32, 120), (33, 121), (34, 122), (35, 123), (36, 124), (37, 125), (38, 126), (39, 127), (40, 128), (41, 129), (42, 130), (43, 131), (44, 132), (45, 133), (46, 134), (47, 135), (48, 136), (49, 137), (50, 138), (51, 139), (52, 140), (53, 141), (54, 142), (55, 143), (56, 144), (57, 145), (58, 146), (59, 147), (60, 148), (61, 149), (62, 150), (63, 151), (64, 152), (65, 153), (66, 154), (67, 155), (68, 156), (69, 157), (70, 158), (71, 159), (72, 160), (73, 161), (74, 162), (75, 163), (76, 164), (77, 165), (78, 166), (79, 167), (80, 168), (81, 169), (82, 170), (83, 171), (84, 172), (85, 173), (86, 174), (87, 175), (88, 176)]
# of depots: 30, depot nodes: [191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220]
# of service lines: 4
# of num transfers: 14, service lines mapping: {1: [177, 178, 179, 180], 2: [181, 182, 183, 184], 3: [185, 186, 187, 188], 4: [189, 190]}
public transportation factor: 0.0
map_size: 220
outsourcing cost: 1
robots max travel time: 604
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 3
depot service time: 2
transfer capacity: 0
transfer service time: 2
request nodes time windows: {1: (41, 441), 2: (162, 562), 3: (110, 510), 4: (36, 436), 5: (196, 596), 6: (134, 534), 7: (113, 513), 8: (109, 509), 9: (36, 436), 10: (341, 741), 11: (126, 526), 12: (223, 623), 13: (216, 616), 14: (145, 545), 15: (41, 441), 16: (45, 445), 17: (86, 486), 18: (22, 422), 19: (207, 607), 20: (48, 448), 21: (288, 688), 22: (20, 420), 23: (25, 425), 24: (237, 637), 25: (179, 579), 26: (66, 466), 27: (154, 554), 28: (150, 550), 29: (124, 524), 30: (199, 599), 31: (21, 421), 32: (160, 560), 33: (285, 685), 34: (41, 441), 35: (296, 696), 36: (202, 602), 37: (58, 458), 38: (156, 556), 39: (268, 668), 40: (221, 621), 41: (291, 691), 42: (117, 517), 43: (303, 703), 44: (109, 509), 45: (57, 457), 46: (312, 712), 47: (134, 534), 48: (82, 482), 49: (107, 507), 50: (246, 646), 51: (315, 715), 52: (246, 646), 53: (221, 621), 54: (205, 605), 55: (327, 727), 56: (53, 453), 57: (119, 519), 58: (232, 632), 59: (270, 670), 60: (306, 706), 61: (35, 435), 62: (296, 696), 63: (171, 571), 64: (279, 679), 65: (344, 744), 66: (131, 531), 67: (238, 638), 68: (303, 703), 69: (254, 654), 70: (70, 470), 71: (317, 717), 72: (110, 510), 73: (65, 465), 74: (183, 583), 75: (111, 511), 76: (69, 469), 77: (62, 462), 78: (196, 596), 79: (74, 474), 80: (161, 561), 81: (268, 668), 82: (117, 517), 83: (231, 631), 84: (56, 456), 85: (299, 699), 86: (222, 622), 87: (203, 603), 88: (53, 453), 89: (318, 718), 90: (455, 855), 91: (258, 658), 92: (352, 752), 93: (587, 987), 94: (526, 926), 95: (403, 803), 96: (439, 839), 97: (174, 574), 98: (550, 950), 99: (471, 871), 100: (381, 781), 101: (519, 919), 102: (497, 897), 103: (440, 840), 104: (416, 816), 105: (288, 688), 106: (299, 699), 107: (496, 896), 108: (302, 702), 109: (623, 1023), 110: (393, 793), 111: (262, 662), 112: (614, 1014), 113: (341, 741), 114: (443, 843), 115: (244, 644), 116: (464, 864), 117: (501, 901), 118: (451, 851), 119: (421, 821), 120: (475, 875), 121: (652, 1052), 122: (265, 665), 123: (548, 948), 124: (340, 740), 125: (213, 613), 126: (341, 741), 127: (662, 1062), 128: (544, 944), 129: (468, 868), 130: (320, 720), 131: (700, 1100), 132: (441, 841), 133: (358, 758), 134: (594, 994), 135: (484, 884), 136: (261, 661), 137: (503, 903), 138: (518, 918), 139: (573, 973), 140: (415, 815), 141: (429, 829), 142: (578, 978), 143: (576, 976), 144: (193, 593), 145: (302, 702), 146: (373, 773), 147: (400, 800), 148: (518, 918), 149: (219, 619), 150: (412, 812), 151: (392, 792), 152: (572, 972), 153: (739, 1139), 154: (280, 680), 155: (593, 993), 156: (465, 865), 157: (594, 994), 158: (299, 699), 159: (466, 866), 160: (446, 846), 161: (286, 686), 162: (435, 835), 163: (357, 757), 164: (270, 670), 165: (384, 784), 166: (556, 956), 167: (298, 698), 168: (413, 813), 169: (488, 888), 170: (425, 825), 171: (339, 739), 172: (191, 591), 173: (659, 1059), 174: (414, 814), 175: (546, 946), 176: (157, 557)}
transfer nodes departure time: {177: 1032, 178: 1034, 179: 1036, 180: 1038, 181: 242, 182: 244, 183: 246, 184: 248, 185: 886, 186: 888, 187: 890, 188: 892, 189: 1565, 190: 1567}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 89): (163.29421300217592, 816.4710650108796, False)
   (1, 177): (170.20575783445165, 851.0287891722583, False)
   (1, 178): (122.38055401083949, 611.9027700541974, False)
   (1, 179): (74.84650960465692, 374.2325480232846, False)
   (1, 180): (26.90724809414742, 134.53624047073708, False)
   (1, 181): (179.49373248110922, 897.4686624055461, False)
   (1, 182): (132.32157798333574, 661.6078899166787, False)
   (1, 183): (96.46242791885346, 482.3121395942673, False)
   (1, 184): (88.88756943465155, 444.43784717325775, False)
   (1, 185): (150.05332385522155, 750.2666192761078, False)
   (1, 186): (143.7358688706476, 718.6793443532381, False)
   (1, 187): (153.91231269784754, 769.5615634892376, False)
   (1, 188): (178.89102828258325, 894.4551414129162, False)
   (1, 189): (161.7714437099453, 808.8572185497264, False)
   (1, 190): (50.93132631298737, 254.65663156493687, False)
   (1, 191): (74.0, 370.0, False)
   (1, 192): (51.62363799656123, 258.11818998280614, False)
   (1, 193): (167.0269439342048, 835.1347196710241, False)
   (1, 194): (111.66467659918243, 558.3233829959122, False)
   (1, 195): (218.2131985009156, 1091.065992504578, False)
   (1, 196): (158.75137794677562, 793.7568897338781, False)
   (1, 197): (129.98846102635417, 649.9423051317708, False)
   (1, 198): (99.70456358662827, 498.52281793314137, False)
   (1, 199): (83.86298349093002, 419.3149174546501, False)
   (1, 200): (154.02921800749363, 770.1460900374682, False)
   (1, 201): (136.74063039199433, 683.7031519599716, False)
   (1, 202): (196.95684806576287, 984.7842403288143, False)
   (1, 203): (79.2464510246358, 396.232255123179, False)
   (1, 204): (164.0, 820.0, False)
   (1, 205): (176.18456232031227, 880.9228116015613, False)
   (1, 206): (70.178344238091, 350.891721190455, False)
   (1, 207): (132.30646242719968, 661.5323121359984, False)
   (1, 208): (228.95414388038492, 1144.7707194019247, False)
   (1, 209): (107.20074626605917, 536.0037313302959, False)
   (1, 210): (59.50630218724736, 297.53151093623677, False)
   (1, 211): (189.0026454841307, 945.0132274206535, False)
   (1, 212): (138.84163640637487, 694.2081820318743, False)
   (1, 213): (168.1903683330291, 840.9518416651456, False)
   (1, 214): (73.08214556237385, 365.41072781186926, False)
   (1, 215): (171.5488268686207, 857.7441343431035, False)
   (1, 216): (88.23264701911646, 441.1632350955823, False)
   (1, 217): (75.8946638440411, 379.47331922020555, False)
   (1, 218): (100.31948963187563, 501.59744815937813, False)
   (1, 219): (94.08506789071261, 470.425339453563, False)
   (1, 220): (90.33825324855468, 451.6912662427734, False)
   (2, 90): (66.2872536767062, 331.436268383531, False)
   (2, 177): (122.4499897917513, 612.2499489587565, False)
   (2, 178): (93.23625904121208, 466.1812952060604, False)
   (2, 179): (83.72574275573791, 418.62871377868953, False)
   (2, 180): (101.39033484509261, 506.9516742254631, False)
   (2, 181): (57.0087712549569, 285.0438562747845, False)
   (2, 182): (44.77722635447622, 223.8861317723811, False)
   (2, 185): (66.03029607687671, 330.15148038438355, False)
   (2, 186): (22.80350850198276, 114.0175425099138, False)
   (2, 187): (42.2965719651132, 211.482859825566, False)
   (2, 188): (91.92388155425118, 459.6194077712559, False)
   (2, 189): (48.84669896727925, 244.23349483639626, False)
   (2, 190): (122.28654872879518, 611.4327436439759, False)
   (2, 191): (113.13708498984761, 565.685424949238, False)
   (2, 192): (131.38112497615478, 656.9056248807739, False)
   (2, 193): (41.97618372363071, 209.88091861815354, False)
   (2, 194): (21.18962010041709, 105.94810050208545, False)
   (2, 195): (119.21828718783037, 596.0914359391519, False)
   (2, 196): (112.32987136109433, 561.6493568054717, False)
   (2, 197): (45.31004303683677, 226.55021518418383, False)
   (2, 198): (43.965895873961216, 219.82947936980608, False)
   (2, 199): (42.720018726587654, 213.60009363293827, False)
   (2, 200): (41.43669871020132, 207.1834935510066, False)
   (2, 201): (65.19202405202648, 325.9601202601324, False)
   (2, 202): (108.16653826391968, 540.8326913195983, False)
   (2, 203): (54.147945482723536, 270.7397274136177, False)
   (2, 204): (179.74426277353055, 898.7213138676527, False)
   (2, 205): (64.28841264178172, 321.4420632089086, False)
   (2, 206): (60.207972893961475, 301.03986446980736, False)
   (2, 207): (66.40030120413611, 332.00150602068055, False)
   (2, 208): (124.1933975700802, 620.966987850401, False)
   (2, 209): (145.46477236774544, 727.3238618387272, False)
   (2, 210): (101.25709851659784, 506.28549258298915, False)
   (2, 211): (103.81714694596457, 519.0857347298229, False)
   (2, 212): (98.41239759298622, 492.0619879649311, False)
   (2, 213): (102.15674231297707, 510.7837115648854, False)
   (2, 214): (89.47066558375433, 447.35332791877164, False)
   (2, 215): (175.410946066658, 877.05473033329, False)
   (2, 216): (163.6001222493431, 818.0006112467154, False)
   (2, 217): (52.49761899362675, 262.48809496813374, False)
   (2, 218): (155.7562197795003, 778.7810988975015, False)
   (2, 219): (121.45781160551181, 607.289058027559, False)
   (2, 220): (153.73028328862208, 768.6514164431104, False)
   (3, 91): (106.04244433244644, 530.2122216622322, False)
   (3, 177): (117.32433677630571, 586.6216838815286, False)
   (3, 178): (108.67382389517726, 543.3691194758864, False)
   (3, 179): (120.30378215168466, 601.5189107584233, False)
   (3, 180): (149.37536610833797, 746.8768305416899, False)
   (3, 181): (6.082762530298219, 30.413812651491096, False)
   (3, 182): (56.0, 280.0, False)
   (3, 183): (114.15778554264269, 570.7889277132134, False)
   (3, 185): (93.08598175880189, 465.42990879400946, False)
   (3, 186): (46.57252408878007, 232.86262044390037, False)
   (3, 187): (29.154759474226502, 145.7737973711325, False)
   (3, 188): (70.09279563550022, 350.46397817750113, False)
   (3, 189): (59.033888572581766, 295.16944286290885, False)
   (3, 190): (174.0028735394907, 870.0143676974535, False)
   (3, 191): (147.80054127099805, 739.0027063549903, False)
   (3, 192): (172.12204972053988, 860.6102486026994, False)
   (3, 193): (30.805843601498726, 154.02921800749363, False)
   (3, 194): (71.84705978674423, 359.23529893372114, False)
   (3, 195): (80.8084154033477, 404.04207701673846, False)
